"FairwayProximity_RANKTHISWEEK_2015","FairwayProximity_RANKLASTWEEK_2015","FairwayProximity_PLAYERNAME_2015","FairwayProximity_ROUNDS_2015","FairwayProximity_AVG_2015","FairwayProximity_ATTEMPTS_2015","FairwayProximity_TOTALDISTANCEFEET_2015","FairwayProximity_RELATIVETOPAR_2015","stat_name","year"
1,1,"Tyrone Van Aswegen",58,NA,539,14749.5,-43,"FairwayProximity",2015
2,2,"Lucas Glover",79,NA,985,27277.333,-74,"FairwayProximity",2015
3,3,"Paul Casey",87,NA,827,23248.833,-105,"FairwayProximity",2015
4,4,"Stewart Cink",77,NA,863,24374.667,-85,"FairwayProximity",2015
5,5,"Tom Hoge",83,NA,839,23743.417,-92,"FairwayProximity",2015
6,6,"Russell Knox",96,NA,1254,35612.5,-123,"FairwayProximity",2015
7,7,"Jim Furyk",71,NA,740,21163.5,-80,"FairwayProximity",2015
8,8,"Jason Bohn",95,NA,1276,36552.75,-148,"FairwayProximity",2015
8,8,"Byron Smith",59,NA,547,15679.667,-41,"FairwayProximity",2015
10,10,"Greg Owen",58,NA,518,14948.333,-39,"FairwayProximity",2015
10,10,"Ryan Palmer",80,NA,651,18794.833,-55,"FairwayProximity",2015
12,12,"Jim Herman",88,NA,1086,31370.75,-102,"FairwayProximity",2015
13,13,"Jason Gore",76,NA,797,23119.75,-76,"FairwayProximity",2015
14,14,"Roberto Castro",54,NA,496,14439.333,-40,"FairwayProximity",2015
14,14,"Whee Kim",71,NA,747,21698.083,-84,"FairwayProximity",2015
14,14,"Seung Yul Noh",65,NA,666,19386.25,-59,"FairwayProximity",2015
14,14,"Chez Reavie",56,NA,730,21239.25,-58,"FairwayProximity",2015
14,14,"Bo Van Pelt",81,NA,872,25363.333,-72,"FairwayProximity",2015
19,19,"Ryo Ishikawa",90,NA,958,27967.083,-81,"FairwayProximity",2015
19,19,"Webb Simpson",81,NA,873,25427,-96,"FairwayProximity",2015
19,19,"Hudson Swafford",97,NA,1128,32921.917,-123,"FairwayProximity",2015
22,22,"Chris Kirk",76,NA,731,21353.667,-75,"FairwayProximity",2015
23,23,"Chad Collins",79,NA,858,25136.083,-78,"FairwayProximity",2015
23,23,"James Hahn",94,NA,1028,30134.333,-89,"FairwayProximity",2015
23,23,"Dustin Johnson",75,NA,651,19082.167,-95,"FairwayProximity",2015
26,26,"Hideki Matsuyama",95,NA,936,27498.833,-142,"FairwayProximity",2015
26,26,"Johnson Wagner",68,NA,771,22648.417,-72,"FairwayProximity",2015
28,28,"Brooks Koepka",84,NA,798,23548.667,-91,"FairwayProximity",2015
28,28,"Brian Stuard",97,NA,1122,33056.75,-70,"FairwayProximity",2015
28,28,"Jimmy Walker",89,NA,765,22591.167,-110,"FairwayProximity",2015
31,31,"Jason Dufner",76,NA,646,19137.25,-42,"FairwayProximity",2015
31,31,"David Hearn",97,NA,1148,33954.333,-122,"FairwayProximity",2015
31,31,"Justin Rose",69,NA,654,19320.333,-120,"FairwayProximity",2015
34,34,"Colt Knost",90,NA,1071,31834.5,-102,"FairwayProximity",2015
