"3PlusPuttsperRound_RANKTHISWEEK_2007","3PlusPuttsperRound_RANKLASTWEEK_2007","3PlusPuttsperRound_PLAYERNAME_2007","3PlusPuttsperRound_ROUNDS_2007","3PlusPuttsperRound_AVG_2007","3PlusPuttsperRound_TOTAL3PUTTS_2007","3PlusPuttsperRound_TOTALROUNDS_2007","stat_name","year"
1,1,"John Daly",59,0.07,4,59,"3PlusPuttsperRound",2007
2,2,"Kevin Na",84,0.06,5,84,"3PlusPuttsperRound",2007
2,2,"Kirk Triplett",77,0.06,5,77,"3PlusPuttsperRound",2007
2,2,"Nick Watney",87,0.06,5,87,"3PlusPuttsperRound",2007
5,5,"JB Holmes",71,0.04,3,71,"3PlusPuttsperRound",2007
5,5,"Trevor Immelman",74,0.04,3,68,"3PlusPuttsperRound",2007
5,5,"Rod Pampling",92,0.04,4,90,"3PlusPuttsperRound",2007
5,5,"John Senden",97,0.04,4,97,"3PlusPuttsperRound",2007
5,5,"Camilo Villegas",82,0.04,3,82,"3PlusPuttsperRound",2007
10,10,"Stuart Appleby",74,0.03,2,73,"3PlusPuttsperRound",2007
10,10,"Woody Austin",95,0.03,3,95,"3PlusPuttsperRound",2007
10,10,"Rich Beem",89,0.03,3,89,"3PlusPuttsperRound",2007
10,10,"Jonathan Byrd",73,0.03,2,73,"3PlusPuttsperRound",2007
10,10,"Mark Calcavecchia",93,0.03,3,93,"3PlusPuttsperRound",2007
10,10,"Joe Durant",88,0.03,3,87,"3PlusPuttsperRound",2007
10,10,"Fred Funk",65,0.03,2,65,"3PlusPuttsperRound",2007
10,10,"Paul Goydos",60,0.03,2,59,"3PlusPuttsperRound",2007
10,10,"Nathan Green",103,0.03,3,103,"3PlusPuttsperRound",2007
10,10,"JP Hayes",89,0.03,3,89,"3PlusPuttsperRound",2007
10,10,"Ryan Moore",92,0.03,3,92,"3PlusPuttsperRound",2007
10,10,"Arron Oberholser",69,0.03,2,68,"3PlusPuttsperRound",2007
10,10,"Geoff Ogilvy",84,0.03,2,78,"3PlusPuttsperRound",2007
10,10,"Dicky Pride",71,0.03,2,71,"3PlusPuttsperRound",2007
10,10,"Joey Sindelar",75,0.03,2,75,"3PlusPuttsperRound",2007
10,10,"DJ Trahan",99,0.03,3,99,"3PlusPuttsperRound",2007
26,26,"Steve Allan",63,0.02,1,63,"3PlusPuttsperRound",2007
26,26,"Robert Allenby",90,0.02,2,89,"3PlusPuttsperRound",2007
26,26,"Briny Baird",115,0.02,2,115,"3PlusPuttsperRound",2007
26,26,"Craig Barlow",52,0.02,1,52,"3PlusPuttsperRound",2007
26,26,"David Branshaw",83,0.02,2,83,"3PlusPuttsperRound",2007
26,26,"Jeff Brehaut",59,0.02,1,59,"3PlusPuttsperRound",2007
26,26,"Jose Coceres",50,0.02,1,50,"3PlusPuttsperRound",2007
26,26,"Jason Dufner",100,0.02,2,100,"3PlusPuttsperRound",2007
26,26,"Harrison Frazar",88,0.02,2,88,"3PlusPuttsperRound",2007
26,26,"Lucas Glover",98,0.02,2,97,"3PlusPuttsperRound",2007
26,26,"Mathew Goggin",97,0.02,2,97,"3PlusPuttsperRound",2007
26,26,"Mathias Gronberg",95,0.02,2,95,"3PlusPuttsperRound",2007
26,26,"Mark Hensby",81,0.02,2,81,"3PlusPuttsperRound",2007
26,26,"Lee Janzen",66,0.02,1,66,"3PlusPuttsperRound",2007
26,26,"Kent Jones",97,0.02,2,97,"3PlusPuttsperRound",2007
26,26,"Peter Lonard",85,0.02,2,85,"3PlusPuttsperRound",2007
26,26,"Davis Love III",66,0.02,1,65,"3PlusPuttsperRound",2007
26,26,"Joe Ogilvie",102,0.02,2,102,"3PlusPuttsperRound",2007
26,26,"Pat Perez",84,0.02,2,84,"3PlusPuttsperRound",2007
26,26,"Tim Petrovic",106,0.02,2,106,"3PlusPuttsperRound",2007
26,26,"Ian Poulter",63,0.02,1,60,"3PlusPuttsperRound",2007
26,26,"Jeff Quinney",95,0.02,2,95,"3PlusPuttsperRound",2007
26,26,"Chris Riley",59,0.02,1,59,"3PlusPuttsperRound",2007
26,26,"Vijay Singh",102,0.02,2,100,"3PlusPuttsperRound",2007
26,26,"Jeff Sluman",60,0.02,1,60,"3PlusPuttsperRound",2007
26,26,"Henrik Stenson",52,0.02,1,46,"3PlusPuttsperRound",2007
26,26,"Chris Stroud",66,0.02,1,66,"3PlusPuttsperRound",2007
