"ScoringAverageBeforeCut_RANKTHISWEEK_2009","ScoringAverageBeforeCut_RANKLASTWEEK_2009","ScoringAverageBeforeCut_PLAYERNAME_2009","ScoringAverageBeforeCut__2009","ScoringAverageBeforeCut_AVG_2009","ScoringAverageBeforeCut_TOTALSTROKES_2009","ScoringAverageBeforeCut_TOTALROUNDS_2009","stat_name","year"
1,1,"Tiger Woods",NA,69.25,2216,32,"ScoringAverageBeforeCut",2009
2,2,"Steve Stricker",NA,69.32,3050,44,"ScoringAverageBeforeCut",2009
3,3,"Tim Clark",NA,69.69,3136,45,"ScoringAverageBeforeCut",2009
3,3,"Justin Leonard",NA,69.69,3624,52,"ScoringAverageBeforeCut",2009
5,5,"David Toms",NA,69.7,3973,57,"ScoringAverageBeforeCut",2009
6,6,"Jim Furyk",NA,69.78,3140,45,"ScoringAverageBeforeCut",2009
7,7,"Kenny Perry",NA,69.79,3280,47,"ScoringAverageBeforeCut",2009
8,8,"Jason Day",NA,69.8,2443,35,"ScoringAverageBeforeCut",2009
9,9,"Scott Verplank",NA,69.82,3491,50,"ScoringAverageBeforeCut",2009
10,10,"Retief Goosen",NA,69.87,2725,39,"ScoringAverageBeforeCut",2009
11,11,"Jerry Kelly",NA,69.91,3705,53,"ScoringAverageBeforeCut",2009
12,12,"Mike Weir",NA,69.92,3426,49,"ScoringAverageBeforeCut",2009
13,13,"Steve Marino",NA,70,4200,60,"ScoringAverageBeforeCut",2009
14,14,"John Senden",NA,70.02,4201,60,"ScoringAverageBeforeCut",2009
15,15,"Michael Letzig",NA,70.05,3993,57,"ScoringAverageBeforeCut",2009
16,16,"Charley Hoffman",NA,70.09,3995,57,"ScoringAverageBeforeCut",2009
17,17,"Vaughn Taylor",NA,70.15,4139,59,"ScoringAverageBeforeCut",2009
18,18,"Sean OHair",NA,70.16,3087,44,"ScoringAverageBeforeCut",2009
19,19,"Bo Van Pelt",NA,70.17,4421,63,"ScoringAverageBeforeCut",2009
20,20,"Greg Chalmers",NA,70.18,3860,55,"ScoringAverageBeforeCut",2009
20,20,"Troy Matteson",NA,70.18,4281,61,"ScoringAverageBeforeCut",2009
22,22,"Nick Watney",NA,70.2,3580,51,"ScoringAverageBeforeCut",2009
23,23,"Camilo Villegas",NA,70.21,2738,39,"ScoringAverageBeforeCut",2009
24,24,"Mark Wilson",NA,70.22,4143,59,"ScoringAverageBeforeCut",2009
25,25,"Jonathan Byrd",NA,70.23,3722,53,"ScoringAverageBeforeCut",2009
26,26,"Matt Jones",NA,70.24,2388,34,"ScoringAverageBeforeCut",2009
26,26,"Scott McCarron",NA,70.24,3863,55,"ScoringAverageBeforeCut",2009
28,28,"Jason Dufner",NA,70.25,3864,55,"ScoringAverageBeforeCut",2009
28,28,"Ryan Moore",NA,70.25,4004,57,"ScoringAverageBeforeCut",2009
30,30,"Briny Baird",NA,70.26,4075,58,"ScoringAverageBeforeCut",2009
30,30,"Kevin Na",NA,70.26,3724,53,"ScoringAverageBeforeCut",2009
32,32,"Chad Campbell",NA,70.28,3725,53,"ScoringAverageBeforeCut",2009
32,32,"Harrison Frazar",NA,70.28,4076,58,"ScoringAverageBeforeCut",2009
32,32,"Zach Johnson",NA,70.28,3514,50,"ScoringAverageBeforeCut",2009
35,35,"Matt Kuchar",NA,70.29,3585,51,"ScoringAverageBeforeCut",2009
36,36,"Bill Lunde",NA,70.3,3937,56,"ScoringAverageBeforeCut",2009
36,36,"Rocco Mediate",NA,70.3,3093,44,"ScoringAverageBeforeCut",2009
38,38,"Anthony Kim",NA,70.31,2953,42,"ScoringAverageBeforeCut",2009
39,39,"JJ Henry",NA,70.32,4008,57,"ScoringAverageBeforeCut",2009
40,40,"Robert Garrigus",NA,70.33,3657,52,"ScoringAverageBeforeCut",2009
41,41,"Lucas Glover",NA,70.35,3799,54,"ScoringAverageBeforeCut",2009
42,42,"Chris Stroud",NA,70.36,4081,58,"ScoringAverageBeforeCut",2009
43,43,"Bryce Molder",NA,70.37,3026,43,"ScoringAverageBeforeCut",2009
44,44,"Kevin Sutherland",NA,70.38,3871,55,"ScoringAverageBeforeCut",2009
45,45,"Heath Slocum",NA,70.39,4364,62,"ScoringAverageBeforeCut",2009
46,46,"Bob Estes",NA,70.4,3379,48,"ScoringAverageBeforeCut",2009
47,47,"Stephen Ames",NA,70.41,3239,46,"ScoringAverageBeforeCut",2009
47,47,"Tag Ridings",NA,70.41,2253,32,"ScoringAverageBeforeCut",2009
49,49,"Brian Gay",NA,70.44,3874,55,"ScoringAverageBeforeCut",2009
49,49,"Dustin Johnson",NA,70.44,3522,50,"ScoringAverageBeforeCut",2009
49,49,"Greg Owen",NA,70.44,4367,62,"ScoringAverageBeforeCut",2009
52,52,"Patrick Sheehan",NA,70.45,2184,31,"ScoringAverageBeforeCut",2009
53,53,"Sergio Garcia",NA,70.47,2255,32,"ScoringAverageBeforeCut",2009
53,53,"Chris Riley",NA,70.47,3171,45,"ScoringAverageBeforeCut",2009
55,55,"Nathan Green",NA,70.48,4370,62,"ScoringAverageBeforeCut",2009
55,55,"Boo Weekley",NA,70.48,2960,42,"ScoringAverageBeforeCut",2009
57,57,"Ben Crane",NA,70.49,3877,55,"ScoringAverageBeforeCut",2009
57,57,"Pat Perez",NA,70.49,3172,45,"ScoringAverageBeforeCut",2009
59,59,"Hunter Mahan",NA,70.51,3455,49,"ScoringAverageBeforeCut",2009
59,59,"Kevin Stadler",NA,70.51,2891,41,"ScoringAverageBeforeCut",2009
61,61,"Jason Bohn",NA,70.53,3738,53,"ScoringAverageBeforeCut",2009
61,61,"Tom Pernice Jr",NA,70.53,3879,55,"ScoringAverageBeforeCut",2009
63,63,"Chris DiMarco",NA,70.54,4303,61,"ScoringAverageBeforeCut",2009
64,64,"Luke Donald",NA,70.55,2822,40,"ScoringAverageBeforeCut",2009
64,64,"Jeff Overton",NA,70.55,3880,55,"ScoringAverageBeforeCut",2009
64,64,"Scott Sterling",NA,70.55,2328,33,"ScoringAverageBeforeCut",2009
67,67,"Woody Austin",NA,70.58,3529,50,"ScoringAverageBeforeCut",2009
67,67,"Bill Haas",NA,70.58,4235,60,"ScoringAverageBeforeCut",2009
67,67,"Geoff Ogilvy",NA,70.58,2682,38,"ScoringAverageBeforeCut",2009
70,70,"Freddie Jacobson",NA,70.59,3600,51,"ScoringAverageBeforeCut",2009
70,70,"Lee Janzen",NA,70.59,3459,49,"ScoringAverageBeforeCut",2009
70,70,"Spencer Levin",NA,70.59,3600,51,"ScoringAverageBeforeCut",2009
70,70,"John Merrick",NA,70.59,4094,58,"ScoringAverageBeforeCut",2009
70,70,"Joe Ogilvie",NA,70.59,4165,59,"ScoringAverageBeforeCut",2009
75,75,"Jeff Klauk",NA,70.6,4236,60,"ScoringAverageBeforeCut",2009
75,75,"Bubba Watson",NA,70.6,3389,48,"ScoringAverageBeforeCut",2009
77,77,"James Nitties",NA,70.61,3954,56,"ScoringAverageBeforeCut",2009
77,77,"DA Points",NA,70.61,4307,61,"ScoringAverageBeforeCut",2009
79,79,"Paul Goydos",NA,70.63,3602,51,"ScoringAverageBeforeCut",2009
79,79,"Aron Price",NA,70.63,3814,54,"ScoringAverageBeforeCut",2009
81,81,"Rich Beem",NA,70.65,3815,54,"ScoringAverageBeforeCut",2009
82,82,"Charlie Wi",NA,70.66,4169,59,"ScoringAverageBeforeCut",2009
83,83,"Alex Cejka",NA,70.67,3675,52,"ScoringAverageBeforeCut",2009
84,84,"Robert Allenby",NA,70.68,2827,40,"ScoringAverageBeforeCut",2009
84,84,"Bob Heintz",NA,70.68,2898,41,"ScoringAverageBeforeCut",2009
84,84,"John Mallinger",NA,70.68,4029,57,"ScoringAverageBeforeCut",2009
84,84,"Rod Pampling",NA,70.68,3110,44,"ScoringAverageBeforeCut",2009
88,88,"Richard Johnson",NA,70.69,3817,54,"ScoringAverageBeforeCut",2009
88,88,"Ted Purdy",NA,70.69,4312,61,"ScoringAverageBeforeCut",2009
90,90,"Michael Allen",NA,70.7,3323,47,"ScoringAverageBeforeCut",2009
91,91,"George McNeill",NA,70.71,3677,52,"ScoringAverageBeforeCut",2009
91,91,"Phil Mickelson",NA,70.71,2475,35,"ScoringAverageBeforeCut",2009
93,93,"Charles Howell III",NA,70.73,4173,59,"ScoringAverageBeforeCut",2009
93,93,"Jarrod Lyle",NA,70.73,3183,45,"ScoringAverageBeforeCut",2009
95,95,"Webb Simpson",NA,70.75,4457,63,"ScoringAverageBeforeCut",2009
96,96,"Johnson Wagner",NA,70.76,3892,55,"ScoringAverageBeforeCut",2009
97,97,"Kris Blanks",NA,70.77,3043,43,"ScoringAverageBeforeCut",2009
97,97,"Marc Leishman",NA,70.77,4034,57,"ScoringAverageBeforeCut",2009
99,99,"Brian Davis",NA,70.78,4601,65,"ScoringAverageBeforeCut",2009
99,99,"Tim Petrovic",NA,70.78,4601,65,"ScoringAverageBeforeCut",2009
99,99,"Charles Warren",NA,70.78,2902,41,"ScoringAverageBeforeCut",2009
102,102,"Ryuji Imada",NA,70.79,3681,52,"ScoringAverageBeforeCut",2009
103,103,"Cameron Beckman",NA,70.8,3823,54,"ScoringAverageBeforeCut",2009
104,104,"DJ Trahan",NA,70.81,4461,63,"ScoringAverageBeforeCut",2009
104,104,"Kirk Triplett",NA,70.81,3045,43,"ScoringAverageBeforeCut",2009
106,106,"Tim Herron",NA,70.82,4037,57,"ScoringAverageBeforeCut",2009
106,106,"Scott Piercy",NA,70.82,3966,56,"ScoringAverageBeforeCut",2009
108,108,"Mark Calcavecchia",NA,70.84,3471,49,"ScoringAverageBeforeCut",2009
108,108,"Ian Poulter",NA,70.84,2267,32,"ScoringAverageBeforeCut",2009
108,108,"Jay Williamson",NA,70.84,3188,45,"ScoringAverageBeforeCut",2009
111,111,"Bart Bryant",NA,70.85,2409,34,"ScoringAverageBeforeCut",2009
111,111,"Nick OHern",NA,70.85,3826,54,"ScoringAverageBeforeCut",2009
111,111,"YE Yang",NA,70.85,3330,47,"ScoringAverageBeforeCut",2009
114,114,"Stewart Cink",NA,70.86,2976,42,"ScoringAverageBeforeCut",2009
114,114,"Dean Wilson",NA,70.86,4110,58,"ScoringAverageBeforeCut",2009
116,116,"Tommy Armour III",NA,70.87,2693,38,"ScoringAverageBeforeCut",2009
116,116,"Davis Love III",NA,70.87,3685,52,"ScoringAverageBeforeCut",2009
118,118,"Daniel Chopra",NA,70.89,4041,57,"ScoringAverageBeforeCut",2009
119,119,"Rory Sabbatini",NA,70.9,3403,48,"ScoringAverageBeforeCut",2009
120,120,"Matt Weibring",NA,70.91,3191,45,"ScoringAverageBeforeCut",2009
121,121,"Steve Elkington",NA,70.94,3405,48,"ScoringAverageBeforeCut",2009
122,122,"Brendon de Jonge",NA,70.97,4329,61,"ScoringAverageBeforeCut",2009
122,122,"Padraig Harrington",NA,70.97,2768,39,"ScoringAverageBeforeCut",2009
124,124,"Jason Gore",NA,70.98,3549,50,"ScoringAverageBeforeCut",2009
124,124,"Corey Pavin",NA,70.98,3478,49,"ScoringAverageBeforeCut",2009
124,124,"John Rollins",NA,70.98,3975,56,"ScoringAverageBeforeCut",2009
127,127,"Cliff Kresge",NA,71,4047,57,"ScoringAverageBeforeCut",2009
127,127,"Chez Reavie",NA,71,3976,56,"ScoringAverageBeforeCut",2009
129,129,"Ernie Els",NA,71.03,2557,36,"ScoringAverageBeforeCut",2009
129,129,"Brett Quigley",NA,71.03,4191,59,"ScoringAverageBeforeCut",2009
129,129,"Kevin Streelman",NA,71.03,4191,59,"ScoringAverageBeforeCut",2009
132,132,"Steve Lowery",NA,71.05,3979,56,"ScoringAverageBeforeCut",2009
133,133,"Jimmy Walker",NA,71.06,3411,48,"ScoringAverageBeforeCut",2009
134,134,"Glen Day",NA,71.07,3838,54,"ScoringAverageBeforeCut",2009
134,134,"David Mathis",NA,71.07,4051,57,"ScoringAverageBeforeCut",2009
136,136,"Joe Durant",NA,71.09,3057,43,"ScoringAverageBeforeCut",2009
136,136,"Steve Flesch",NA,71.09,3768,53,"ScoringAverageBeforeCut",2009
136,136,"Jeff Maggert",NA,71.09,4052,57,"ScoringAverageBeforeCut",2009
139,139,"Mark Brooks",NA,71.14,2561,36,"ScoringAverageBeforeCut",2009
139,139,"Fred Couples",NA,71.14,2490,35,"ScoringAverageBeforeCut",2009
139,139,"Colt Knost",NA,71.14,3628,51,"ScoringAverageBeforeCut",2009
142,142,"Ricky Barnes",NA,71.17,3345,47,"ScoringAverageBeforeCut",2009
