"LongestPutts_RANKTHISWEEK_2012","LongestPutts_RANKLASTWEEK_2012","LongestPutts_PLAYERNAME_2012","LongestPutts_ROUNDS_2012","LongestPutts_DISTANCE_2012","LongestPutts_YEARTOURN_2012","LongestPutts_ROUND_2012","LongestPutts_HOLE_2012","stat_name","year"
1,1,"JB Holmes",90,NA,NA,4,8,"LongestPutts",2012
2,2,"Seung Yul Noh",105,NA,NA,2,11,"LongestPutts",2012
3,3,"James Driscoll",83,NA,NA,2,11,"LongestPutts",2012
4,4,"Scott Brown",65,NA,NA,2,18,"LongestPutts",2012
5,5,"Zach Johnson",95,NA,NA,1,17,"LongestPutts",2012
6,6,"Gus Ulrich",2,NA,NA,2,2,"LongestPutts",2012
7,7,"Padraig Harrington",67,NA,NA,1,17,"LongestPutts",2012
8,8,"Billy Mayfair",90,NA,NA,1,12,"LongestPutts",2012
9,9,"Troy Kelly",68,NA,NA,1,16,"LongestPutts",2012
10,10,"Jhonattan Vegas",77,NA,NA,1,13,"LongestPutts",2012
11,11,"Garth Mulroy",59,NA,NA,4,11,"LongestPutts",2012
12,12,"Carl Paulson",7,NA,NA,3,13,"LongestPutts",2012
13,13,"Cameron Beckman",81,NA,NA,2,15,"LongestPutts",2012
14,14,"Peter Lonard",10,NA,NA,1,14,"LongestPutts",2012
15,15,"Ben Crane",73,NA,NA,2,15,"LongestPutts",2012
15,16,"JJ Killeen",101,NA,NA,2,17,"LongestPutts",2012
17,17,"Charles Howell III",98,NA,NA,3,7,"LongestPutts",2012
19,19,"Danny Lee",74,NA,NA,2,17,"LongestPutts",2012
20,20,"Tom Gillis",75,NA,NA,4,18,"LongestPutts",2012
21,22,"Gavin Coles",72,NA,NA,4,18,"LongestPutts",2012
21,21,"Andres Romero",68,NA,NA,3,4,"LongestPutts",2012
23,23,"Mathew Goggin",65,NA,NA,4,3,"LongestPutts",2012
24,24,"Roberto Castro",92,NA,NA,1,3,"LongestPutts",2012
25,25,"Robert Garrigus",89,NA,NA,4,5,"LongestPutts",2012
27,27,"Kyle Reifers",86,NA,NA,2,17,"LongestPutts",2012
28,28,"Nick Watney",97,NA,NA,1,3,"LongestPutts",2012
29,29,"Will Claxton",99,NA,NA,3,14,"LongestPutts",2012
30,30,"Dustin Johnson",70,NA,NA,1,6,"LongestPutts",2012
31,31,"Rod Pampling",88,NA,NA,1,8,"LongestPutts",2012
31,32,"Luke Guthrie",14,NA,NA,1,2,"LongestPutts",2012
33,33,"Jason Bohn",81,NA,NA,1,15,"LongestPutts",2012
34,34,"Phil Mickelson",79,NA,NA,4,17,"LongestPutts",2012
35,35,"Webb Simpson",77,NA,NA,1,12,"LongestPutts",2012
36,37,"Harrison Frazar",56,NA,NA,2,17,"LongestPutts",2012
39,39,"John Rollins",81,NA,NA,1,3,"LongestPutts",2012
40,40,"Jamie Lovemark",44,NA,NA,1,2,"LongestPutts",2012
41,41,"Graham DeLaet",79,NA,NA,3,18,"LongestPutts",2012
42,42,"Juvic Pagunsan",8,NA,NA,4,6,"LongestPutts",2012
43,43,"Russell Knox",72,NA,NA,1,4,"LongestPutts",2012
46,46,"Jonas Blixt",72,NA,NA,3,1,"LongestPutts",2012
47,47,"Troy Matteson",100,NA,NA,4,17,"LongestPutts",2012
48,49,"Blake Adams",107,NA,NA,2,2,"LongestPutts",2012
51,51,"Matt Bettencourt",80,NA,NA,1,3,"LongestPutts",2012
52,52,"Angel Cabrera",54,NA,NA,1,3,"LongestPutts",2012
52,53,"Martin Flores",95,NA,NA,1,2,"LongestPutts",2012
55,56,"Trevor Immelman",76,NA,NA,2,3,"LongestPutts",2012
57,57,"Hunter Haas",69,NA,NA,2,8,"LongestPutts",2012
59,60,"Sergio Garcia",57,NA,NA,4,5,"LongestPutts",2012
59,59,"Scott Piercy",95,NA,NA,1,17,"LongestPutts",2012
59,61,"Charlie Beljan",61,NA,NA,1,9,"LongestPutts",2012
62,62,"Marc Leishman",84,NA,NA,1,10,"LongestPutts",2012
63,63,"Greg Chalmers",88,NA,NA,4,14,"LongestPutts",2012
64,64,"Kevin Stadler",85,NA,NA,3,3,"LongestPutts",2012
65,65,"Jeff Overton",101,NA,NA,4,5,"LongestPutts",2012
66,67,"Fulton Allem",6,NA,NA,2,8,"LongestPutts",2012
66,66,"Vijay Singh",99,NA,NA,2,3,"LongestPutts",2012
68,69,"Scott Stallings",78,NA,NA,2,9,"LongestPutts",2012
71,72,"Brendon de Jonge",115,NA,NA,1,16,"LongestPutts",2012
73,73,"Jimmy Walker",101,NA,NA,1,10,"LongestPutts",2012
74,74,"Ben Ferguson",2,NA,NA,2,14,"LongestPutts",2012
75,75,"Stewart Cink",71,NA,NA,2,11,"LongestPutts",2012
75,77,"Billy Horschel",63,NA,NA,3,15,"LongestPutts",2012
78,78,"Jess Ferrell",2,NA,NA,1,7,"LongestPutts",2012
80,80,"John Merrick",83,NA,NA,2,3,"LongestPutts",2012
81,81,"Joe Ogilvie",47,NA,NA,4,16,"LongestPutts",2012
83,84,"Bryce Molder",83,NA,NA,4,7,"LongestPutts",2012
83,83,"Sangmoon Bae",81,NA,NA,3,5,"LongestPutts",2012
85,87,"Rocco Mediate",70,NA,NA,1,11,"LongestPutts",2012
85,86,"Heath Slocum",93,NA,NA,4,18,"LongestPutts",2012
85,88,"Brandt Snedeker",81,NA,NA,2,12,"LongestPutts",2012
89,90,"Scott Verplank",18,NA,NA,1,9,"LongestPutts",2012
91,91,"Charley Hoffman",88,NA,NA,4,17,"LongestPutts",2012
92,92,"John Mallinger",74,NA,NA,2,7,"LongestPutts",2012
93,93,"Henrik Stenson",51,NA,NA,2,12,"LongestPutts",2012
94,94,"Sung Kang",75,NA,NA,4,18,"LongestPutts",2012
95,95,"Matt Every",80,NA,NA,1,9,"LongestPutts",2012
96,96,"William McGirt",96,NA,NA,4,9,"LongestPutts",2012
97,97,"Dicky Pride",62,NA,NA,4,18,"LongestPutts",2012
100,101,"Paul Casey",20,NA,NA,2,17,"LongestPutts",2012
100,102,"Spencer Levin",81,NA,NA,2,8,"LongestPutts",2012
103,104,"Pat Perez",81,NA,NA,2,18,"LongestPutts",2012
105,105,"Jerry Kelly",84,NA,NA,4,5,"LongestPutts",2012
106,106,"Ryuji Imada",78,NA,NA,1,2,"LongestPutts",2012
109,109,"Ian Poulter",57,NA,NA,2,5,"LongestPutts",2012
110,111,"Gary Christian",91,NA,NA,2,10,"LongestPutts",2012
113,115,"Chris Couch",61,NA,NA,1,2,"LongestPutts",2012
113,113,"Kevin Kisner",69,NA,NA,1,6,"LongestPutts",2012
113,114,"Kevin Chappell",91,NA,NA,3,4,"LongestPutts",2012
116,116,"Keegan Bradley",90,NA,NA,2,16,"LongestPutts",2012
117,117,"Lee Westwood",60,NA,NA,4,3,"LongestPutts",2012
119,120,"Richard Lee",71,NA,NA,2,3,"LongestPutts",2012
121,121,"Arjun Atwal",79,NA,NA,2,6,"LongestPutts",2012
121,124,"Tim Clark",60,NA,NA,3,8,"LongestPutts",2012
121,123,"Patrick Cantlay",36,NA,NA,3,15,"LongestPutts",2012
125,125,"David Mathis",83,NA,NA,3,16,"LongestPutts",2012
126,126,"Alexandre Rocha",62,NA,NA,2,17,"LongestPutts",2012
129,129,"Doug LaBelle II",4,NA,NA,2,14,"LongestPutts",2012
129,130,"Camilo Villegas",79,NA,NA,4,13,"LongestPutts",2012
131,131,"Boo Weekley",74,NA,NA,2,5,"LongestPutts",2012
133,133,"Tiger Woods",69,NA,NA,3,8,"LongestPutts",2012
134,135,"DJ Trahan",73,NA,NA,2,9,"LongestPutts",2012
136,136,"Joe Durant",40,NA,NA,3,3,"LongestPutts",2012
136,137,"Robert Allenby",76,NA,NA,4,5,"LongestPutts",2012
136,138,"Michael Hoey",7,NA,NA,3,7,"LongestPutts",2012
139,139,"Derek Lamely",64,NA,NA,2,18,"LongestPutts",2012
