"LateScoringAverage_RANKTHISWEEK_2010","LateScoringAverage_RANKLASTWEEK_2010","LateScoringAverage_PLAYERNAME_2010","LateScoringAverage_ROUNDS_2010","LateScoringAverage_AVG_2010","LateScoringAverage_TOTALSTROKES_2010","LateScoringAverage_TOTALLATEROUNDS_2010","stat_name","year"
1,1,"Steve Stricker",73,69.6,2923,42,"LateScoringAverage",2010
2,2,"Retief Goosen",75,69.65,2577,37,"LateScoringAverage",2010
3,3,"Joe Durant",67,69.67,2299,33,"LateScoringAverage",2010
4,4,"Jonathan Byrd",85,69.79,3001,43,"LateScoringAverage",2010
5,5,"Matt Kuchar",97,69.8,3769,54,"LateScoringAverage",2010
6,6,"Brandt Snedeker",89,69.84,3073,44,"LateScoringAverage",2010
7,7,"Jeff Overton",89,69.87,3284,47,"LateScoringAverage",2010
8,8,"Spencer Levin",110,69.89,3774,54,"LateScoringAverage",2010
9,9,"Charles Howell III",103,69.96,3148,45,"LateScoringAverage",2010
9,9,"Charlie Wi",95,69.96,3218,46,"LateScoringAverage",2010
11,11,"Brendon de Jonge",114,69.97,4408,63,"LateScoringAverage",2010
12,12,"Paul Stankowski",62,70,1890,27,"LateScoringAverage",2010
12,12,"Dean Wilson",54,70,1750,25,"LateScoringAverage",2010
14,14,"Bo Van Pelt",104,70.04,3712,53,"LateScoringAverage",2010
15,15,"Kevin Na",94,70.06,3433,49,"LateScoringAverage",2010
16,16,"Jason Bohn",84,70.08,2803,40,"LateScoringAverage",2010
17,17,"Bill Haas",87,70.1,3575,51,"LateScoringAverage",2010
17,17,"Scott Piercy",88,70.1,2804,40,"LateScoringAverage",2010
19,19,"Paul Casey",64,70.14,2525,36,"LateScoringAverage",2010
20,20,"Nick Watney",91,70.15,3297,47,"LateScoringAverage",2010
21,21,"Justin Rose",78,70.16,2596,37,"LateScoringAverage",2010
22,22,"DA Points",90,70.17,2877,41,"LateScoringAverage",2010
23,23,"Chris Couch",66,70.18,2667,38,"LateScoringAverage",2010
23,23,"Steve Elkington",74,70.18,2667,38,"LateScoringAverage",2010
