"LeftRoughTendency_RANKTHISWEEK_2016","LeftRoughTendency_RANKLASTWEEK_2016","LeftRoughTendency_PLAYERNAME_2016","LeftRoughTendency_ROUNDS_2016","LeftRoughTendency_Pct_2016","LeftRoughTendency_TOTALLEFTROUGH_2016","LeftRoughTendency_POSSIBLEFWYS_2016","LeftRoughTendency_RELATIVETOPAR_2016","stat_name","year"
1,1,"Thomas Aiken",42,6.69,24,359,-0.08,"LeftRoughTendency",2016
2,2,"Lucas Lee",22,7.28,15,206,0.33,"LeftRoughTendency",2016
3,3,"Cameron Percy",22,8.16,16,196,-0.06,"LeftRoughTendency",2016
4,7,"Roberto Castro",55,8.26,53,642,0.13,"LeftRoughTendency",2016
5,5,"Bryce Molder",50,8.3,45,542,-0.11,"LeftRoughTendency",2016
6,6,"Andrew Landry",24,8.33,14,168,0.21,"LeftRoughTendency",2016
7,8,"Darron Stiles",28,8.48,19,224,0.26,"LeftRoughTendency",2016
8,18,"Shane Lowry",35,8.6,24,279,0.13,"LeftRoughTendency",2016
9,4,"David Toms",38,8.74,39,446,-0.08,"LeftRoughTendency",2016
10,10,"Matthew Fitzpatrick",23,8.93,15,168,0,"LeftRoughTendency",2016
11,12,"Charley Hoffman",49,9.05,45,497,0,"LeftRoughTendency",2016
12,9,"Scott Langley",41,9.28,40,431,-0.15,"LeftRoughTendency",2016
13,15,"Jeff Overton",51,9.33,57,611,0.16,"LeftRoughTendency",2016
14,14,"John Huh",51,9.36,57,609,0.18,"LeftRoughTendency",2016
15,16,"Dicky Pride",33,9.4,30,319,-0.07,"LeftRoughTendency",2016
16,17,"Mark Wilson",42,9.5,46,484,0.07,"LeftRoughTendency",2016
17,21,"Zac Blair",56,9.59,56,584,0.07,"LeftRoughTendency",2016
18,19,"Graeme McDowell",33,9.63,31,322,-0.06,"LeftRoughTendency",2016
18,22,"Francesco Molinari",36,9.63,44,457,-0.05,"LeftRoughTendency",2016
20,27,"Colt Knost",56,10.07,59,586,0.19,"LeftRoughTendency",2016
21,20,"Hiroshi Iwata",51,10.23,48,469,0.13,"LeftRoughTendency",2016
22,24,"Emiliano Grillo",47,10.34,51,493,0.04,"LeftRoughTendency",2016
23,24,"Si Woo Kim",63,10.51,76,723,0.11,"LeftRoughTendency",2016
24,33,"Bill Haas",42,10.54,41,389,0.07,"LeftRoughTendency",2016
25,34,"Cameron Smith",45,10.64,38,357,0.05,"LeftRoughTendency",2016
26,38,"Kyle Stanley",57,10.66,68,638,0.03,"LeftRoughTendency",2016
27,35,"KJ Choi",47,10.69,59,552,-0.1,"LeftRoughTendency",2016
28,26,"Davis Love III",40,10.82,50,462,0.08,"LeftRoughTendency",2016
29,39,"Brian Gay",22,10.84,27,249,0.11,"LeftRoughTendency",2016
29,43,"Geoff Ogilvy",37,10.84,45,415,0.04,"LeftRoughTendency",2016
31,40,"Russell Knox",48,10.86,44,405,0.05,"LeftRoughTendency",2016
32,31,"Kyle Reifers",63,10.96,73,666,0.03,"LeftRoughTendency",2016
33,23,"Vaughn Taylor",30,10.98,38,346,0.03,"LeftRoughTendency",2016
34,32,"Lucas Glover",53,10.99,72,655,-0.03,"LeftRoughTendency",2016
35,42,"David Hearn",55,11,64,582,0.09,"LeftRoughTendency",2016
36,29,"Scott Stallings",46,11.03,58,526,-0.05,"LeftRoughTendency",2016
37,28,"William McGirt",54,11.06,74,669,0.03,"LeftRoughTendency",2016
38,45,"Mark Hubbard",73,11.11,91,819,0.02,"LeftRoughTendency",2016
39,44,"Russell Henley",42,11.13,57,512,0.05,"LeftRoughTendency",2016
40,49,"George McNeill",33,11.17,43,385,0.33,"LeftRoughTendency",2016
41,30,"Sean OHair",45,11.19,62,554,0.03,"LeftRoughTendency",2016
42,46,"Boo Weekley",53,11.21,64,571,0.06,"LeftRoughTendency",2016
43,36,"Steve Marino",40,11.26,42,373,0.24,"LeftRoughTendency",2016
43,11,"Patrick Reed",53,11.26,50,444,-0.02,"LeftRoughTendency",2016
45,48,"Jerry Kelly",44,11.4,44,386,0.11,"LeftRoughTendency",2016
46,40,"David Lingmerth",54,11.44,58,507,0.26,"LeftRoughTendency",2016
47,52,"Steve Wheatcroft",53,11.53,67,581,0.07,"LeftRoughTendency",2016
48,51,"Troy Merritt",41,11.63,47,404,0.02,"LeftRoughTendency",2016
49,54,"Justin Hicks",26,11.75,39,332,0,"LeftRoughTendency",2016
50,47,"Jason Bohn",37,11.82,48,406,0.1,"LeftRoughTendency",2016
51,37,"Kelly Kraft",35,11.87,33,278,0.03,"LeftRoughTendency",2016
52,61,"Matt Jones",45,12.08,47,389,0.04,"LeftRoughTendency",2016
53,64,"Henrik Stenson",30,12.1,30,248,-0.2,"LeftRoughTendency",2016
54,59,"Abraham Ancer",26,12.11,27,223,0.3,"LeftRoughTendency",2016
55,60,"Matt Kuchar",46,12.18,52,427,0.08,"LeftRoughTendency",2016
56,62,"Chez Reavie",56,12.21,78,639,0.04,"LeftRoughTendency",2016
57,133,"Ian Poulter",37,12.3,39,317,0.13,"LeftRoughTendency",2016
58,65,"Chris Kirk",51,12.32,67,544,-0.03,"LeftRoughTendency",2016
59,81,"Fabian Gomez",49,12.33,73,592,0.05,"LeftRoughTendency",2016
60,50,"Jhonattan Vegas",49,12.42,62,499,-0.03,"LeftRoughTendency",2016
61,67,"Ryan Palmer",46,12.44,72,579,-0.11,"LeftRoughTendency",2016
62,68,"Zach Johnson",42,12.5,58,464,-0.07,"LeftRoughTendency",2016
63,73,"Whee Kim",54,12.52,71,567,0.13,"LeftRoughTendency",2016
63,74,"Justin Thomas",53,12.52,64,511,-0.08,"LeftRoughTendency",2016
65,69,"Branden Grace",31,12.55,31,247,-0.29,"LeftRoughTendency",2016
66,55,"Ryan Moore",40,12.57,47,374,-0.02,"LeftRoughTendency",2016
67,52,"Ricky Barnes",57,12.6,76,603,0.17,"LeftRoughTendency",2016
68,74,"Wes Roach",33,12.63,37,293,0.05,"LeftRoughTendency",2016
69,83,"Patrick Rodgers",49,12.64,68,538,0.03,"LeftRoughTendency",2016
70,62,"Rickie Fowler",42,12.69,57,449,-0.12,"LeftRoughTendency",2016
70,78,"Kevin Na",52,12.69,58,457,0,"LeftRoughTendency",2016
72,57,"Michael Kim",62,12.73,90,707,0.08,"LeftRoughTendency",2016
73,66,"Jim Herman",55,12.85,68,529,0.15,"LeftRoughTendency",2016
74,85,"Marc Leishman",41,12.97,45,347,0.07,"LeftRoughTendency",2016
75,87,"Brice Garnett",29,12.98,27,208,0.19,"LeftRoughTendency",2016
76,55,"Ernie Els",34,12.99,50,385,0.04,"LeftRoughTendency",2016
77,72,"Chad Campbell",54,13.02,78,599,0.01,"LeftRoughTendency",2016
78,80,"Derek Ernst",36,13.07,40,306,0.18,"LeftRoughTendency",2016
79,91,"Bernd Wiesberger",23,13.1,22,168,-0.09,"LeftRoughTendency",2016
80,89,"Kevin Kisner",49,13.12,61,465,0.15,"LeftRoughTendency",2016
81,91,"Bronson Burgoon",53,13.17,69,524,0.1,"LeftRoughTendency",2016
81,93,"Hudson Swafford",52,13.17,71,539,-0.06,"LeftRoughTendency",2016
83,94,"Scott Piercy",45,13.23,52,393,0.02,"LeftRoughTendency",2016
84,95,"Louis Oosthuizen",25,13.24,18,136,0,"LeftRoughTendency",2016
84,95,"Steve Stricker",25,13.24,38,287,0.13,"LeftRoughTendency",2016
86,97,"Andres Romero",22,13.26,24,181,-0.08,"LeftRoughTendency",2016
87,71,"Stuart Appleby",39,13.28,66,497,-0.05,"LeftRoughTendency",2016
88,99,"Charl Schwartzel",29,13.33,36,270,-0.06,"LeftRoughTendency",2016
89,101,"Aaron Baddeley",51,13.37,65,486,-0.08,"LeftRoughTendency",2016
90,77,"Jonas Blixt",46,13.39,68,508,-0.01,"LeftRoughTendency",2016
90,102,"Brandt Snedeker",47,13.39,64,478,0,"LeftRoughTendency",2016
