"FairwayProximity_RANKTHISWEEK_2007","FairwayProximity_RANKLASTWEEK_2007","FairwayProximity_PLAYERNAME_2007","FairwayProximity_ROUNDS_2007","FairwayProximity_AVG_2007","FairwayProximity_ATTEMPTS_2007","FairwayProximity_TOTALDISTANCEFEET_2007","FairwayProximity_RELATIVETOPAR_2007","stat_name","year"
1,1,"Tiger Woods",63,NA,567,15588.25,-104,"FairwayProximity",2007
2,2,"Steve Stricker",81,NA,905,25861.5,-122,"FairwayProximity",2007
3,3,"Ernie Els",59,NA,562,16322.5,-65,"FairwayProximity",2007
4,4,"Heath Slocum",101,NA,1358,39629.75,-108,"FairwayProximity",2007
5,5,"Jay Williamson",50,NA,686,20102,-59,"FairwayProximity",2007
6,6,"Tim Clark",66,NA,761,22394.833,-95,"FairwayProximity",2007
6,6,"Justin Rose",63,NA,538,15848.417,-54,"FairwayProximity",2007
6,6,"Vaughn Taylor",91,NA,990,29132.083,-62,"FairwayProximity",2007
9,9,"Jim Furyk",84,NA,986,29083,-106,"FairwayProximity",2007
10,10,"Ryan Palmer",91,NA,1062,31458.917,-64,"FairwayProximity",2007
11,11,"Tom Lehman",62,NA,682,20229.333,-68,"FairwayProximity",2007
12,12,"Freddie Jacobson",70,NA,912,27124.5,-100,"FairwayProximity",2007
12,12,"Darron Stiles",65,NA,761,22612.417,-14,"FairwayProximity",2007
14,14,"Robert Allenby",90,NA,981,29282.833,-71,"FairwayProximity",2007
14,14,"Brandt Snedeker",105,NA,1139,34000.833,-89,"FairwayProximity",2007
16,16,"Chad Campbell",96,NA,992,29690.583,-43,"FairwayProximity",2007
16,16,"Alex Cejka",80,NA,1024,30633.833,-98,"FairwayProximity",2007
18,18,"Joey Sindelar",75,NA,947,28426.417,-17,"FairwayProximity",2007
19,19,"Tommy Armour III",81,NA,1004,30262.167,-60,"FairwayProximity",2007
19,19,"Justin Leonard",95,NA,1183,35711.333,-72,"FairwayProximity",2007
19,19,"Kenny Perry",83,NA,1038,31296.333,-68,"FairwayProximity",2007
22,22,"Robert Garrigus",95,NA,1027,31084.25,-55,"FairwayProximity",2007
22,22,"Matt Kuchar",85,NA,979,29615,-80,"FairwayProximity",2007
22,22,"Rocco Mediate",72,NA,932,28231.083,-58,"FairwayProximity",2007
22,22,"Geoff Ogilvy",84,NA,847,25651.667,-57,"FairwayProximity",2007
22,22,"Camilo Villegas",82,NA,899,27223.583,-84,"FairwayProximity",2007
27,27,"Mark Calcavecchia",93,NA,980,29740,-77,"FairwayProximity",2007
27,27,"Joe Durant",88,NA,1069,32428.75,-2,"FairwayProximity",2007
27,27,"Hunter Mahan",91,NA,1022,31008.667,-67,"FairwayProximity",2007
30,30,"Robert Gamez",88,NA,1075,32654.75,-43,"FairwayProximity",2007
30,30,"Greg Owen",81,NA,928,28247.583,-9,"FairwayProximity",2007
32,32,"Woody Austin",95,NA,1128,34381.917,-61,"FairwayProximity",2007
32,32,"Fred Funk",65,NA,797,24276.333,-18,"FairwayProximity",2007
32,32,"Brian Gay",107,NA,1423,43423.333,-92,"FairwayProximity",2007
35,35,"Stephen Ames",81,NA,857,26222.667,-49,"FairwayProximity",2007
35,35,"Boo Weekley",101,NA,1061,32452.75,-55,"FairwayProximity",2007
37,37,"Billy Andrade",88,NA,1017,31164.417,-46,"FairwayProximity",2007
37,37,"Stewart Cink",91,NA,946,28985.5,-75,"FairwayProximity",2007
37,37,"Jerry Kelly",101,NA,1060,32474.417,-69,"FairwayProximity",2007
37,37,"Phil Mickelson",73,NA,650,19948.5,-89,"FairwayProximity",2007
37,37,"Kirk Triplett",77,NA,966,29610.333,-39,"FairwayProximity",2007
42,42,"Bart Bryant",87,NA,1054,32366.667,-69,"FairwayProximity",2007
42,42,"Brendon de Jonge",76,NA,851,26176.75,-59,"FairwayProximity",2007
42,42,"Craig Kanada",109,NA,1305,40172.75,-67,"FairwayProximity",2007
42,42,"Stephen Leaney",82,NA,1028,31619.833,-72,"FairwayProximity",2007
42,42,"Adam Scott",69,NA,715,21957.083,-88,"FairwayProximity",2007
42,42,"Jeff Sluman",60,NA,571,17578.583,-13,"FairwayProximity",2007
42,42,"David Toms",80,NA,865,26565.583,-70,"FairwayProximity",2007
49,49,"Michael Allen",74,NA,876,27027.5,-74,"FairwayProximity",2007
49,49,"Jason Bohn",57,NA,722,22261.417,-34,"FairwayProximity",2007
49,49,"Ken Duke",112,NA,1301,40086.333,-83,"FairwayProximity",2007
49,49,"Sergio Garcia",68,NA,687,21207,-81,"FairwayProximity",2007
49,49,"Zach Johnson",76,NA,885,27299.667,-91,"FairwayProximity",2007
49,49,"Michael Sim",52,NA,669,20654.667,-59,"FairwayProximity",2007
55,55,"Gavin Coles",87,NA,1101,34005.667,-27,"FairwayProximity",2007
55,55,"Steve Lowery",74,NA,916,28332.833,-71,"FairwayProximity",2007
55,55,"Billy Mayfair",98,NA,1208,37309.167,-75,"FairwayProximity",2007
55,55,"Arron Oberholser",69,NA,705,21806.833,-49,"FairwayProximity",2007
55,55,"Ted Purdy",102,NA,1203,37155.833,-53,"FairwayProximity",2007
55,55,"Brett Quigley",79,NA,798,24657.917,-39,"FairwayProximity",2007
55,55,"Scott Verplank",82,NA,851,26332,-69,"FairwayProximity",2007
62,62,"Craig Barlow",52,NA,584,18093.667,-27,"FairwayProximity",2007
62,62,"Retief Goosen",50,NA,430,13339.333,-6,"FairwayProximity",2007
62,62,"Bob Heintz",85,NA,983,30489.917,-59,"FairwayProximity",2007
62,62,"Cliff Kresge",107,NA,1333,41362,-75,"FairwayProximity",2007
62,62,"Chris Stroud",66,NA,756,23446.833,-59,"FairwayProximity",2007
67,67,"Briny Baird",115,NA,1466,45562.75,-118,"FairwayProximity",2007
67,67,"Padraig Harrington",64,NA,580,18007.917,-24,"FairwayProximity",2007
67,67,"Jeff Maggert",79,NA,1057,32838.333,-76,"FairwayProximity",2007
70,70,"Ryan Armour",107,NA,1326,41278.583,-62,"FairwayProximity",2007
70,70,"Jeff Gove",103,NA,1306,40748.5,-51,"FairwayProximity",2007
70,70,"Jeff Quinney",95,NA,1199,37346.833,-52,"FairwayProximity",2007
73,73,"DJ Brigman",67,NA,708,22132.667,-20,"FairwayProximity",2007
73,73,"Daniel Chopra",106,NA,1170,36606,-83,"FairwayProximity",2007
73,73,"Chris DiMarco",79,NA,819,25576.667,-24,"FairwayProximity",2007
73,73,"John Mallinger",96,NA,1198,37448.083,-40,"FairwayProximity",2007
73,73,"Ryan Moore",92,NA,1007,31474.667,-64,"FairwayProximity",2007
73,73,"Bo Van Pelt",104,NA,1289,40252.583,-113,"FairwayProximity",2007
73,73,"Brett Wetterich",88,NA,894,27954.5,-43,"FairwayProximity",2007
80,80,"Lee Janzen",66,NA,684,21452,-23,"FairwayProximity",2007
80,80,"Davis Love III",66,NA,674,21129.5,-20,"FairwayProximity",2007
80,80,"Pat Perez",84,NA,850,26598.667,-56,"FairwayProximity",2007
83,83,"Craig Bowden",78,NA,960,30147.333,-55,"FairwayProximity",2007
83,83,"Jose Coceres",50,NA,624,19581.833,-17,"FairwayProximity",2007
83,83,"Mark Hensby",81,NA,979,30785.667,-30,"FairwayProximity",2007
83,83,"Charley Hoffman",97,NA,1062,33393,-64,"FairwayProximity",2007
83,83,"Shaun Micheel",91,NA,978,30725,-55,"FairwayProximity",2007
88,88,"John Merrick",92,NA,1081,34026.75,-66,"FairwayProximity",2007
88,88,"Carl Pettersson",111,NA,1190,37512.417,-104,"FairwayProximity",2007
88,88,"Tag Ridings",52,NA,567,17851.917,-34,"FairwayProximity",2007
88,88,"Bubba Watson",80,NA,822,25917.5,-45,"FairwayProximity",2007
92,92,"Jonathan Byrd",73,NA,818,25843.167,-82,"FairwayProximity",2007
