"Approaches_RANKTHISWEEK_2009","Approaches_RANKLASTWEEK_2009","Approaches_PLAYERNAME_2009","Approaches_ROUNDS_2009","Approaches_AVGRTP_2009","stat_name","year"
1,1,"Zach Johnson",94,-0.156,"Approaches",2009
2,2,"Martin Laird",72,-0.152,"Approaches",2009
3,3,"Tom Pernice Jr",82,-0.146,"Approaches",2009
4,4,"Stephen Ames",77,-0.13,"Approaches",2009
5,5,"Mark Calcavecchia",72,-0.129,"Approaches",2009
6,6,"Vaughn Taylor",88,-0.097,"Approaches",2009
7,7,"Padraig Harrington",66,-0.091,"Approaches",2009
8,8,"Woody Austin",84,-0.077,"Approaches",2009
9,9,"Nick Watney",86,-0.071,"Approaches",2009
10,10,"Charles Howell III",99,-0.065,"Approaches",2009
11,11,"Ian Poulter",59,-0.063,"Approaches",2009
12,12,"Tim Clark",81,-0.053,"Approaches",2009
12,12,"Sean OHair",80,-0.053,"Approaches",2009
14,14,"Dustin Johnson",85,-0.05,"Approaches",2009
14,14,"Tag Ridings",50,-0.05,"Approaches",2009
16,16,"Justin Leonard",95,-0.048,"Approaches",2009
16,16,"Boo Weekley",79,-0.048,"Approaches",2009
18,18,"Kent Jones",73,-0.045,"Approaches",2009
18,18,"Camilo Villegas",76,-0.045,"Approaches",2009
20,20,"Cameron Beckman",87,-0.042,"Approaches",2009
21,21,"Steve Elkington",70,-0.032,"Approaches",2009
21,21,"Bill Haas",91,-0.032,"Approaches",2009
23,23,"Joe Ogilvie",85,-0.018,"Approaches",2009
24,24,"Alex Cejka",82,0,"Approaches",2009
24,24,"Ben Curtis",63,0,"Approaches",2009
24,24,"Jason Day",61,0,"Approaches",2009
24,24,"Lucas Glover",93,0,"Approaches",2009
24,24,"Bob Heintz",59,0,"Approaches",2009
24,24,"Jerry Kelly",90,0,"Approaches",2009
24,24,"Kenny Perry",92,0,"Approaches",2009
24,24,"Tim Petrovic",97,0,"Approaches",2009
24,24,"Scott Piercy",85,0,"Approaches",2009
24,24,"John Senden",100,0,"Approaches",2009
24,24,"Charlie Wi",92,0,"Approaches",2009
35,35,"Spencer Levin",75,0.02,"Approaches",2009
36,36,"Jeff Overton",92,0.021,"Approaches",2009
37,37,"Freddie Jacobson",83,0.025,"Approaches",2009
38,38,"Jason Bohn",88,0.031,"Approaches",2009
39,39,"Ben Crane",93,0.032,"Approaches",2009
39,39,"Kevin Streelman",97,0.032,"Approaches",2009
41,41,"Stuart Appleby",79,0.033,"Approaches",2009
42,42,"Chad Campbell",90,0.036,"Approaches",2009
42,42,"Bo Van Pelt",100,0.036,"Approaches",2009
44,44,"Jonathan Byrd",89,0.037,"Approaches",2009
45,45,"JB Holmes",74,0.04,"Approaches",2009
46,46,"Paul Goydos",79,0.042,"Approaches",2009
47,47,"Corey Pavin",73,0.043,"Approaches",2009
47,47,"David Toms",98,0.043,"Approaches",2009
49,49,"Marc Leishman",91,0.044,"Approaches",2009
50,50,"Glen Day",79,0.045,"Approaches",2009
51,51,"Tim Herron",87,0.05,"Approaches",2009
52,52,"Justin Rose",71,0.053,"Approaches",2009
53,53,"Marc Turnesa",77,0.054,"Approaches",2009
54,54,"Rocco Mediate",79,0.061,"Approaches",2009
55,55,"Vijay Singh",71,0.065,"Approaches",2009
56,56,"Brendon de Jonge",90,0.069,"Approaches",2009
57,57,"Jeff Quinney",78,0.071,"Approaches",2009
57,57,"Brandt Snedeker",81,0.071,"Approaches",2009
59,59,"Steve Stricker",81,0.077,"Approaches",2009
60,60,"Ryuji Imada",85,0.08,"Approaches",2009
61,61,"Geoff Ogilvy",78,0.081,"Approaches",2009
62,62,"JJ Henry",97,0.083,"Approaches",2009
62,62,"Patrick Sheehan",51,0.083,"Approaches",2009
64,64,"Fred Couples",54,0.091,"Approaches",2009
64,64,"Harrison Frazar",93,0.091,"Approaches",2009
64,64,"Brian Gay",96,0.091,"Approaches",2009
64,64,"Colt Knost",71,0.091,"Approaches",2009
68,68,"Sergio Garcia",59,0.095,"Approaches",2009
69,69,"Chris DiMarco",97,0.098,"Approaches",2009
70,70,"Jason Gore",74,0.1,"Approaches",2009
70,70,"Matt Kuchar",82,0.1,"Approaches",2009
72,72,"Brian Vranesh",51,0.105,"Approaches",2009
73,73,"Nick OHern",90,0.107,"Approaches",2009
74,74,"Retief Goosen",74,0.111,"Approaches",2009
74,74,"Charles Warren",63,0.111,"Approaches",2009
76,76,"Stewart Cink",79,0.118,"Approaches",2009
77,77,"Jeff Klauk",97,0.121,"Approaches",2009
78,78,"Ricky Barnes",67,0.125,"Approaches",2009
78,78,"Cliff Kresge",78,0.125,"Approaches",2009
80,80,"Robert Allenby",71,0.133,"Approaches",2009
81,81,"Rory Sabbatini",81,0.135,"Approaches",2009
82,82,"Bart Bryant",58,0.136,"Approaches",2009
82,82,"Bob Estes",78,0.136,"Approaches",2009
84,84,"Greg Chalmers",85,0.138,"Approaches",2009
84,84,"Matt Jones",56,0.138,"Approaches",2009
84,84,"Davis Love III",89,0.138,"Approaches",2009
87,87,"Charley Hoffman",97,0.139,"Approaches",2009
88,88,"Matt Bettencourt",98,0.141,"Approaches",2009
89,89,"Hunter Mahan",94,0.143,"Approaches",2009
89,89,"Heath Slocum",95,0.143,"Approaches",2009
89,89,"Darron Stiles",52,0.143,"Approaches",2009
92,92,"Rich Beem",77,0.146,"Approaches",2009
93,93,"Ryan Moore",89,0.148,"Approaches",2009
94,94,"Kirk Triplett",60,0.15,"Approaches",2009
95,95,"Chris Riley",77,0.154,"Approaches",2009
95,95,"Kevin Stadler",65,0.154,"Approaches",2009
97,97,"Troy Matteson",95,0.158,"Approaches",2009
98,98,"Steve Marino",98,0.161,"Approaches",2009
99,99,"Kris Blanks",60,0.167,"Approaches",2009
99,99,"Steve Flesch",77,0.167,"Approaches",2009
101,101,"Webb Simpson",94,0.171,"Approaches",2009
101,101,"Bubba Watson",73,0.171,"Approaches",2009
103,103,"Will Ma Kenzie",69,0.172,"Approaches",2009
104,104,"Ken Duke",87,0.175,"Approaches",2009
105,105,"Rick Price",54,0.176,"Approaches",2009
106,106,"Phil Mickelson",66,0.182,"Approaches",2009
107,107,"Mathew Goggin",76,0.19,"Approaches",2009
108,108,"Mark Wilson",99,0.192,"Approaches",2009
109,109,"Brad Faxon",59,0.194,"Approaches",2009
110,110,"Anthony Kim",76,0.195,"Approaches",2009
111,111,"KJ Choi",65,0.2,"Approaches",2009
112,112,"Andres Romero",58,0.205,"Approaches",2009
113,113,"Tiger Woods",64,0.211,"Approaches",2009
114,114,"Michael Letzig",96,0.213,"Approaches",2009
115,115,"Kevin Sutherland",96,0.214,"Approaches",2009
115,115,"Peter Tomasulo",61,0.214,"Approaches",2009
115,115,"Mike Weir",85,0.214,"Approaches",2009
118,118,"Lee Janzen",74,0.217,"Approaches",2009
119,119,"Jeff Maggert",79,0.227,"Approaches",2009
120,120,"Aron Price",89,0.229,"Approaches",2009
120,120,"John Rollins",92,0.229,"Approaches",2009
122,122,"Michael Allen",73,0.233,"Approaches",2009
122,122,"Richard Johnson",85,0.233,"Approaches",2009
122,122,"Rod Pampling",72,0.233,"Approaches",2009
125,125,"Daniel Chopra",89,0.234,"Approaches",2009
126,126,"Chez Reavie",81,0.238,"Approaches",2009
127,127,"Parker McLachlin",71,0.244,"Approaches",2009
128,128,"Mark Brooks",55,0.25,"Approaches",2009
128,128,"Joe Durant",62,0.25,"Approaches",2009
128,128,"Ernie Els",70,0.25,"Approaches",2009
128,128,"Tom Lehman",55,0.25,"Approaches",2009
128,128,"David Mathis",82,0.25,"Approaches",2009
133,133,"Steve Lowery",83,0.256,"Approaches",2009
134,134,"Brian Davis",103,0.261,"Approaches",2009
134,134,"Billy Mayfair",83,0.261,"Approaches",2009
136,136,"Ryan Palmer",78,0.267,"Approaches",2009
136,136,"Pat Perez",74,0.267,"Approaches",2009
138,138,"Carl Pettersson",86,0.273,"Approaches",2009
138,138,"Scott Verplank",88,0.273,"Approaches",2009
140,140,"Johnson Wagner",81,0.276,"Approaches",2009
141,141,"Nathan Green",104,0.277,"Approaches",2009
142,142,"Brian Bateman",55,0.286,"Approaches",2009
142,142,"Greg Kraft",51,0.286,"Approaches",2009
142,142,"George McNeill",82,0.286,"Approaches",2009
142,142,"Leif Olson",51,0.286,"Approaches",2009
142,142,"Brett Quigley",92,0.286,"Approaches",2009
142,142,"Jimmy Walker",74,0.286,"Approaches",2009
148,148,"DA Points",99,0.29,"Approaches",2009
149,149,"Scott McCarron",91,0.292,"Approaches",2009
150,150,"Nicholas Thompson",96,0.293,"Approaches",2009
151,151,"Derek Fathauer",63,0.294,"Approaches",2009
151,151,"Chris Stroud",88,0.294,"Approaches",2009
153,153,"Tommy Armour III",58,0.3,"Approaches",2009
153,153,"Luke Donald",79,0.3,"Approaches",2009
155,155,"John Mallinger",90,0.306,"Approaches",2009
156,156,"Ted Purdy",101,0.316,"Approaches",2009
156,156,"Adam Scott",53,0.316,"Approaches",2009
158,158,"Brendon Todd",53,0.32,"Approaches",2009
159,159,"Todd Hamilton",83,0.321,"Approaches",2009
160,160,"Peter Lonard",86,0.323,"Approaches",2009
160,160,"John Merrick",91,0.323,"Approaches",2009
162,162,"Casey Wittenberg",71,0.344,"Approaches",2009
163,163,"Jason Dufner",90,0.345,"Approaches",2009
164,164,"Jay Williamson",69,0.348,"Approaches",2009
165,165,"James Nitties",86,0.35,"Approaches",2009
166,166,"Aaron Baddeley",66,0.357,"Approaches",2009
167,167,"Briny Baird",89,0.37,"Approaches",2009
168,168,"Matt Weibring",65,0.375,"Approaches",2009
169,169,"Greg Owen",97,0.385,"Approaches",2009
170,170,"Eric Axley",71,0.395,"Approaches",2009
171,171,"Angel Cabrera",55,0.412,"Approaches",2009
172,172,"Brad Adamonis",70,0.419,"Approaches",2009
173,173,"David Duval",56,0.429,"Approaches",2009
173,173,"Robert Garrigus",83,0.429,"Approaches",2009
175,175,"Jarrod Lyle",65,0.458,"Approaches",2009
176,176,"Dean Wilson",81,0.462,"Approaches",2009
177,177,"Bill Lunde",83,0.5,"Approaches",2009
177,177,"DJ Trahan",96,0.5,"Approaches",2009
177,177,"YE Yang",83,0.5,"Approaches",2009
180,180,"Jim Furyk",86,0.519,"Approaches",2009
181,181,"Scott Sterling",51,0.556,"Approaches",2009
182,182,"Kevin Na",91,0.563,"Approaches",2009
183,183,"Gary Woodland",53,0.567,"Approaches",2009
184,184,"Bryce Molder",69,0.583,"Approaches",2009
