"StrokesGainedTotal_RANKTHISWEEK_2016","StrokesGainedTotal_RANKLASTWEEK_2016","StrokesGainedTotal_PLAYERNAME_2016","StrokesGainedTotal_ROUNDS_2016","StrokesGainedTotal_AVERAGE_2016","StrokesGainedTotal_TOTALSGT_2016","StrokesGainedTotal_TOTALSGT2G_2016","StrokesGainedTotal_TOTALSGP_2016","StrokesGainedTotal_MEASUREDROUNDS_2016","stat_name","year"
1,1,"Adam Scott",39,2.437,58.493,53.087,5.404,24,"StrokesGainedTotal",2016
2,3,"Rickie Fowler",42,2.247,71.894,55.172,16.719,32,"StrokesGainedTotal",2016
3,2,"Bubba Watson",30,2.196,37.337,39.741,-2.403,17,"StrokesGainedTotal",2016
4,5,"Phil Mickelson",37,2.159,58.28,34.191,24.088,27,"StrokesGainedTotal",2016
5,6,"Dustin Johnson",37,1.948,38.951,28.474,10.478,20,"StrokesGainedTotal",2016
6,7,"Jason Day",36,1.856,40.822,20.334,20.487,22,"StrokesGainedTotal",2016
7,4,"Henrik Stenson",30,1.814,32.652,34.836,-2.183,18,"StrokesGainedTotal",2016
8,11,"Rory McIlroy",37,1.786,39.286,37.616,1.668,22,"StrokesGainedTotal",2016
9,12,"Justin Rose",35,1.783,44.577,48.567,-3.99,25,"StrokesGainedTotal",2016
10,8,"Jordan Spieth",34,1.779,35.576,24.786,10.791,20,"StrokesGainedTotal",2016
11,9,"Charl Schwartzel",29,1.755,35.105,28.696,6.41,20,"StrokesGainedTotal",2016
12,10,"Hideki Matsuyama",40,1.662,43.216,47.741,-4.526,26,"StrokesGainedTotal",2016
13,13,"Branden Grace",31,1.452,26.144,24.161,1.983,18,"StrokesGainedTotal",2016
14,14,"Marc Leishman",41,1.421,35.527,23.571,11.956,25,"StrokesGainedTotal",2016
15,15,"Kevin Na",52,1.327,43.784,43.313,0.471,33,"StrokesGainedTotal",2016
16,16,"Jimmy Walker",43,1.251,40.029,27.203,12.827,32,"StrokesGainedTotal",2016
17,17,"William McGirt",54,1.246,59.791,38.648,21.141,48,"StrokesGainedTotal",2016
18,18,"Patton Kizzire",57,1.201,52.863,17.755,35.104,44,"StrokesGainedTotal",2016
19,19,"Sergio Garcia",28,1.184,15.389,23.501,-8.111,13,"StrokesGainedTotal",2016
20,23,"Matt Kuchar",46,1.125,34.877,28.391,6.488,31,"StrokesGainedTotal",2016
21,26,"Charley Hoffman",49,1.085,39.064,28.663,10.403,36,"StrokesGainedTotal",2016
21,24,"Patrick Reed",53,1.085,34.707,36.924,-2.216,32,"StrokesGainedTotal",2016
23,20,"Paul Casey",39,1.039,23.904,23.874,0.028,23,"StrokesGainedTotal",2016
24,28,"Brandt Snedeker",47,1.03,35.029,22.537,12.494,34,"StrokesGainedTotal",2016
24,21,"Jhonattan Vegas",49,1.03,37.063,26.511,10.551,36,"StrokesGainedTotal",2016
26,25,"Charles Howell III",63,1.006,50.31,38.511,11.798,50,"StrokesGainedTotal",2016
27,31,"Billy Horschel",45,0.966,32.837,26.018,6.818,34,"StrokesGainedTotal",2016
28,34,"Daniel Berger",52,0.965,34.753,29.843,4.91,36,"StrokesGainedTotal",2016
29,29,"Jamie Lovemark",57,0.94,47.013,35.704,11.309,50,"StrokesGainedTotal",2016
30,35,"Gary Woodland",45,0.936,32.753,38.05,-5.297,35,"StrokesGainedTotal",2016
31,46,"Tim Wilkinson",40,0.895,23.274,6.175,17.098,26,"StrokesGainedTotal",2016
32,22,"David Toms",38,0.891,28.51,19.715,8.793,32,"StrokesGainedTotal",2016
33,30,"Bill Haas",42,0.887,24.847,22.699,2.147,28,"StrokesGainedTotal",2016
34,37,"Brooks Koepka",39,0.859,24.047,17.341,6.705,28,"StrokesGainedTotal",2016
35,33,"JB Holmes",39,0.845,23.661,21.199,2.462,28,"StrokesGainedTotal",2016
36,32,"Ryan Moore",40,0.842,22.723,11.963,10.758,27,"StrokesGainedTotal",2016
37,36,"Kevin Chappell",49,0.829,33.157,40.594,-7.437,40,"StrokesGainedTotal",2016
38,39,"Zach Johnson",42,0.825,27.217,18.925,8.293,33,"StrokesGainedTotal",2016
39,40,"Smylie Kaufman",57,0.814,33.369,32.16,1.207,41,"StrokesGainedTotal",2016
40,27,"Luke Donald",49,0.812,26.797,20.327,6.469,33,"StrokesGainedTotal",2016
41,41,"Aaron Baddeley",51,0.728,26.224,0.773,25.452,36,"StrokesGainedTotal",2016
42,44,"Chez Reavie",56,0.709,32.621,45.582,-12.959,46,"StrokesGainedTotal",2016
43,62,"Lucas Glover",53,0.689,32.399,50.669,-18.27,47,"StrokesGainedTotal",2016
44,47,"Louis Oosthuizen",25,0.681,6.805,7.362,-0.555,10,"StrokesGainedTotal",2016
45,67,"Danny Lee",53,0.668,24.064,21.407,2.656,36,"StrokesGainedTotal",2016
46,42,"Luke List",51,0.658,25.658,34.41,-8.752,39,"StrokesGainedTotal",2016
47,73,"Andrew Loupe",50,0.656,26.891,4.641,22.249,41,"StrokesGainedTotal",2016
48,49,"Bryce Molder",50,0.64,24.964,13.11,11.855,39,"StrokesGainedTotal",2016
49,51,"Chris Kirk",51,0.629,24.515,28.132,-3.617,39,"StrokesGainedTotal",2016
50,52,"Ryan Palmer",46,0.624,26.219,27.54,-1.319,42,"StrokesGainedTotal",2016
51,53,"Russell Knox",48,0.621,18.004,19.289,-1.286,29,"StrokesGainedTotal",2016
52,64,"Harris English",51,0.62,21.081,4.951,16.131,34,"StrokesGainedTotal",2016
53,66,"Brendan Steele",48,0.617,23.44,28.491,-5.051,38,"StrokesGainedTotal",2016
54,55,"Russell Henley",42,0.607,22.477,1.961,20.517,37,"StrokesGainedTotal",2016
55,47,"Kevin Kisner",49,0.603,19.908,10.736,9.171,33,"StrokesGainedTotal",2016
56,65,"John Senden",48,0.596,23.838,5.729,18.107,40,"StrokesGainedTotal",2016
57,83,"Roberto Castro",55,0.584,26.844,42.716,-15.872,46,"StrokesGainedTotal",2016
58,45,"Shane Lowry",35,0.574,11.479,8.537,2.941,20,"StrokesGainedTotal",2016
59,60,"Sean OHair",45,0.566,22.647,9.006,13.641,40,"StrokesGainedTotal",2016
59,58,"Steve Stricker",25,0.566,11.895,-10.465,22.361,21,"StrokesGainedTotal",2016
61,59,"Andy Sullivan",25,0.553,8.847,3.438,5.408,16,"StrokesGainedTotal",2016
62,38,"Byeong Hun An",23,0.545,7.085,8.959,-1.874,13,"StrokesGainedTotal",2016
63,77,"Daniel Summerhays",55,0.522,22.459,-2.447,24.905,43,"StrokesGainedTotal",2016
64,63,"Jason Dufner",53,0.52,18.184,26.763,-8.577,35,"StrokesGainedTotal",2016
64,56,"Jason Kokrak",52,0.52,21.317,30.155,-8.837,41,"StrokesGainedTotal",2016
