"CarryEfficiency_RANKTHISWEEK_2007","CarryEfficiency_RANKLASTWEEK_2007","CarryEfficiency_PLAYERNAME_2007","CarryEfficiency_ROUNDS_2007","CarryEfficiency_AVG_2007","CarryEfficiency_AVERAGECARRYDISTYARDS_2007","CarryEfficiency_AVERAGECLUBHEADSPEED_2007","CarryEfficiency_TOTALATTEMPTS_2007","CarryEfficiency_HIGHESTCARRYEFFICIENCY_2007","stat_name","year"
1,NA,"Kirk Triplett",77,2.466,262.8,106.592,55,2.692,"CarryEfficiency",2007
2,NA,"Luke Donald",69,2.464,270,109.608,32,2.821,"CarryEfficiency",2007
3,NA,"Geoff Ogilvy",84,2.458,285.5,116.146,32,2.927,"CarryEfficiency",2007
4,NA,"Craig Barlow",52,2.452,278.1,113.424,22,2.958,"CarryEfficiency",2007
5,NA,"Darron Stiles",65,2.447,265.6,108.542,31,2.727,"CarryEfficiency",2007
6,NA,"Mark Wilson",87,2.446,264.9,108.301,56,2.636,"CarryEfficiency",2007
7,NA,"Mark Brooks",53,2.445,252.8,103.384,24,2.708,"CarryEfficiency",2007
7,NA,"Jeff Maggert",79,2.445,264.9,108.381,39,2.755,"CarryEfficiency",2007
9,NA,"Billy Mayfair",98,2.44,262.7,107.679,52,2.634,"CarryEfficiency",2007
10,NA,"JP Hayes",89,2.438,269.9,110.709,44,2.619,"CarryEfficiency",2007
11,NA,"Todd Hamilton",76,2.435,274.2,112.577,32,2.846,"CarryEfficiency",2007
12,NA,"Vaughn Taylor",91,2.429,264,108.67,42,2.647,"CarryEfficiency",2007
13,NA,"Alex Cejka",80,2.423,268.9,110.972,43,2.664,"CarryEfficiency",2007
13,NA,"John Daly",59,2.423,298.2,123.063,12,2.627,"CarryEfficiency",2007
13,NA,"Arron Oberholser",69,2.423,267,110.183,32,2.646,"CarryEfficiency",2007
13,NA,"Kyle Reifers",71,2.423,282.3,116.525,20,2.712,"CarryEfficiency",2007
17,NA,"JB Holmes",71,2.421,300.2,123.991,27,2.806,"CarryEfficiency",2007
17,NA,"Hunter Mahan",91,2.421,276.7,114.256,33,2.735,"CarryEfficiency",2007
17,NA,"Joey Sindelar",75,2.421,268.5,110.897,43,2.654,"CarryEfficiency",2007
20,NA,"Jeff Gove",103,2.42,266.8,110.263,48,2.688,"CarryEfficiency",2007
20,NA,"Charles Warren",101,2.42,284.1,117.413,57,2.823,"CarryEfficiency",2007
22,NA,"Jaco Van Zyl",51,2.419,264.7,109.459,23,2.612,"CarryEfficiency",2007
23,NA,"Robert Allenby",90,2.415,281.2,116.434,43,2.634,"CarryEfficiency",2007
23,NA,"Kevin Sutherland",85,2.415,270.3,111.894,46,2.673,"CarryEfficiency",2007
25,NA,"Bryce Molder",56,2.414,272.3,112.78,22,2.699,"CarryEfficiency",2007
26,NA,"Mathew Goggin",97,2.413,277.1,114.858,57,2.651,"CarryEfficiency",2007
27,NA,"Davis Love III",66,2.412,285.1,118.2,34,2.745,"CarryEfficiency",2007
28,NA,"Rich Beem",89,2.411,273,113.249,45,2.693,"CarryEfficiency",2007
28,NA,"Andrew Buckle",77,2.411,274,113.638,38,2.684,"CarryEfficiency",2007
30,NA,"Craig Bowden",78,2.41,245.7,101.962,40,2.621,"CarryEfficiency",2007
30,NA,"Ernie Els",59,2.41,282.2,117.105,20,2.539,"CarryEfficiency",2007
30,NA,"Robert Garrigus",95,2.41,293.2,121.635,46,2.642,"CarryEfficiency",2007
30,NA,"Tim Herron",98,2.41,271.3,112.577,55,2.574,"CarryEfficiency",2007
30,NA,"Ryan Palmer",91,2.41,279.4,115.921,38,2.595,"CarryEfficiency",2007
35,NA,"Padraig Harrington",64,2.409,280,116.233,32,2.724,"CarryEfficiency",2007
35,NA,"Brandt Snedeker",105,2.409,264.1,109.589,55,2.651,"CarryEfficiency",2007
37,NA,"Billy Andrade",88,2.408,269.8,112.028,54,2.645,"CarryEfficiency",2007
37,NA,"Joe Ogilvie",102,2.408,266.6,110.721,50,2.676,"CarryEfficiency",2007
37,NA,"Vijay Singh",102,2.408,275.4,114.401,47,2.724,"CarryEfficiency",2007
40,NA,"David Toms",80,2.407,261.7,108.74,50,2.629,"CarryEfficiency",2007
41,NA,"Harrison Frazar",88,2.406,284.3,118.136,35,2.683,"CarryEfficiency",2007
41,NA,"Cliff Kresge",107,2.406,264.2,109.821,63,2.643,"CarryEfficiency",2007
43,NA,"Steve Stricker",81,2.405,266,110.576,47,2.557,"CarryEfficiency",2007
43,NA,"Bubba Watson",80,2.405,300.3,124.865,17,2.659,"CarryEfficiency",2007
45,NA,"Briny Baird",115,2.402,265.7,110.638,54,2.723,"CarryEfficiency",2007
45,NA,"DJ Brigman",67,2.402,267.8,111.467,31,2.64,"CarryEfficiency",2007
45,NA,"Steve Marino",106,2.402,272.2,113.32,44,2.692,"CarryEfficiency",2007
48,NA,"Mark Hensby",81,2.401,262.8,109.457,46,2.615,"CarryEfficiency",2007
48,NA,"DJ Trahan",99,2.401,274.1,114.156,40,2.797,"CarryEfficiency",2007
50,NA,"Charley Hoffman",97,2.399,286.6,119.499,53,2.749,"CarryEfficiency",2007
51,NA,"Stewart Cink",91,2.398,274.4,114.427,55,2.614,"CarryEfficiency",2007
51,NA,"Bill Haas",93,2.398,285,118.832,38,2.619,"CarryEfficiency",2007
51,NA,"Peter Lonard",85,2.398,270.3,112.723,44,2.669,"CarryEfficiency",2007
54,NA,"Eric Axley",107,2.396,266.4,111.172,44,2.763,"CarryEfficiency",2007
54,NA,"Brian Davis",101,2.396,258.7,107.956,54,2.6,"CarryEfficiency",2007
54,NA,"Mathias Gronberg",95,2.396,274.2,114.458,50,2.609,"CarryEfficiency",2007
54,NA,"Bob Heintz",85,2.396,261.7,109.215,39,2.675,"CarryEfficiency",2007
58,NA,"Camilo Villegas",82,2.395,277.7,115.946,33,2.581,"CarryEfficiency",2007
59,NA,"Cameron Beckman",96,2.394,264,110.292,45,2.68,"CarryEfficiency",2007
59,NA,"Jason Schultz",63,2.394,271.7,113.507,26,2.558,"CarryEfficiency",2007
61,NA,"Tommy Armour III",81,2.393,260.6,108.885,39,2.752,"CarryEfficiency",2007
61,NA,"Kent Jones",97,2.393,265.3,110.886,55,2.607,"CarryEfficiency",2007
63,NA,"Jason Gore",86,2.392,283.7,118.605,40,2.611,"CarryEfficiency",2007
63,NA,"Jerry Kelly",101,2.392,258.1,107.906,52,2.642,"CarryEfficiency",2007
63,NA,"Anthony Kim",93,2.392,283.9,118.698,43,2.559,"CarryEfficiency",2007
66,NA,"Brett Quigley",79,2.391,272.9,114.153,33,2.621,"CarryEfficiency",2007
67,NA,"Robert Gamez",88,2.39,256.3,107.274,40,2.668,"CarryEfficiency",2007
67,NA,"Matt Hendrix",63,2.39,276.9,115.832,28,2.596,"CarryEfficiency",2007
67,NA,"John Mallinger",96,2.39,257.3,107.683,50,2.673,"CarryEfficiency",2007
70,NA,"Stephen Leaney",82,2.389,255.8,107.085,35,2.633,"CarryEfficiency",2007
71,NA,"Jason Bohn",57,2.388,268.2,112.314,32,2.604,"CarryEfficiency",2007
71,NA,"Bo Van Pelt",104,2.388,274.8,115.089,39,2.569,"CarryEfficiency",2007
73,NA,"Chris DiMarco",79,2.387,260,108.923,32,2.57,"CarryEfficiency",2007
74,NA,"Scott Gutschewski",67,2.386,284.9,119.424,26,2.633,"CarryEfficiency",2007
75,NA,"Paul Stankowski",52,2.385,275,115.303,19,2.584,"CarryEfficiency",2007
76,NA,"Chris Couch",76,2.384,288.5,121.025,35,2.731,"CarryEfficiency",2007
77,NA,"Rocco Mediate",72,2.382,263.4,110.552,41,2.574,"CarryEfficiency",2007
78,NA,"Chris Stroud",66,2.381,268.5,112.778,25,2.597,"CarryEfficiency",2007
79,NA,"KJ Choi",87,2.38,267.6,112.457,48,2.576,"CarryEfficiency",2007
79,NA,"Tim Clark",66,2.38,253.3,106.389,41,2.567,"CarryEfficiency",2007
79,NA,"Retief Goosen",50,2.38,281.3,118.175,18,2.521,"CarryEfficiency",2007
79,NA,"Ryuji Imada",104,2.38,261.4,109.833,61,2.617,"CarryEfficiency",2007
79,NA,"Shigeki Maruyama",84,2.38,252,105.91,37,2.648,"CarryEfficiency",2007
79,NA,"Nick OHern",72,2.38,257.6,108.238,37,2.632,"CarryEfficiency",2007
79,NA,"John Rollins",102,2.38,273.2,114.76,44,2.653,"CarryEfficiency",2007
86,NA,"Kenny Perry",83,2.379,270.4,113.667,41,2.55,"CarryEfficiency",2007
86,NA,"Carl Pettersson",111,2.379,270.3,113.603,61,2.819,"CarryEfficiency",2007
86,NA,"Ted Purdy",102,2.379,272.9,114.693,46,2.725,"CarryEfficiency",2007
89,NA,"Sean OHair",98,2.378,275.1,115.71,57,2.829,"CarryEfficiency",2007
90,NA,"Stuart Appleby",74,2.377,273.7,115.116,40,2.664,"CarryEfficiency",2007
90,NA,"John Merrick",92,2.377,268.8,113.094,48,2.624,"CarryEfficiency",2007
90,NA,"Kevin Stadler",95,2.377,274.5,115.488,42,2.598,"CarryEfficiency",2007
90,NA,"Nick Watney",87,2.377,285.1,119.95,37,2.609,"CarryEfficiency",2007
94,NA,"Troy Matteson",87,2.376,279.6,117.659,36,2.608,"CarryEfficiency",2007
94,NA,"Jay Williamson",50,2.376,261.9,110.203,26,2.626,"CarryEfficiency",2007
96,NA,"Ryan Armour",107,2.375,261.1,109.948,56,2.817,"CarryEfficiency",2007
96,NA,"Tom Johnson",74,2.375,263.1,110.794,31,2.609,"CarryEfficiency",2007
