"FirstTeeLatePar4ScoringAverage_RANKTHISWEEK_2010","FirstTeeLatePar4ScoringAverage_RANKLASTWEEK_2010","FirstTeeLatePar4ScoringAverage_PLAYERNAME_2010","FirstTeeLatePar4ScoringAverage_ROUNDS_2010","FirstTeeLatePar4ScoringAverage_AVG_2010","FirstTeeLatePar4ScoringAverage_TOTALSTROKES_2010","FirstTeeLatePar4ScoringAverage_TOTALHOLES_2010","stat_name","year"
1,1,"Matt Kuchar",97,3.95,1873,474,"FirstTeeLatePar4ScoringAverage",2010
1,1,"Jeff Overton",89,3.95,1464,371,"FirstTeeLatePar4ScoringAverage",2010
1,1,"Carl Pettersson",99,3.95,1264,320,"FirstTeeLatePar4ScoringAverage",2010
1,1,"Scott Piercy",88,3.95,870,220,"FirstTeeLatePar4ScoringAverage",2010
1,1,"Bubba Watson",77,3.95,1119,283,"FirstTeeLatePar4ScoringAverage",2010
6,6,"Cameron Beckman",68,3.96,876,221,"FirstTeeLatePar4ScoringAverage",2010
6,6,"Kris Blanks",91,3.96,1209,305,"FirstTeeLatePar4ScoringAverage",2010
6,6,"JJ Henry",92,3.96,816,206,"FirstTeeLatePar4ScoringAverage",2010
6,6,"DJ Trahan",92,3.96,1189,300,"FirstTeeLatePar4ScoringAverage",2010
6,6,"Charlie Wi",95,3.96,1514,382,"FirstTeeLatePar4ScoringAverage",2010
11,11,"Jonathan Byrd",85,3.97,1115,281,"FirstTeeLatePar4ScoringAverage",2010
11,11,"Graham DeLaet",88,3.97,1259,317,"FirstTeeLatePar4ScoringAverage",2010
11,11,"Freddie Jacobson",83,3.97,841,212,"FirstTeeLatePar4ScoringAverage",2010
11,11,"Ryan Palmer",84,3.97,1089,274,"FirstTeeLatePar4ScoringAverage",2010
15,15,"Retief Goosen",75,3.98,1346,338,"FirstTeeLatePar4ScoringAverage",2010
15,15,"Michael Sim",64,3.98,980,246,"FirstTeeLatePar4ScoringAverage",2010
15,15,"Paul Stankowski",62,3.98,741,186,"FirstTeeLatePar4ScoringAverage",2010
15,15,"Omar Uresti",74,3.98,644,162,"FirstTeeLatePar4ScoringAverage",2010
19,19,"Chris Couch",66,3.99,877,220,"FirstTeeLatePar4ScoringAverage",2010
19,19,"Spencer Levin",110,3.99,1562,391,"FirstTeeLatePar4ScoringAverage",2010
19,19,"Scott McCarron",90,3.99,1050,263,"FirstTeeLatePar4ScoringAverage",2010
19,19,"Jeev Milkha Singh",59,3.99,626,157,"FirstTeeLatePar4ScoringAverage",2010
19,19,"Steve Stricker",73,3.99,1749,438,"FirstTeeLatePar4ScoringAverage",2010
19,19,"Josh Teater",101,3.99,1208,303,"FirstTeeLatePar4ScoringAverage",2010
19,19,"Scott Verplank",74,3.99,825,207,"FirstTeeLatePar4ScoringAverage",2010
19,19,"Dean Wilson",54,3.99,818,205,"FirstTeeLatePar4ScoringAverage",2010
27,27,"Aaron Baddeley",94,4,1200,300,"FirstTeeLatePar4ScoringAverage",2010
27,27,"Jason Bohn",84,4,1136,284,"FirstTeeLatePar4ScoringAverage",2010
27,27,"Ernie Els",72,4,1429,357,"FirstTeeLatePar4ScoringAverage",2010
