"Percentageofpotentialmoneywon_RANKTHISWEEK_2012","Percentageofpotentialmoneywon_RANKLASTWEEK_2012","Percentageofpotentialmoneywon_PLAYERNAME_2012","Percentageofpotentialmoneywon_EVENTS_2012","Percentageofpotentialmoneywon_Pct_2012","Percentageofpotentialmoneywon_OFFICIALMONEYWON_2012","Percentageofpotentialmoneywon_POTENTIALMONEY_2012","stat_name","year"
1,1,"David Lynn",1,59.86,865000,1445000,"Percentageofpotentialmoneywon",2012
2,2,"Rory McIlroy",16,37.05,8047951,21720890,"Percentageofpotentialmoneywon",2012
3,3,"Tiger Woods",19,24.33,6133158,25212890,"Percentageofpotentialmoneywon",2012
4,4,"Bubba Watson",19,18.88,4644996,24604890,"Percentageofpotentialmoneywon",2012
5,5,"Brandt Snedeker",22,18.13,4989739,27516890,"Percentageofpotentialmoneywon",2012
6,6,"Jason Dufner",22,17.55,4869303,27750890,"Percentageofpotentialmoneywon",2012
7,7,"Justin Rose",19,17.14,4290929,25032890,"Percentageofpotentialmoneywon",2012
8,8,"Luke Donald",17,15.35,3512023,22872890,"Percentageofpotentialmoneywon",2012
9,9,"Phil Mickelson",22,14.89,4203821,28240890,"Percentageofpotentialmoneywon",2012
10,10,"Zach Johnson",25,14.63,4504244,30792890,"Percentageofpotentialmoneywon",2012
11,11,"Lee Westwood",15,14.59,3016569,20676890,"Percentageofpotentialmoneywon",2012
12,12,"Dustin Johnson",19,14.04,3393820,24168890,"Percentageofpotentialmoneywon",2012
13,13,"Matt Kuchar",22,13.86,3903064,28164890,"Percentageofpotentialmoneywon",2012
14,14,"Louis Oosthuizen",19,13.84,3460995,25014890,"Percentageofpotentialmoneywon",2012
15,15,"Steve Stricker",19,13.8,3420021,24784890,"Percentageofpotentialmoneywon",2012
16,16,"Hunter Mahan",23,13.58,4019193,29604890,"Percentageofpotentialmoneywon",2012
17,17,"Adam Scott",16,13.15,2899556,22044890,"Percentageofpotentialmoneywon",2012
18,18,"Ernie Els",22,12.65,3453117,27304890,"Percentageofpotentialmoneywon",2012
19,19,"Webb Simpson",22,12.52,3436758,27451000,"Percentageofpotentialmoneywon",2012
20,20,"Keegan Bradley",25,12.31,3910658,31768890,"Percentageofpotentialmoneywon",2012
21,21,"Jim Furyk",24,12.15,3623804,29824890,"Percentageofpotentialmoneywon",2012
22,22,"Sergio Garcia",16,11.78,2510115,21306890,"Percentageofpotentialmoneywon",2012
23,23,"Ben Curtis",19,11.61,2494152,21480890,"Percentageofpotentialmoneywon",2012
24,24,"Casey Wittenberg",1,11.36,163594,1440000,"Percentageofpotentialmoneywon",2012
25,25,"Carl Pettersson",26,11.32,3538655,31268890,"Percentageofpotentialmoneywon",2012
26,26,"Graeme McDowell",16,11.3,2408279,21306890,"Percentageofpotentialmoneywon",2012
27,27,"Robert Garrigus",26,10.51,3206530,30497000,"Percentageofpotentialmoneywon",2012
28,28,"Rickie Fowler",23,10.34,3066292,29640890,"Percentageofpotentialmoneywon",2012
29,29,"Ryan Moore",24,10.21,2858943,27995000,"Percentageofpotentialmoneywon",2012
30,30,"Peter Hanson",11,10.17,1511221,14862890,"Percentageofpotentialmoneywon",2012
31,31,"Jonas Blixt",21,10.16,2255695,22194000,"Percentageofpotentialmoneywon",2012
32,32,"Bo Van Pelt",24,10.01,3043509,30414890,"Percentageofpotentialmoneywon",2012
33,33,"Nick Watney",26,9.41,3044223,32344890,"Percentageofpotentialmoneywon",2012
34,34,"Luke Guthrie",4,8.69,284672,3276000,"Percentageofpotentialmoneywon",2012
35,35,"Ian Poulter",15,8.42,1715271,20370890,"Percentageofpotentialmoneywon",2012
36,36,"John Huh",28,8.34,2692113,32262890,"Percentageofpotentialmoneywon",2012
37,37,"Scott Piercy",28,8.22,2699205,32837000,"Percentageofpotentialmoneywon",2012
38,38,"Bill Haas",23,8.09,2349950,29032890,"Percentageofpotentialmoneywon",2012
39,39,"Willie Wood",1,7.78,42000,540000,"Percentageofpotentialmoneywon",2012
40,40,"Martin Laird",22,7.77,2172883,27970890,"Percentageofpotentialmoneywon",2012
41,41,"Matt Every",25,7.33,1972165,26897000,"Percentageofpotentialmoneywon",2012
42,42,"David Toms",19,7.21,1658428,23001000,"Percentageofpotentialmoneywon",2012
43,43,"Kyle Stanley",27,7.14,2351857,32916890,"Percentageofpotentialmoneywon",2012
44,44,"Mark Wilson",25,7.04,2144780,30472890,"Percentageofpotentialmoneywon",2012
45,45,"Padraig Harrington",18,7.02,1546271,22020890,"Percentageofpotentialmoneywon",2012
46,46,"Tadd Fujikawa",1,6.97,69025,990000,"Percentageofpotentialmoneywon",2012
47,47,"Marc Leishman",23,6.93,1933760,27920890,"Percentageofpotentialmoneywon",2012
48,48,"Johnson Wagner",27,6.9,2225006,32258890,"Percentageofpotentialmoneywon",2012
49,49,"John Senden",22,6.83,1916651,28074890,"Percentageofpotentialmoneywon",2012
50,50,"Charlie Beljan",22,6.74,1373528,20376000,"Percentageofpotentialmoneywon",2012
51,51,"Andres Gonzales",1,6.73,78780,1170000,"Percentageofpotentialmoneywon",2012
52,52,"Kevin Na",25,6.62,2029942,30674890,"Percentageofpotentialmoneywon",2012
53,53,"Dicky Pride",19,6.6,1259711,19098000,"Percentageofpotentialmoneywon",2012
54,54,"Charlie Wi",25,6.32,1845396,29183000,"Percentageofpotentialmoneywon",2012
55,55,"Jamie Donaldson",4,6.18,320334,5186890,"Percentageofpotentialmoneywon",2012
55,55,"Thorbjorn Olesen",2,6.18,176243,2850890,"Percentageofpotentialmoneywon",2012
57,57,"Jonathan Byrd",21,6.14,1616789,26350890,"Percentageofpotentialmoneywon",2012
58,58,"Ben Crane",23,6.1,1701364,27910000,"Percentageofpotentialmoneywon",2012
59,59,"Brendon de Jonge",31,6.03,2015251,33413000,"Percentageofpotentialmoneywon",2012
60,60,"Nicolas Colsaerts",9,5.92,677010,11442890,"Percentageofpotentialmoneywon",2012
61,61,"Tim Clark",20,5.87,1407028,23964890,"Percentageofpotentialmoneywon",2012
62,62,"Thomas Aiken",4,5.78,257179,4452890,"Percentageofpotentialmoneywon",2012
63,63,"Kevin Stadler",25,5.76,1546036,26838000,"Percentageofpotentialmoneywon",2012
64,64,"Bud Cauley",28,5.75,1774478,30839000,"Percentageofpotentialmoneywon",2012
65,65,"Steven Alker",1,5.64,79276,1405890,"Percentageofpotentialmoneywon",2012
66,66,"Charl Schwartzel",16,5.6,1138844,20334890,"Percentageofpotentialmoneywon",2012
67,67,"Seung Yul Noh",28,5.44,1629750,29975000,"Percentageofpotentialmoneywon",2012
68,68,"Ryan Palmer",24,5.41,1501214,27725000,"Percentageofpotentialmoneywon",2012
69,69,"Jason Day",17,5.33,1143232,21449000,"Percentageofpotentialmoneywon",2012
70,70,"John Rollins",26,5.26,1489155,28319000,"Percentageofpotentialmoneywon",2012
71,71,"Jimmy Walker",28,5.19,1638419,31577000,"Percentageofpotentialmoneywon",2012
72,72,"Jarrod Lyle",7,5.06,363685,7182000,"Percentageofpotentialmoneywon",2012
73,73,"Ted Potter Jr",25,5.04,1383170,27416890,"Percentageofpotentialmoneywon",2012
74,74,"Michael Thompson",25,4.98,1408373,28266890,"Percentageofpotentialmoneywon",2012
75,75,"Martin Kaymer",8,4.95,576356,11640890,"Percentageofpotentialmoneywon",2012
75,75,"Vijay Singh",27,4.95,1586304,32060890,"Percentageofpotentialmoneywon",2012
77,77,"Jonathan Randolph",1,4.94,26700,540000,"Percentageofpotentialmoneywon",2012
78,78,"Jeff Overton",29,4.92,1563670,31757000,"Percentageofpotentialmoneywon",2012
79,79,"Geoff Ogilvy",20,4.83,1255223,25986890,"Percentageofpotentialmoneywon",2012
79,79,"Henrik Stenson",15,4.83,791107,16380000,"Percentageofpotentialmoneywon",2012
81,81,"DA Points",29,4.81,1533360,31887000,"Percentageofpotentialmoneywon",2012
82,82,"Tom Gillis",23,4.76,1238058,26028000,"Percentageofpotentialmoneywon",2012
83,83,"Ken Duke",30,4.74,1511628,31865000,"Percentageofpotentialmoneywon",2012
84,84,"Aaron Watkins",2,4.69,118969,2538000,"Percentageofpotentialmoneywon",2012
85,85,"Miguel Angel Jimenez",6,4.53,386803,8530890,"Percentageofpotentialmoneywon",2012
86,86,"Spencer Levin",26,4.47,1283616,28715000,"Percentageofpotentialmoneywon",2012
87,87,"Tommy Gainey",32,4.45,1540748,34601000,"Percentageofpotentialmoneywon",2012
87,87,"Freddie Jacobson",17,4.45,953493,21414890,"Percentageofpotentialmoneywon",2012
89,89,"Scott Stallings",27,4.4,1293739,29421000,"Percentageofpotentialmoneywon",2012
90,90,"Aaron Baddeley",22,4.39,1215753,27682890,"Percentageofpotentialmoneywon",2012
90,90,"Davis Love III",20,4.39,989753,22542890,"Percentageofpotentialmoneywon",2012
92,92,"Sean OHair",24,4.35,1160980,26703000,"Percentageofpotentialmoneywon",2012
93,93,"JJ Henry",28,4.33,1297802,29939000,"Percentageofpotentialmoneywon",2012
94,94,"JB Holmes",25,4.31,1179505,27396000,"Percentageofpotentialmoneywon",2012
95,95,"John Mallinger",25,4.3,1146852,26676000,"Percentageofpotentialmoneywon",2012
96,96,"James Morrison",1,4.27,60044,1405890,"Percentageofpotentialmoneywon",2012
97,97,"Paul Lawrie",6,4.25,360639,8490890,"Percentageofpotentialmoneywon",2012
98,98,"Cameron Tringale",26,4.21,1225737,29093000,"Percentageofpotentialmoneywon",2012
99,99,"Alejandro Canizares",3,4.2,129962,3097890,"Percentageofpotentialmoneywon",2012
99,99,"Brian Davis",29,4.2,1318031,31397000,"Percentageofpotentialmoneywon",2012
99,99,"Charley Hoffman",27,4.2,1276663,30407000,"Percentageofpotentialmoneywon",2012
99,99,"Ryo Ishikawa",18,4.2,871050,20716890,"Percentageofpotentialmoneywon",2012
103,103,"Chris Kirk",27,4.19,1197562,28588000,"Percentageofpotentialmoneywon",2012
104,104,"Bryce Molder",25,4.18,1166115,27909000,"Percentageofpotentialmoneywon",2012
