"ConsecutiveCuts_RANKTHISWEEK_2008","ConsecutiveCuts_RANKLASTWEEK_2008","ConsecutiveCuts_PLAYERNAME_2008","ConsecutiveCuts__2008","ConsecutiveCuts_TOTAL_2008","ConsecutiveCuts_STARTTOURNAMENTID_2008","stat_name","year"
1,1,"Tiger Woods",NA,29,2006280,"ConsecutiveCuts",2008
2,2,"Robert Allenby",NA,27,2008030,"ConsecutiveCuts",2008
3,3,"Phil Mickelson",NA,18,2008070,"ConsecutiveCuts",2008
4,4,"Anthony Kim",NA,15,2008180,"ConsecutiveCuts",2008
5,5,"Stuart Appleby",NA,13,2008210,"ConsecutiveCuts",2008
5,5,"Ken Duke",NA,13,2008300,"ConsecutiveCuts",2008
5,5,"Sergio Garcia",NA,13,2008190,"ConsecutiveCuts",2008
5,5,"Mark Wilson",NA,13,2008290,"ConsecutiveCuts",2008
9,9,"Jim Furyk",NA,12,2008240,"ConsecutiveCuts",2008
9,9,"Justin Leonard",NA,12,2008230,"ConsecutiveCuts",2008
11,11,"Robert Karlsson",NA,10,2007340,"ConsecutiveCuts",2008
11,11,"Craig Lile",NA,10,2007320,"ConsecutiveCuts",2008
11,11,"Carl Pettersson",NA,10,2008330,"ConsecutiveCuts",2008
11,11,"DA Points",NA,10,2006380,"ConsecutiveCuts",2008
15,15,"Peter Hanson",NA,9,2005300,"ConsecutiveCuts",2008
15,15,"Charley Hoffman",NA,9,2008330,"ConsecutiveCuts",2008
15,15,"Andres Romero",NA,9,2008260,"ConsecutiveCuts",2008
15,15,"Steve Stricker",NA,9,2008260,"ConsecutiveCuts",2008
15,15,"Mike Weir",NA,9,2008320,"ConsecutiveCuts",2008
20,20,"Ben Curtis",NA,8,2008270,"ConsecutiveCuts",2008
20,20,"Todd Demsey",NA,8,2008370,"ConsecutiveCuts",2008
20,20,"Jeff Overton",NA,8,2008380,"ConsecutiveCuts",2008
20,20,"Charlie Wi",NA,8,2008330,"ConsecutiveCuts",2008
24,24,"Woody Austin",NA,7,2008390,"ConsecutiveCuts",2008
24,24,"Steve Marino",NA,7,2008390,"ConsecutiveCuts",2008
24,24,"Paul McGinley",NA,7,2006370,"ConsecutiveCuts",2008
27,27,"Chad Campbell",NA,6,2008380,"ConsecutiveCuts",2008
27,27,"Bob Estes",NA,6,2008440,"ConsecutiveCuts",2008
27,27,"Robert Gamez",NA,6,2008410,"ConsecutiveCuts",2008
27,27,"Lucas Glover",NA,6,2008320,"ConsecutiveCuts",2008
27,27,"Frank Lickliter II",NA,6,2008440,"ConsecutiveCuts",2008
27,27,"Tom Pernice Jr",NA,6,2008390,"ConsecutiveCuts",2008
27,27,"Michael Sim",NA,6,2008080,"ConsecutiveCuts",2008
27,27,"Brandt Snedeker",NA,6,2008350,"ConsecutiveCuts",2008
27,27,"Kevin Sutherland",NA,6,2008380,"ConsecutiveCuts",2008
27,27,"Doug Tewell",NA,6,1999230,"ConsecutiveCuts",2008
27,27,"Bob Tway",NA,6,2008370,"ConsecutiveCuts",2008
27,27,"Scott Verplank",NA,6,2008380,"ConsecutiveCuts",2008
39,39,"Angel Cabrera",NA,5,2008350,"ConsecutiveCuts",2008
39,39,"Stewart Cink",NA,5,2008380,"ConsecutiveCuts",2008
39,39,"Joe Durant",NA,5,2008440,"ConsecutiveCuts",2008
39,39,"Steve Flesch",NA,5,2008390,"ConsecutiveCuts",2008
39,39,"Ryuji Imada",NA,5,2008390,"ConsecutiveCuts",2008
39,39,"Martin Laird",NA,5,2008450,"ConsecutiveCuts",2008
39,39,"Wayne Levi",NA,5,2001300,"ConsecutiveCuts",2008
39,39,"Hunter Mahan",NA,5,2008380,"ConsecutiveCuts",2008
39,39,"Pat Perez",NA,5,2008390,"ConsecutiveCuts",2008
39,39,"John Riegger",NA,5,2008450,"ConsecutiveCuts",2008
39,39,"Chris Stroud",NA,5,2008450,"ConsecutiveCuts",2008
39,39,"Nick Watney",NA,5,2008440,"ConsecutiveCuts",2008
39,39,"Tim Wilkinson",NA,5,2008440,"ConsecutiveCuts",2008
52,52,"Olin Browne",NA,4,2008440,"ConsecutiveCuts",2008
52,52,"KJ Choi",NA,4,2008380,"ConsecutiveCuts",2008
52,52,"Brendon de Jonge",NA,4,2007450,"ConsecutiveCuts",2008
52,52,"Chris DiMarco",NA,4,2008450,"ConsecutiveCuts",2008
52,52,"Mark Foster",NA,4,2003300,"ConsecutiveCuts",2008
52,52,"Robert Garrigus",NA,4,2008460,"ConsecutiveCuts",2008
52,52,"Richard Green",NA,4,2008240,"ConsecutiveCuts",2008
52,52,"Mathias Gronberg",NA,4,2008460,"ConsecutiveCuts",2008
52,52,"Anton Haig",NA,4,2007130,"ConsecutiveCuts",2008
52,52,"Trevor Immelman",NA,4,2008380,"ConsecutiveCuts",2008
52,52,"Jonathan Lomas",NA,4,1995290,"ConsecutiveCuts",2008
52,52,"Graeme McDowell",NA,4,2008140,"ConsecutiveCuts",2008
52,52,"Kenny Perry",NA,4,2008380,"ConsecutiveCuts",2008
52,52,"Justin Rose",NA,4,2008270,"ConsecutiveCuts",2008
