"AverageDistanceofPuttsmade_RANKTHISWEEK_2012","AverageDistanceofPuttsmade_RANKLASTWEEK_2012","AverageDistanceofPuttsmade_PLAYERNAME_2012","AverageDistanceofPuttsmade_ROUNDS_2012","AverageDistanceofPuttsmade_AVG_2012","AverageDistanceofPuttsmade_TOTALDISTINCHES_2012","AverageDistanceofPuttsmade_TOTALROUNDS_2012","AverageDistanceofPuttsmade_AVGDIST_2012","AverageDistanceofPuttsmade_BESTROUND_2012","stat_name","year"
1,1,"Ben Crane",73,NA,65202,62,NA,NA,"AverageDistanceofPuttsmade",2012
2,2,"Brandt Snedeker",81,NA,65189,65,NA,NA,"AverageDistanceofPuttsmade",2012
3,3,"Derek Lamely",64,NA,55728,56,NA,NA,"AverageDistanceofPuttsmade",2012
4,4,"Phil Mickelson",79,NA,58859,60,NA,NA,"AverageDistanceofPuttsmade",2012
5,5,"Michael Thompson",80,NA,63272,65,NA,NA,"AverageDistanceofPuttsmade",2012
6,6,"Jonas Blixt",72,NA,61621,64,NA,NA,"AverageDistanceofPuttsmade",2012
7,7,"Martin Flores",95,NA,78587,82,NA,NA,"AverageDistanceofPuttsmade",2012
8,8,"Tommy Gainey",98,NA,86068,90,NA,NA,"AverageDistanceofPuttsmade",2012
9,9,"Ken Duke",104,NA,85567,90,NA,NA,"AverageDistanceofPuttsmade",2012
10,10,"John Daly",50,NA,36082,38,NA,NA,"AverageDistanceofPuttsmade",2012
11,11,"Webb Simpson",77,NA,62568,66,NA,NA,"AverageDistanceofPuttsmade",2012
11,11,"Henrik Stenson",51,NA,39795,42,NA,NA,"AverageDistanceofPuttsmade",2012
13,13,"Andres Romero",68,NA,51110,54,NA,NA,"AverageDistanceofPuttsmade",2012
13,13,"Adam Scott",59,NA,38770,41,NA,NA,"AverageDistanceofPuttsmade",2012
15,15,"Keegan Bradley",90,NA,67119,71,NA,NA,"AverageDistanceofPuttsmade",2012
15,15,"Brian Davis",91,NA,74680,79,NA,NA,"AverageDistanceofPuttsmade",2012
15,15,"James Driscoll",83,NA,66127,70,NA,NA,"AverageDistanceofPuttsmade",2012
18,18,"Danny Lee",74,NA,55581,59,NA,NA,"AverageDistanceofPuttsmade",2012
19,19,"Nick Watney",97,NA,71506,76,NA,NA,"AverageDistanceofPuttsmade",2012
20,20,"Johnson Wagner",88,NA,71380,76,NA,NA,"AverageDistanceofPuttsmade",2012
21,21,"Luke Donald",63,NA,44957,48,NA,NA,"AverageDistanceofPuttsmade",2012
21,21,"Harrison Frazar",56,NA,44976,48,NA,NA,"AverageDistanceofPuttsmade",2012
21,21,"Brendon Todd",78,NA,59024,63,NA,NA,"AverageDistanceofPuttsmade",2012
24,24,"Gavin Coles",72,NA,53336,57,NA,NA,"AverageDistanceofPuttsmade",2012
24,24,"Jason Dufner",83,NA,59916,64,NA,NA,"AverageDistanceofPuttsmade",2012
26,26,"Jason Day",57,NA,43848,47,NA,NA,"AverageDistanceofPuttsmade",2012
27,27,"Zach Johnson",95,NA,68883,74,NA,NA,"AverageDistanceofPuttsmade",2012
27,27,"Ryan Moore",89,NA,75415,81,NA,NA,"AverageDistanceofPuttsmade",2012
29,29,"Bryce Molder",83,NA,66002,71,NA,NA,"AverageDistanceofPuttsmade",2012
30,30,"Ted Potter Jr",77,NA,56694,61,NA,NA,"AverageDistanceofPuttsmade",2012
31,31,"Jonathan Byrd",69,NA,51915,56,NA,NA,"AverageDistanceofPuttsmade",2012
31,31,"Ben Curtis",62,NA,44484,48,NA,NA,"AverageDistanceofPuttsmade",2012
31,31,"Ryuji Imada",78,NA,63938,69,NA,NA,"AverageDistanceofPuttsmade",2012
34,34,"Jeff Overton",101,NA,85077,92,NA,NA,"AverageDistanceofPuttsmade",2012
34,34,"Tiger Woods",69,NA,44392,48,NA,NA,"AverageDistanceofPuttsmade",2012
36,36,"Robert Garrigus",89,NA,68363,74,NA,NA,"AverageDistanceofPuttsmade",2012
36,36,"David Hearn",95,NA,81280,88,NA,NA,"AverageDistanceofPuttsmade",2012
36,36,"Louis Oosthuizen",65,NA,45281,49,NA,NA,"AverageDistanceofPuttsmade",2012
39,39,"Tommy Biershenk",74,NA,53394,58,NA,NA,"AverageDistanceofPuttsmade",2012
39,39,"Bo Van Pelt",84,NA,59837,65,NA,NA,"AverageDistanceofPuttsmade",2012
41,41,"Cameron Beckman",81,NA,63448,69,NA,NA,"AverageDistanceofPuttsmade",2012
41,41,"Matt Kuchar",86,NA,60689,66,NA,NA,"AverageDistanceofPuttsmade",2012
43,43,"John Huh",99,NA,78134,85,NA,NA,"AverageDistanceofPuttsmade",2012
43,43,"William McGirt",96,NA,72613,79,NA,NA,"AverageDistanceofPuttsmade",2012
43,43,"Ryan Palmer",81,NA,65235,71,NA,NA,"AverageDistanceofPuttsmade",2012
46,46,"Graeme McDowell",55,NA,34873,38,NA,NA,"AverageDistanceofPuttsmade",2012
47,47,"Nathan Green",73,NA,52293,57,NA,NA,"AverageDistanceofPuttsmade",2012
47,47,"Ian Poulter",57,NA,34829,38,NA,NA,"AverageDistanceofPuttsmade",2012
47,47,"YE Yang",64,NA,44014,48,NA,NA,"AverageDistanceofPuttsmade",2012
50,50,"Charlie Wi",86,NA,66833,73,NA,NA,"AverageDistanceofPuttsmade",2012
51,51,"Edward Loar",59,NA,39331,43,NA,NA,"AverageDistanceofPuttsmade",2012
52,52,"Scott Piercy",95,NA,78440,86,NA,NA,"AverageDistanceofPuttsmade",2012
52,52,"Justin Rose",69,NA,48337,53,NA,NA,"AverageDistanceofPuttsmade",2012
52,52,"Lee Westwood",60,NA,36498,40,NA,NA,"AverageDistanceofPuttsmade",2012
55,55,"Brian Harman",101,NA,80044,88,NA,NA,"AverageDistanceofPuttsmade",2012
56,56,"Jhonattan Vegas",77,NA,62707,69,NA,NA,"AverageDistanceofPuttsmade",2012
57,57,"Tim Clark",60,NA,45362,50,NA,NA,"AverageDistanceofPuttsmade",2012
57,57,"Sergio Garcia",57,NA,38998,43,NA,NA,"AverageDistanceofPuttsmade",2012
57,57,"Troy Kelly",68,NA,46264,51,NA,NA,"AverageDistanceofPuttsmade",2012
57,57,"Charl Schwartzel",56,NA,36293,40,NA,NA,"AverageDistanceofPuttsmade",2012
61,61,"Tom Gillis",75,NA,62447,69,NA,NA,"AverageDistanceofPuttsmade",2012
62,62,"Kevin Kisner",69,NA,47909,53,NA,NA,"AverageDistanceofPuttsmade",2012
63,63,"Martin Laird",77,NA,48776,54,NA,NA,"AverageDistanceofPuttsmade",2012
63,63,"Pat Perez",81,NA,62319,69,NA,NA,"AverageDistanceofPuttsmade",2012
65,65,"Matt Every",80,NA,57747,64,NA,NA,"AverageDistanceofPuttsmade",2012
66,66,"Cameron Tringale",88,NA,69383,77,NA,NA,"AverageDistanceofPuttsmade",2012
67,67,"Dicky Pride",62,NA,44109,49,NA,NA,"AverageDistanceofPuttsmade",2012
68,68,"Brendon de Jonge",115,NA,91607,102,NA,NA,"AverageDistanceofPuttsmade",2012
69,69,"Aaron Baddeley",73,NA,49343,55,NA,NA,"AverageDistanceofPuttsmade",2012
69,69,"Gary Christian",91,NA,67295,75,NA,NA,"AverageDistanceofPuttsmade",2012
69,69,"George McNeill",85,NA,63682,71,NA,NA,"AverageDistanceofPuttsmade",2012
72,72,"JB Holmes",90,NA,69785,78,NA,NA,"AverageDistanceofPuttsmade",2012
73,73,"Mark Anderson",75,NA,54546,61,NA,NA,"AverageDistanceofPuttsmade",2012
73,73,"Miguel Angel Carballo",73,NA,50958,57,NA,NA,"AverageDistanceofPuttsmade",2012
73,73,"Richard Lee",71,NA,50953,57,NA,NA,"AverageDistanceofPuttsmade",2012
76,76,"Sung Kang",75,NA,55353,62,NA,NA,"AverageDistanceofPuttsmade",2012
77,77,"Steve Wheatcroft",56,NA,37444,42,NA,NA,"AverageDistanceofPuttsmade",2012
78,78,"Dustin Johnson",70,NA,47151,53,NA,NA,"AverageDistanceofPuttsmade",2012
78,78,"Jeff Maggert",83,NA,69410,78,NA,NA,"AverageDistanceofPuttsmade",2012
80,80,"Sangmoon Bae",81,NA,50593,57,NA,NA,"AverageDistanceofPuttsmade",2012
80,80,"Erik Compton",81,NA,56803,64,NA,NA,"AverageDistanceofPuttsmade",2012
80,80,"DA Points",88,NA,71029,80,NA,NA,"AverageDistanceofPuttsmade",2012
83,83,"Brandt Jobe",57,NA,39901,45,NA,NA,"AverageDistanceofPuttsmade",2012
84,84,"Chris Couch",61,NA,47825,54,NA,NA,"AverageDistanceofPuttsmade",2012
85,85,"Blake Adams",107,NA,77796,88,NA,NA,"AverageDistanceofPuttsmade",2012
85,85,"Billy Hurley III",70,NA,50372,57,NA,NA,"AverageDistanceofPuttsmade",2012
85,85,"David Mathis",83,NA,61007,69,NA,NA,"AverageDistanceofPuttsmade",2012
85,85,"Rod Pampling",88,NA,60964,69,NA,NA,"AverageDistanceofPuttsmade",2012
89,89,"Chris Stroud",86,NA,66259,75,NA,NA,"AverageDistanceofPuttsmade",2012
90,90,"Kevin Chappell",91,NA,63469,72,NA,NA,"AverageDistanceofPuttsmade",2012
90,90,"Seung Yul Noh",105,NA,74972,85,NA,NA,"AverageDistanceofPuttsmade",2012
92,92,"Michael Bradley",63,NA,48471,55,NA,NA,"AverageDistanceofPuttsmade",2012
92,92,"Billy Mayfair",90,NA,68697,78,NA,NA,"AverageDistanceofPuttsmade",2012
94,94,"Russell Knox",72,NA,49291,56,NA,NA,"AverageDistanceofPuttsmade",2012
94,94,"Sean OHair",84,NA,66851,76,NA,NA,"AverageDistanceofPuttsmade",2012
96,96,"Colt Knost",79,NA,58912,67,NA,NA,"AverageDistanceofPuttsmade",2012
96,96,"John Senden",81,NA,54473,62,NA,NA,"AverageDistanceofPuttsmade",2012
98,98,"Brian Gay",91,NA,68477,78,NA,NA,"AverageDistanceofPuttsmade",2012
99,99,"Matt Bettencourt",80,NA,52604,60,NA,NA,"AverageDistanceofPuttsmade",2012
99,99,"Greg Chalmers",88,NA,65751,75,NA,NA,"AverageDistanceofPuttsmade",2012
99,99,"Billy Horschel",63,NA,42076,48,NA,NA,"AverageDistanceofPuttsmade",2012
102,102,"Charlie Beljan",61,NA,37686,43,NA,NA,"AverageDistanceofPuttsmade",2012
102,102,"Charles Howell III",98,NA,67423,77,NA,NA,"AverageDistanceofPuttsmade",2012
102,102,"Carl Pettersson",92,NA,70050,80,NA,NA,"AverageDistanceofPuttsmade",2012
105,105,"Roberto Castro",92,NA,65580,75,NA,NA,"AverageDistanceofPuttsmade",2012
105,105,"Rickie Fowler",84,NA,57657,66,NA,NA,"AverageDistanceofPuttsmade",2012
105,105,"Alexandre Rocha",62,NA,43719,50,NA,NA,"AverageDistanceofPuttsmade",2012
108,108,"Daniel Chopra",55,NA,37535,43,NA,NA,"AverageDistanceofPuttsmade",2012
