"Front9ScoringAverage_RANKTHISWEEK_2010","Front9ScoringAverage_RANKLASTWEEK_2010","Front9ScoringAverage_PLAYERNAME_2010","Front9ScoringAverage_ROUNDS_2010","Front9ScoringAverage_AVG_2010","Front9ScoringAverage_TOTALSTROKES_2010","Front9ScoringAverage_TOTALHOLES_2010","stat_name","year"
1,NA,"Dean Wilson",54,34.37,1856,54,"Front9ScoringAverage",2010
2,NA,"Paul Casey",64,34.47,1999,58,"Front9ScoringAverage",2010
3,NA,"Matt Kuchar",97,34.48,3276,95,"Front9ScoringAverage",2010
4,NA,"Greg Chalmers",93,34.61,3219,93,"Front9ScoringAverage",2010
4,NA,"Chad Collins",87,34.61,3011,87,"Front9ScoringAverage",2010
6,NA,"Retief Goosen",75,34.63,2459,71,"Front9ScoringAverage",2010
7,NA,"Pat Perez",90,34.69,3122,90,"Front9ScoringAverage",2010
8,NA,"Graham DeLaet",88,34.7,3054,88,"Front9ScoringAverage",2010
9,NA,"Steve Elkington",74,34.74,2571,74,"Front9ScoringAverage",2010
10,NA,"Joe Durant",67,34.75,2328,67,"Front9ScoringAverage",2010
11,NA,"JJ Henry",92,34.76,3198,92,"Front9ScoringAverage",2010
12,NA,"Tom Gillis",97,34.78,3374,97,"Front9ScoringAverage",2010
13,NA,"Jeev Milkha Singh",59,34.8,1949,56,"Front9ScoringAverage",2010
14,NA,"Kevin Na",94,34.81,3237,93,"Front9ScoringAverage",2010
15,NA,"Jonathan Byrd",85,34.82,2960,85,"Front9ScoringAverage",2010
15,NA,"Paul Stankowski",62,34.82,2159,62,"Front9ScoringAverage",2010
17,NA,"Steve Stricker",73,34.83,2508,72,"Front9ScoringAverage",2010
18,NA,"Briny Baird",87,34.84,3031,87,"Front9ScoringAverage",2010
18,NA,"Phil Mickelson",76,34.84,2648,76,"Front9ScoringAverage",2010
18,NA,"Tom Pernice Jr",74,34.84,2578,74,"Front9ScoringAverage",2010
