"Scramblingfrom_RANKTHISWEEK_2015","Scramblingfrom_RANKLASTWEEK_2015","Scramblingfrom_PLAYERNAME_2015","Scramblingfrom_ROUNDS_2015","Scramblingfrom_Pct_2015","Scramblingfrom_SUCCESSES_2015","Scramblingfrom_ATTEMPTS_2015","stat_name","year"
1,1,"Tyrone Van Aswegen",58,95.74,45,47,"Scramblingfrom",2015
2,2,"Aaron Baddeley",76,95,57,60,"Scramblingfrom",2015
3,3,"Rickie Fowler",76,94.2,65,69,"Scramblingfrom",2015
4,4,"Roger Sloan",56,94,47,50,"Scramblingfrom",2015
5,5,"Henrik Stenson",63,93.88,46,49,"Scramblingfrom",2015
6,6,"Luke Donald",71,93.22,55,59,"Scramblingfrom",2015
7,7,"Francesco Molinari",56,92.73,51,55,"Scramblingfrom",2015
8,8,"Billy Hurley III",83,92.31,84,91,"Scramblingfrom",2015
8,8,"Ian Poulter",68,92.31,60,65,"Scramblingfrom",2015
10,10,"Gary Woodland",81,92.19,59,64,"Scramblingfrom",2015
11,11,"Bo Van Pelt",81,92.06,58,63,"Scramblingfrom",2015
12,12,"Retief Goosen",81,91.95,80,87,"Scramblingfrom",2015
13,13,"Eric Axley",57,91.94,57,62,"Scramblingfrom",2015
14,14,"JB Holmes",89,91.76,78,85,"Scramblingfrom",2015
15,15,"Jimmy Walker",89,91.67,66,72,"Scramblingfrom",2015
16,16,"Boo Weekley",79,91.58,87,95,"Scramblingfrom",2015
17,17,"Rory Sabbatini",81,91.4,85,93,"Scramblingfrom",2015
18,18,"Steven Alker",62,91.18,62,68,"Scramblingfrom",2015
19,19,"Harris English",105,91.07,102,112,"Scramblingfrom",2015
20,20,"Jason Day",75,91.04,61,67,"Scramblingfrom",2015
21,21,"Chris Kirk",76,90.67,68,75,"Scramblingfrom",2015
21,21,"David Toms",62,90.67,68,75,"Scramblingfrom",2015
23,23,"Andres Gonzales",90,90.63,58,64,"Scramblingfrom",2015
23,23,"Geoff Ogilvy",50,90.63,29,32,"Scramblingfrom",2015
25,25,"Will Wilcox",58,90.48,38,42,"Scramblingfrom",2015
26,26,"Troy Merritt",91,90.32,112,124,"Scramblingfrom",2015
27,27,"Jon Curran",83,90.24,74,82,"Scramblingfrom",2015
27,27,"Kyle Reifers",96,90.24,74,82,"Scramblingfrom",2015
29,29,"Charl Schwartzel",67,90.2,46,51,"Scramblingfrom",2015
30,30,"Jamie Donaldson",50,89.66,26,29,"Scramblingfrom",2015
31,31,"Greg Chalmers",58,89.58,43,48,"Scramblingfrom",2015
32,32,"KJ Choi",66,89.39,59,66,"Scramblingfrom",2015
32,32,"Padraig Harrington",60,89.39,59,66,"Scramblingfrom",2015
34,34,"Louis Oosthuizen",68,89.23,58,65,"Scramblingfrom",2015
35,35,"Justin Thomas",106,89.17,107,120,"Scramblingfrom",2015
36,36,"Ryo Ishikawa",90,89.16,74,83,"Scramblingfrom",2015
37,37,"Ryan Palmer",80,89.02,73,82,"Scramblingfrom",2015
38,38,"Ricky Barnes",82,88.89,72,81,"Scramblingfrom",2015
38,38,"Brice Garnett",81,88.89,64,72,"Scramblingfrom",2015
40,40,"Bill Haas",89,88.76,79,89,"Scramblingfrom",2015
41,41,"Kevin Kisner",104,88.65,125,141,"Scramblingfrom",2015
42,42,"Chesson Hadley",101,88.64,117,132,"Scramblingfrom",2015
42,42,"Tom Hoge",83,88.64,78,88,"Scramblingfrom",2015
44,44,"Andrew Putnam",68,88.61,70,79,"Scramblingfrom",2015
45,45,"Daniel Berger",97,88.57,93,105,"Scramblingfrom",2015
46,46,"Scott Brown",97,88.43,107,121,"Scramblingfrom",2015
47,47,"John Peterson",84,88.39,99,112,"Scramblingfrom",2015
48,48,"Hunter Mahan",88,88.37,76,86,"Scramblingfrom",2015
49,49,"Patrick Reed",103,88.35,91,103,"Scramblingfrom",2015
49,49,"Brendon Todd",96,88.35,91,103,"Scramblingfrom",2015
51,51,"Jerry Kelly",79,88.24,75,85,"Scramblingfrom",2015
52,52,"Spencer Levin",99,88.18,97,110,"Scramblingfrom",2015
53,53,"Chez Reavie",56,88.16,67,76,"Scramblingfrom",2015
54,54,"Zach Johnson",90,88.1,74,84,"Scramblingfrom",2015
55,55,"Chris Stroud",84,87.91,80,91,"Scramblingfrom",2015
56,56,"Jim Furyk",71,87.88,58,66,"Scramblingfrom",2015
57,57,"Max Homa",78,87.84,65,74,"Scramblingfrom",2015
58,58,"Brandt Snedeker",98,87.74,93,106,"Scramblingfrom",2015
59,59,"Webb Simpson",81,87.63,85,97,"Scramblingfrom",2015
60,60,"Morgan Hoffmann",85,87.5,84,96,"Scramblingfrom",2015
61,61,"David Hearn",97,87.38,90,103,"Scramblingfrom",2015
62,62,"Keegan Bradley",87,87.36,76,87,"Scramblingfrom",2015
63,63,"Steve Wheatcroft",87,87.23,82,94,"Scramblingfrom",2015
64,64,"Steven Bowditch",103,87.22,116,133,"Scramblingfrom",2015
65,65,"Adam Hadwin",95,87,87,100,"Scramblingfrom",2015
65,65,"Brendan Steele",88,87,87,100,"Scramblingfrom",2015
