"BirdieorBetterPercentageLess125_RANKTHISWEEK_2012","BirdieorBetterPercentageLess125_RANKLASTWEEK_2012","BirdieorBetterPercentageLess125_PLAYERNAME_2012","BirdieorBetterPercentageLess125_ROUNDS_2012","BirdieorBetterPercentageLess125_Pct_2012","BirdieorBetterPercentageLess125_TOTALBIRDIES_2012","BirdieorBetterPercentageLess125_TOTALHOLES_2012","stat_name","year"
1,1,"Zach Johnson",95,31.52,81,257,"BirdieorBetterPercentageLess125",2012
2,2,"Justin Rose",69,30.59,52,170,"BirdieorBetterPercentageLess125",2012
3,3,"Charl Schwartzel",56,28.79,38,132,"BirdieorBetterPercentageLess125",2012
4,4,"Will Claxton",99,28.48,94,330,"BirdieorBetterPercentageLess125",2012
5,5,"Brian Davis",91,28.43,87,306,"BirdieorBetterPercentageLess125",2012
6,6,"Vaughn Taylor",81,28.31,77,272,"BirdieorBetterPercentageLess125",2012
7,7,"Ben Crane",73,27.97,66,236,"BirdieorBetterPercentageLess125",2012
8,8,"Graeme McDowell",55,27.94,38,136,"BirdieorBetterPercentageLess125",2012
9,9,"Ken Duke",104,27.74,81,292,"BirdieorBetterPercentageLess125",2012
10,10,"Martin Laird",77,27.57,51,185,"BirdieorBetterPercentageLess125",2012
11,11,"Luke Donald",63,27.5,44,160,"BirdieorBetterPercentageLess125",2012
12,12,"Webb Simpson",77,27.43,65,237,"BirdieorBetterPercentageLess125",2012
13,13,"Danny Lee",74,27.23,58,213,"BirdieorBetterPercentageLess125",2012
14,14,"John Senden",81,26.98,51,189,"BirdieorBetterPercentageLess125",2012
15,15,"Bryce Molder",83,26.95,76,282,"BirdieorBetterPercentageLess125",2012
16,16,"Jason Dufner",83,26.81,63,235,"BirdieorBetterPercentageLess125",2012
17,17,"John Daly",50,26.37,48,182,"BirdieorBetterPercentageLess125",2012
18,18,"Mathew Goggin",65,26.2,49,187,"BirdieorBetterPercentageLess125",2012
19,19,"Jonathan Byrd",69,26.19,55,210,"BirdieorBetterPercentageLess125",2012
20,20,"Matt Bettencourt",80,26.11,59,226,"BirdieorBetterPercentageLess125",2012
21,21,"Jerry Kelly",84,26.07,61,234,"BirdieorBetterPercentageLess125",2012
22,22,"Greg Owen",90,25.96,74,285,"BirdieorBetterPercentageLess125",2012
23,23,"Camilo Villegas",79,25.93,70,270,"BirdieorBetterPercentageLess125",2012
24,24,"Blake Adams",107,25.88,81,313,"BirdieorBetterPercentageLess125",2012
24,24,"Matt Kuchar",86,25.88,66,255,"BirdieorBetterPercentageLess125",2012
26,26,"William McGirt",96,25.74,78,303,"BirdieorBetterPercentageLess125",2012
27,27,"David Mathis",83,25.72,71,276,"BirdieorBetterPercentageLess125",2012
28,28,"Sean OHair",84,25.69,74,288,"BirdieorBetterPercentageLess125",2012
29,29,"Michael Thompson",80,25.59,54,211,"BirdieorBetterPercentageLess125",2012
30,30,"Rory McIlroy",60,25.52,37,145,"BirdieorBetterPercentageLess125",2012
31,31,"Jeff Overton",101,25.48,92,361,"BirdieorBetterPercentageLess125",2012
32,32,"Tim Clark",60,25.46,55,216,"BirdieorBetterPercentageLess125",2012
33,33,"Jonas Blixt",72,25.43,59,232,"BirdieorBetterPercentageLess125",2012
34,34,"Sergio Garcia",57,25.4,32,126,"BirdieorBetterPercentageLess125",2012
