"ScramblingfromtheSand_RANKTHISWEEK_2014","ScramblingfromtheSand_RANKLASTWEEK_2014","ScramblingfromtheSand_PLAYERNAME_2014","ScramblingfromtheSand_ROUNDS_2014","ScramblingfromtheSand_Pct_2014","ScramblingfromtheSand_SUCCESSES_2014","ScramblingfromtheSand_ATTEMPTS_2014","stat_name","year"
1,1,"Seung Yul Noh",92,68.13,62,91,"ScramblingfromtheSand",2014
2,2,"Jason Day",54,66.67,32,48,"ScramblingfromtheSand",2014
3,3,"Charlie Wi",72,66.3,61,92,"ScramblingfromtheSand",2014
4,4,"Keegan Bradley",89,65.79,50,76,"ScramblingfromtheSand",2014
5,5,"Brian Gay",81,65.14,71,109,"ScramblingfromtheSand",2014
6,6,"Patrick Reed",92,64.89,61,94,"ScramblingfromtheSand",2014
7,7,"Vijay Singh",83,64.71,66,102,"ScramblingfromtheSand",2014
8,8,"Mike Weir",69,64.37,56,87,"ScramblingfromtheSand",2014
9,9,"Richard Lee",80,64.22,70,109,"ScramblingfromtheSand",2014
10,10,"Matt Kuchar",91,64.21,61,95,"ScramblingfromtheSand",2014
11,11,"Phil Mickelson",71,63.86,53,83,"ScramblingfromtheSand",2014
12,12,"Adam Scott",68,62.86,44,70,"ScramblingfromtheSand",2014
13,13,"Heath Slocum",71,62.82,49,78,"ScramblingfromtheSand",2014
14,14,"Gonzalo Fdez Castano",83,62.24,61,98,"ScramblingfromtheSand",2014
15,15,"John Senden",99,61.46,59,96,"ScramblingfromtheSand",2014
16,16,"Brendon Todd",108,61.31,84,137,"ScramblingfromtheSand",2014
17,17,"Sergio Garcia",61,61.22,30,49,"ScramblingfromtheSand",2014
17,17,"Justin Leonard",75,61.22,60,98,"ScramblingfromtheSand",2014
19,19,"David Hearn",97,61.21,71,116,"ScramblingfromtheSand",2014
19,19,"Chris Kirk",105,61.21,71,116,"ScramblingfromtheSand",2014
19,19,"Kevin Na",94,61.21,71,116,"ScramblingfromtheSand",2014
22,22,"Chad Collins",78,61.11,66,108,"ScramblingfromtheSand",2014
23,23,"Tim Clark",75,60.87,56,92,"ScramblingfromtheSand",2014
24,24,"Martin Kaymer",65,60.71,34,56,"ScramblingfromtheSand",2014
25,25,"Josh Teater",90,60.64,57,94,"ScramblingfromtheSand",2014
26,26,"Greg Chalmers",85,59.7,80,134,"ScramblingfromtheSand",2014
27,27,"Bill Haas",107,59.62,62,104,"ScramblingfromtheSand",2014
28,28,"John Huh",87,59.57,56,94,"ScramblingfromtheSand",2014
29,29,"Ted Potter Jr",68,59.3,51,86,"ScramblingfromtheSand",2014
30,30,"Sean OHair",77,59.29,67,113,"ScramblingfromtheSand",2014
31,31,"Charl Schwartzel",64,59.21,45,76,"ScramblingfromtheSand",2014
32,32,"Jonas Blixt",64,59.09,39,66,"ScramblingfromtheSand",2014
33,33,"Scott Langley",95,58.88,63,107,"ScramblingfromtheSand",2014
34,34,"Spencer Levin",59,58.67,44,75,"ScramblingfromtheSand",2014
35,35,"DA Points",75,58.33,42,72,"ScramblingfromtheSand",2014
36,36,"Jim Furyk",84,57.97,40,69,"ScramblingfromtheSand",2014
37,37,"James Driscoll",71,57.94,62,107,"ScramblingfromtheSand",2014
38,38,"Chris Stroud",88,57.89,55,95,"ScramblingfromtheSand",2014
39,39,"Graeme McDowell",66,57.81,37,64,"ScramblingfromtheSand",2014
40,40,"Retief Goosen",94,57.78,52,90,"ScramblingfromtheSand",2014
41,41,"Marc Leishman",81,57.69,60,104,"ScramblingfromtheSand",2014
42,42,"Billy Hurley III",86,57.65,49,85,"ScramblingfromtheSand",2014
43,43,"Brian Davis",93,57.53,84,146,"ScramblingfromtheSand",2014
44,44,"Briny Baird",50,57.35,39,68,"ScramblingfromtheSand",2014
45,45,"Ken Duke",80,57.32,47,82,"ScramblingfromtheSand",2014
46,46,"Aaron Baddeley",74,57.14,48,84,"ScramblingfromtheSand",2014
47,47,"Brian Harman",111,57.02,65,114,"ScramblingfromtheSand",2014
48,48,"Paul Casey",56,56.9,33,58,"ScramblingfromtheSand",2014
49,49,"KJ Choi",80,56.76,63,111,"ScramblingfromtheSand",2014
50,50,"Russell Knox",92,56.7,55,97,"ScramblingfromtheSand",2014
50,50,"Andres Romero",81,56.7,55,97,"ScramblingfromtheSand",2014
52,52,"Luke Donald",57,56.25,36,64,"ScramblingfromtheSand",2014
52,52,"Brooks Koepka",56,56.25,27,48,"ScramblingfromtheSand",2014
54,54,"Rickie Fowler",91,56.16,41,73,"ScramblingfromtheSand",2014
55,55,"DH Lee",54,55.91,52,93,"ScramblingfromtheSand",2014
56,56,"Morgan Hoffmann",103,55.26,63,114,"ScramblingfromtheSand",2014
57,57,"Jordan Spieth",102,55.2,69,125,"ScramblingfromtheSand",2014
58,58,"Bud Cauley",56,55.1,27,49,"ScramblingfromtheSand",2014
58,58,"Bryce Molder",77,55.1,54,98,"ScramblingfromtheSand",2014
60,60,"Luke Guthrie",85,55,55,100,"ScramblingfromtheSand",2014
60,60,"Zach Johnson",97,55,55,100,"ScramblingfromtheSand",2014
60,60,"Geoff Ogilvy",84,55,55,100,"ScramblingfromtheSand",2014
63,63,"Charles Howell III",106,54.9,56,102,"ScramblingfromtheSand",2014
64,64,"Harris English",95,54.88,45,82,"ScramblingfromtheSand",2014
65,65,"Tyrone Van Aswegen",79,54.44,49,90,"ScramblingfromtheSand",2014
66,66,"Chad Campbell",57,54.35,25,46,"ScramblingfromtheSand",2014
67,67,"Ben Crane",81,54.31,63,116,"ScramblingfromtheSand",2014
68,68,"Hunter Mahan",88,53.98,61,113,"ScramblingfromtheSand",2014
69,69,"Hideki Matsuyama",82,53.93,48,89,"ScramblingfromtheSand",2014
70,70,"Jeff Maggert",54,53.85,35,65,"ScramblingfromtheSand",2014
71,71,"Brian Stuard",91,53.77,57,106,"ScramblingfromtheSand",2014
72,72,"Webb Simpson",87,53.76,50,93,"ScramblingfromtheSand",2014
73,73,"Graham DeLaet",80,53.73,36,67,"ScramblingfromtheSand",2014
73,73,"Bronson La Cassie",51,53.73,36,67,"ScramblingfromtheSand",2014
75,75,"Jason Dufner",57,53.7,29,54,"ScramblingfromtheSand",2014
76,76,"Ben Martin",80,53.49,46,86,"ScramblingfromtheSand",2014
77,77,"Brandt Snedeker",89,53.41,47,88,"ScramblingfromtheSand",2014
77,77,"Brendan Steele",89,53.41,47,88,"ScramblingfromtheSand",2014
79,79,"Tim Wilkinson",86,53.39,63,118,"ScramblingfromtheSand",2014
80,80,"Billy Horschel",92,53.33,40,75,"ScramblingfromtheSand",2014
81,81,"Ryan Moore",86,53.09,43,81,"ScramblingfromtheSand",2014
82,82,"Cameron Tringale",111,52.99,71,134,"ScramblingfromtheSand",2014
