"ReverseBounceBack_RANKTHISWEEK_2010","ReverseBounceBack_RANKLASTWEEK_2010","ReverseBounceBack_PLAYERNAME_2010","ReverseBounceBack_ROUNDS_2010","ReverseBounceBack_PctUNDERTHENOVERPAR_2010","ReverseBounceBack_TOTALUNDERTHENOVERPAR_2010","ReverseBounceBack_UNDERPAR_2010","stat_name","year"
1,1,"Kenny Perry",69,9.22,20,217,"ReverseBounceBack",2010
2,2,"Joe Durant",67,9.96,23,231,"ReverseBounceBack",2010
3,3,"Heath Slocum",97,10.06,33,328,"ReverseBounceBack",2010
4,4,"Charlie Wi",95,10.74,35,326,"ReverseBounceBack",2010
5,5,"Greg Chalmers",93,10.87,35,322,"ReverseBounceBack",2010
6,6,"Omar Uresti",74,10.9,23,211,"ReverseBounceBack",2010
7,7,"Scott McCarron",90,11.26,33,293,"ReverseBounceBack",2010
8,8,"Chad Campbell",95,11.6,37,319,"ReverseBounceBack",2010
9,9,"Steve Elkington",74,11.65,29,249,"ReverseBounceBack",2010
10,10,"Stephen Ames",75,11.69,29,248,"ReverseBounceBack",2010
11,11,"Rickie Fowler",98,11.78,41,348,"ReverseBounceBack",2010
12,12,"Luke Donald",71,11.79,27,229,"ReverseBounceBack",2010
13,13,"John Senden",103,12.03,42,349,"ReverseBounceBack",2010
14,14,"Shaun Micheel",70,12.17,28,230,"ReverseBounceBack",2010
15,15,"Alex Prugh",88,12.54,40,319,"ReverseBounceBack",2010
16,16,"Tim Clark",88,12.59,36,286,"ReverseBounceBack",2010
17,17,"Retief Goosen",75,12.6,32,254,"ReverseBounceBack",2010
18,18,"Chris DiMarco",88,12.63,36,285,"ReverseBounceBack",2010
19,19,"Steve Stricker",73,12.69,34,268,"ReverseBounceBack",2010
20,20,"Tim Petrovic",105,12.72,44,346,"ReverseBounceBack",2010
21,21,"Lucas Glover",75,12.96,35,270,"ReverseBounceBack",2010
22,22,"Brian Gay",101,13,42,323,"ReverseBounceBack",2010
23,23,"Skip Kendall",58,13.04,24,184,"ReverseBounceBack",2010
24,24,"Richard Johnson",90,13.07,37,283,"ReverseBounceBack",2010
25,25,"Brandt Snedeker",89,13.21,44,333,"ReverseBounceBack",2010
26,26,"Kevin Sutherland",86,13.22,39,295,"ReverseBounceBack",2010
27,27,"Boo Weekley",88,13.26,37,279,"ReverseBounceBack",2010
28,28,"Rocco Mediate",71,13.3,29,218,"ReverseBounceBack",2010
29,29,"Hunter Mahan",85,13.31,39,293,"ReverseBounceBack",2010
30,30,"Michael Connell",89,13.36,41,307,"ReverseBounceBack",2010
31,31,"Ricky Barnes",103,13.41,48,358,"ReverseBounceBack",2010
32,32,"Steve Marino",81,13.42,40,298,"ReverseBounceBack",2010
33,33,"Matt Kuchar",97,13.59,50,368,"ReverseBounceBack",2010
34,34,"Jeff Maggert",76,13.6,34,250,"ReverseBounceBack",2010
35,35,"Chad Collins",87,13.61,40,294,"ReverseBounceBack",2010
36,36,"Michael Sim",64,13.62,29,213,"ReverseBounceBack",2010
37,37,"Paul Stankowski",62,13.69,33,241,"ReverseBounceBack",2010
38,38,"Vaughn Taylor",87,13.78,43,312,"ReverseBounceBack",2010
39,39,"Chris Riley",73,13.81,33,239,"ReverseBounceBack",2010
40,40,"YE Yang",72,13.93,34,244,"ReverseBounceBack",2010
41,41,"Pat Perez",90,13.95,47,337,"ReverseBounceBack",2010
42,42,"Steve Wheatcroft",74,14.11,35,248,"ReverseBounceBack",2010
43,43,"James Driscoll",78,14.18,38,268,"ReverseBounceBack",2010
43,43,"Spencer Levin",110,14.18,56,395,"ReverseBounceBack",2010
45,45,"Johnson Wagner",85,14.19,42,296,"ReverseBounceBack",2010
46,46,"John Mallinger",78,14.34,37,258,"ReverseBounceBack",2010
47,47,"Aaron Baddeley",94,14.37,50,348,"ReverseBounceBack",2010
48,48,"Padraig Harrington",57,14.44,26,180,"ReverseBounceBack",2010
49,49,"Jeev Milkha Singh",59,14.45,25,173,"ReverseBounceBack",2010
50,50,"Alex Cejka",81,14.62,38,260,"ReverseBounceBack",2010
51,51,"Ryan Moore",80,14.64,41,280,"ReverseBounceBack",2010
52,52,"JB Holmes",100,14.67,54,368,"ReverseBounceBack",2010
53,53,"Brian Davis",101,14.69,47,320,"ReverseBounceBack",2010
54,54,"Freddie Jacobson",83,14.74,42,285,"ReverseBounceBack",2010
55,55,"Ben Crane",85,14.75,45,305,"ReverseBounceBack",2010
55,55,"Dean Wilson",54,14.75,27,183,"ReverseBounceBack",2010
57,57,"Charley Hoffman",85,14.77,48,325,"ReverseBounceBack",2010
57,57,"Charles Howell III",103,14.77,52,352,"ReverseBounceBack",2010
57,57,"Jeff Overton",89,14.77,48,325,"ReverseBounceBack",2010
60,60,"Kris Blanks",91,14.78,43,291,"ReverseBounceBack",2010
60,60,"Martin Laird",91,14.78,47,318,"ReverseBounceBack",2010
62,62,"Bill Haas",87,14.79,46,311,"ReverseBounceBack",2010
63,63,"Charles Warren",64,14.83,35,236,"ReverseBounceBack",2010
64,64,"Greg Owen",69,14.86,33,222,"ReverseBounceBack",2010
65,65,"Carl Pettersson",99,14.87,51,343,"ReverseBounceBack",2010
66,66,"Tim Herron",79,14.9,38,255,"ReverseBounceBack",2010
67,67,"Phil Mickelson",76,14.92,44,295,"ReverseBounceBack",2010
68,68,"Brett Wetterich",54,14.97,28,187,"ReverseBounceBack",2010
69,69,"Nick Watney",91,14.99,52,347,"ReverseBounceBack",2010
70,70,"Matt Jones",89,15,48,320,"ReverseBounceBack",2010
71,71,"Bob Estes",79,15.02,38,253,"ReverseBounceBack",2010
72,72,"KJ Choi",82,15.03,43,286,"ReverseBounceBack",2010
73,73,"Paul Casey",64,15.07,33,219,"ReverseBounceBack",2010
74,74,"Brenden Pappas",66,15.09,32,212,"ReverseBounceBack",2010
75,75,"Brian Stuard",81,15.15,40,264,"ReverseBounceBack",2010
76,76,"Graham DeLaet",88,15.17,49,323,"ReverseBounceBack",2010
77,77,"Geoff Ogilvy",62,15.18,34,224,"ReverseBounceBack",2010
78,78,"Briny Baird",87,15.27,42,275,"ReverseBounceBack",2010
79,79,"Justin Rose",78,15.28,44,288,"ReverseBounceBack",2010
80,80,"Garrett Willis",82,15.33,44,287,"ReverseBounceBack",2010
81,81,"Mike Weir",59,15.34,27,176,"ReverseBounceBack",2010
82,82,"Ben Curtis",78,15.35,35,228,"ReverseBounceBack",2010
83,83,"Bo Van Pelt",104,15.36,59,384,"ReverseBounceBack",2010
84,84,"Brendon de Jonge",114,15.42,64,415,"ReverseBounceBack",2010
85,85,"Kevin Streelman",90,15.54,53,341,"ReverseBounceBack",2010
86,86,"Tom Pernice Jr",74,15.57,38,244,"ReverseBounceBack",2010
87,87,"DJ Trahan",92,15.61,54,346,"ReverseBounceBack",2010
88,88,"Blake Adams",84,15.66,44,281,"ReverseBounceBack",2010
89,89,"Jonathan Byrd",85,15.67,47,300,"ReverseBounceBack",2010
89,89,"DA Points",90,15.67,47,300,"ReverseBounceBack",2010
91,91,"Robert Allenby",76,15.69,43,274,"ReverseBounceBack",2010
92,92,"John Rollins",81,15.7,46,293,"ReverseBounceBack",2010
93,93,"Jerry Kelly",99,15.71,52,331,"ReverseBounceBack",2010
94,94,"Henrik Bjornstad",72,15.87,40,252,"ReverseBounceBack",2010
94,94,"Scott Piercy",88,15.87,53,334,"ReverseBounceBack",2010
96,96,"Ryuji Imada",90,15.89,48,302,"ReverseBounceBack",2010
96,96,"Lee Janzen",77,15.89,41,258,"ReverseBounceBack",2010
98,98,"Brett Quigley",96,16.05,52,324,"ReverseBounceBack",2010
99,99,"Derek Lamely",81,16.12,44,273,"ReverseBounceBack",2010
100,100,"Matt Every",60,16.16,37,229,"ReverseBounceBack",2010
101,101,"Davis Love III",79,16.19,45,278,"ReverseBounceBack",2010
102,102,"Josh Teater",101,16.22,55,339,"ReverseBounceBack",2010
103,103,"Brent Delahoussaye",57,16.25,26,160,"ReverseBounceBack",2010
104,104,"Kevin Na",94,16.27,54,332,"ReverseBounceBack",2010
105,105,"Tom Gillis",97,16.28,63,387,"ReverseBounceBack",2010
106,106,"James Nitties",92,16.3,52,319,"ReverseBounceBack",2010
107,107,"JJ Henry",92,16.33,48,294,"ReverseBounceBack",2010
107,107,"Jay Williamson",76,16.33,41,251,"ReverseBounceBack",2010
109,109,"Woody Austin",93,16.35,51,312,"ReverseBounceBack",2010
110,110,"Mark Wilson",87,16.37,46,281,"ReverseBounceBack",2010
111,111,"Mathew Goggin",85,16.41,43,262,"ReverseBounceBack",2010
112,112,"Andrew McLardy",52,16.45,25,152,"ReverseBounceBack",2010
113,113,"Troy Matteson",84,16.48,44,267,"ReverseBounceBack",2010
114,114,"John Merrick",109,16.53,61,369,"ReverseBounceBack",2010
115,115,"Jason Dufner",87,16.55,47,284,"ReverseBounceBack",2010
116,116,"Justin Bolli",55,16.56,25,151,"ReverseBounceBack",2010
117,117,"Webb Simpson",98,16.57,58,350,"ReverseBounceBack",2010
118,118,"Jeff Quinney",91,16.62,55,331,"ReverseBounceBack",2010
119,119,"Rich Barcelo",70,16.67,36,216,"ReverseBounceBack",2010
119,119,"Cameron Beckman",68,16.67,36,216,"ReverseBounceBack",2010
119,119,"Rory Sabbatini",79,16.67,48,288,"ReverseBounceBack",2010
122,122,"Roland Thatcher",72,16.74,37,221,"ReverseBounceBack",2010
123,123,"Jerod Turner",54,16.77,27,161,"ReverseBounceBack",2010
124,124,"Michael Bradley",77,16.8,42,250,"ReverseBounceBack",2010
125,125,"Jason Day",82,16.84,48,285,"ReverseBounceBack",2010
126,126,"Craig Bowden",56,16.88,26,154,"ReverseBounceBack",2010
126,126,"Dustin Johnson",83,16.88,53,314,"ReverseBounceBack",2010
