"FirstTeeEarlyLowestRound_RANKTHISWEEK_2016","FirstTeeEarlyLowestRound_RANKLASTWEEK_2016","FirstTeeEarlyLowestRound_PLAYERNAME_2016","FirstTeeEarlyLowestRound_ROUNDS_2016","FirstTeeEarlyLowestRound_LOWRND_2016","stat_name","year"
1,1,"William McGirt",54,62,"FirstTeeEarlyLowestRound",2016
1,1,"Scott Piercy",45,62,"FirstTeeEarlyLowestRound",2016
1,1,"Danny Willett",19,62,"FirstTeeEarlyLowestRound",2016
4,4,"Ricky Barnes",57,63,"FirstTeeEarlyLowestRound",2016
4,4,"Brian Harman",60,63,"FirstTeeEarlyLowestRound",2016
4,4,"Andrew Loupe",50,63,"FirstTeeEarlyLowestRound",2016
4,4,"Chez Reavie",56,63,"FirstTeeEarlyLowestRound",2016
4,4,"Jordan Spieth",34,63,"FirstTeeEarlyLowestRound",2016
9,9,"Jason Bohn",37,64,"FirstTeeEarlyLowestRound",2016
9,9,"Steven Bowditch",40,64,"FirstTeeEarlyLowestRound",2016
9,9,"Stewart Cink",45,64,"FirstTeeEarlyLowestRound",2016
9,9,"Mark Hubbard",73,64,"FirstTeeEarlyLowestRound",2016
9,9,"Si Woo Kim",63,64,"FirstTeeEarlyLowestRound",2016
9,9,"Anirban Lahiri",44,64,"FirstTeeEarlyLowestRound",2016
9,9,"Spencer Levin",62,64,"FirstTeeEarlyLowestRound",2016
9,9,"David Lingmerth",54,64,"FirstTeeEarlyLowestRound",2016
9,9,"Kevin Na",52,64,"FirstTeeEarlyLowestRound",2016
9,9,"Jeff Overton",51,64,"FirstTeeEarlyLowestRound",2016
9,9,"Greg Owen",56,64,"FirstTeeEarlyLowestRound",2016
9,9,"Brian Stuard",24,64,"FirstTeeEarlyLowestRound",2016
9,9,"Jimmy Walker",43,64,"FirstTeeEarlyLowestRound",2016
22,22,"Byeong Hun An",23,65,"FirstTeeEarlyLowestRound",2016
22,22,"Kevin Chappell",49,65,"FirstTeeEarlyLowestRound",2016
22,22,"Tim Clark",19,65,"FirstTeeEarlyLowestRound",2016
22,22,"Jason Day",36,65,"FirstTeeEarlyLowestRound",2016
22,22,"Graham DeLaet",50,65,"FirstTeeEarlyLowestRound",2016
22,22,"Jason Dufner",53,65,"FirstTeeEarlyLowestRound",2016
22,22,"Ken Duke",26,65,"FirstTeeEarlyLowestRound",2016
22,22,"Derek Fathauer",58,65,"FirstTeeEarlyLowestRound",2016
22,22,"Fabian Gomez",49,65,"FirstTeeEarlyLowestRound",2016
22,22,"Retief Goosen",37,65,"FirstTeeEarlyLowestRound",2016
22,63,"Jason Gore",51,65,"FirstTeeEarlyLowestRound",2016
22,22,"Emiliano Grillo",47,65,"FirstTeeEarlyLowestRound",2016
22,22,"Luke Guthrie",31,65,"FirstTeeEarlyLowestRound",2016
22,22,"James Hahn",45,65,"FirstTeeEarlyLowestRound",2016
22,22,"David Hearn",55,65,"FirstTeeEarlyLowestRound",2016
22,22,"Russell Henley",42,65,"FirstTeeEarlyLowestRound",2016
22,22,"Ryo Ishikawa",17,65,"FirstTeeEarlyLowestRound",2016
22,22,"Jerry Kelly",44,65,"FirstTeeEarlyLowestRound",2016
22,22,"Michael Kim",62,65,"FirstTeeEarlyLowestRound",2016
22,22,"Chris Kirk",51,65,"FirstTeeEarlyLowestRound",2016
22,22,"Kevin Kisner",49,65,"FirstTeeEarlyLowestRound",2016
22,22,"DH Lee",35,65,"FirstTeeEarlyLowestRound",2016
22,22,"Marc Leishman",41,65,"FirstTeeEarlyLowestRound",2016
22,22,"Justin Leonard",28,65,"FirstTeeEarlyLowestRound",2016
22,22,"Jamie Lovemark",57,65,"FirstTeeEarlyLowestRound",2016
22,22,"Rory McIlroy",37,65,"FirstTeeEarlyLowestRound",2016
22,22,"Phil Mickelson",37,65,"FirstTeeEarlyLowestRound",2016
22,22,"Francesco Molinari",36,65,"FirstTeeEarlyLowestRound",2016
22,22,"Sean OHair",45,65,"FirstTeeEarlyLowestRound",2016
