"StrokesGainedTeetoGreen_RANKTHISWEEK_2015","StrokesGainedTeetoGreen_RANKLASTWEEK_2015","StrokesGainedTeetoGreen_PLAYERNAME_2015","StrokesGainedTeetoGreen_ROUNDS_2015","StrokesGainedTeetoGreen_AVERAGE_2015","StrokesGainedTeetoGreen_TOTALSGOTT_2015","StrokesGainedTeetoGreen_SGAPR_2015","StrokesGainedTeetoGreen_TOTALSGARG_2015","StrokesGainedTeetoGreen_MEASUREDROUNDS_2015","stat_name","year"
133,133,"Robert Garrigus",70,-0.189,0.34,-0.31,-0.21,55,"StrokesGainedTeetoGreen",2015
134,134,"John Huh",102,-0.191,-0.04,-0.12,-0.03,89,"StrokesGainedTeetoGreen",2015
135,135,"Sangmoon Bae",98,-0.201,0.25,-0.27,-0.17,88,"StrokesGainedTeetoGreen",2015
136,136,"Robert Allenby",63,-0.215,-0.26,0.26,-0.21,51,"StrokesGainedTeetoGreen",2015
137,137,"Nicholas Thompson",90,-0.219,0.37,-0.13,-0.45,70,"StrokesGainedTeetoGreen",2015
138,138,"Seung Yul Noh",65,-0.22,-0.55,0.14,0.18,54,"StrokesGainedTeetoGreen",2015
139,139,"Padraig Harrington",60,-0.263,-0.43,-0.16,0.33,49,"StrokesGainedTeetoGreen",2015
140,140,"Hunter Mahan",88,-0.27,-0.02,-0.24,NA,65,"StrokesGainedTeetoGreen",2015
141,141,"Byron Smith",59,-0.276,-0.08,-0.14,-0.04,43,"StrokesGainedTeetoGreen",2015
142,142,"Mark Hubbard",79,-0.281,-0.06,-0.35,0.12,61,"StrokesGainedTeetoGreen",2015
143,143,"Blayne Barber",76,-0.297,0.2,-0.35,-0.15,63,"StrokesGainedTeetoGreen",2015
144,144,"Bryce Molder",91,-0.319,-0.29,-0.18,0.15,77,"StrokesGainedTeetoGreen",2015
145,145,"Michael Thompson",83,-0.349,-0.08,-0.3,0.04,75,"StrokesGainedTeetoGreen",2015
146,146,"Jhonattan Vegas",90,-0.353,0.17,-0.31,-0.21,72,"StrokesGainedTeetoGreen",2015
147,147,"Zac Blair",108,-0.356,-0.29,-0.18,0.13,88,"StrokesGainedTeetoGreen",2015
147,147,"Brian Stuard",97,-0.356,-0.1,-0.2,-0.05,79,"StrokesGainedTeetoGreen",2015
149,149,"Sam Saunders",83,-0.36,0.3,-0.29,-0.37,63,"StrokesGainedTeetoGreen",2015
150,150,"Retief Goosen",81,-0.365,-0.27,-0.05,-0.03,60,"StrokesGainedTeetoGreen",2015
151,151,"Bo Van Pelt",81,-0.368,-0.29,0.05,-0.12,65,"StrokesGainedTeetoGreen",2015
152,152,"Steve Wheatcroft",87,-0.383,0.14,-0.45,-0.08,72,"StrokesGainedTeetoGreen",2015
153,153,"Erik Compton",86,-0.385,-0.21,-0.21,0.04,70,"StrokesGainedTeetoGreen",2015
154,154,"Fabian Gomez",83,-0.386,-0.21,-0.05,-0.11,69,"StrokesGainedTeetoGreen",2015
155,155,"DA Points",72,-0.396,-0.82,0.22,0.19,58,"StrokesGainedTeetoGreen",2015
156,156,"Billy Hurley III",83,-0.423,-0.63,0.11,0.09,63,"StrokesGainedTeetoGreen",2015
157,157,"Scott Pinckney",88,-0.426,0.12,-0.4,-0.14,74,"StrokesGainedTeetoGreen",2015
158,158,"Tyrone Van Aswegen",58,-0.428,-1.08,0.47,0.18,42,"StrokesGainedTeetoGreen",2015
159,159,"Brice Garnett",81,-0.443,-0.19,-0.32,0.08,64,"StrokesGainedTeetoGreen",2015
160,160,"Jim Renner",68,-0.454,-0.5,0.08,-0.03,56,"StrokesGainedTeetoGreen",2015
161,161,"Derek Fathauer",81,-0.474,-0.45,-0.19,0.17,66,"StrokesGainedTeetoGreen",2015
162,162,"Nick Taylor",91,-0.489,-0.08,-0.22,-0.18,83,"StrokesGainedTeetoGreen",2015
163,163,"Chesson Hadley",101,-0.525,-0.08,-0.21,-0.22,89,"StrokesGainedTeetoGreen",2015
164,164,"Justin Leonard",61,-0.544,-0.48,-0.22,0.16,54,"StrokesGainedTeetoGreen",2015
165,165,"Ricky Barnes",82,-0.555,-0.81,-0.07,0.33,63,"StrokesGainedTeetoGreen",2015
166,166,"Jonas Blixt",78,-0.562,-0.11,-0.65,0.2,52,"StrokesGainedTeetoGreen",2015
167,167,"Andres Romero",69,-0.563,-0.26,-0.22,-0.07,54,"StrokesGainedTeetoGreen",2015
