"ScramblingFringeRTPScore_RANKTHISWEEK_2016","ScramblingFringeRTPScore_RANKLASTWEEK_2016","ScramblingFringeRTPScore_PLAYERNAME_2016","ScramblingFringeRTPScore_ROUNDS_2016","ScramblingFringeRTPScore_AVGRTP_2016","ScramblingFringeRTPScore_TOTALHOLES_2016","ScramblingFringeRTPScore_TOTALRTP_2016","stat_name","year"
179,176,"Hudson Swafford",52,0.121,33,4,"ScramblingFringeRTPScore",2016
181,173,"Bronson Burgoon",53,0.128,47,6,"ScramblingFringeRTPScore",2016
182,184,"Gary Woodland",45,0.129,31,4,"ScramblingFringeRTPScore",2016
183,184,"Sam Saunders",40,0.132,38,5,"ScramblingFringeRTPScore",2016
184,196,"David Lingmerth",54,0.135,37,5,"ScramblingFringeRTPScore",2016
185,183,"Abraham Ancer",26,0.136,22,3,"ScramblingFringeRTPScore",2016
186,193,"Rob Oppenheim",37,0.138,29,4,"ScramblingFringeRTPScore",2016
187,184,"Jim Herman",55,0.14,43,6,"ScramblingFringeRTPScore",2016
188,184,"Thomas Aiken",42,0.143,28,4,"ScramblingFringeRTPScore",2016
188,184,"Branden Grace",31,0.143,14,2,"ScramblingFringeRTPScore",2016
188,195,"DA Points",32,0.143,21,3,"ScramblingFringeRTPScore",2016
188,51,"Ollie Schniederjans",23,0.143,7,1,"ScramblingFringeRTPScore",2016
188,194,"Henrik Stenson",30,0.143,14,2,"ScramblingFringeRTPScore",2016
188,181,"Jhonattan Vegas",49,0.143,42,6,"ScramblingFringeRTPScore",2016
194,181,"Scott Langley",41,0.154,39,6,"ScramblingFringeRTPScore",2016
195,196,"Charlie Beljan",26,0.161,31,5,"ScramblingFringeRTPScore",2016
196,198,"Byeong Hun An",23,0.167,6,1,"ScramblingFringeRTPScore",2016
196,201,"Will Ma Kenzie",54,0.167,42,7,"ScramblingFringeRTPScore",2016
196,208,"Hideki Matsuyama",40,0.167,18,3,"ScramblingFringeRTPScore",2016
199,202,"Rory Sabbatini",40,0.179,39,7,"ScramblingFringeRTPScore",2016
200,200,"Dawie van der Walt",48,0.18,50,9,"ScramblingFringeRTPScore",2016
201,204,"Henrik Norlander",41,0.182,44,8,"ScramblingFringeRTPScore",2016
202,198,"Carlos Ortiz",47,0.192,26,5,"ScramblingFringeRTPScore",2016
203,184,"Adam Hadwin",53,0.194,31,6,"ScramblingFringeRTPScore",2016
204,205,"Scott Stallings",46,0.2,40,8,"ScramblingFringeRTPScore",2016
205,207,"Chad Campbell",54,0.211,38,8,"ScramblingFringeRTPScore",2016
206,203,"Robert Allenby",35,0.222,27,6,"ScramblingFringeRTPScore",2016
206,205,"Louis Oosthuizen",25,0.222,9,2,"ScramblingFringeRTPScore",2016
