"ProximitytoHolefromSand_RANKTHISWEEK_2005","ProximitytoHolefromSand_RANKLASTWEEK_2005","ProximitytoHolefromSand_PLAYERNAME_2005","ProximitytoHolefromSand_ROUNDS_2005","ProximitytoHolefromSand_AVGDTP_2005","ProximitytoHolefromSand_TOTALDISTANCEFEET_2005","ProximitytoHolefromSand_OFSHOTS_2005","ProximitytoHolefromSand_SCRAMBLINGRANK_2005","stat_name","year"
1,1,"Luke Donald",67,NA,409.25,56,42,"ProximitytoHolefromSand",2005
2,2,"Jose Maria Olazabal",55,NA,408.333,55,5,"ProximitytoHolefromSand",2005
3,3,"Shigeki Maruyama",99,NA,925.5,124,29,"ProximitytoHolefromSand",2005
4,4,"Pat Perez",89,NA,843.167,111,12,"ProximitytoHolefromSand",2005
4,4,"Brett Quigley",96,NA,1048.167,138,28,"ProximitytoHolefromSand",2005
4,4,"Justin Rose",99,NA,990.833,131,18,"ProximitytoHolefromSand",2005
7,7,"Jeff Sluman",94,NA,1063.917,136,44,"ProximitytoHolefromSand",2005
8,8,"Marco Dawson",82,NA,901.25,112,60,"ProximitytoHolefromSand",2005
8,8,"Rory Sabbatini",81,NA,636.75,79,108,"ProximitytoHolefromSand",2005
10,10,"Brian Davis",75,NA,683.5,84,17,"ProximitytoHolefromSand",2005
10,10,"Chris Riley",67,NA,537.5,66,83,"ProximitytoHolefromSand",2005
10,10,"Charlie Wi",67,NA,788.417,97,36,"ProximitytoHolefromSand",2005
13,13,"Bob Estes",92,NA,930.25,113,23,"ProximitytoHolefromSand",2005
14,14,"Doug Barron",70,NA,705.667,85,52,"ProximitytoHolefromSand",2005
14,14,"Mark Brooks",72,NA,770.25,92,79,"ProximitytoHolefromSand",2005
14,14,"Tim Clark",92,NA,743.667,89,86,"ProximitytoHolefromSand",2005
14,14,"Richard Johnson",50,NA,358.833,43,21,"ProximitytoHolefromSand",2005
14,14,"Mark Wilson",74,NA,800.667,96,36,"ProximitytoHolefromSand",2005
19,19,"Fred Funk",102,NA,1042.667,124,11,"ProximitytoHolefromSand",2005
19,19,"Geoff Ogilvy",97,NA,1039.083,123,92,"ProximitytoHolefromSand",2005
19,19,"Tiger Woods",76,NA,657.417,78,14,"ProximitytoHolefromSand",2005
22,22,"Steve Flesch",90,NA,815,96,159,"ProximitytoHolefromSand",2005
22,22,"Sergio Garcia",73,NA,622.167,73,56,"ProximitytoHolefromSand",2005
22,22,"Tim Herron",100,NA,962.667,113,20,"ProximitytoHolefromSand",2005
25,25,"Jay Haas",54,NA,497.5,58,116,"ProximitytoHolefromSand",2005
25,25,"Franklin Langham",91,NA,907.833,106,125,"ProximitytoHolefromSand",2005
27,27,"Jim Furyk",94,NA,863,100,3,"ProximitytoHolefromSand",2005
27,27,"JP Hayes",63,NA,647.417,75,55,"ProximitytoHolefromSand",2005
27,27,"Joe Ogilvie",103,NA,1164.667,135,77,"ProximitytoHolefromSand",2005
27,27,"Tom Pernice Jr",111,NA,1066.333,123,8,"ProximitytoHolefromSand",2005
27,27,"Kevin Sutherland",89,NA,854.833,99,6,"ProximitytoHolefromSand",2005
32,32,"John Daly",78,NA,652.25,74,192,"ProximitytoHolefromSand",2005
32,32,"Ryuji Imada",78,NA,873.833,99,32,"ProximitytoHolefromSand",2005
32,32,"Carl Pettersson",109,NA,1117.417,126,25,"ProximitytoHolefromSand",2005
32,32,"Steve Stricker",62,NA,797.083,90,16,"ProximitytoHolefromSand",2005
36,36,"Rich Beem",66,NA,644.667,72,189,"ProximitytoHolefromSand",2005
36,36,"Chris DiMarco",83,NA,711.75,80,27,"ProximitytoHolefromSand",2005
36,36,"Corey Pavin",77,NA,827.167,93,4,"ProximitytoHolefromSand",2005
36,36,"Phillip Price",77,NA,881.25,99,22,"ProximitytoHolefromSand",2005
36,36,"Vijay Singh",111,NA,1104.583,124,2,"ProximitytoHolefromSand",2005
41,41,"Steve Allan",102,NA,1134.5,126,117,"ProximitytoHolefromSand",2005
41,41,"Stewart Cink",98,NA,842.833,94,53,"ProximitytoHolefromSand",2005
