"PuttingInside10_RANKTHISWEEK_2010","PuttingInside10_RANKLASTWEEK_2010","PuttingInside10_PLAYERNAME_2010","PuttingInside10_ROUNDS_2010","PuttingInside10_PctMADE_2010","PuttingInside10_ATTEMPTS_2010","PuttingInside10_PUTTSMADE_2010","stat_name","year"
1,1,"Paul Casey",64,90.67,772,700,"PuttingInside10",2010
2,2,"Retief Goosen",75,90.14,943,850,"PuttingInside10",2010
3,3,"Luke Donald",71,89.88,939,844,"PuttingInside10",2010
4,4,"Charles Howell III",103,89.85,1625,1460,"PuttingInside10",2010
5,5,"Brian Gay",101,89.83,1465,1316,"PuttingInside10",2010
6,6,"Greg Chalmers",93,89.52,1555,1392,"PuttingInside10",2010
7,7,"Jim Furyk",76,89.43,1079,965,"PuttingInside10",2010
8,8,"Michael Sim",64,89.41,963,861,"PuttingInside10",2010
9,9,"Zach Johnson",93,89.36,1335,1193,"PuttingInside10",2010
10,10,"Scott McCarron",90,89.24,1505,1343,"PuttingInside10",2010
11,11,"Steve Elkington",74,89.13,1076,959,"PuttingInside10",2010
12,12,"Carl Pettersson",99,89.11,1479,1318,"PuttingInside10",2010
13,13,"Dean Wilson",54,89.1,844,752,"PuttingInside10",2010
14,14,"Matt Jones",89,89.09,1457,1298,"PuttingInside10",2010
15,15,"Skip Kendall",58,89.04,885,788,"PuttingInside10",2010
16,16,"Pat Perez",90,89.02,1503,1338,"PuttingInside10",2010
17,17,"Chad Collins",87,88.99,1344,1196,"PuttingInside10",2010
18,18,"Chris Riley",73,88.91,1145,1018,"PuttingInside10",2010
19,19,"Paul Stankowski",62,88.74,968,859,"PuttingInside10",2010
20,20,"Blake Adams",84,88.73,1357,1204,"PuttingInside10",2010
21,21,"Matt Kuchar",97,88.69,1353,1200,"PuttingInside10",2010
22,22,"Ernie Els",72,88.67,997,884,"PuttingInside10",2010
23,23,"Richard Johnson",90,88.6,1324,1173,"PuttingInside10",2010
24,24,"Brett Quigley",96,88.59,1630,1444,"PuttingInside10",2010
25,25,"Steve Stricker",73,88.52,1002,887,"PuttingInside10",2010
26,26,"Alex Prugh",88,88.51,1479,1309,"PuttingInside10",2010
27,27,"Webb Simpson",98,88.47,1665,1473,"PuttingInside10",2010
28,28,"James Driscoll",78,88.45,1359,1202,"PuttingInside10",2010
29,29,"Nathan Green",86,88.43,1478,1307,"PuttingInside10",2010
30,30,"Ian Poulter",55,88.38,628,555,"PuttingInside10",2010
31,31,"Ryan Moore",80,88.35,1116,986,"PuttingInside10",2010
32,32,"Shaun Micheel",70,88.33,960,848,"PuttingInside10",2010
33,33,"Briny Baird",87,88.3,1462,1291,"PuttingInside10",2010
34,34,"JJ Henry",92,88.28,1467,1295,"PuttingInside10",2010
34,34,"Ryuji Imada",90,88.28,1536,1356,"PuttingInside10",2010
34,34,"Geoff Ogilvy",62,88.28,896,791,"PuttingInside10",2010
37,37,"Trevor Immelman",55,88.26,792,699,"PuttingInside10",2010
38,38,"Jeff Quinney",91,88.24,1462,1290,"PuttingInside10",2010
39,39,"Spencer Levin",110,88.21,1824,1609,"PuttingInside10",2010
40,40,"Troy Merritt",86,88.2,1390,1226,"PuttingInside10",2010
41,41,"Justin Leonard",89,88.19,1304,1150,"PuttingInside10",2010
41,41,"Ryan Palmer",84,88.19,1270,1120,"PuttingInside10",2010
43,43,"Ben Curtis",78,88.18,1218,1074,"PuttingInside10",2010
44,44,"Brandt Snedeker",89,88.17,1361,1200,"PuttingInside10",2010
45,45,"Kevin Na",94,88.14,1358,1197,"PuttingInside10",2010
46,46,"Brent Delahoussaye",57,88.07,855,753,"PuttingInside10",2010
47,47,"Aaron Baddeley",94,88.06,1599,1408,"PuttingInside10",2010
48,48,"Ricky Barnes",103,88.04,1538,1354,"PuttingInside10",2010
49,49,"Stewart Cink",84,88.01,1184,1042,"PuttingInside10",2010
49,49,"David Toms",86,88.01,1284,1130,"PuttingInside10",2010
51,51,"Daniel Chopra",74,88,1242,1093,"PuttingInside10",2010
52,52,"Tim Clark",88,87.99,1241,1092,"PuttingInside10",2010
53,53,"Angel Cabrera",64,87.93,953,838,"PuttingInside10",2010
53,53,"Andres Romero",73,87.93,1301,1144,"PuttingInside10",2010
55,55,"Heath Slocum",97,87.89,1362,1197,"PuttingInside10",2010
56,56,"Tim Petrovic",105,87.86,1738,1527,"PuttingInside10",2010
57,57,"John Senden",103,87.85,1622,1425,"PuttingInside10",2010
58,58,"George McNeill",79,87.84,1275,1120,"PuttingInside10",2010
59,59,"Jerod Turner",54,87.83,748,657,"PuttingInside10",2010
60,60,"Sergio Garcia",58,87.82,673,591,"PuttingInside10",2010
61,61,"Rich Barcelo",70,87.76,1062,932,"PuttingInside10",2010
61,61,"Mark Wilson",87,87.76,1454,1276,"PuttingInside10",2010
63,63,"Hunter Mahan",85,87.71,1245,1092,"PuttingInside10",2010
64,64,"Matt Bettencourt",91,87.7,1293,1134,"PuttingInside10",2010
65,65,"Brad Faxon",58,87.69,877,769,"PuttingInside10",2010
65,65,"Justin Rose",78,87.69,1275,1118,"PuttingInside10",2010
67,67,"Jason Bohn",84,87.63,1358,1190,"PuttingInside10",2010
68,68,"Steve Marino",81,87.62,1163,1019,"PuttingInside10",2010
69,69,"John Merrick",109,87.59,1724,1510,"PuttingInside10",2010
70,70,"Brian Stuard",81,87.57,1295,1134,"PuttingInside10",2010
70,70,"Kevin Sutherland",86,87.57,1448,1268,"PuttingInside10",2010
70,70,"Bubba Watson",77,87.57,1247,1092,"PuttingInside10",2010
73,73,"Scott Piercy",88,87.53,1475,1291,"PuttingInside10",2010
74,74,"Michael Connell",89,87.52,1410,1234,"PuttingInside10",2010
75,75,"Jimmy Walker",82,87.49,1287,1126,"PuttingInside10",2010
76,76,"Padraig Harrington",57,87.48,823,720,"PuttingInside10",2010
77,77,"Chad Campbell",95,87.46,1507,1318,"PuttingInside10",2010
78,78,"Stephen Ames",75,87.45,1243,1087,"PuttingInside10",2010
79,79,"John Rollins",81,87.44,1385,1211,"PuttingInside10",2010
80,80,"Charlie Wi",95,87.43,1623,1419,"PuttingInside10",2010
81,81,"Brenden Pappas",66,87.41,1017,889,"PuttingInside10",2010
82,82,"Freddie Jacobson",83,87.38,1411,1233,"PuttingInside10",2010
83,83,"YE Yang",72,87.37,1061,927,"PuttingInside10",2010
84,84,"Chris Couch",66,87.36,1060,926,"PuttingInside10",2010
85,85,"Henrik Bjornstad",72,87.35,1107,967,"PuttingInside10",2010
86,86,"Brendon de Jonge",114,87.32,1688,1474,"PuttingInside10",2010
86,86,"Martin Laird",91,87.32,1491,1302,"PuttingInside10",2010
88,88,"Phil Mickelson",76,87.29,1078,941,"PuttingInside10",2010
89,89,"Jarrod Lyle",54,87.27,872,761,"PuttingInside10",2010
90,90,"JB Holmes",100,87.26,1640,1431,"PuttingInside10",2010
91,91,"Robert Allenby",76,87.23,1096,956,"PuttingInside10",2010
92,92,"Mike Weir",59,87.2,742,647,"PuttingInside10",2010
93,93,"Bill Haas",87,87.19,1397,1218,"PuttingInside10",2010
93,93,"Chris Stroud",90,87.19,1335,1164,"PuttingInside10",2010
95,95,"Troy Matteson",84,87.18,1466,1278,"PuttingInside10",2010
96,96,"Rickie Fowler",98,87.16,1527,1331,"PuttingInside10",2010
97,97,"Bryce Molder",84,87.14,1330,1159,"PuttingInside10",2010
98,98,"Tom Pernice Jr",74,87.13,1088,948,"PuttingInside10",2010
98,98,"Chris Tidland",77,87.13,1243,1083,"PuttingInside10",2010
98,98,"Brett Wetterich",54,87.13,987,860,"PuttingInside10",2010
101,101,"Jeff Overton",89,87.07,1307,1138,"PuttingInside10",2010
102,102,"Jonathan Byrd",85,87.03,1519,1322,"PuttingInside10",2010
102,102,"Jeev Milkha Singh",59,87.03,979,852,"PuttingInside10",2010
104,104,"Sean OHair",84,87.01,1209,1052,"PuttingInside10",2010
105,105,"Mathew Goggin",85,87,1438,1251,"PuttingInside10",2010
105,105,"Ted Purdy",86,87,1400,1218,"PuttingInside10",2010
107,107,"Bob Estes",79,86.99,1322,1150,"PuttingInside10",2010
108,108,"Scott Verplank",74,86.97,1036,901,"PuttingInside10",2010
109,109,"Tim Herron",79,86.94,1286,1118,"PuttingInside10",2010
109,109,"Aron Price",70,86.94,1164,1012,"PuttingInside10",2010
111,111,"David Duval",71,86.93,1025,891,"PuttingInside10",2010
112,112,"KJ Choi",82,86.92,1124,977,"PuttingInside10",2010
112,112,"Jason Day",82,86.92,1300,1130,"PuttingInside10",2010
112,112,"Marc Leishman",87,86.92,1361,1183,"PuttingInside10",2010
115,115,"Tom Gillis",97,86.9,1633,1419,"PuttingInside10",2010
116,116,"James Nitties",92,86.89,1503,1306,"PuttingInside10",2010
116,116,"Joe Ogilvie",99,86.89,1594,1385,"PuttingInside10",2010
118,118,"Nick Watney",91,86.81,1296,1125,"PuttingInside10",2010
119,119,"Dustin Johnson",83,86.79,1181,1025,"PuttingInside10",2010
119,119,"John Mallinger",78,86.79,1211,1051,"PuttingInside10",2010
121,121,"Cameron Beckman",68,86.78,1097,952,"PuttingInside10",2010
122,122,"Roland Thatcher",72,86.77,1285,1115,"PuttingInside10",2010
123,123,"Robert Garrigus",71,86.69,1142,990,"PuttingInside10",2010
124,124,"Cameron Percy",73,86.68,1126,976,"PuttingInside10",2010
125,125,"Lee Janzen",77,86.67,1313,1138,"PuttingInside10",2010
126,126,"Kevin Streelman",90,86.66,1492,1293,"PuttingInside10",2010
127,127,"Michael Letzig",84,86.64,1489,1290,"PuttingInside10",2010
128,128,"Garrett Willis",82,86.6,1321,1144,"PuttingInside10",2010
