"OverallPuttingAverage_RANKTHISWEEK_2010","OverallPuttingAverage_RANKLASTWEEK_2010","OverallPuttingAverage_PLAYERNAME_2010","OverallPuttingAverage_ROUNDS_2010","OverallPuttingAverage_AVG_2010","OverallPuttingAverage_OFPUTTS_2010","OverallPuttingAverage_OFHOLES_2010","stat_name","year"
1,1,"Jerod Turner",54,1.372,1334,972,"OverallPuttingAverage",2010
2,2,"Jarrod Lyle",54,1.384,1345,972,"OverallPuttingAverage",2010
3,3,"Skip Kendall",58,1.39,1451,1044,"OverallPuttingAverage",2010
4,4,"Mark Calcavecchia",50,1.401,1261,900,"OverallPuttingAverage",2010
5,5,"Shaun Micheel",70,1.416,1784,1260,"OverallPuttingAverage",2010
6,6,"Paul Stankowski",62,1.42,1585,1116,"OverallPuttingAverage",2010
7,7,"Dean Wilson",54,1.422,1382,972,"OverallPuttingAverage",2010
8,8,"Chad Collins",87,1.427,2234,1566,"OverallPuttingAverage",2010
9,9,"Matt Bettencourt",91,1.442,2362,1638,"OverallPuttingAverage",2010
9,9,"Carl Pettersson",99,1.442,2570,1782,"OverallPuttingAverage",2010
11,11,"John Daly",63,1.444,1638,1134,"OverallPuttingAverage",2010
12,12,"Steve Wheatcroft",74,1.456,1940,1332,"OverallPuttingAverage",2010
13,13,"Tom Pernice Jr",74,1.461,1946,1332,"OverallPuttingAverage",2010
14,14,"Greg Kraft",52,1.464,1370,936,"OverallPuttingAverage",2010
15,15,"Rich Barcelo",70,1.471,1854,1260,"OverallPuttingAverage",2010
16,16,"Jeff Maggert",76,1.472,2014,1368,"OverallPuttingAverage",2010
17,17,"Michael Connell",89,1.473,2359,1602,"OverallPuttingAverage",2010
17,17,"Vance Veazey",58,1.473,1538,1044,"OverallPuttingAverage",2010
19,19,"Brent Delahoussaye",57,1.476,1514,1026,"OverallPuttingAverage",2010
20,20,"Jay Williamson",76,1.477,2021,1368,"OverallPuttingAverage",2010
21,21,"Kevin Johnson",62,1.478,1650,1116,"OverallPuttingAverage",2010
22,22,"Chris Riley",73,1.479,1943,1314,"OverallPuttingAverage",2010
23,23,"Steve Elkington",74,1.485,1978,1332,"OverallPuttingAverage",2010
24,24,"Kevin Stadler",86,1.488,2303,1548,"OverallPuttingAverage",2010
25,25,"Chris Wilson",65,1.491,1744,1170,"OverallPuttingAverage",2010
26,26,"Craig Bowden",56,1.494,1506,1008,"OverallPuttingAverage",2010
27,27,"Justin Bolli",55,1.495,1480,990,"OverallPuttingAverage",2010
28,28,"Mathias Gronberg",61,1.496,1643,1098,"OverallPuttingAverage",2010
29,29,"Richard Johnson",90,1.498,2427,1620,"OverallPuttingAverage",2010
30,30,"Jeev Milkha Singh",59,1.5,1512,1008,"OverallPuttingAverage",2010
31,31,"Brad Faxon",58,1.501,1567,1044,"OverallPuttingAverage",2010
31,31,"Derek Lamely",81,1.501,2188,1458,"OverallPuttingAverage",2010
33,33,"JJ Henry",92,1.507,2495,1656,"OverallPuttingAverage",2010
33,33,"Tim Herron",79,1.507,2143,1422,"OverallPuttingAverage",2010
33,33,"Chris Stroud",90,1.507,2441,1620,"OverallPuttingAverage",2010
33,33,"Cameron Tringale",55,1.507,1492,990,"OverallPuttingAverage",2010
37,37,"Aron Price",70,1.508,1900,1260,"OverallPuttingAverage",2010
38,38,"Spencer Levin",110,1.511,2992,1980,"OverallPuttingAverage",2010
39,39,"Joe Durant",67,1.512,1823,1206,"OverallPuttingAverage",2010
40,40,"Boo Weekley",88,1.513,2396,1584,"OverallPuttingAverage",2010
41,41,"David Lutterus",69,1.514,1881,1242,"OverallPuttingAverage",2010
41,41,"Brian Stuard",81,1.514,2207,1458,"OverallPuttingAverage",2010
43,43,"Bryce Molder",84,1.518,2295,1512,"OverallPuttingAverage",2010
44,44,"Robert Garrigus",71,1.52,1943,1278,"OverallPuttingAverage",2010
44,44,"James Nitties",92,1.52,2517,1656,"OverallPuttingAverage",2010
44,44,"Omar Uresti",74,1.52,2025,1332,"OverallPuttingAverage",2010
47,47,"Cliff Kresge",50,1.521,1369,900,"OverallPuttingAverage",2010
47,47,"Billy Mayfair",78,1.521,2135,1404,"OverallPuttingAverage",2010
49,49,"Andrew McLardy",52,1.522,1425,936,"OverallPuttingAverage",2010
49,49,"Jeff Quinney",91,1.522,2493,1638,"OverallPuttingAverage",2010
51,51,"Brendon de Jonge",114,1.524,3128,2052,"OverallPuttingAverage",2010
51,51,"Charles Warren",64,1.524,1756,1152,"OverallPuttingAverage",2010
53,53,"Joe Ogilvie",99,1.525,2718,1782,"OverallPuttingAverage",2010
54,54,"JP Hayes",79,1.527,2171,1422,"OverallPuttingAverage",2010
55,55,"Roger Tambellini",77,1.529,2119,1386,"OverallPuttingAverage",2010
56,56,"Steve Flesch",78,1.538,2160,1404,"OverallPuttingAverage",2010
57,57,"Henrik Bjornstad",72,1.539,1994,1296,"OverallPuttingAverage",2010
57,57,"Chris Tidland",77,1.539,2133,1386,"OverallPuttingAverage",2010
59,59,"Brenden Pappas",66,1.54,1829,1188,"OverallPuttingAverage",2010
59,59,"Jimmy Walker",82,1.54,2273,1476,"OverallPuttingAverage",2010
61,61,"Jeff Gove",57,1.541,1581,1026,"OverallPuttingAverage",2010
61,61,"John Merrick",109,1.541,3024,1962,"OverallPuttingAverage",2010
61,61,"Jeff Overton",89,1.541,2468,1602,"OverallPuttingAverage",2010
64,64,"Kevin Streelman",90,1.543,2500,1620,"OverallPuttingAverage",2010
65,65,"KJ Choi",82,1.545,2280,1476,"OverallPuttingAverage",2010
66,66,"Chris DiMarco",88,1.546,2449,1584,"OverallPuttingAverage",2010
66,66,"Charles Howell III",103,1.546,2867,1854,"OverallPuttingAverage",2010
68,68,"Martin Flores",75,1.547,2088,1350,"OverallPuttingAverage",2010
69,69,"Cameron Beckman",68,1.548,1895,1224,"OverallPuttingAverage",2010
70,70,"Garth Mulroy",53,1.55,1479,954,"OverallPuttingAverage",2010
71,71,"Kris Blanks",91,1.551,2540,1638,"OverallPuttingAverage",2010
72,72,"Matt Every",60,1.554,1678,1080,"OverallPuttingAverage",2010
72,72,"Brandt Snedeker",89,1.554,2489,1602,"OverallPuttingAverage",2010
74,74,"Graham DeLaet",88,1.557,2466,1584,"OverallPuttingAverage",2010
74,74,"Brian Gay",101,1.557,2746,1764,"OverallPuttingAverage",2010
76,76,"Charley Hoffman",85,1.559,2385,1530,"OverallPuttingAverage",2010
76,76,"Cameron Percy",73,1.559,2049,1314,"OverallPuttingAverage",2010
78,78,"Michael Bradley",77,1.56,2162,1386,"OverallPuttingAverage",2010
79,79,"Johnson Wagner",85,1.563,2391,1530,"OverallPuttingAverage",2010
80,80,"Mike Weir",59,1.564,1605,1026,"OverallPuttingAverage",2010
81,81,"Garrett Willis",82,1.567,2313,1476,"OverallPuttingAverage",2010
82,82,"Ted Purdy",86,1.568,2428,1548,"OverallPuttingAverage",2010
83,83,"Steve Lowery",67,1.569,1892,1206,"OverallPuttingAverage",2010
84,84,"Bill Lunde",79,1.57,2233,1422,"OverallPuttingAverage",2010
85,85,"Woody Austin",93,1.571,2630,1674,"OverallPuttingAverage",2010
86,86,"Briny Baird",87,1.572,2461,1566,"OverallPuttingAverage",2010
86,86,"Padraig Harrington",57,1.572,1585,1008,"OverallPuttingAverage",2010
86,86,"Troy Merritt",86,1.572,2433,1548,"OverallPuttingAverage",2010
89,89,"Stuart Appleby",101,1.573,2860,1818,"OverallPuttingAverage",2010
90,90,"Mark Wilson",87,1.575,2466,1566,"OverallPuttingAverage",2010
91,91,"Ryuji Imada",90,1.578,2556,1620,"OverallPuttingAverage",2010
91,91,"Heath Slocum",97,1.578,2755,1746,"OverallPuttingAverage",2010
93,93,"Jerry Kelly",99,1.58,2815,1782,"OverallPuttingAverage",2010
94,94,"Luke Donald",71,1.581,1935,1224,"OverallPuttingAverage",2010
95,95,"Blake Adams",84,1.583,2394,1512,"OverallPuttingAverage",2010
96,96,"Greg Chalmers",93,1.585,2653,1674,"OverallPuttingAverage",2010
97,97,"Aaron Baddeley",94,1.587,2686,1692,"OverallPuttingAverage",2010
97,97,"Kevin Na",94,1.587,2657,1674,"OverallPuttingAverage",2010
99,99,"John Mallinger",78,1.588,2229,1404,"OverallPuttingAverage",2010
99,99,"Charlie Wi",95,1.588,2715,1710,"OverallPuttingAverage",2010
101,101,"Rory Sabbatini",79,1.589,2231,1404,"OverallPuttingAverage",2010
102,102,"Justin Rose",78,1.591,2234,1404,"OverallPuttingAverage",2010
103,103,"David Duval",71,1.592,2034,1278,"OverallPuttingAverage",2010
103,103,"Retief Goosen",75,1.592,2034,1278,"OverallPuttingAverage",2010
103,103,"Matt Jones",89,1.592,2550,1602,"OverallPuttingAverage",2010
106,106,"Steve Stricker",73,1.594,2066,1296,"OverallPuttingAverage",2010
107,107,"Zach Johnson",93,1.596,2614,1638,"OverallPuttingAverage",2010
107,107,"Matt Kuchar",97,1.596,2730,1710,"OverallPuttingAverage",2010
107,107,"Webb Simpson",98,1.596,2816,1764,"OverallPuttingAverage",2010
110,110,"Jim Furyk",76,1.597,2127,1332,"OverallPuttingAverage",2010
110,110,"Tom Gillis",97,1.597,2789,1746,"OverallPuttingAverage",2010
