"3PlusPuttsperRound_RANKTHISWEEK_2014","3PlusPuttsperRound_RANKLASTWEEK_2014","3PlusPuttsperRound_PLAYERNAME_2014","3PlusPuttsperRound_ROUNDS_2014","3PlusPuttsperRound_AVG_2014","3PlusPuttsperRound_TOTAL3PUTTS_2014","3PlusPuttsperRound_TOTALROUNDS_2014","stat_name","year"
1,1,"Lucas Glover",68,0.09,6,66,"3PlusPuttsperRound",2014
2,2,"Rory Sabbatini",82,0.08,6,78,"3PlusPuttsperRound",2014
3,3,"Geoff Ogilvy",84,0.06,5,80,"3PlusPuttsperRound",2014
4,4,"Matt Every",85,0.04,3,85,"3PlusPuttsperRound",2014
4,4,"Louis Oosthuizen",50,0.04,2,46,"3PlusPuttsperRound",2014
4,4,"Ian Poulter",57,0.04,2,56,"3PlusPuttsperRound",2014
4,4,"Henrik Stenson",56,0.04,2,54,"3PlusPuttsperRound",2014
4,4,"Hudson Swafford",75,0.04,3,71,"3PlusPuttsperRound",2014
9,9,"Charlie Beljan",76,0.03,2,72,"3PlusPuttsperRound",2014
9,9,"Jonas Blixt",64,0.03,2,62,"3PlusPuttsperRound",2014
9,9,"Graham DeLaet",80,0.03,2,79,"3PlusPuttsperRound",2014
9,9,"James Driscoll",71,0.03,2,71,"3PlusPuttsperRound",2014
9,9,"James Hahn",82,0.03,2,80,"3PlusPuttsperRound",2014
9,9,"Rory McIlroy",66,0.03,2,64,"3PlusPuttsperRound",2014
9,9,"Shawn Stefani",60,0.03,2,60,"3PlusPuttsperRound",2014
9,9,"David Toms",64,0.03,2,62,"3PlusPuttsperRound",2014
9,9,"Boo Weekley",73,0.03,2,72,"3PlusPuttsperRound",2014
18,18,"Woody Austin",63,0.02,1,59,"3PlusPuttsperRound",2014
18,18,"Paul Casey",56,0.02,1,56,"3PlusPuttsperRound",2014
18,18,"Bud Cauley",56,0.02,1,56,"3PlusPuttsperRound",2014
18,18,"Jason Day",54,0.02,1,48,"3PlusPuttsperRound",2014
18,18,"Gonzalo Fdez Castano",83,0.02,2,82,"3PlusPuttsperRound",2014
18,18,"Dustin Johnson",58,0.02,1,57,"3PlusPuttsperRound",2014
18,18,"Russell Knox",92,0.02,2,92,"3PlusPuttsperRound",2014
18,18,"Matt Kuchar",91,0.02,2,88,"3PlusPuttsperRound",2014
18,18,"Martin Laird",66,0.02,1,62,"3PlusPuttsperRound",2014
18,18,"DH Lee",54,0.02,1,50,"3PlusPuttsperRound",2014
18,18,"Jamie Lovemark",64,0.02,1,60,"3PlusPuttsperRound",2014
