"Total1Putts1520_RANKTHISWEEK_2016","Total1Putts1520_RANKLASTWEEK_2016","Total1Putts1520_PLAYERNAME_2016","Total1Putts1520_ROUNDS_2016","Total1Putts1520_TOTAL_2016","Total1Putts1520_TOTALFORALLDISTANCES_2016","Total1Putts1520_PCTOFALL1PUTTS_2016","stat_name","year"
1,1,"Adam Hadwin",53,25,337,7.4,"Total1Putts1520",2016
2,6,"Patton Kizzire",57,24,325,7.4,"Total1Putts1520",2016
2,3,"Chris Stroud",52,24,288,8.3,"Total1Putts1520",2016
4,2,"David Hearn",55,23,287,8,"Total1Putts1520",2016
5,6,"Fabian Gomez",49,22,299,7.4,"Total1Putts1520",2016
5,3,"Hudson Swafford",52,22,275,8,"Total1Putts1520",2016
7,5,"Seung Yul Noh",54,21,317,6.6,"Total1Putts1520",2016
8,8,"Daniel Summerhays",55,20,321,6.2,"Total1Putts1520",2016
9,9,"Daniel Berger",52,19,241,7.9,"Total1Putts1520",2016
9,24,"Chesson Hadley",51,19,265,7.2,"Total1Putts1520",2016
9,9,"Cameron Tringale",47,19,294,6.5,"Total1Putts1520",2016
9,9,"Johnson Wagner",44,19,232,8.2,"Total1Putts1520",2016
13,32,"Brian Harman",60,18,366,4.9,"Total1Putts1520",2016
13,24,"Morgan Hoffmann",43,18,265,6.8,"Total1Putts1520",2016
13,9,"Mark Hubbard",73,18,428,4.2,"Total1Putts1520",2016
13,24,"Danny Lee",53,18,260,6.9,"Total1Putts1520",2016
13,9,"Spencer Levin",62,18,324,5.6,"Total1Putts1520",2016
13,24,"William McGirt",54,18,349,5.2,"Total1Putts1520",2016
13,9,"Bryce Molder",50,18,298,6,"Total1Putts1520",2016
13,15,"Harold Varner III",58,18,350,5.1,"Total1Putts1520",2016
21,15,"Aaron Baddeley",51,17,294,5.8,"Total1Putts1520",2016
21,15,"Scott Brown",59,17,292,5.8,"Total1Putts1520",2016
21,15,"Chad Campbell",54,17,287,5.9,"Total1Putts1520",2016
21,15,"Jason Dufner",53,17,238,7.1,"Total1Putts1520",2016
21,15,"Smylie Kaufman",57,17,287,5.9,"Total1Putts1520",2016
21,24,"Si Woo Kim",63,17,379,4.5,"Total1Putts1520",2016
21,15,"Peter Malnati",53,17,315,5.4,"Total1Putts1520",2016
21,15,"Greg Owen",56,17,262,6.5,"Total1Putts1520",2016
21,15,"Scott Pinckney",53,17,244,7,"Total1Putts1520",2016
21,24,"Steve Wheatcroft",53,17,322,5.3,"Total1Putts1520",2016
31,38,"Blayne Barber",44,16,254,6.3,"Total1Putts1520",2016
31,38,"Graham DeLaet",50,16,283,5.7,"Total1Putts1520",2016
31,38,"Ernie Els",34,16,217,7.4,"Total1Putts1520",2016
31,32,"JJ Henry",44,16,237,6.8,"Total1Putts1520",2016
