"3PuttAvoidanceRound1_RANKTHISWEEK_2007","3PuttAvoidanceRound1_RANKLASTWEEK_2007","3PuttAvoidanceRound1_PLAYERNAME_2007","3PuttAvoidanceRound1__2007","3PuttAvoidanceRound1_Pct_2007","3PuttAvoidanceRound1_TOTAL3PUTTS_2007","3PuttAvoidanceRound1_TOTALHOLES_2007","stat_name","year"
1,1,"Jay Williamson",NA,0.4,1,252,"3PuttAvoidanceRound1",2007
2,2,"Jose Maria Olazabal",NA,1.11,3,270,"3PuttAvoidanceRound1",2007
3,3,"Sergio Garcia",NA,1.23,4,324,"3PuttAvoidanceRound1",2007
3,3,"Charlie Wi",NA,1.23,6,486,"3PuttAvoidanceRound1",2007
5,5,"Michael Allen",NA,1.52,6,396,"3PuttAvoidanceRound1",2007
6,6,"Zach Johnson",NA,1.59,6,378,"3PuttAvoidanceRound1",2007
7,7,"Charley Hoffman",NA,1.67,9,540,"3PuttAvoidanceRound1",2007
7,7,"Tripp Isenhour",NA,1.67,9,540,"3PuttAvoidanceRound1",2007
9,9,"Nathan Green",NA,1.72,9,522,"3PuttAvoidanceRound1",2007
9,9,"Brandt Snedeker",NA,1.72,9,522,"3PuttAvoidanceRound1",2007
11,11,"Brian Gay",NA,1.74,10,576,"3PuttAvoidanceRound1",2007
12,12,"Michael Boyd",NA,1.85,7,378,"3PuttAvoidanceRound1",2007
13,13,"Anders Hansen",NA,1.96,6,306,"3PuttAvoidanceRound1",2007
13,13,"Craig Kanada",NA,1.96,12,612,"3PuttAvoidanceRound1",2007
13,13,"Michael Sim",NA,1.96,6,306,"3PuttAvoidanceRound1",2007
16,16,"Shigeki Maruyama",NA,1.97,11,558,"3PuttAvoidanceRound1",2007
16,16,"Joe Ogilvie",NA,1.97,11,558,"3PuttAvoidanceRound1",2007
18,18,"Mark Hensby",NA,2,9,450,"3PuttAvoidanceRound1",2007
19,19,"Steve Stricker",NA,2.02,8,396,"3PuttAvoidanceRound1",2007
20,20,"Gavin Coles",NA,2.06,10,486,"3PuttAvoidanceRound1",2007
21,21,"Tim Clark",NA,2.16,7,324,"3PuttAvoidanceRound1",2007
22,22,"Chris DiMarco",NA,2.17,9,414,"3PuttAvoidanceRound1",2007
22,22,"Duffy Waldorf",NA,2.17,9,414,"3PuttAvoidanceRound1",2007
24,24,"Freddie Jacobson",NA,2.22,8,360,"3PuttAvoidanceRound1",2007
24,24,"Dicky Pride",NA,2.22,10,450,"3PuttAvoidanceRound1",2007
24,24,"Tiger Woods",NA,2.22,6,270,"3PuttAvoidanceRound1",2007
27,27,"Bob Heintz",NA,2.26,11,486,"3PuttAvoidanceRound1",2007
27,27,"Bob Tway",NA,2.26,13,576,"3PuttAvoidanceRound1",2007
29,29,"Scott Verplank",NA,2.27,9,396,"3PuttAvoidanceRound1",2007
30,30,"Jason Bohn",NA,2.29,7,306,"3PuttAvoidanceRound1",2007
31,31,"Jarrod Lyle",NA,2.31,10,432,"3PuttAvoidanceRound1",2007
31,31,"Brett Quigley",NA,2.31,10,432,"3PuttAvoidanceRound1",2007
33,33,"Kevin Na",NA,2.35,11,468,"3PuttAvoidanceRound1",2007
34,34,"Daniel Chopra",NA,2.36,14,594,"3PuttAvoidanceRound1",2007
34,34,"Johnson Wagner",NA,2.36,14,594,"3PuttAvoidanceRound1",2007
36,36,"Parker McLachlin",NA,2.38,12,504,"3PuttAvoidanceRound1",2007
36,36,"Bryce Molder",NA,2.38,9,378,"3PuttAvoidanceRound1",2007
36,36,"Nick OHern",NA,2.38,9,378,"3PuttAvoidanceRound1",2007
36,36,"Heath Slocum",NA,2.38,12,504,"3PuttAvoidanceRound1",2007
36,36,"Henrik Stenson",NA,2.38,6,252,"3PuttAvoidanceRound1",2007
41,41,"Cliff Kresge",NA,2.41,13,540,"3PuttAvoidanceRound1",2007
42,42,"Richard Johnson",NA,2.43,14,576,"3PuttAvoidanceRound1",2007
43,43,"Eric Axley",NA,2.47,16,648,"3PuttAvoidanceRound1",2007
43,43,"Tag Ridings",NA,2.47,8,324,"3PuttAvoidanceRound1",2007
45,45,"Michael Putnam",NA,2.49,13,522,"3PuttAvoidanceRound1",2007
46,46,"Tom Byrum",NA,2.5,9,360,"3PuttAvoidanceRound1",2007
47,47,"Aaron Baddeley",NA,2.53,10,396,"3PuttAvoidanceRound1",2007
48,48,"Tommy Armour III",NA,2.55,11,432,"3PuttAvoidanceRound1",2007
49,49,"Matt Kuchar",NA,2.56,12,468,"3PuttAvoidanceRound1",2007
50,50,"Brian Davis",NA,2.58,13,504,"3PuttAvoidanceRound1",2007
50,50,"Robert Garrigus",NA,2.58,13,504,"3PuttAvoidanceRound1",2007
50,50,"JP Hayes",NA,2.58,13,504,"3PuttAvoidanceRound1",2007
53,53,"Justin Rose",NA,2.59,7,270,"3PuttAvoidanceRound1",2007
54,54,"Bubba Dickerson",NA,2.63,9,342,"3PuttAvoidanceRound1",2007
54,54,"Arron Oberholser",NA,2.63,9,342,"3PuttAvoidanceRound1",2007
56,56,"Chris Tidland",NA,2.65,10,378,"3PuttAvoidanceRound1",2007
57,57,"Charles Howell III",NA,2.67,12,450,"3PuttAvoidanceRound1",2007
57,57,"Jesper Parnevik",NA,2.67,13,486,"3PuttAvoidanceRound1",2007
59,59,"Steve Flesch",NA,2.69,15,558,"3PuttAvoidanceRound1",2007
60,60,"Rich Beem",NA,2.78,14,504,"3PuttAvoidanceRound1",2007
60,60,"Alex Cejka",NA,2.78,12,432,"3PuttAvoidanceRound1",2007
60,60,"Craig Lile",NA,2.78,12,432,"3PuttAvoidanceRound1",2007
60,60,"Dean Wilson",NA,2.78,14,504,"3PuttAvoidanceRound1",2007
64,64,"Doug LaBelle II",NA,2.86,17,594,"3PuttAvoidanceRound1",2007
65,65,"John Senden",NA,2.88,14,486,"3PuttAvoidanceRound1",2007
66,66,"Corey Pavin",NA,2.89,13,450,"3PuttAvoidanceRound1",2007
67,67,"Jonathan Byrd",NA,2.9,12,414,"3PuttAvoidanceRound1",2007
68,68,"Stephen Ames",NA,2.91,11,378,"3PuttAvoidanceRound1",2007
68,68,"Jeff Brehaut",NA,2.91,11,378,"3PuttAvoidanceRound1",2007
70,70,"Luke Donald",NA,2.92,10,342,"3PuttAvoidanceRound1",2007
