"TotalBirdies_RANKTHISWEEK_2010","TotalBirdies_RANKLASTWEEK_2010","TotalBirdies_PLAYERNAME_2010","TotalBirdies_ROUNDS_2010","TotalBirdies_TOTAL_2010","stat_name","year"
1,1,"Brendon de Jonge",114,429,"TotalBirdies",2010
2,2,"Spencer Levin",110,406,"TotalBirdies",2010
3,3,"Bo Van Pelt",104,401,"TotalBirdies",2010
4,4,"Tom Gillis",97,394,"TotalBirdies",2010
5,5,"John Merrick",109,387,"TotalBirdies",2010
6,6,"JB Holmes",100,381,"TotalBirdies",2010
7,7,"Matt Kuchar",97,377,"TotalBirdies",2010
8,8,"Ricky Barnes",103,372,"TotalBirdies",2010
9,9,"Tim Petrovic",105,367,"TotalBirdies",2010
10,10,"John Senden",103,366,"TotalBirdies",2010
11,11,"Charles Howell III",103,364,"TotalBirdies",2010
12,12,"Webb Simpson",98,361,"TotalBirdies",2010
13,13,"Kevin Streelman",90,354,"TotalBirdies",2010
14,14,"Aaron Baddeley",94,353,"TotalBirdies",2010
14,14,"Rickie Fowler",98,353,"TotalBirdies",2010
14,14,"Nick Watney",91,353,"TotalBirdies",2010
17,17,"Pat Perez",90,351,"TotalBirdies",2010
18,18,"Carl Pettersson",99,350,"TotalBirdies",2010
18,18,"DJ Trahan",92,350,"TotalBirdies",2010
20,20,"Kevin Na",94,349,"TotalBirdies",2010
21,21,"Josh Teater",101,347,"TotalBirdies",2010
22,22,"Joe Ogilvie",99,346,"TotalBirdies",2010
23,23,"Zach Johnson",93,345,"TotalBirdies",2010
24,24,"Charlie Wi",95,343,"TotalBirdies",2010
25,25,"Jeff Quinney",91,341,"TotalBirdies",2010
26,26,"Graham DeLaet",88,340,"TotalBirdies",2010
26,26,"Jerry Kelly",99,340,"TotalBirdies",2010
26,26,"Brandt Snedeker",89,340,"TotalBirdies",2010
29,29,"Heath Slocum",97,338,"TotalBirdies",2010
30,30,"Charley Hoffman",85,336,"TotalBirdies",2010
30,30,"Scott Piercy",88,336,"TotalBirdies",2010
32,32,"Jeff Overton",89,335,"TotalBirdies",2010
32,32,"Brett Quigley",96,335,"TotalBirdies",2010
34,34,"Brian Gay",101,334,"TotalBirdies",2010
35,35,"Stuart Appleby",101,333,"TotalBirdies",2010
36,36,"James Nitties",92,332,"TotalBirdies",2010
37,37,"Matt Jones",89,330,"TotalBirdies",2010
38,38,"Chad Campbell",95,329,"TotalBirdies",2010
38,38,"Brian Davis",101,329,"TotalBirdies",2010
38,38,"Ryan Palmer",84,329,"TotalBirdies",2010
41,41,"Greg Chalmers",93,328,"TotalBirdies",2010
41,41,"Chris Stroud",90,328,"TotalBirdies",2010
43,43,"Alex Prugh",88,326,"TotalBirdies",2010
44,44,"Kevin Stadler",86,325,"TotalBirdies",2010
44,44,"Vaughn Taylor",87,325,"TotalBirdies",2010
46,46,"Woody Austin",93,324,"TotalBirdies",2010
47,47,"Bill Haas",87,323,"TotalBirdies",2010
47,47,"Dustin Johnson",83,323,"TotalBirdies",2010
47,47,"Troy Merritt",86,323,"TotalBirdies",2010
50,50,"Martin Laird",91,318,"TotalBirdies",2010
50,50,"David Toms",86,318,"TotalBirdies",2010
52,52,"Michael Connell",89,315,"TotalBirdies",2010
52,52,"Ryuji Imada",90,315,"TotalBirdies",2010
54,54,"Marc Leishman",87,313,"TotalBirdies",2010
54,54,"Justin Leonard",89,313,"TotalBirdies",2010
56,56,"DA Points",90,312,"TotalBirdies",2010
57,57,"Jonathan Byrd",85,311,"TotalBirdies",2010
57,57,"Ben Crane",85,311,"TotalBirdies",2010
59,59,"Michael Letzig",84,308,"TotalBirdies",2010
59,59,"Bryce Molder",84,308,"TotalBirdies",2010
61,61,"Matt Bettencourt",91,307,"TotalBirdies",2010
61,61,"Kris Blanks",91,307,"TotalBirdies",2010
63,63,"Scott McCarron",90,306,"TotalBirdies",2010
64,64,"Steve Marino",81,305,"TotalBirdies",2010
64,64,"Nicholas Thompson",88,305,"TotalBirdies",2010
66,66,"Jason Bohn",84,304,"TotalBirdies",2010
66,66,"JJ Henry",92,304,"TotalBirdies",2010
66,66,"John Rollins",81,304,"TotalBirdies",2010
66,66,"Rory Sabbatini",79,304,"TotalBirdies",2010
70,70,"Chad Collins",87,303,"TotalBirdies",2010
70,70,"Freddie Jacobson",83,303,"TotalBirdies",2010
70,70,"Bubba Watson",77,303,"TotalBirdies",2010
70,70,"Garrett Willis",82,303,"TotalBirdies",2010
74,74,"Justin Rose",78,302,"TotalBirdies",2010
75,75,"Jason Day",82,301,"TotalBirdies",2010
75,75,"Johnson Wagner",85,301,"TotalBirdies",2010
77,77,"Tim Clark",88,299,"TotalBirdies",2010
78,78,"Jimmy Walker",82,298,"TotalBirdies",2010
79,79,"KJ Choi",82,297,"TotalBirdies",2010
79,79,"Hunter Mahan",85,297,"TotalBirdies",2010
81,81,"Phil Mickelson",76,296,"TotalBirdies",2010
81,81,"Kevin Sutherland",86,296,"TotalBirdies",2010
83,83,"Blake Adams",84,295,"TotalBirdies",2010
83,83,"George McNeill",79,295,"TotalBirdies",2010
85,85,"Boo Weekley",88,294,"TotalBirdies",2010
86,86,"JP Hayes",79,293,"TotalBirdies",2010
87,87,"Stewart Cink",84,292,"TotalBirdies",2010
87,87,"Jason Dufner",87,292,"TotalBirdies",2010
87,87,"Mark Wilson",87,292,"TotalBirdies",2010
90,90,"Chris DiMarco",88,291,"TotalBirdies",2010
91,91,"Richard Johnson",90,290,"TotalBirdies",2010
91,91,"Ryan Moore",80,290,"TotalBirdies",2010
93,93,"Paul Goydos",78,285,"TotalBirdies",2010
94,94,"Ted Purdy",86,283,"TotalBirdies",2010
95,95,"Briny Baird",87,282,"TotalBirdies",2010
96,96,"Steve Stricker",73,280,"TotalBirdies",2010
97,97,"Nathan Green",86,279,"TotalBirdies",2010
98,98,"Davis Love III",79,277,"TotalBirdies",2010
98,98,"Troy Matteson",84,277,"TotalBirdies",2010
100,100,"Robert Allenby",76,276,"TotalBirdies",2010
101,101,"Lucas Glover",75,275,"TotalBirdies",2010
101,101,"Chris Tidland",77,275,"TotalBirdies",2010
103,103,"Brian Stuard",81,274,"TotalBirdies",2010
104,104,"James Driscoll",78,271,"TotalBirdies",2010
104,104,"Martin Flores",75,271,"TotalBirdies",2010
104,104,"Robert Garrigus",71,271,"TotalBirdies",2010
104,104,"Mathew Goggin",85,271,"TotalBirdies",2010
108,108,"Sean OHair",84,270,"TotalBirdies",2010
109,109,"Jim Furyk",76,269,"TotalBirdies",2010
110,110,"Tim Herron",79,268,"TotalBirdies",2010
110,110,"Derek Lamely",81,268,"TotalBirdies",2010
112,112,"Alex Cejka",81,266,"TotalBirdies",2010
112,112,"Retief Goosen",75,266,"TotalBirdies",2010
112,112,"John Mallinger",78,266,"TotalBirdies",2010
115,115,"Chris Couch",66,265,"TotalBirdies",2010
115,115,"Ernie Els",72,265,"TotalBirdies",2010
115,115,"Vijay Singh",75,265,"TotalBirdies",2010
118,118,"Henrik Bjornstad",72,264,"TotalBirdies",2010
118,118,"Cameron Percy",73,264,"TotalBirdies",2010
120,120,"Michael Bradley",77,263,"TotalBirdies",2010
120,120,"Lee Janzen",77,263,"TotalBirdies",2010
122,122,"Bob Estes",79,262,"TotalBirdies",2010
122,122,"Jay Williamson",76,262,"TotalBirdies",2010
124,124,"Stephen Ames",75,261,"TotalBirdies",2010
125,125,"Steve Wheatcroft",74,260,"TotalBirdies",2010
125,125,"YE Yang",72,260,"TotalBirdies",2010
127,127,"Jeff Maggert",76,259,"TotalBirdies",2010
127,127,"Aron Price",70,259,"TotalBirdies",2010
129,129,"Andres Romero",73,256,"TotalBirdies",2010
130,130,"Steve Flesch",78,255,"TotalBirdies",2010
131,131,"Steve Elkington",74,254,"TotalBirdies",2010
132,132,"Tom Pernice Jr",74,253,"TotalBirdies",2010
133,133,"Camilo Villegas",78,252,"TotalBirdies",2010
134,134,"David Duval",71,251,"TotalBirdies",2010
135,135,"Will Ma Kenzie",72,250,"TotalBirdies",2010
135,135,"Paul Stankowski",62,250,"TotalBirdies",2010
