"PuttsperRoundRound1_RANKTHISWEEK_2005","PuttsperRoundRound1_RANKLASTWEEK_2005","PuttsperRoundRound1_PLAYERNAME_2005","PuttsperRoundRound1__2005","PuttsperRoundRound1_AVG_2005","PuttsperRoundRound1_TOTALPUTTS_2005","PuttsperRoundRound1_TOTALROUNDS_2005","stat_name","year"
1,1,"Charlie Wi",NA,27.27,600,22,"PuttsperRoundRound1",2005
2,2,"Jesper Parnevik",NA,27.3,628,23,"PuttsperRoundRound1",2005
3,3,"Steve Stricker",NA,27.86,585,21,"PuttsperRoundRound1",2005
3,3,"Lee Westwood",NA,27.86,390,14,"PuttsperRoundRound1",2005
5,5,"Tom Pernice Jr",NA,28,868,31,"PuttsperRoundRound1",2005
6,6,"Dean Wilson",NA,28.11,759,27,"PuttsperRoundRound1",2005
7,7,"Ben Crane",NA,28.15,563,20,"PuttsperRoundRound1",2005
8,8,"Arjun Atwal",NA,28.18,479,17,"PuttsperRoundRound1",2005
8,8,"Brad Faxon",NA,28.18,620,22,"PuttsperRoundRound1",2005
10,10,"Todd Fischer",NA,28.29,962,34,"PuttsperRoundRound1",2005
11,11,"Brenden Pappas",NA,28.33,425,15,"PuttsperRoundRound1",2005
12,12,"Geoff Ogilvy",NA,28.36,709,25,"PuttsperRoundRound1",2005
13,13,"Brent Geiberger",NA,28.4,568,20,"PuttsperRoundRound1",2005
13,13,"Lee Janzen",NA,28.4,710,25,"PuttsperRoundRound1",2005
15,15,"Mark OMeara",NA,28.48,598,21,"PuttsperRoundRound1",2005
15,15,"Ryan Palmer",NA,28.48,883,31,"PuttsperRoundRound1",2005
17,17,"Paul Azinger",NA,28.5,627,22,"PuttsperRoundRound1",2005
17,17,"Freddie Jacobson",NA,28.5,627,22,"PuttsperRoundRound1",2005
17,17,"Corey Pavin",NA,28.5,627,22,"PuttsperRoundRound1",2005
20,20,"Cameron Beckman",NA,28.53,856,30,"PuttsperRoundRound1",2005
21,21,"Aaron Baddeley",NA,28.54,742,26,"PuttsperRoundRound1",2005
22,22,"Hidemichi Tanaka",NA,28.55,942,33,"PuttsperRoundRound1",2005
23,23,"Retief Goosen",NA,28.56,457,16,"PuttsperRoundRound1",2005
24,24,"Billy Andrade",NA,28.58,743,26,"PuttsperRoundRound1",2005
25,25,"Padraig Harrington",NA,28.64,401,14,"PuttsperRoundRound1",2005
25,25,"Pat Perez",NA,28.64,802,28,"PuttsperRoundRound1",2005
27,27,"John Rollins",NA,28.66,831,29,"PuttsperRoundRound1",2005
28,28,"JP Hayes",NA,28.67,602,21,"PuttsperRoundRound1",2005
29,29,"Phil Mickelson",NA,28.68,545,19,"PuttsperRoundRound1",2005
30,30,"Luke Donald",NA,28.69,459,16,"PuttsperRoundRound1",2005
30,30,"Vijay Singh",NA,28.69,832,29,"PuttsperRoundRound1",2005
32,32,"Larry Mize",NA,28.71,488,17,"PuttsperRoundRound1",2005
33,33,"Bob Estes",NA,28.72,718,25,"PuttsperRoundRound1",2005
34,34,"Tim Clark",NA,28.75,690,24,"PuttsperRoundRound1",2005
35,35,"Jonathan Byrd",NA,28.77,863,30,"PuttsperRoundRound1",2005
35,35,"KJ Choi",NA,28.77,633,22,"PuttsperRoundRound1",2005
37,37,"Carl Pettersson",NA,28.79,950,33,"PuttsperRoundRound1",2005
38,38,"Michael Allen",NA,28.8,864,30,"PuttsperRoundRound1",2005
38,38,"Dudley Hart",NA,28.8,720,25,"PuttsperRoundRound1",2005
38,38,"Jose Maria Olazabal",NA,28.8,432,15,"PuttsperRoundRound1",2005
41,41,"Jose Coceres",NA,28.81,605,21,"PuttsperRoundRound1",2005
42,42,"Len Mattiace",NA,28.82,951,33,"PuttsperRoundRound1",2005
43,43,"Mathias Gronberg",NA,28.83,519,18,"PuttsperRoundRound1",2005
43,43,"Bob Heintz",NA,28.83,692,24,"PuttsperRoundRound1",2005
43,43,"Rod Pampling",NA,28.83,692,24,"PuttsperRoundRound1",2005
46,46,"Chris Riley",NA,28.87,664,23,"PuttsperRoundRound1",2005
47,47,"Richard Johnson",NA,28.88,462,16,"PuttsperRoundRound1",2005
48,48,"Matt Gogel",NA,28.89,780,27,"PuttsperRoundRound1",2005
49,49,"Joe Ogilvie",NA,28.9,838,29,"PuttsperRoundRound1",2005
