"BirdieorBetterPercentage150175ya_RANKTHISWEEK_2009","BirdieorBetterPercentage150175ya_RANKLASTWEEK_2009","BirdieorBetterPercentage150175ya_PLAYERNAME_2009","BirdieorBetterPercentage150175ya_ROUNDS_2009","BirdieorBetterPercentage150175ya_Pct_2009","BirdieorBetterPercentage150175ya_TOTALBIRDIES_2009","BirdieorBetterPercentage150175ya_TOTALHOLES_2009","stat_name","year"
1,1,"Fred Couples",54,22.63,31,137,"BirdieorBetterPercentage150175ya",2009
2,2,"Luke Donald",79,22.22,52,234,"BirdieorBetterPercentage150175ya",2009
3,3,"Kevin Na",91,21.78,71,326,"BirdieorBetterPercentage150175ya",2009
4,4,"Andres Romero",58,21.43,33,154,"BirdieorBetterPercentage150175ya",2009
5,5,"Hunter Mahan",94,20.83,55,264,"BirdieorBetterPercentage150175ya",2009
6,6,"Brandt Snedeker",81,20.49,50,244,"BirdieorBetterPercentage150175ya",2009
7,7,"Joe Durant",62,20,39,195,"BirdieorBetterPercentage150175ya",2009
8,8,"Tiger Woods",64,19.46,36,185,"BirdieorBetterPercentage150175ya",2009
9,9,"Brian Gay",96,19.41,53,273,"BirdieorBetterPercentage150175ya",2009
10,10,"Eric Axley",71,19.21,44,229,"BirdieorBetterPercentage150175ya",2009
11,11,"Michael Letzig",96,19.2,62,323,"BirdieorBetterPercentage150175ya",2009
12,12,"Chris Riley",77,19.19,52,271,"BirdieorBetterPercentage150175ya",2009
13,13,"Parker McLachlin",71,19.18,47,245,"BirdieorBetterPercentage150175ya",2009
14,14,"Mike Weir",85,19.16,50,261,"BirdieorBetterPercentage150175ya",2009
15,15,"Ben Crane",93,19.06,57,299,"BirdieorBetterPercentage150175ya",2009
16,16,"Kris Blanks",60,18.75,33,176,"BirdieorBetterPercentage150175ya",2009
17,17,"Ernie Els",70,18.69,40,214,"BirdieorBetterPercentage150175ya",2009
17,17,"Charley Hoffman",97,18.69,57,305,"BirdieorBetterPercentage150175ya",2009
19,19,"JB Holmes",74,18.52,35,189,"BirdieorBetterPercentage150175ya",2009
20,20,"Richard Johnson",85,18.34,53,289,"BirdieorBetterPercentage150175ya",2009
21,21,"Scott Verplank",88,18.32,59,322,"BirdieorBetterPercentage150175ya",2009
22,22,"Paul Goydos",79,18.3,43,235,"BirdieorBetterPercentage150175ya",2009
23,23,"Kevin Stadler",65,18.18,38,209,"BirdieorBetterPercentage150175ya",2009
24,24,"Geoff Ogilvy",78,18.14,39,215,"BirdieorBetterPercentage150175ya",2009
25,25,"Dustin Johnson",85,18.09,36,199,"BirdieorBetterPercentage150175ya",2009
26,26,"Darron Stiles",52,18.06,28,155,"BirdieorBetterPercentage150175ya",2009
27,27,"Michael Allen",73,17.96,44,245,"BirdieorBetterPercentage150175ya",2009
28,28,"Scott McCarron",91,17.94,61,340,"BirdieorBetterPercentage150175ya",2009
