"FinalRoundScoringAverage_RANKTHISWEEK_2012","FinalRoundScoringAverage_RANKLASTWEEK_2012","FinalRoundScoringAverage_PLAYERNAME_2012","FinalRoundScoringAverage__2012","FinalRoundScoringAverage_AVG_2012","FinalRoundScoringAverage_TOTALSTROKES_2012","FinalRoundScoringAverage_TOTALROUNDS_2012","stat_name","year"
1,1,"Scott Brown",NA,68.14,477,7,"FinalRoundScoringAverage",2012
2,2,"Luke Donald",NA,69.07,1036,15,"FinalRoundScoringAverage",2012
3,3,"David Toms",NA,69.18,761,11,"FinalRoundScoringAverage",2012
4,4,"Jerry Kelly",NA,69.4,1041,15,"FinalRoundScoringAverage",2012
5,5,"Scott Piercy",NA,69.42,1319,19,"FinalRoundScoringAverage",2012
6,6,"Dicky Pride",NA,69.45,764,11,"FinalRoundScoringAverage",2012
7,7,"Justin Rose",NA,69.63,1114,16,"FinalRoundScoringAverage",2012
8,8,"Derek Lamely",NA,69.67,418,6,"FinalRoundScoringAverage",2012
8,8,"Bubba Watson",NA,69.67,1045,15,"FinalRoundScoringAverage",2012
10,10,"Charlie Beljan",NA,69.75,558,8,"FinalRoundScoringAverage",2012
11,11,"Jason Day",NA,69.83,838,12,"FinalRoundScoringAverage",2012
11,11,"Rory McIlroy",NA,69.83,838,12,"FinalRoundScoringAverage",2012
13,13,"Richard Lee",NA,69.9,699,10,"FinalRoundScoringAverage",2012
14,14,"KJ Choi",NA,70,1050,15,"FinalRoundScoringAverage",2012
14,14,"Ben Curtis",NA,70,840,12,"FinalRoundScoringAverage",2012
16,16,"Russell Knox",NA,70.09,771,11,"FinalRoundScoringAverage",2012
16,16,"Jeff Overton",NA,70.09,1542,22,"FinalRoundScoringAverage",2012
18,18,"Robert Allenby",NA,70.1,701,10,"FinalRoundScoringAverage",2012
19,19,"Robert Garrigus",NA,70.11,1332,19,"FinalRoundScoringAverage",2012
19,19,"Bo Van Pelt",NA,70.11,1332,19,"FinalRoundScoringAverage",2012
21,21,"Mark Anderson",NA,70.17,842,12,"FinalRoundScoringAverage",2012
22,22,"David Mathis",NA,70.18,772,11,"FinalRoundScoringAverage",2012
23,23,"Michael Thompson",NA,70.2,1053,15,"FinalRoundScoringAverage",2012
24,24,"Bud Cauley",NA,70.24,1475,21,"FinalRoundScoringAverage",2012
24,24,"Martin Flores",NA,70.24,1194,17,"FinalRoundScoringAverage",2012
26,26,"Kevin Stadler",NA,70.25,1124,16,"FinalRoundScoringAverage",2012
27,27,"Jim Furyk",NA,70.32,1336,19,"FinalRoundScoringAverage",2012
28,28,"Ian Poulter",NA,70.36,985,14,"FinalRoundScoringAverage",2012
29,29,"Roberto Castro",NA,70.37,1337,19,"FinalRoundScoringAverage",2012
30,30,"Brian Gay",NA,70.38,1126,16,"FinalRoundScoringAverage",2012
30,30,"Heath Slocum",NA,70.38,1126,16,"FinalRoundScoringAverage",2012
32,32,"Tiger Woods",NA,70.4,1056,15,"FinalRoundScoringAverage",2012
33,33,"William McGirt",NA,70.41,1197,17,"FinalRoundScoringAverage",2012
34,34,"Scott Stallings",NA,70.42,845,12,"FinalRoundScoringAverage",2012
35,35,"Seung Yul Noh",NA,70.43,1620,23,"FinalRoundScoringAverage",2012
36,36,"Dustin Johnson",NA,70.44,1127,16,"FinalRoundScoringAverage",2012
37,37,"Davis Love III",NA,70.45,775,11,"FinalRoundScoringAverage",2012
38,38,"Kevin Na",NA,70.47,1198,17,"FinalRoundScoringAverage",2012
38,38,"Geoff Ogilvy",NA,70.47,1198,17,"FinalRoundScoringAverage",2012
40,40,"Matt Kuchar",NA,70.5,1410,20,"FinalRoundScoringAverage",2012
40,40,"John Merrick",NA,70.5,987,14,"FinalRoundScoringAverage",2012
40,40,"Carl Pettersson",NA,70.5,1410,20,"FinalRoundScoringAverage",2012
40,40,"Charl Schwartzel",NA,70.5,846,12,"FinalRoundScoringAverage",2012
