"AverageDistanceafterGoingforitShot_RANKTHISWEEK_2009","AverageDistanceafterGoingforitShot_RANKLASTWEEK_2009","AverageDistanceafterGoingforitShot_PLAYERNAME_2009","AverageDistanceafterGoingforitShot_ROUNDS_2009","AverageDistanceafterGoingforitShot_AVG_2009","AverageDistanceafterGoingforitShot_TOTALDISTAFTERGFGSHOT_2009","AverageDistanceafterGoingforitShot_TOTALGFGSHOTS_2009","stat_name","year"
1,1,"Retief Goosen",74,19.7,71683,101,"AverageDistanceafterGoingforitShot",2009
2,2,"Hunter Mahan",94,20.3,129882,178,"AverageDistanceafterGoingforitShot",2009
3,3,"Fred Couples",54,20.5,57625,78,"AverageDistanceafterGoingforitShot",2009
4,4,"Davis Love III",89,20.6,126911,171,"AverageDistanceafterGoingforitShot",2009
4,4,"Sean OHair",80,20.6,94885,128,"AverageDistanceafterGoingforitShot",2009
4,4,"John Senden",100,20.6,134988,182,"AverageDistanceafterGoingforitShot",2009
7,7,"Boo Weekley",79,20.7,107859,145,"AverageDistanceafterGoingforitShot",2009
8,8,"Padraig Harrington",66,21.1,69133,91,"AverageDistanceafterGoingforitShot",2009
8,8,"Steve Stricker",81,21.1,72294,95,"AverageDistanceafterGoingforitShot",2009
10,10,"Lucas Glover",93,21.6,122676,158,"AverageDistanceafterGoingforitShot",2009
10,10,"Kevin Na",91,21.6,104118,134,"AverageDistanceafterGoingforitShot",2009
12,12,"Tim Clark",81,21.7,55556,71,"AverageDistanceafterGoingforitShot",2009
12,12,"Vijay Singh",71,21.7,85866,110,"AverageDistanceafterGoingforitShot",2009
14,14,"Mike Weir",85,22,65777,83,"AverageDistanceafterGoingforitShot",2009
15,15,"Bob Estes",78,22.2,73683,92,"AverageDistanceafterGoingforitShot",2009
16,16,"Robert Allenby",71,22.3,82811,103,"AverageDistanceafterGoingforitShot",2009
16,16,"Ryan Moore",89,22.3,141098,176,"AverageDistanceafterGoingforitShot",2009
16,16,"Nick Watney",86,22.3,141150,176,"AverageDistanceafterGoingforitShot",2009
19,19,"Ken Duke",87,22.4,89709,111,"AverageDistanceafterGoingforitShot",2009
19,19,"JB Holmes",74,22.4,121527,151,"AverageDistanceafterGoingforitShot",2009
19,19,"Pat Perez",74,22.4,103042,128,"AverageDistanceafterGoingforitShot",2009
22,22,"Chris Stroud",88,22.5,116081,143,"AverageDistanceafterGoingforitShot",2009
23,23,"Marc Leishman",91,22.6,136951,168,"AverageDistanceafterGoingforitShot",2009
23,23,"Phil Mickelson",66,22.6,100825,124,"AverageDistanceafterGoingforitShot",2009
23,23,"Geoff Ogilvy",78,22.6,95338,117,"AverageDistanceafterGoingforitShot",2009
23,23,"Kenny Perry",92,22.6,114533,141,"AverageDistanceafterGoingforitShot",2009
23,23,"Scott Piercy",85,22.6,152449,187,"AverageDistanceafterGoingforitShot",2009
23,23,"Jimmy Walker",74,22.6,104182,128,"AverageDistanceafterGoingforitShot",2009
29,29,"Angel Cabrera",55,22.7,71082,87,"AverageDistanceafterGoingforitShot",2009
29,29,"Robert Garrigus",83,22.7,157155,192,"AverageDistanceafterGoingforitShot",2009
29,29,"JJ Henry",97,22.7,126102,154,"AverageDistanceafterGoingforitShot",2009
29,29,"Matt Jones",56,22.7,80957,99,"AverageDistanceafterGoingforitShot",2009
33,33,"Bill Haas",91,22.8,147061,179,"AverageDistanceafterGoingforitShot",2009
33,33,"Leif Olson",51,22.8,64892,79,"AverageDistanceafterGoingforitShot",2009
35,35,"Jason Bohn",88,23,95841,116,"AverageDistanceafterGoingforitShot",2009
35,35,"Mathew Goggin",76,23,113323,137,"AverageDistanceafterGoingforitShot",2009
37,37,"Aaron Baddeley",66,23.1,96445,116,"AverageDistanceafterGoingforitShot",2009
37,37,"Darron Stiles",52,23.1,47352,57,"AverageDistanceafterGoingforitShot",2009
39,39,"Kevin Streelman",97,23.2,150012,180,"AverageDistanceafterGoingforitShot",2009
40,40,"Zach Johnson",94,23.3,109796,131,"AverageDistanceafterGoingforitShot",2009
40,40,"Peter Tomasulo",61,23.3,87405,104,"AverageDistanceafterGoingforitShot",2009
40,40,"Gary Woodland",53,23.3,77877,93,"AverageDistanceafterGoingforitShot",2009
43,43,"Brad Adamonis",70,23.4,86921,103,"AverageDistanceafterGoingforitShot",2009
43,43,"Stephen Ames",77,23.4,93673,111,"AverageDistanceafterGoingforitShot",2009
43,43,"Alex Cejka",82,23.4,98561,117,"AverageDistanceafterGoingforitShot",2009
43,43,"Troy Matteson",95,23.4,154072,183,"AverageDistanceafterGoingforitShot",2009
43,43,"Billy Mayfair",83,23.4,106806,127,"AverageDistanceafterGoingforitShot",2009
43,43,"George McNeill",82,23.4,122741,146,"AverageDistanceafterGoingforitShot",2009
43,43,"Scott Verplank",88,23.4,106181,126,"AverageDistanceafterGoingforitShot",2009
50,50,"Lee Janzen",74,23.5,72760,86,"AverageDistanceafterGoingforitShot",2009
50,50,"Jerry Kelly",90,23.5,103333,122,"AverageDistanceafterGoingforitShot",2009
50,50,"Bryce Molder",69,23.5,53209,63,"AverageDistanceafterGoingforitShot",2009
