"AveragePuttingDistanceAll2putts_RANKTHISWEEK_2007","AveragePuttingDistanceAll2putts_RANKLASTWEEK_2007","AveragePuttingDistanceAll2putts_PLAYERNAME_2007","AveragePuttingDistanceAll2putts_ROUNDS_2007","AveragePuttingDistanceAll2putts_AVG_2007","AveragePuttingDistanceAll2putts_DISTANCEFEET_2007","AveragePuttingDistanceAll2putts_TOTALPUTTS_2007","stat_name","year"
1,1,"Chris Tidland",59,NA,13226.25,532,"AveragePuttingDistanceAll2putts",2007
2,2,"Jim Rutledge",59,NA,12529.25,506,"AveragePuttingDistanceAll2putts",2007
3,3,"KJ Choi",87,NA,16522.667,675,"AveragePuttingDistanceAll2putts",2007
4,4,"Jesper Parnevik",88,NA,18199.667,746,"AveragePuttingDistanceAll2putts",2007
5,5,"Mathew Goggin",97,NA,22240.5,920,"AveragePuttingDistanceAll2putts",2007
6,6,"Gavin Coles",87,NA,18861.167,783,"AveragePuttingDistanceAll2putts",2007
7,7,"Charles Howell III",89,NA,16697.333,698,"AveragePuttingDistanceAll2putts",2007
8,8,"Craig Lile",77,NA,16451.583,691,"AveragePuttingDistanceAll2putts",2007
9,9,"Richard Johnson",93,NA,21552.667,906,"AveragePuttingDistanceAll2putts",2007
10,10,"Stephen Leaney",82,NA,18983.75,801,"AveragePuttingDistanceAll2putts",2007
10,10,"John Senden",97,NA,21489.083,907,"AveragePuttingDistanceAll2putts",2007
10,10,"Charlie Wi",90,NA,20470.167,864,"AveragePuttingDistanceAll2putts",2007
13,13,"Michael Sim",52,NA,12044.083,511,"AveragePuttingDistanceAll2putts",2007
14,14,"Tom Byrum",50,NA,10430.083,444,"AveragePuttingDistanceAll2putts",2007
14,14,"Kevin Sutherland",85,NA,17306.583,737,"AveragePuttingDistanceAll2putts",2007
14,14,"Nick Watney",87,NA,16729.417,712,"AveragePuttingDistanceAll2putts",2007
17,17,"Chris Couch",76,NA,17396.667,743,"AveragePuttingDistanceAll2putts",2007
17,17,"JJ Henry",86,NA,17551.417,749,"AveragePuttingDistanceAll2putts",2007
17,17,"Doug LaBelle II",104,NA,22452.583,959,"AveragePuttingDistanceAll2putts",2007
17,17,"Brandt Snedeker",105,NA,20331.833,867,"AveragePuttingDistanceAll2putts",2007
21,21,"Steve Allan",63,NA,13178.833,564,"AveragePuttingDistanceAll2putts",2007
