"BirdieorBetterPercentageLess125_RANKTHISWEEK_2014","BirdieorBetterPercentageLess125_RANKLASTWEEK_2014","BirdieorBetterPercentageLess125_PLAYERNAME_2014","BirdieorBetterPercentageLess125_ROUNDS_2014","BirdieorBetterPercentageLess125_Pct_2014","BirdieorBetterPercentageLess125_TOTALBIRDIES_2014","BirdieorBetterPercentageLess125_TOTALHOLES_2014","stat_name","year"
1,1,"Stuart Appleby",92,29.43,93,316,"BirdieorBetterPercentageLess125",2014
2,2,"Jimmy Walker",98,29.21,78,267,"BirdieorBetterPercentageLess125",2014
3,3,"Ian Poulter",57,29.08,41,141,"BirdieorBetterPercentageLess125",2014
4,4,"Kevin Streelman",79,29.03,72,248,"BirdieorBetterPercentageLess125",2014
5,5,"Justin Leonard",75,28.82,66,229,"BirdieorBetterPercentageLess125",2014
6,6,"Matt Every",85,28.77,61,212,"BirdieorBetterPercentageLess125",2014
7,7,"George McNeill",79,28.69,68,237,"BirdieorBetterPercentageLess125",2014
8,8,"Jason Dufner",57,28.48,43,151,"BirdieorBetterPercentageLess125",2014
9,9,"Rory McIlroy",66,28.25,50,177,"BirdieorBetterPercentageLess125",2014
10,10,"Hideki Matsuyama",82,28,56,200,"BirdieorBetterPercentageLess125",2014
11,11,"Jerry Kelly",80,27.54,65,236,"BirdieorBetterPercentageLess125",2014
12,12,"Brad Fritsch",50,27.2,34,125,"BirdieorBetterPercentageLess125",2014
13,13,"Richard Lee",80,27.16,63,232,"BirdieorBetterPercentageLess125",2014
14,14,"Geoff Ogilvy",84,26.9,78,290,"BirdieorBetterPercentageLess125",2014
15,15,"Luke Donald",57,26.67,40,150,"BirdieorBetterPercentageLess125",2014
15,15,"Rickie Fowler",91,26.67,60,225,"BirdieorBetterPercentageLess125",2014
17,17,"Tim Clark",75,26.53,65,245,"BirdieorBetterPercentageLess125",2014
18,18,"Greg Chalmers",85,26.52,74,279,"BirdieorBetterPercentageLess125",2014
18,18,"Camilo Villegas",95,26.52,87,328,"BirdieorBetterPercentageLess125",2014
20,20,"Danny Lee",84,26.34,59,224,"BirdieorBetterPercentageLess125",2014
21,21,"Matt Kuchar",91,26.3,81,308,"BirdieorBetterPercentageLess125",2014
22,22,"Adam Scott",68,26.2,49,187,"BirdieorBetterPercentageLess125",2014
23,23,"Graeme McDowell",66,26.01,45,173,"BirdieorBetterPercentageLess125",2014
24,24,"Henrik Stenson",56,25.98,33,127,"BirdieorBetterPercentageLess125",2014
25,25,"Ryo Ishikawa",75,25.96,61,235,"BirdieorBetterPercentageLess125",2014
26,26,"Zach Johnson",97,25.95,82,316,"BirdieorBetterPercentageLess125",2014
26,26,"Webb Simpson",87,25.95,75,289,"BirdieorBetterPercentageLess125",2014
28,28,"Charl Schwartzel",64,25.91,50,193,"BirdieorBetterPercentageLess125",2014
29,29,"Bubba Watson",76,25.75,69,268,"BirdieorBetterPercentageLess125",2014
30,30,"Billy Hurley III",86,25.74,70,272,"BirdieorBetterPercentageLess125",2014
31,31,"Russell Henley",92,25.6,75,293,"BirdieorBetterPercentageLess125",2014
32,32,"Brian Davis",93,25.45,85,334,"BirdieorBetterPercentageLess125",2014
33,33,"Will Ma Kenzie",82,25.29,66,261,"BirdieorBetterPercentageLess125",2014
34,34,"Tommy Gainey",73,25.2,64,254,"BirdieorBetterPercentageLess125",2014
35,35,"Ben Curtis",77,25.12,53,211,"BirdieorBetterPercentageLess125",2014
36,36,"Jim Furyk",84,25,57,228,"BirdieorBetterPercentageLess125",2014
36,36,"Brian Harman",111,25,107,428,"BirdieorBetterPercentageLess125",2014
36,36,"Scott Langley",95,25,76,304,"BirdieorBetterPercentageLess125",2014
39,39,"KJ Choi",80,24.9,61,245,"BirdieorBetterPercentageLess125",2014
39,39,"Robert Streb",75,24.9,60,241,"BirdieorBetterPercentageLess125",2014
41,41,"Keegan Bradley",89,24.89,57,229,"BirdieorBetterPercentageLess125",2014
42,42,"David Toms",64,24.88,53,213,"BirdieorBetterPercentageLess125",2014
43,43,"Paul Casey",56,24.81,33,133,"BirdieorBetterPercentageLess125",2014
44,44,"Bryce Molder",77,24.79,59,238,"BirdieorBetterPercentageLess125",2014
45,45,"Justin Hicks",103,24.78,84,339,"BirdieorBetterPercentageLess125",2014
46,46,"Carl Pettersson",91,24.76,78,315,"BirdieorBetterPercentageLess125",2014
47,47,"Angel Cabrera",69,24.68,57,231,"BirdieorBetterPercentageLess125",2014
48,48,"Jason Day",54,24.63,33,134,"BirdieorBetterPercentageLess125",2014
