"TenthTeeLateScoringAverage_RANKTHISWEEK_2012","TenthTeeLateScoringAverage_RANKLASTWEEK_2012","TenthTeeLateScoringAverage_PLAYERNAME_2012","TenthTeeLateScoringAverage_ROUNDS_2012","TenthTeeLateScoringAverage_AVG_2012","TenthTeeLateScoringAverage_TOTALSTROKES_2012","TenthTeeLateScoringAverage_TOTAL10THTEELATERNDS_2012","stat_name","year"
1,1,"Bubba Watson",68,65,65,1,"TenthTeeLateScoringAverage",2012
2,2,"Luke Donald",63,66,132,2,"TenthTeeLateScoringAverage",2012
3,3,"Justin Rose",69,68,272,4,"TenthTeeLateScoringAverage",2012
3,3,"Steve Stricker",73,68,68,1,"TenthTeeLateScoringAverage",2012
3,3,"Tiger Woods",69,68,68,1,"TenthTeeLateScoringAverage",2012
6,6,"Brandt Snedeker",81,68.25,546,8,"TenthTeeLateScoringAverage",2012
7,7,"Jason Dufner",83,68.57,480,7,"TenthTeeLateScoringAverage",2012
8,8,"Jim Furyk",85,68.75,550,8,"TenthTeeLateScoringAverage",2012
9,9,"Brendon de Jonge",115,68.94,1241,18,"TenthTeeLateScoringAverage",2012
10,10,"Phil Mickelson",79,69,69,1,"TenthTeeLateScoringAverage",2012
10,10,"Adam Scott",59,69,276,4,"TenthTeeLateScoringAverage",2012
12,12,"John Senden",81,69.2,692,10,"TenthTeeLateScoringAverage",2012
13,13,"Rickie Fowler",84,69.25,277,4,"TenthTeeLateScoringAverage",2012
13,13,"Matt Kuchar",86,69.25,277,4,"TenthTeeLateScoringAverage",2012
15,15,"Geoff Ogilvy",73,69.27,762,11,"TenthTeeLateScoringAverage",2012
16,16,"Sergio Garcia",57,69.75,279,4,"TenthTeeLateScoringAverage",2012
17,17,"Stewart Cink",71,69.78,628,9,"TenthTeeLateScoringAverage",2012
18,18,"Jeff Maggert",83,69.81,1117,16,"TenthTeeLateScoringAverage",2012
19,19,"Vijay Singh",99,69.92,909,13,"TenthTeeLateScoringAverage",2012
20,20,"Troy Matteson",100,69.94,1189,17,"TenthTeeLateScoringAverage",2012
21,21,"John Rollins",81,70,1050,15,"TenthTeeLateScoringAverage",2012
22,22,"Seung Yul Noh",105,70.05,1331,19,"TenthTeeLateScoringAverage",2012
23,23,"Jonas Blixt",72,70.08,911,13,"TenthTeeLateScoringAverage",2012
24,24,"Brian Harman",101,70.09,771,11,"TenthTeeLateScoringAverage",2012
25,25,"Tim Clark",60,70.13,561,8,"TenthTeeLateScoringAverage",2012
25,25,"Danny Lee",74,70.13,1052,15,"TenthTeeLateScoringAverage",2012
27,27,"Sean OHair",84,70.2,1053,15,"TenthTeeLateScoringAverage",2012
28,28,"Bo Van Pelt",84,70.25,843,12,"TenthTeeLateScoringAverage",2012
29,29,"John Merrick",83,70.27,1546,22,"TenthTeeLateScoringAverage",2012
29,29,"Pat Perez",81,70.27,773,11,"TenthTeeLateScoringAverage",2012
31,31,"Tom Gillis",75,70.31,914,13,"TenthTeeLateScoringAverage",2012
31,31,"Nathan Green",73,70.31,1125,16,"TenthTeeLateScoringAverage",2012
31,31,"Matt Jones",53,70.31,914,13,"TenthTeeLateScoringAverage",2012
31,31,"Rocco Mediate",70,70.31,914,13,"TenthTeeLateScoringAverage",2012
35,35,"Cameron Beckman",81,70.33,844,12,"TenthTeeLateScoringAverage",2012
36,36,"Erik Compton",81,70.38,1126,16,"TenthTeeLateScoringAverage",2012
37,37,"Zach Johnson",95,70.4,352,5,"TenthTeeLateScoringAverage",2012
38,38,"Kevin Chappell",91,70.44,634,9,"TenthTeeLateScoringAverage",2012
39,39,"David Hearn",95,70.47,1339,19,"TenthTeeLateScoringAverage",2012
40,40,"Sangmoon Bae",81,70.5,846,12,"TenthTeeLateScoringAverage",2012
40,40,"Louis Oosthuizen",65,70.5,564,8,"TenthTeeLateScoringAverage",2012
40,40,"Henrik Stenson",51,70.5,282,4,"TenthTeeLateScoringAverage",2012
43,43,"Spencer Levin",81,70.53,1058,15,"TenthTeeLateScoringAverage",2012
44,44,"Trevor Immelman",76,70.55,776,11,"TenthTeeLateScoringAverage",2012
45,45,"Chad Campbell",84,70.56,1129,16,"TenthTeeLateScoringAverage",2012
46,46,"Will Claxton",99,70.57,1482,21,"TenthTeeLateScoringAverage",2012
46,46,"Bill Haas",79,70.57,494,7,"TenthTeeLateScoringAverage",2012
46,46,"Kevin Kisner",69,70.57,988,14,"TenthTeeLateScoringAverage",2012
49,49,"Nick Watney",97,70.6,353,5,"TenthTeeLateScoringAverage",2012
50,50,"John Huh",99,70.62,1836,26,"TenthTeeLateScoringAverage",2012
50,50,"George McNeill",85,70.62,1483,21,"TenthTeeLateScoringAverage",2012
52,52,"Brian Gay",91,70.63,1342,19,"TenthTeeLateScoringAverage",2012
52,52,"Troy Kelly",68,70.63,1130,16,"TenthTeeLateScoringAverage",2012
54,54,"Blake Adams",107,70.65,1201,17,"TenthTeeLateScoringAverage",2012
54,54,"Chris Kirk",93,70.65,1413,20,"TenthTeeLateScoringAverage",2012
56,56,"Lee Westwood",60,70.67,212,3,"TenthTeeLateScoringAverage",2012
57,57,"Ryan Palmer",81,70.68,1343,19,"TenthTeeLateScoringAverage",2012
58,58,"Martin Laird",77,70.69,1131,16,"TenthTeeLateScoringAverage",2012
59,59,"Michael Bradley",63,70.71,990,14,"TenthTeeLateScoringAverage",2012
59,59,"JB Holmes",90,70.71,990,14,"TenthTeeLateScoringAverage",2012
59,59,"Jeff Overton",101,70.71,1697,24,"TenthTeeLateScoringAverage",2012
59,59,"Rory Sabbatini",84,70.71,1202,17,"TenthTeeLateScoringAverage",2012
63,63,"Jonathan Byrd",69,70.73,778,11,"TenthTeeLateScoringAverage",2012
63,63,"Kevin Stadler",85,70.73,778,11,"TenthTeeLateScoringAverage",2012
65,65,"Ricky Barnes",92,70.75,1132,16,"TenthTeeLateScoringAverage",2012
65,65,"Bud Cauley",99,70.75,849,12,"TenthTeeLateScoringAverage",2012
67,67,"Justin Leonard",79,70.77,920,13,"TenthTeeLateScoringAverage",2012
68,68,"Charles Howell III",98,70.79,1345,19,"TenthTeeLateScoringAverage",2012
68,68,"Bryce Molder",83,70.79,991,14,"TenthTeeLateScoringAverage",2012
70,70,"Roberto Castro",92,70.81,1133,16,"TenthTeeLateScoringAverage",2012
71,71,"James Driscoll",83,70.86,992,14,"TenthTeeLateScoringAverage",2012
71,71,"Richard Lee",71,70.86,496,7,"TenthTeeLateScoringAverage",2012
71,71,"Steve Wheatcroft",56,70.86,992,14,"TenthTeeLateScoringAverage",2012
74,74,"Gary Christian",91,70.88,1134,16,"TenthTeeLateScoringAverage",2012
74,74,"Harris English",98,70.88,1134,16,"TenthTeeLateScoringAverage",2012
74,74,"Heath Slocum",93,70.88,1134,16,"TenthTeeLateScoringAverage",2012
77,77,"Cameron Tringale",88,70.9,1418,20,"TenthTeeLateScoringAverage",2012
78,78,"Boo Weekley",74,70.91,780,11,"TenthTeeLateScoringAverage",2012
79,79,"Ben Curtis",62,70.93,993,14,"TenthTeeLateScoringAverage",2012
80,80,"Charlie Wi",86,70.94,1206,17,"TenthTeeLateScoringAverage",2012
81,81,"Bobby Gates",87,70.95,1561,22,"TenthTeeLateScoringAverage",2012
82,82,"Jason Bohn",81,71,1349,19,"TenthTeeLateScoringAverage",2012
82,82,"Keegan Bradley",90,71,71,1,"TenthTeeLateScoringAverage",2012
82,82,"Ben Crane",73,71,994,14,"TenthTeeLateScoringAverage",2012
82,82,"Bob Estes",78,71,1136,16,"TenthTeeLateScoringAverage",2012
82,82,"Russell Knox",72,71,710,10,"TenthTeeLateScoringAverage",2012
82,82,"Graeme McDowell",55,71,497,7,"TenthTeeLateScoringAverage",2012
82,82,"Garth Mulroy",59,71,852,12,"TenthTeeLateScoringAverage",2012
82,82,"Jhonattan Vegas",77,71,994,14,"TenthTeeLateScoringAverage",2012
90,90,"Tim Herron",88,71.06,1208,17,"TenthTeeLateScoringAverage",2012
90,90,"Jerry Kelly",84,71.06,1208,17,"TenthTeeLateScoringAverage",2012
92,92,"Kyle Stanley",86,71.07,995,14,"TenthTeeLateScoringAverage",2012
93,93,"Kyle Reifers",86,71.08,853,12,"TenthTeeLateScoringAverage",2012
94,94,"Tommy Gainey",98,71.09,782,11,"TenthTeeLateScoringAverage",2012
94,94,"William McGirt",96,71.09,1564,22,"TenthTeeLateScoringAverage",2012
96,96,"Ryo Ishikawa",54,71.14,498,7,"TenthTeeLateScoringAverage",2012
97,97,"Miguel Angel Carballo",73,71.18,1210,17,"TenthTeeLateScoringAverage",2012
98,98,"DA Points",88,71.2,1424,20,"TenthTeeLateScoringAverage",2012
98,98,"Roland Thatcher",55,71.2,1068,15,"TenthTeeLateScoringAverage",2012
98,98,"Michael Thompson",80,71.2,1068,15,"TenthTeeLateScoringAverage",2012
101,101,"Rod Pampling",88,71.21,997,14,"TenthTeeLateScoringAverage",2012
102,102,"Stuart Appleby",75,71.22,641,9,"TenthTeeLateScoringAverage",2012
103,103,"Brian Davis",91,71.25,855,12,"TenthTeeLateScoringAverage",2012
103,103,"Ernie Els",80,71.25,285,4,"TenthTeeLateScoringAverage",2012
103,103,"Dustin Johnson",70,71.25,285,4,"TenthTeeLateScoringAverage",2012
106,106,"JJ Henry",93,71.28,1283,18,"TenthTeeLateScoringAverage",2012
107,107,"Greg Chalmers",88,71.29,998,14,"TenthTeeLateScoringAverage",2012
107,107,"Camilo Villegas",79,71.29,499,7,"TenthTeeLateScoringAverage",2012
109,109,"Billy Mayfair",90,71.33,1070,15,"TenthTeeLateScoringAverage",2012
110,110,"Charley Hoffman",88,71.36,1784,25,"TenthTeeLateScoringAverage",2012
111,111,"Marco Dawson",60,71.38,928,13,"TenthTeeLateScoringAverage",2012
111,111,"Martin Flores",95,71.38,928,13,"TenthTeeLateScoringAverage",2012
111,111,"Ryan Moore",89,71.38,1142,16,"TenthTeeLateScoringAverage",2012
114,114,"Brandt Jobe",57,71.4,714,10,"TenthTeeLateScoringAverage",2012
115,115,"Chez Reavie",83,71.41,1571,22,"TenthTeeLateScoringAverage",2012
116,116,"Angel Cabrera",54,71.44,643,9,"TenthTeeLateScoringAverage",2012
117,117,"Derek Lamely",64,71.46,929,13,"TenthTeeLateScoringAverage",2012
118,118,"Jimmy Walker",101,71.47,1072,15,"TenthTeeLateScoringAverage",2012
119,119,"Daniel Summerhays",81,71.5,1287,18,"TenthTeeLateScoringAverage",2012
120,120,"Chris DiMarco",83,71.53,1216,17,"TenthTeeLateScoringAverage",2012
121,121,"Charlie Beljan",61,71.55,787,11,"TenthTeeLateScoringAverage",2012
121,121,"Jason Kokrak",79,71.55,787,11,"TenthTeeLateScoringAverage",2012
121,121,"Kevin Streelman",89,71.55,1431,20,"TenthTeeLateScoringAverage",2012
124,124,"Robert Karlsson",54,71.56,644,9,"TenthTeeLateScoringAverage",2012
125,125,"Gavin Coles",72,71.57,1002,14,"TenthTeeLateScoringAverage",2012
126,126,"Carl Pettersson",92,71.59,1217,17,"TenthTeeLateScoringAverage",2012
127,127,"Matt Every",80,71.61,1289,18,"TenthTeeLateScoringAverage",2012
128,128,"Mathew Goggin",65,71.62,1504,21,"TenthTeeLateScoringAverage",2012
129,129,"Scott Piercy",95,71.63,1146,16,"TenthTeeLateScoringAverage",2012
130,130,"Harrison Frazar",56,71.67,1075,15,"TenthTeeLateScoringAverage",2012
130,130,"Kevin Na",80,71.67,1075,15,"TenthTeeLateScoringAverage",2012
132,132,"Ken Duke",104,71.68,1577,22,"TenthTeeLateScoringAverage",2012
133,133,"Ryuji Imada",78,71.71,1219,17,"TenthTeeLateScoringAverage",2012
133,133,"Vaughn Taylor",81,71.71,1219,17,"TenthTeeLateScoringAverage",2012
135,135,"Marc Leishman",84,71.73,789,11,"TenthTeeLateScoringAverage",2012
136,136,"Charl Schwartzel",56,71.75,287,4,"TenthTeeLateScoringAverage",2012
137,137,"Johnson Wagner",88,71.76,1220,17,"TenthTeeLateScoringAverage",2012
138,138,"Hunter Haas",69,71.79,1005,14,"TenthTeeLateScoringAverage",2012
139,139,"Davis Love III",64,71.8,359,5,"TenthTeeLateScoringAverage",2012
139,139,"John Mallinger",74,71.8,1077,15,"TenthTeeLateScoringAverage",2012
141,141,"Robert Garrigus",89,71.82,1221,17,"TenthTeeLateScoringAverage",2012
142,142,"Ian Poulter",57,71.83,431,6,"TenthTeeLateScoringAverage",2012
