"LeftRoughProximity_RANKTHISWEEK_2013","LeftRoughProximity_RANKLASTWEEK_2013","LeftRoughProximity_PLAYERNAME_2013","LeftRoughProximity_ROUNDS_2013","LeftRoughProximity_AVG_2013","LeftRoughProximity_ATTEMPTS_2013","LeftRoughProximity_TOTALDISTANCEFEET_2013","LeftRoughProximity_RELATIVETOPAR_2013","stat_name","year"
1,1,"Bo Van Pelt",72,NA,71,2457.833,-1,"LeftRoughProximity",2013
2,2,"Padraig Harrington",52,NA,57,1992.667,1,"LeftRoughProximity",2013
3,3,"Jin Park",52,NA,73,2653.417,3,"LeftRoughProximity",2013
4,4,"Nick Watney",88,NA,108,3970.583,15,"LeftRoughProximity",2013
5,5,"DA Points",87,NA,120,4457.167,12,"LeftRoughProximity",2013
6,6,"Ricky Barnes",74,NA,113,4210.333,8,"LeftRoughProximity",2013
7,7,"Ian Poulter",59,NA,56,2099.417,2,"LeftRoughProximity",2013
8,8,"Vijay Singh",61,NA,85,3214.083,13,"LeftRoughProximity",2013
8,8,"Camilo Villegas",79,NA,120,4539.417,31,"LeftRoughProximity",2013
10,10,"Chris Kirk",89,NA,120,4547,-1,"LeftRoughProximity",2013
11,11,"Roberto Castro",97,NA,115,4410,14,"LeftRoughProximity",2013
12,12,"Scott Piercy",78,NA,90,3455.333,8,"LeftRoughProximity",2013
13,13,"Sergio Garcia",65,NA,98,3781.25,-8,"LeftRoughProximity",2013
14,14,"Stewart Cink",71,NA,96,3715.833,8,"LeftRoughProximity",2013
14,14,"Charley Hoffman",84,NA,118,4559.25,5,"LeftRoughProximity",2013
16,16,"Brian Harman",89,NA,151,5855.083,32,"LeftRoughProximity",2013
16,16,"Henrik Stenson",65,NA,66,2556.917,5,"LeftRoughProximity",2013
16,16,"Tiger Woods",61,NA,47,1822.917,1,"LeftRoughProximity",2013
19,19,"Rory McIlroy",56,NA,71,2757.583,-14,"LeftRoughProximity",2013
19,19,"Kevin Stadler",83,NA,134,5205,-2,"LeftRoughProximity",2013
21,21,"Martin Flores",83,NA,179,6960.083,16,"LeftRoughProximity",2013
21,21,"Webb Simpson",92,NA,116,4515.75,14,"LeftRoughProximity",2013
23,23,"Rickie Fowler",75,NA,112,4365.417,16,"LeftRoughProximity",2013
24,24,"Adam Scott",61,NA,79,3101.917,2,"LeftRoughProximity",2013
24,24,"Jordan Spieth",82,NA,89,3490.833,8,"LeftRoughProximity",2013
24,24,"Nicholas Thompson",99,NA,170,6674.25,21,"LeftRoughProximity",2013
27,27,"Matt Every",89,NA,151,5937.833,10,"LeftRoughProximity",2013
28,28,"Nicolas Colsaerts",50,NA,72,2851.333,12,"LeftRoughProximity",2013
29,29,"Morgan Hoffmann",64,NA,107,4240,8,"LeftRoughProximity",2013
29,29,"David Lynn",70,NA,102,4045.833,13,"LeftRoughProximity",2013
29,29,"Pat Perez",69,NA,110,4367.333,12,"LeftRoughProximity",2013
29,29,"Brian Stuard",78,NA,107,4247.5,5,"LeftRoughProximity",2013
29,29,"Bubba Watson",76,NA,105,4166.167,-6,"LeftRoughProximity",2013
34,34,"Martin Kaymer",61,NA,73,2908.833,3,"LeftRoughProximity",2013
34,34,"Brandt Snedeker",79,NA,93,3707.167,3,"LeftRoughProximity",2013
36,36,"David Mathis",71,NA,94,3765.167,21,"LeftRoughProximity",2013
36,36,"Seung Yul Noh",71,NA,149,5976.25,9,"LeftRoughProximity",2013
36,36,"Kevin Streelman",86,NA,107,4285,9,"LeftRoughProximity",2013
39,39,"Tommy Gainey",84,NA,156,6262,18,"LeftRoughProximity",2013
40,40,"Troy Matteson",68,NA,101,4068.583,9,"LeftRoughProximity",2013
40,40,"John Rollins",77,NA,106,4268.583,7,"LeftRoughProximity",2013
42,42,"Tim Clark",64,NA,65,2620.917,15,"LeftRoughProximity",2013
43,43,"Jim Herman",59,NA,85,3438.75,4,"LeftRoughProximity",2013
43,43,"Eric Meierdierks",48,NA,85,3435.083,15,"LeftRoughProximity",2013
45,45,"Charlie Beljan",62,NA,95,3850.083,8,"LeftRoughProximity",2013
46,46,"Jerry Kelly",75,NA,96,3894.667,6,"LeftRoughProximity",2013
46,46,"David Toms",49,NA,45,1824.583,6,"LeftRoughProximity",2013
48,48,"Stuart Appleby",88,NA,120,4875.083,11,"LeftRoughProximity",2013
48,48,"Brandt Jobe",62,NA,68,2765.333,4,"LeftRoughProximity",2013
50,50,"Gary Woodland",94,NA,151,6155.5,5,"LeftRoughProximity",2013
51,51,"David Lingmerth",68,NA,91,3717.917,12,"LeftRoughProximity",2013
52,52,"Jeff Overton",78,NA,147,6008.917,17,"LeftRoughProximity",2013
52,52,"Josh Teater",86,NA,88,3599.333,8,"LeftRoughProximity",2013
54,54,"Scott Gardiner",61,NA,91,3746.5,20,"LeftRoughProximity",2013
54,54,"Bill Haas",85,NA,130,5355.583,6,"LeftRoughProximity",2013
56,56,"Jim Furyk",80,NA,81,3341.75,13,"LeftRoughProximity",2013
56,56,"Martin Laird",68,NA,78,3217.5,7,"LeftRoughProximity",2013
56,56,"Chez Reavie",72,NA,102,4207.833,7,"LeftRoughProximity",2013
59,59,"Bobby Gates",49,NA,80,3307.417,6,"LeftRoughProximity",2013
59,59,"John Huh",88,NA,101,4173.333,16,"LeftRoughProximity",2013
61,61,"Hunter Mahan",91,NA,95,3930.833,15,"LeftRoughProximity",2013
61,61,"Rod Pampling",46,NA,51,2110.333,13,"LeftRoughProximity",2013
61,61,"Alistair Presnell",59,NA,85,3520.75,29,"LeftRoughProximity",2013
64,64,"Brendon de Jonge",110,NA,124,5147.833,18,"LeftRoughProximity",2013
64,64,"Freddie Jacobson",63,NA,78,3237.833,0,"LeftRoughProximity",2013
64,64,"Daniel Summerhays",83,NA,139,5767.083,10,"LeftRoughProximity",2013
67,67,"Dustin Johnson",71,NA,114,4741,6,"LeftRoughProximity",2013
68,68,"Erik Compton",74,NA,130,5416.167,21,"LeftRoughProximity",2013
68,68,"Phil Mickelson",78,NA,134,5582.417,6,"LeftRoughProximity",2013
70,70,"Sangmoon Bae",83,NA,129,5381.5,9,"LeftRoughProximity",2013
70,70,"Luke Guthrie",82,NA,135,5637.75,25,"LeftRoughProximity",2013
70,70,"David Hearn",88,NA,101,4216,13,"LeftRoughProximity",2013
70,70,"DH Lee",65,NA,65,2716.25,5,"LeftRoughProximity",2013
70,70,"Sean OHair",56,NA,110,4593.167,36,"LeftRoughProximity",2013
70,70,"Boo Weekley",100,NA,115,4803.667,17,"LeftRoughProximity",2013
76,76,"Keegan Bradley",88,NA,120,5032.417,16,"LeftRoughProximity",2013
76,76,"Angel Cabrera",73,NA,111,4653.25,7,"LeftRoughProximity",2013
76,76,"Matt Kuchar",93,NA,126,5285.583,6,"LeftRoughProximity",2013
76,76,"Rory Sabbatini",86,NA,138,5787.333,14,"LeftRoughProximity",2013
76,76,"Shawn Stefani",63,NA,118,4949.583,10,"LeftRoughProximity",2013
81,81,"Justin Bolli",59,NA,80,3369.083,16,"LeftRoughProximity",2013
81,81,"Aaron Watkins",46,NA,52,2189.167,12,"LeftRoughProximity",2013
83,83,"Jimmy Walker",84,NA,144,6101.417,-3,"LeftRoughProximity",2013
84,84,"Ben Kohles",75,NA,92,3909.667,16,"LeftRoughProximity",2013
85,85,"Jason Dufner",78,NA,105,4470.5,2,"LeftRoughProximity",2013
85,85,"Robert Garrigus",69,NA,108,4599.667,-1,"LeftRoughProximity",2013
87,87,"Will Claxton",67,NA,104,4439.917,17,"LeftRoughProximity",2013
87,87,"Geoff Ogilvy",57,NA,74,3156.833,7,"LeftRoughProximity",2013
