"ParBreakers_RANKTHISWEEK_2014","ParBreakers_RANKLASTWEEK_2014","ParBreakers_PLAYERNAME_2014","ParBreakers_ROUNDS_2014","ParBreakers_Pct_2014","ParBreakers_BIRDIESEAGLES_2014","ParBreakers_HOLES_2014","stat_name","year"
1,1,"Rory McIlroy",66,26.22,302,1152,"ParBreakers",2014
2,2,"Adam Scott",68,24.18,296,1224,"ParBreakers",2014
3,3,"Jimmy Walker",98,23.5,406,1728,"ParBreakers",2014
4,4,"Dustin Johnson",58,23.39,240,1026,"ParBreakers",2014
5,5,"Charl Schwartzel",64,22.85,255,1116,"ParBreakers",2014
6,6,"Bubba Watson",76,22.83,300,1314,"ParBreakers",2014
7,7,"Ryan Palmer",85,22.68,347,1530,"ParBreakers",2014
8,8,"Henrik Stenson",56,22.33,217,972,"ParBreakers",2014
9,9,"Jordan Spieth",102,22.28,393,1764,"ParBreakers",2014
10,10,"Ryo Ishikawa",75,22.15,299,1350,"ParBreakers",2014
10,10,"Hideki Matsuyama",82,22.15,319,1440,"ParBreakers",2014
12,12,"Brooks Koepka",56,22.02,222,1008,"ParBreakers",2014
13,13,"Robert Garrigus",80,22.01,317,1440,"ParBreakers",2014
14,14,"Charley Hoffman",93,21.98,368,1674,"ParBreakers",2014
15,15,"Sergio Garcia",61,21.93,229,1044,"ParBreakers",2014
16,16,"Justin Rose",70,21.9,268,1224,"ParBreakers",2014
17,17,"Rickie Fowler",91,21.83,334,1530,"ParBreakers",2014
18,18,"Chris Stroud",88,21.72,344,1584,"ParBreakers",2014
19,19,"Jason Kokrak",65,21.71,254,1170,"ParBreakers",2014
20,20,"Ryan Moore",86,21.69,328,1512,"ParBreakers",2014
21,21,"Harris English",95,21.68,359,1656,"ParBreakers",2014
22,22,"Kevin Chappell",100,21.64,374,1728,"ParBreakers",2014
23,23,"Keegan Bradley",89,21.59,342,1584,"ParBreakers",2014
23,23,"Matt Kuchar",91,21.59,342,1584,"ParBreakers",2014
25,25,"Graham DeLaet",80,21.38,304,1422,"ParBreakers",2014
26,26,"Paul Casey",56,21.33,215,1008,"ParBreakers",2014
27,27,"George McNeill",79,21.24,302,1422,"ParBreakers",2014
28,28,"Webb Simpson",87,21.23,321,1512,"ParBreakers",2014
29,29,"Phil Mickelson",71,21.13,270,1278,"ParBreakers",2014
30,30,"Kevin Na",94,21.1,357,1692,"ParBreakers",2014
31,31,"Morgan Hoffmann",103,21.04,375,1782,"ParBreakers",2014
31,31,"Andrew Loupe",65,21.04,231,1098,"ParBreakers",2014
33,33,"Lee Westwood",57,21.03,212,1008,"ParBreakers",2014
34,34,"Charles Howell III",106,21.02,401,1908,"ParBreakers",2014
35,35,"Martin Kaymer",65,21.01,242,1152,"ParBreakers",2014
