"EarlyPar5ScoringAverage_RANKTHISWEEK_2012","EarlyPar5ScoringAverage_RANKLASTWEEK_2012","EarlyPar5ScoringAverage_PLAYERNAME_2012","EarlyPar5ScoringAverage_ROUNDS_2012","EarlyPar5ScoringAverage_AVG_2012","EarlyPar5ScoringAverage_TOTALSTROKES_2012","EarlyPar5ScoringAverage_TOTALHOLES_2012","stat_name","year"
1,1,"Sergio Garcia",57,4.42,323,73,"EarlyPar5ScoringAverage",2012
1,1,"Bubba Watson",68,4.42,402,91,"EarlyPar5ScoringAverage",2012
3,3,"Rory McIlroy",60,4.49,256,57,"EarlyPar5ScoringAverage",2012
3,3,"Henrik Stenson",51,4.49,301,67,"EarlyPar5ScoringAverage",2012
5,5,"Jeff Overton",101,4.5,715,159,"EarlyPar5ScoringAverage",2012
6,6,"Keegan Bradley",90,4.51,573,127,"EarlyPar5ScoringAverage",2012
6,6,"Kyle Stanley",86,4.51,559,124,"EarlyPar5ScoringAverage",2012
8,8,"Tiger Woods",69,4.52,357,79,"EarlyPar5ScoringAverage",2012
9,9,"Robert Garrigus",89,4.53,611,135,"EarlyPar5ScoringAverage",2012
9,9,"Charles Howell III",98,4.53,629,139,"EarlyPar5ScoringAverage",2012
11,11,"Kris Blanks",65,4.54,518,114,"EarlyPar5ScoringAverage",2012
11,11,"John Daly",50,4.54,286,63,"EarlyPar5ScoringAverage",2012
11,11,"Russell Knox",72,4.54,517,114,"EarlyPar5ScoringAverage",2012
11,11,"Greg Owen",90,4.54,635,140,"EarlyPar5ScoringAverage",2012
15,15,"Garth Mulroy",59,4.55,387,85,"EarlyPar5ScoringAverage",2012
15,15,"Josh Teater",97,4.55,788,173,"EarlyPar5ScoringAverage",2012
15,15,"Jimmy Walker",101,4.55,751,165,"EarlyPar5ScoringAverage",2012
15,15,"Gary Woodland",70,4.55,450,99,"EarlyPar5ScoringAverage",2012
19,19,"Scott Dunlap",57,4.56,328,72,"EarlyPar5ScoringAverage",2012
19,19,"Lee Westwood",60,4.56,333,73,"EarlyPar5ScoringAverage",2012
21,21,"Andres Romero",68,4.57,480,105,"EarlyPar5ScoringAverage",2012
21,21,"Nick Watney",97,4.57,736,161,"EarlyPar5ScoringAverage",2012
23,23,"Ben Crane",73,4.58,568,124,"EarlyPar5ScoringAverage",2012
23,23,"Dustin Johnson",70,4.58,408,89,"EarlyPar5ScoringAverage",2012
23,23,"Seung Yul Noh",105,4.58,728,159,"EarlyPar5ScoringAverage",2012
23,23,"Pat Perez",81,4.58,600,131,"EarlyPar5ScoringAverage",2012
23,23,"Scott Piercy",95,4.58,682,149,"EarlyPar5ScoringAverage",2012
23,23,"Dicky Pride",62,4.58,417,91,"EarlyPar5ScoringAverage",2012
23,23,"Bo Van Pelt",84,4.58,481,105,"EarlyPar5ScoringAverage",2012
30,30,"Stuart Appleby",75,4.59,510,111,"EarlyPar5ScoringAverage",2012
30,30,"Brian Harman",101,4.59,868,189,"EarlyPar5ScoringAverage",2012
30,30,"Adam Scott",59,4.59,363,79,"EarlyPar5ScoringAverage",2012
30,30,"Michael Thompson",80,4.59,574,125,"EarlyPar5ScoringAverage",2012
34,34,"Sangmoon Bae",81,4.6,589,128,"EarlyPar5ScoringAverage",2012
34,34,"Scott Brown",65,4.6,423,92,"EarlyPar5ScoringAverage",2012
34,34,"Kevin Chappell",91,4.6,708,154,"EarlyPar5ScoringAverage",2012
34,34,"Luke Donald",63,4.6,437,95,"EarlyPar5ScoringAverage",2012
34,34,"James Driscoll",83,4.6,625,136,"EarlyPar5ScoringAverage",2012
34,34,"Jason Dufner",83,4.6,474,103,"EarlyPar5ScoringAverage",2012
34,34,"Phil Mickelson",79,4.6,520,113,"EarlyPar5ScoringAverage",2012
34,34,"Sean OHair",84,4.6,649,141,"EarlyPar5ScoringAverage",2012
34,34,"John Senden",81,4.6,524,114,"EarlyPar5ScoringAverage",2012
34,34,"Vijay Singh",99,4.6,708,154,"EarlyPar5ScoringAverage",2012
34,34,"Kevin Streelman",89,4.6,579,126,"EarlyPar5ScoringAverage",2012
45,45,"Charlie Beljan",61,4.61,383,83,"EarlyPar5ScoringAverage",2012
45,45,"Gary Christian",91,4.61,627,136,"EarlyPar5ScoringAverage",2012
45,45,"Chris Couch",61,4.61,489,106,"EarlyPar5ScoringAverage",2012
45,45,"Brendon de Jonge",115,4.61,857,186,"EarlyPar5ScoringAverage",2012
45,45,"Charley Hoffman",88,4.61,654,142,"EarlyPar5ScoringAverage",2012
45,45,"Ryo Ishikawa",54,4.61,341,74,"EarlyPar5ScoringAverage",2012
45,45,"William McGirt",96,4.61,683,148,"EarlyPar5ScoringAverage",2012
45,45,"Geoff Ogilvy",73,4.61,641,139,"EarlyPar5ScoringAverage",2012
45,45,"Camilo Villegas",79,4.61,595,129,"EarlyPar5ScoringAverage",2012
54,54,"Blake Adams",107,4.62,804,174,"EarlyPar5ScoringAverage",2012
54,54,"Greg Chalmers",88,4.62,637,138,"EarlyPar5ScoringAverage",2012
54,54,"John Mallinger",74,4.62,448,97,"EarlyPar5ScoringAverage",2012
54,54,"Rory Sabbatini",84,4.62,637,138,"EarlyPar5ScoringAverage",2012
54,54,"Webb Simpson",77,4.62,434,94,"EarlyPar5ScoringAverage",2012
59,59,"Aaron Baddeley",73,4.63,565,122,"EarlyPar5ScoringAverage",2012
59,59,"Jonas Blixt",72,4.63,542,117,"EarlyPar5ScoringAverage",2012
59,59,"Rickie Fowler",84,4.63,680,147,"EarlyPar5ScoringAverage",2012
59,59,"Padraig Harrington",67,4.63,338,73,"EarlyPar5ScoringAverage",2012
59,59,"Jason Kokrak",79,4.63,542,117,"EarlyPar5ScoringAverage",2012
59,59,"Jeff Maggert",83,4.63,602,130,"EarlyPar5ScoringAverage",2012
59,59,"Rod Pampling",88,4.63,791,171,"EarlyPar5ScoringAverage",2012
59,59,"Kyle Reifers",86,4.63,695,150,"EarlyPar5ScoringAverage",2012
59,59,"Steve Stricker",73,4.63,384,83,"EarlyPar5ScoringAverage",2012
68,68,"Chris DiMarco",83,4.64,617,133,"EarlyPar5ScoringAverage",2012
68,68,"Matt Kuchar",86,4.64,510,110,"EarlyPar5ScoringAverage",2012
68,68,"Richard Lee",71,4.64,552,119,"EarlyPar5ScoringAverage",2012
68,68,"Ryan Palmer",81,4.64,543,117,"EarlyPar5ScoringAverage",2012
68,68,"Johnson Wagner",88,4.64,622,134,"EarlyPar5ScoringAverage",2012
73,73,"Will Claxton",99,4.65,674,145,"EarlyPar5ScoringAverage",2012
73,73,"Brian Gay",91,4.65,669,144,"EarlyPar5ScoringAverage",2012
73,73,"DA Points",88,4.65,628,135,"EarlyPar5ScoringAverage",2012
73,73,"Chris Stroud",86,4.65,581,125,"EarlyPar5ScoringAverage",2012
73,73,"Jhonattan Vegas",77,4.65,628,135,"EarlyPar5ScoringAverage",2012
78,78,"Ricky Barnes",92,4.66,708,152,"EarlyPar5ScoringAverage",2012
78,78,"Graham DeLaet",79,4.66,564,121,"EarlyPar5ScoringAverage",2012
78,78,"Bob Estes",78,4.66,573,123,"EarlyPar5ScoringAverage",2012
78,78,"Bill Haas",79,4.66,554,119,"EarlyPar5ScoringAverage",2012
78,78,"John Huh",99,4.66,667,143,"EarlyPar5ScoringAverage",2012
78,78,"Robert Karlsson",54,4.66,489,105,"EarlyPar5ScoringAverage",2012
78,78,"Marc Leishman",84,4.66,690,148,"EarlyPar5ScoringAverage",2012
85,85,"Jonathan Byrd",69,4.67,406,87,"EarlyPar5ScoringAverage",2012
85,85,"Angel Cabrera",54,4.67,439,94,"EarlyPar5ScoringAverage",2012
85,85,"Martin Flores",95,4.67,757,162,"EarlyPar5ScoringAverage",2012
85,85,"Jim Furyk",85,4.67,528,113,"EarlyPar5ScoringAverage",2012
