"LongestDrives_RANKTHISWEEK_2007","LongestDrives_RANKLASTWEEK_2007","LongestDrives_PLAYERNAME_2007","LongestDrives_ROUNDS_2007","LongestDrives_DISTANCE_2007","LongestDrives_TOURNAMENT_2007","LongestDrives_ROUND_2007","LongestDrives_HOLE_2007","LongestDrives_COURSE_2007","stat_name","year"
1,1,"Brett Wetterich",88,437,NA,1,12,656,"LongestDrives",2007
3,3,"JB Holmes",71,429,NA,1,12,656,"LongestDrives",2007
4,4,"Chris Couch",76,428,NA,2,12,656,"LongestDrives",2007
5,5,"Bubba Dickerson",51,422,NA,2,8,660,"LongestDrives",2007
6,6,"Anthony Kim",93,420,NA,3,8,660,"LongestDrives",2007
7,7,"John Senden",97,416,NA,4,16,36,"LongestDrives",2007
8,8,"Adam Scott",69,413,NA,1,12,656,"LongestDrives",2007
9,9,"Ernie Els",59,410,NA,4,8,36,"LongestDrives",2007
10,10,"Carl Pettersson",111,409,NA,1,12,656,"LongestDrives",2007
11,11,"Vijay Singh",102,408,NA,1,12,656,"LongestDrives",2007
12,12,"Geoff Ogilvy",84,407,NA,1,12,656,"LongestDrives",2007
12,12,"Eric Axley",107,407,NA,1,12,656,"LongestDrives",2007
14,14,"Sergio Garcia",68,406,NA,4,8,36,"LongestDrives",2007
15,15,"John Rollins",102,404,NA,3,12,656,"LongestDrives",2007
16,16,"Bob Heintz",85,403,NA,5,9,723,"LongestDrives",2007
18,18,"Tim Herron",98,402,NA,1,12,656,"LongestDrives",2007
18,18,"Bubba Watson",80,402,NA,3,4,538,"LongestDrives",2007
18,18,"Steve Marino",106,402,NA,3,8,660,"LongestDrives",2007
22,22,"Ted Purdy",102,401,NA,5,9,723,"LongestDrives",2007
22,22,"Charles Howell III",89,401,NA,3,3,500,"LongestDrives",2007
22,22,"Robert Garrigus",95,401,NA,3,4,538,"LongestDrives",2007
22,22,"Andrew Buckle",77,401,NA,5,7,723,"LongestDrives",2007
22,22,"Troy Matteson",87,401,NA,1,12,656,"LongestDrives",2007
32,32,"KJ Choi",87,397,NA,1,12,656,"LongestDrives",2007
32,32,"Will Ma Kenzie",100,397,NA,1,12,656,"LongestDrives",2007
36,36,"John Daly",59,396,NA,1,16,6,"LongestDrives",2007
36,36,"Rich Barcelo",80,396,NA,5,18,723,"LongestDrives",2007
39,39,"Sean OHair",98,395,NA,2,1,608,"LongestDrives",2007
42,42,"Steve Lowery",74,394,NA,2,8,660,"LongestDrives",2007
