"BallStriking_RANKTHISWEEK_2016","BallStriking_RANKLASTWEEK_2016","BallStriking_PLAYERNAME_2016","BallStriking_ROUNDS_2016","BallStriking_VALUE_2016","BallStriking_TOTALDRVRANK_2016","BallStriking_GIRRANK_2016","stat_name","year"
1,1,"Lucas Glover",53,7,5,2,"BallStriking",2016
2,2,"Henrik Stenson",30,11,3,8,"BallStriking",2016
3,3,"Thomas Aiken",42,15,8,7,"BallStriking",2016
4,4,"Rickie Fowler",42,16,11,5,"BallStriking",2016
5,6,"Bubba Watson",30,22,21,1,"BallStriking",2016
6,5,"Justin Rose",35,26,17,9,"BallStriking",2016
7,7,"Keegan Bradley",40,28,2,26,"BallStriking",2016
8,8,"Emiliano Grillo",47,37,4,33,"BallStriking",2016
9,8,"Scott Pinckney",53,39,15,24,"BallStriking",2016
9,11,"Jhonattan Vegas",49,39,29,10,"BallStriking",2016
11,13,"Russell Knox",48,40,37,3,"BallStriking",2016
12,19,"Sergio Garcia",28,41,37,4,"BallStriking",2016
12,18,"Louis Oosthuizen",25,41,12,29,"BallStriking",2016
12,15,"Greg Owen",56,41,22,19,"BallStriking",2016
15,21,"Scott Piercy",45,44,16,28,"BallStriking",2016
16,8,"Paul Casey",39,46,26,20,"BallStriking",2016
16,16,"Hideki Matsuyama",40,46,33,13,"BallStriking",2016
16,22,"Cameron Percy",22,46,34,12,"BallStriking",2016
19,12,"Brendan Steele",48,47,25,22,"BallStriking",2016
20,13,"Patrick Rodgers",49,52,36,16,"BallStriking",2016
21,24,"Russell Henley",42,53,7,46,"BallStriking",2016
22,19,"Jim Herman",55,60,10,50,"BallStriking",2016
22,17,"Rory McIlroy",37,60,28,32,"BallStriking",2016
24,29,"Jason Dufner",53,61,34,27,"BallStriking",2016
25,23,"Graham DeLaet",50,62,45,17,"BallStriking",2016
25,28,"Hudson Swafford",52,62,6,56,"BallStriking",2016
27,31,"Brooks Koepka",39,65,26,39,"BallStriking",2016
27,27,"Kevin Streelman",46,65,47,18,"BallStriking",2016
29,25,"Kevin Kisner",49,75,32,43,"BallStriking",2016
30,25,"Adam Scott",39,76,62,14,"BallStriking",2016
31,36,"Stewart Cink",45,78,63,15,"BallStriking",2016
32,40,"Ryan Palmer",46,84,39,45,"BallStriking",2016
33,32,"Chad Campbell",54,85,39,46,"BallStriking",2016
34,30,"Kevin Chappell",49,91,31,60,"BallStriking",2016
35,41,"Chez Reavie",56,93,29,64,"BallStriking",2016
36,42,"Marc Leishman",41,94,1,93,"BallStriking",2016
37,35,"Roberto Castro",55,96,75,21,"BallStriking",2016
38,51,"Bernd Wiesberger",23,97,91,6,"BallStriking",2016
39,36,"Sean OHair",45,100,18,82,"BallStriking",2016
39,38,"Boo Weekley",53,100,20,80,"BallStriking",2016
41,46,"Fabian Gomez",49,102,47,55,"BallStriking",2016
42,39,"Gary Woodland",45,108,79,29,"BallStriking",2016
43,44,"Brett Stegmaier",57,109,22,87,"BallStriking",2016
