"ConsecutiveCuts_RANKTHISWEEK_2013","ConsecutiveCuts_RANKLASTWEEK_2013","ConsecutiveCuts_PLAYERNAME_2013","ConsecutiveCuts__2013","ConsecutiveCuts_TOTAL_2013","ConsecutiveCuts_STARTTOURNAMENTID_2013","stat_name","year"
1,1,"Matt Kuchar",NA,27,2012380,"ConsecutiveCuts",2013
2,2,"Adam Scott",NA,26,2012240,"ConsecutiveCuts",2013
3,3,"Jason Day",NA,25,2012380,"ConsecutiveCuts",2013
4,4,"Steve Stricker",NA,24,2012240,"ConsecutiveCuts",2013
5,5,"Tiger Woods",NA,23,2012320,"ConsecutiveCuts",2013
6,6,"Sergio Garcia",NA,21,2012370,"ConsecutiveCuts",2013
7,7,"Webb Simpson",NA,11,2013250,"ConsecutiveCuts",2013
7,7,"Henrik Stenson",NA,11,2013200,"ConsecutiveCuts",2013
9,9,"Gary Woodland",NA,10,2013270,"ConsecutiveCuts",2013
10,10,"Keegan Bradley",NA,9,2013260,"ConsecutiveCuts",2013
10,10,"Brendon de Jonge",NA,9,2013280,"ConsecutiveCuts",2013
10,10,"Zach Johnson",NA,9,2013260,"ConsecutiveCuts",2013
10,10,"Martin Kaymer",NA,9,2013200,"ConsecutiveCuts",2013
10,10,"Boo Weekley",NA,9,2013290,"ConsecutiveCuts",2013
15,15,"Ryan Moore",NA,8,2013260,"ConsecutiveCuts",2013
15,15,"Kevin Streelman",NA,8,2013290,"ConsecutiveCuts",2013
15,15,"Lee Westwood",NA,8,2013250,"ConsecutiveCuts",2013
18,18,"Stuart Appleby",NA,7,2013290,"ConsecutiveCuts",2013
18,18,"KJ Choi",NA,7,2013280,"ConsecutiveCuts",2013
18,18,"Fred Couples",NA,7,2012150,"ConsecutiveCuts",2013
18,18,"Jason Dufner",NA,7,2013310,"ConsecutiveCuts",2013
18,18,"Jim Furyk",NA,7,2013320,"ConsecutiveCuts",2013
18,18,"Hunter Mahan",NA,7,2013310,"ConsecutiveCuts",2013
18,18,"Phil Mickelson",NA,7,2013310,"ConsecutiveCuts",2013
18,18,"Rory Sabbatini",NA,7,2013300,"ConsecutiveCuts",2013
18,18,"Peter Senior",NA,7,2000310,"ConsecutiveCuts",2013
18,18,"Nicholas Thompson",NA,7,2013290,"ConsecutiveCuts",2013
28,28,"Jonas Blixt",NA,6,2013310,"ConsecutiveCuts",2013
28,28,"David Hearn",NA,6,2013290,"ConsecutiveCuts",2013
28,28,"Simon Khan",NA,6,2010310,"ConsecutiveCuts",2013
28,28,"Hideki Matsuyama",NA,6,2013250,"ConsecutiveCuts",2013
28,28,"John Merrick",NA,6,2013320,"ConsecutiveCuts",2013
28,28,"Edoardo Molinari",NA,6,2011240,"ConsecutiveCuts",2013
28,28,"Scott Piercy",NA,6,2013320,"ConsecutiveCuts",2013
28,28,"Justin Rose",NA,6,2013340,"ConsecutiveCuts",2013
28,28,"Doug Tewell",NA,6,1999230,"ConsecutiveCuts",2013
37,37,"Stephen Gallacher",NA,5,2013080,"ConsecutiveCuts",2013
37,37,"Mathew Goggin",NA,5,2012430,"ConsecutiveCuts",2013
37,37,"Charley Hoffman",NA,5,2013320,"ConsecutiveCuts",2013
37,37,"Miguel Angel Jimenez",NA,5,2012320,"ConsecutiveCuts",2013
37,37,"Steve LeBrun",NA,5,2013290,"ConsecutiveCuts",2013
37,37,"Wayne Levi",NA,5,2001300,"ConsecutiveCuts",2013
37,37,"David Mathis",NA,5,2013290,"ConsecutiveCuts",2013
37,37,"Rory McIlroy",NA,5,2013340,"ConsecutiveCuts",2013
37,37,"Jordan Spieth",NA,5,2013360,"ConsecutiveCuts",2013
37,37,"Camilo Villegas",NA,5,2013320,"ConsecutiveCuts",2013
47,47,"Mark Anderson",NA,4,2012440,"ConsecutiveCuts",2013
47,47,"Rafa Cabrera Bello",NA,4,2013080,"ConsecutiveCuts",2013
47,47,"Roberto Castro",NA,4,2013370,"ConsecutiveCuts",2013
47,47,"Kevin Chappell",NA,4,2013360,"ConsecutiveCuts",2013
47,47,"Will Claxton",NA,4,2013300,"ConsecutiveCuts",2013
47,47,"Graham DeLaet",NA,4,2013370,"ConsecutiveCuts",2013
47,47,"Luke Donald",NA,4,2013370,"ConsecutiveCuts",2013
47,47,"Bob Estes",NA,4,2013320,"ConsecutiveCuts",2013
47,47,"Matt Every",NA,4,2013360,"ConsecutiveCuts",2013
47,47,"Tommy Gainey",NA,4,2013320,"ConsecutiveCuts",2013
47,47,"John Huh",NA,4,2013360,"ConsecutiveCuts",2013
47,47,"JJ Killeen",NA,4,2012430,"ConsecutiveCuts",2013
47,47,"Marc Leishman",NA,4,2013350,"ConsecutiveCuts",2013
47,47,"Bryce Molder",NA,4,2013360,"ConsecutiveCuts",2013
47,47,"Charl Schwartzel",NA,4,2013370,"ConsecutiveCuts",2013
