"PercentageofYardagecoveredbyTeeShots_RANKTHISWEEK_2016","PercentageofYardagecoveredbyTeeShots_RANKLASTWEEK_2016","PercentageofYardagecoveredbyTeeShots_PLAYERNAME_2016","PercentageofYardagecoveredbyTeeShots_ROUNDS_2016","PercentageofYardagecoveredbyTeeShots_AVGPct_2016","PercentageofYardagecoveredbyTeeShots_TOTALSHOTDISTANCE_2016","PercentageofYardagecoveredbyTeeShots_TOTALDISTANCE_2016","stat_name","year"
1,1,"Bubba Watson",30,66.44,74440.5,112050,"PercentageofYardagecoveredbyTeeShots",2016
2,2,"JB Holmes",39,65.7,121302.8,184620,"PercentageofYardagecoveredbyTeeShots",2016
3,3,"Dustin Johnson",37,65.45,86334.7,131901,"PercentageofYardagecoveredbyTeeShots",2016
4,4,"Brooks Koepka",39,64.96,118036.7,181697,"PercentageofYardagecoveredbyTeeShots",2016
5,8,"Rory McIlroy",37,64.8,92678.3,143023,"PercentageofYardagecoveredbyTeeShots",2016
6,7,"Andrew Loupe",50,64.79,170517.1,263192,"PercentageofYardagecoveredbyTeeShots",2016
7,5,"Tony Finau",49,64.6,152970.9,236787,"PercentageofYardagecoveredbyTeeShots",2016
8,6,"Ollie Schniederjans",23,64.43,78662.4,122088,"PercentageofYardagecoveredbyTeeShots",2016
9,9,"Smylie Kaufman",57,64.33,170208.9,264575,"PercentageofYardagecoveredbyTeeShots",2016
10,10,"Charlie Beljan",26,64.19,69700.5,108587,"PercentageofYardagecoveredbyTeeShots",2016
11,11,"Ryan Palmer",46,64.18,171215.9,266780,"PercentageofYardagecoveredbyTeeShots",2016
12,12,"Patrick Rodgers",49,64.11,160195.6,249871,"PercentageofYardagecoveredbyTeeShots",2016
13,13,"Jamie Lovemark",57,64.05,204602.7,319461,"PercentageofYardagecoveredbyTeeShots",2016
14,14,"Jason Day",36,63.99,91619,143172,"PercentageofYardagecoveredbyTeeShots",2016
15,17,"Luke List",51,63.91,159211.3,249101,"PercentageofYardagecoveredbyTeeShots",2016
16,15,"Justin Thomas",53,63.86,151042.9,236534,"PercentageofYardagecoveredbyTeeShots",2016
17,16,"Jason Kokrak",52,63.85,167542.1,262384,"PercentageofYardagecoveredbyTeeShots",2016
18,18,"Gary Woodland",45,63.67,143450.2,225287,"PercentageofYardagecoveredbyTeeShots",2016
19,19,"Robert Garrigus",34,63.63,94315,148231,"PercentageofYardagecoveredbyTeeShots",2016
20,20,"Charles Howell III",63,63.5,202554.3,318992,"PercentageofYardagecoveredbyTeeShots",2016
21,20,"Scott Piercy",45,63.47,115923.7,182656,"PercentageofYardagecoveredbyTeeShots",2016
22,22,"Jimmy Walker",43,63.36,131520.3,207576,"PercentageofYardagecoveredbyTeeShots",2016
23,24,"Adam Scott",39,63.34,98281.7,155154,"PercentageofYardagecoveredbyTeeShots",2016
24,23,"Rickie Fowler",42,63.28,132366.3,209170,"PercentageofYardagecoveredbyTeeShots",2016
25,25,"Hudson Swafford",52,63.12,156859.5,248517,"PercentageofYardagecoveredbyTeeShots",2016
26,30,"Justin Rose",35,63.01,102438.7,162572,"PercentageofYardagecoveredbyTeeShots",2016
26,25,"Harold Varner III",58,63.01,197504.1,313458,"PercentageofYardagecoveredbyTeeShots",2016
28,27,"Sean OHair",45,62.99,160339.8,254547,"PercentageofYardagecoveredbyTeeShots",2016
29,28,"Scott Pinckney",53,62.95,157062.4,249516,"PercentageofYardagecoveredbyTeeShots",2016
30,32,"Jhonattan Vegas",49,62.88,145713.3,231721,"PercentageofYardagecoveredbyTeeShots",2016
31,34,"Brendan Steele",48,62.8,154270.9,245638,"PercentageofYardagecoveredbyTeeShots",2016
32,29,"Greg Owen",56,62.77,173060.9,275714,"PercentageofYardagecoveredbyTeeShots",2016
33,33,"Russell Henley",42,62.74,147191.9,234614,"PercentageofYardagecoveredbyTeeShots",2016
34,35,"Sergio Garcia",28,62.61,52690.6,84156,"PercentageofYardagecoveredbyTeeShots",2016
35,38,"Phil Mickelson",37,62.54,109726.6,175439,"PercentageofYardagecoveredbyTeeShots",2016
36,31,"Kevin Kisner",49,62.51,132242.2,211553,"PercentageofYardagecoveredbyTeeShots",2016
37,40,"Brandt Snedeker",47,62.44,137221.2,219762,"PercentageofYardagecoveredbyTeeShots",2016
38,36,"Nick Taylor",57,62.42,175926.9,281858,"PercentageofYardagecoveredbyTeeShots",2016
39,40,"Graham DeLaet",50,62.35,166930.5,267747,"PercentageofYardagecoveredbyTeeShots",2016
40,42,"Harris English",51,62.34,136896.3,219582,"PercentageofYardagecoveredbyTeeShots",2016
41,36,"Martin Laird",46,62.33,152799.8,245157,"PercentageofYardagecoveredbyTeeShots",2016
42,46,"Stewart Cink",45,62.25,130004,208858,"PercentageofYardagecoveredbyTeeShots",2016
