"PresidentsCupUnitedes_RANKTHISWEEK_2007","PresidentsCupUnitedes_RANKLASTWEEK_2007","PresidentsCupUnitedes_PLAYERNAME_2007","PresidentsCupUnitedes__2007","PresidentsCupUnitedes_POINTS_2007","stat_name","year"
1,1,"Tiger Woods",NA,3042667,"PresidentsCupUnitedes",2007
2,2,"Steve Stricker",NA,2055000,"PresidentsCupUnitedes",2007
3,3,"Phil Mickelson",NA,1620150,"PresidentsCupUnitedes",2007
4,4,"Steve Flesch",NA,1291314,"PresidentsCupUnitedes",2007
5,5,"Justin Leonard",NA,1271645,"PresidentsCupUnitedes",2007
6,6,"Brandt Snedeker",NA,1154833,"PresidentsCupUnitedes",2007
7,7,"Mark Calcavecchia",NA,1005113,"PresidentsCupUnitedes",2007
8,8,"George McNeill",NA,925793,"PresidentsCupUnitedes",2007
9,9,"Billy Mayfair",NA,807892,"PresidentsCupUnitedes",2007
10,10,"Sean OHair",NA,800648,"PresidentsCupUnitedes",2007
11,11,"Jeff Overton",NA,752866,"PresidentsCupUnitedes",2007
12,12,"Brett Wetterich",NA,749654,"PresidentsCupUnitedes",2007
13,13,"Chad Campbell",NA,748560,"PresidentsCupUnitedes",2007
14,14,"Zach Johnson",NA,734717,"PresidentsCupUnitedes",2007
15,15,"Heath Slocum",NA,711925,"PresidentsCupUnitedes",2007
16,16,"Michael Allen",NA,704655,"PresidentsCupUnitedes",2007
17,17,"Arron Oberholser",NA,659124,"PresidentsCupUnitedes",2007
18,18,"John Mallinger",NA,618762,"PresidentsCupUnitedes",2007
19,19,"Robert Garrigus",NA,590990,"PresidentsCupUnitedes",2007
20,20,"Scott Verplank",NA,579663,"PresidentsCupUnitedes",2007
21,21,"Johnson Wagner",NA,571833,"PresidentsCupUnitedes",2007
22,22,"Cameron Beckman",NA,560196,"PresidentsCupUnitedes",2007
23,23,"Tim Petrovic",NA,557003,"PresidentsCupUnitedes",2007
24,24,"Stewart Cink",NA,537335,"PresidentsCupUnitedes",2007
25,25,"Bo Van Pelt",NA,491942,"PresidentsCupUnitedes",2007
26,26,"DJ Trahan",NA,467783,"PresidentsCupUnitedes",2007
27,27,"Jonathan Byrd",NA,441714,"PresidentsCupUnitedes",2007
28,28,"Bill Haas",NA,425277,"PresidentsCupUnitedes",2007
29,29,"Robert Gamez",NA,424420,"PresidentsCupUnitedes",2007
30,30,"Rich Beem",NA,417602,"PresidentsCupUnitedes",2007
31,31,"Boo Weekley",NA,416619,"PresidentsCupUnitedes",2007
32,32,"Jason Gore",NA,409009,"PresidentsCupUnitedes",2007
33,33,"Hunter Mahan",NA,408188,"PresidentsCupUnitedes",2007
34,34,"Charley Hoffman",NA,406143,"PresidentsCupUnitedes",2007
35,35,"Kent Jones",NA,405618,"PresidentsCupUnitedes",2007
36,36,"Chris Stroud",NA,403561,"PresidentsCupUnitedes",2007
37,37,"Woody Austin",NA,396176,"PresidentsCupUnitedes",2007
38,38,"Ken Duke",NA,369269,"PresidentsCupUnitedes",2007
39,39,"Jim Furyk",NA,355780,"PresidentsCupUnitedes",2007
