"RightTendency_RANKTHISWEEK_2012","RightTendency_RANKLASTWEEK_2012","RightTendency_PLAYERNAME_2012","RightTendency_EVENTS_2012","RightTendency_Pct_2012","RightTendency_NUMBEROFTIMES_2012","RightTendency_ATTEMPTS_2012","RightTendency_AVGRTPSCORE_2012","stat_name","year"
1,1,"Billy Hurley III",27,36.2,110,304,2.55,"RightTendency",2012
2,2,"Marco Dawson",22,39.3,106,270,2.64,"RightTendency",2012
3,3,"Gavin Coles",23,39.4,108,274,1.11,"RightTendency",2012
4,4,"Kevin Stadler",25,40.9,131,320,1.68,"RightTendency",2012
5,5,"Phil Mickelson",22,41.1,145,353,1.1,"RightTendency",2012
6,6,"Edward Loar",23,41.2,103,250,2.72,"RightTendency",2012
7,7,"JJ Henry",28,41.7,150,360,1.53,"RightTendency",2012
7,7,"Gary Woodland",22,41.7,128,307,3.83,"RightTendency",2012
9,9,"Carl Pettersson",26,42,193,459,1.76,"RightTendency",2012
10,10,"Ben Curtis",19,42.2,87,206,0.34,"RightTendency",2012
11,11,"Steve Stricker",19,42.7,112,262,-0.27,"RightTendency",2012
12,12,"Harrison Frazar",20,43.2,124,287,3.23,"RightTendency",2012
13,13,"Ryuji Imada",28,43.5,177,407,2.66,"RightTendency",2012
14,14,"Lee Westwood",15,43.9,90,205,2.11,"RightTendency",2012
15,15,"Tom Gillis",23,44,139,316,2.95,"RightTendency",2012
16,16,"Jonathan Byrd",21,44.2,142,321,0.99,"RightTendency",2012
17,17,"Martin Flores",30,44.3,222,501,1.35,"RightTendency",2012
17,17,"Spencer Levin",26,44.3,175,395,2.4,"RightTendency",2012
19,19,"Steve Wheatcroft",22,44.5,94,211,1.06,"RightTendency",2012
20,20,"Geoff Ogilvy",20,44.6,127,285,2.28,"RightTendency",2012
20,20,"Johnson Wagner",27,44.6,173,388,1.91,"RightTendency",2012
22,22,"Michael Bradley",23,44.8,156,348,2.88,"RightTendency",2012
22,22,"Bo Van Pelt",24,44.8,142,317,1.55,"RightTendency",2012
24,24,"Tiger Woods",19,45.1,110,244,0.82,"RightTendency",2012
25,25,"Garth Mulroy",20,45.2,109,241,1.93,"RightTendency",2012
26,26,"Kyle Reifers",27,45.4,174,383,1.9,"RightTendency",2012
27,27,"Troy Kelly",23,45.5,145,319,0.83,"RightTendency",2012
27,27,"Webb Simpson",22,45.5,155,341,-0.39,"RightTendency",2012
29,29,"Will Claxton",28,45.6,180,395,1.89,"RightTendency",2012
29,29,"Justin Leonard",26,45.6,165,362,1.88,"RightTendency",2012
31,31,"Dicky Pride",19,46,115,250,1.3,"RightTendency",2012
32,32,"Ben Crane",23,46.1,135,293,-0.22,"RightTendency",2012
33,33,"Vaughn Taylor",26,46.5,154,331,2.34,"RightTendency",2012
33,33,"DJ Trahan",27,46.5,146,314,2.53,"RightTendency",2012
35,35,"Graeme McDowell",16,46.6,69,148,1.88,"RightTendency",2012
36,36,"Brendon Todd",29,46.9,166,354,2.59,"RightTendency",2012
37,37,"Robert Allenby",27,47,173,368,2.83,"RightTendency",2012
37,37,"John Daly",15,47,102,217,0.49,"RightTendency",2012
39,39,"Nick OHern",26,47.3,158,334,1.46,"RightTendency",2012
40,40,"Brendon de Jonge",31,47.4,236,498,1.57,"RightTendency",2012
41,41,"Jason Bohn",28,47.5,144,303,2.43,"RightTendency",2012
