"AverageDistanceofBirdieputtsmade_RANKTHISWEEK_2008","AverageDistanceofBirdieputtsmade_RANKLASTWEEK_2008","AverageDistanceofBirdieputtsmade_PLAYERNAME_2008","AverageDistanceofBirdieputtsmade_ROUNDS_2008","AverageDistanceofBirdieputtsmade_AVG_2008","AverageDistanceofBirdieputtsmade_TOTDISTFT_2008","AverageDistanceofBirdieputtsmade_TOTBIRDIEPUTTSMADE_2008","AverageDistanceofBirdieputtsmade_LONGESTMADEFT_2008","AverageDistanceofBirdieputtsmade_SHORTESTMADEFT_2008","stat_name","year"
1,1,"Corey Pavin",69,NA,2157.583,176,50,NA,"AverageDistanceofBirdieputtsmade",2008
2,2,"Craig Kanada",65,NA,2076,171,47,NA,"AverageDistanceofBirdieputtsmade",2008
3,3,"JP Hayes",67,NA,1987.667,173,56,NA,"AverageDistanceofBirdieputtsmade",2008
4,4,"Billy Andrade",71,NA,1866.917,163,63,NA,"AverageDistanceofBirdieputtsmade",2008
4,4,"Scott McCarron",63,NA,2086.333,183,61,NA,"AverageDistanceofBirdieputtsmade",2008
6,6,"Olin Browne",77,NA,1997.25,177,58,NA,"AverageDistanceofBirdieputtsmade",2008
6,6,"Stephen Leaney",53,NA,1308.25,116,47,NA,"AverageDistanceofBirdieputtsmade",2008
6,6,"Steve Lowery",74,NA,2170,193,57,NA,"AverageDistanceofBirdieputtsmade",2008
9,9,"Richard Johnson",60,NA,1492.333,134,46,NA,"AverageDistanceofBirdieputtsmade",2008
10,10,"KJ Choi",74,NA,2299.75,207,57,NA,"AverageDistanceofBirdieputtsmade",2008
10,10,"Ben Crane",86,NA,2988.333,269,76,NA,"AverageDistanceofBirdieputtsmade",2008
10,10,"Todd Hamilton",92,NA,2516.25,227,50,NA,"AverageDistanceofBirdieputtsmade",2008
10,10,"Matt Kuchar",88,NA,2288.167,206,67,NA,"AverageDistanceofBirdieputtsmade",2008
10,10,"Tim Petrovic",97,NA,2851.583,258,57,NA,"AverageDistanceofBirdieputtsmade",2008
15,15,"Glen Day",64,NA,1878.917,171,57,NA,"AverageDistanceofBirdieputtsmade",2008
15,15,"Doug LaBelle II",65,NA,1729.833,157,57,NA,"AverageDistanceofBirdieputtsmade",2008
15,15,"Jeff Quinney",87,NA,2628.25,239,51,NA,"AverageDistanceofBirdieputtsmade",2008
18,18,"Chad Campbell",94,NA,3332.167,306,62,NA,"AverageDistanceofBirdieputtsmade",2008
18,18,"Mark Hensby",71,NA,2381.667,218,51,NA,"AverageDistanceofBirdieputtsmade",2008
18,18,"Hunter Mahan",87,NA,2818.417,258,48,NA,"AverageDistanceofBirdieputtsmade",2008
18,18,"Chez Reavie",102,NA,3065.917,280,57,NA,"AverageDistanceofBirdieputtsmade",2008
18,18,"Ron Whittaker",54,NA,1298.667,119,56,1,"AverageDistanceofBirdieputtsmade",2008
23,23,"Steve Elkington",84,NA,2733.75,252,50,NA,"AverageDistanceofBirdieputtsmade",2008
