"Percentageofpotentialmoneywon_RANKTHISWEEK_2011","Percentageofpotentialmoneywon_RANKLASTWEEK_2011","Percentageofpotentialmoneywon_PLAYERNAME_2011","Percentageofpotentialmoneywon_EVENTS_2011","Percentageofpotentialmoneywon_Pct_2011","Percentageofpotentialmoneywon_OFFICIALMONEYWON_2011","Percentageofpotentialmoneywon_POTENTIALMONEY_2011","stat_name","year"
1,1,"John Cook",1,37.78,251600,666000,"Percentageofpotentialmoneywon",2011
2,2,"Darren Clarke",3,34.71,1491328,4297078,"Percentageofpotentialmoneywon",2011
3,3,"Luke Donald",19,27.04,6683214,24719078,"Percentageofpotentialmoneywon",2011
4,4,"Webb Simpson",26,20.99,6347353,30239078,"Percentageofpotentialmoneywon",2011
5,5,"Nick Watney",22,18.77,5290673,28193078,"Percentageofpotentialmoneywon",2011
6,6,"Rory McIlroy",10,17.64,2344609,13289078,"Percentageofpotentialmoneywon",2011
7,7,"Steve Stricker",19,16.06,3992784,24867078,"Percentageofpotentialmoneywon",2011
8,8,"Adam Scott",18,15.73,3764796,23931078,"Percentageofpotentialmoneywon",2011
9,9,"Dustin Johnson",21,15.64,4309961,27549078,"Percentageofpotentialmoneywon",2011
10,10,"KJ Choi",22,15.61,4434690,28409078,"Percentageofpotentialmoneywon",2011
11,11,"Jason Day",21,14.73,3962646,26901078,"Percentageofpotentialmoneywon",2011
12,12,"David Toms",23,14.26,3858089,27055000,"Percentageofpotentialmoneywon",2011
13,13,"Matt Kuchar",24,14.21,4233919,29799078,"Percentageofpotentialmoneywon",2011
14,14,"Phil Mickelson",21,13.73,3763488,27401078,"Percentageofpotentialmoneywon",2011
15,15,"Charl Schwartzel",15,13.16,2604558,19787078,"Percentageofpotentialmoneywon",2011
16,16,"Bill Haas",26,12.62,4088636,32409078,"Percentageofpotentialmoneywon",2011
17,17,"Bubba Watson",22,12.44,3477810,27967078,"Percentageofpotentialmoneywon",2011
18,18,"Anders Hansen",7,12.39,1195566,9653078,"Percentageofpotentialmoneywon",2011
19,19,"Keegan Bradley",28,11.63,3758599,32311000,"Percentageofpotentialmoneywon",2011
19,19,"Justin Rose",23,11.63,3401419,29241078,"Percentageofpotentialmoneywon",2011
21,21,"Brandt Snedeker",26,11.48,3587205,31243078,"Percentageofpotentialmoneywon",2011
22,22,"Gary Woodland",25,11.32,3448590,30469078,"Percentageofpotentialmoneywon",2011
23,23,"Aaron Baddeley",22,11.25,3094692,27513078,"Percentageofpotentialmoneywon",2011
24,24,"Jason Dufner",23,11.11,3057859,27521078,"Percentageofpotentialmoneywon",2011
25,25,"Hunter Mahan",25,11.06,3503539,31689078,"Percentageofpotentialmoneywon",2011
26,26,"Tim Clark",4,10.86,571000,5260000,"Percentageofpotentialmoneywon",2011
27,27,"Bud Cauley",8,10.21,735149,7200000,"Percentageofpotentialmoneywon",2011
28,28,"Lee Westwood",10,10,1306945,13073078,"Percentageofpotentialmoneywon",2011
29,29,"Mark Wilson",26,9.91,3158476,31883078,"Percentageofpotentialmoneywon",2011
30,30,"YE Yang",18,9.7,2314864,23855078,"Percentageofpotentialmoneywon",2011
31,31,"Martin Kaymer",10,9.68,1339958,13847078,"Percentageofpotentialmoneywon",2011
32,32,"Martin Laird",23,9.33,2676508,28679078,"Percentageofpotentialmoneywon",2011
33,33,"Jonathan Byrd",26,9.28,2938920,31671078,"Percentageofpotentialmoneywon",2011
34,34,"Thomas Bjorn",5,8.83,626739,7097078,"Percentageofpotentialmoneywon",2011
35,35,"Shigeki Maruyama",2,8.72,177375,2034000,"Percentageofpotentialmoneywon",2011
36,36,"Adam Hadwin",5,8.68,440752,5076000,"Percentageofpotentialmoneywon",2011
37,37,"Freddie Jacobson",25,8.47,2488324,29389078,"Percentageofpotentialmoneywon",2011
38,38,"Rory Sabbatini",24,8.31,2420655,29133078,"Percentageofpotentialmoneywon",2011
39,39,"Vijay Singh",25,7.94,2371049,29863000,"Percentageofpotentialmoneywon",2011
40,40,"Kevin Na",26,7.8,2336965,29965078,"Percentageofpotentialmoneywon",2011
40,40,"Chez Reavie",27,7.8,2285066,29304000,"Percentageofpotentialmoneywon",2011
42,42,"Mathias Gronberg",1,7.78,42000,540000,"Percentageofpotentialmoneywon",2011
43,43,"John Senden",26,7.61,2294811,30137000,"Percentageofpotentialmoneywon",2011
44,44,"George Coetzee",1,7.56,109712,1452078,"Percentageofpotentialmoneywon",2011
45,45,"Robert Karlsson",18,7.52,1779815,23675078,"Percentageofpotentialmoneywon",2011
46,46,"Charles Howell III",30,7.45,2509223,33659078,"Percentageofpotentialmoneywon",2011
47,47,"Sergio Garcia",16,7.32,1524091,20821078,"Percentageofpotentialmoneywon",2011
48,48,"Steve Marino",23,7.3,1975076,27071078,"Percentageofpotentialmoneywon",2011
49,49,"JB Holmes",16,7.26,1398583,19273078,"Percentageofpotentialmoneywon",2011
50,50,"Raphael Jacquelin",2,7.24,209744,2897078,"Percentageofpotentialmoneywon",2011
51,51,"Ryan Moore",22,7.08,1942906,27455078,"Percentageofpotentialmoneywon",2011
51,51,"Geoff Ogilvy",21,7.08,1916994,27095078,"Percentageofpotentialmoneywon",2011
53,53,"Bo Van Pelt",27,7.06,2344545,33215078,"Percentageofpotentialmoneywon",2011
54,54,"Scott Verplank",15,7.01,1194177,17033000,"Percentageofpotentialmoneywon",2011
55,55,"Rickie Fowler",24,7,2084681,29777078,"Percentageofpotentialmoneywon",2011
56,56,"Bryce Molder",27,6.9,1957944,28391000,"Percentageofpotentialmoneywon",2011
57,57,"Spencer Levin",31,6.81,2320037,34091078,"Percentageofpotentialmoneywon",2011
57,57,"George McNeill",21,6.81,1458109,21420000,"Percentageofpotentialmoneywon",2011
