"Approaches5075yardsRghRTP_RANKTHISWEEK_2007","Approaches5075yardsRghRTP_RANKLASTWEEK_2007","Approaches5075yardsRghRTP_PLAYERNAME_2007","Approaches5075yardsRghRTP_ROUNDS_2007","Approaches5075yardsRghRTP_AVGRTP_2007","stat_name","year"
1,1,"Jonathan Byrd",73,-0.714,"Approaches5075yardsRghRTP",2007
2,2,"Tom Byrum",50,-0.4,"Approaches5075yardsRghRTP",2007
2,2,"Hunter Mahan",91,-0.4,"Approaches5075yardsRghRTP",2007
4,4,"Aaron Baddeley",83,-0.214,"Approaches5075yardsRghRTP",2007
5,5,"Michael Allen",74,-0.2,"Approaches5075yardsRghRTP",2007
5,5,"Steve Marino",106,-0.2,"Approaches5075yardsRghRTP",2007
5,5,"Jeff Sluman",60,-0.2,"Approaches5075yardsRghRTP",2007
5,5,"David Toms",80,-0.2,"Approaches5075yardsRghRTP",2007
9,9,"Ryuji Imada",104,-0.158,"Approaches5075yardsRghRTP",2007
10,10,"Mark Calcavecchia",93,-0.143,"Approaches5075yardsRghRTP",2007
11,11,"Justin Leonard",95,-0.111,"Approaches5075yardsRghRTP",2007
12,12,"Phil Mickelson",73,-0.091,"Approaches5075yardsRghRTP",2007
12,12,"Rory Sabbatini",81,-0.091,"Approaches5075yardsRghRTP",2007
14,14,"Kenny Perry",83,-0.071,"Approaches5075yardsRghRTP",2007
15,15,"Brian Davis",101,-0.067,"Approaches5075yardsRghRTP",2007
15,15,"Will Ma Kenzie",100,-0.067,"Approaches5075yardsRghRTP",2007
17,17,"JB Holmes",71,-0.043,"Approaches5075yardsRghRTP",2007
18,18,"Tim Petrovic",106,-0.037,"Approaches5075yardsRghRTP",2007
19,19,"Robert Allenby",90,0,"Approaches5075yardsRghRTP",2007
19,19,"Stephen Ames",81,0,"Approaches5075yardsRghRTP",2007
19,19,"Cameron Beckman",96,0,"Approaches5075yardsRghRTP",2007
19,19,"Jason Bohn",57,0,"Approaches5075yardsRghRTP",2007
19,19,"Craig Bowden",78,0,"Approaches5075yardsRghRTP",2007
19,19,"Alex Cejka",80,0,"Approaches5075yardsRghRTP",2007
19,19,"Jose Coceres",50,0,"Approaches5075yardsRghRTP",2007
19,19,"Glen Day",85,0,"Approaches5075yardsRghRTP",2007
19,19,"Brendon de Jonge",76,0,"Approaches5075yardsRghRTP",2007
19,19,"Fred Funk",65,0,"Approaches5075yardsRghRTP",2007
19,19,"Lucas Glover",98,0,"Approaches5075yardsRghRTP",2007
19,19,"Mathias Gronberg",95,0,"Approaches5075yardsRghRTP",2007
19,19,"JJ Henry",86,0,"Approaches5075yardsRghRTP",2007
19,19,"Trevor Immelman",74,0,"Approaches5075yardsRghRTP",2007
19,19,"Jerry Kelly",101,0,"Approaches5075yardsRghRTP",2007
19,19,"George McNeill",95,0,"Approaches5075yardsRghRTP",2007
