"TenthTeeLatePar4ScoringAverage_RANKTHISWEEK_2011","TenthTeeLatePar4ScoringAverage_RANKLASTWEEK_2011","TenthTeeLatePar4ScoringAverage_PLAYERNAME_2011","TenthTeeLatePar4ScoringAverage_ROUNDS_2011","TenthTeeLatePar4ScoringAverage_AVG_2011","TenthTeeLatePar4ScoringAverage_TOTALSTROKES_2011","TenthTeeLatePar4ScoringAverage_TOTALHOLES_2011","stat_name","year"
1,1,"David Toms",78,3.84,234,61,"TenthTeeLatePar4ScoringAverage",2011
2,2,"Bill Haas",93,3.91,458,117,"TenthTeeLatePar4ScoringAverage",2011
2,2,"JB Holmes",57,3.91,450,115,"TenthTeeLatePar4ScoringAverage",2011
2,2,"Martin Laird",77,3.91,583,149,"TenthTeeLatePar4ScoringAverage",2011
2,2,"Charl Schwartzel",58,3.91,387,99,"TenthTeeLatePar4ScoringAverage",2011
2,2,"Steve Stricker",70,3.91,289,74,"TenthTeeLatePar4ScoringAverage",2011
2,2,"Nick Watney",80,3.91,297,76,"TenthTeeLatePar4ScoringAverage",2011
8,8,"Hunter Mahan",92,3.92,372,95,"TenthTeeLatePar4ScoringAverage",2011
9,9,"David Hearn",88,3.93,330,84,"TenthTeeLatePar4ScoringAverage",2011
10,10,"Aaron Baddeley",77,3.94,481,122,"TenthTeeLatePar4ScoringAverage",2011
11,11,"Kent Jones",76,3.95,522,132,"TenthTeeLatePar4ScoringAverage",2011
11,11,"Aron Price",58,3.95,435,110,"TenthTeeLatePar4ScoringAverage",2011
13,13,"Stephen Ames",69,3.96,297,75,"TenthTeeLatePar4ScoringAverage",2011
13,13,"Kris Blanks",92,3.96,678,171,"TenthTeeLatePar4ScoringAverage",2011
13,13,"Luke Donald",73,3.96,91,23,"TenthTeeLatePar4ScoringAverage",2011
13,13,"Jerry Kelly",85,3.96,827,209,"TenthTeeLatePar4ScoringAverage",2011
13,13,"Matt Kuchar",94,3.96,301,76,"TenthTeeLatePar4ScoringAverage",2011
13,13,"Webb Simpson",98,3.96,432,109,"TenthTeeLatePar4ScoringAverage",2011
