"ProximitytoHolefromSand_RANKTHISWEEK_2015","ProximitytoHolefromSand_RANKLASTWEEK_2015","ProximitytoHolefromSand_PLAYERNAME_2015","ProximitytoHolefromSand_ROUNDS_2015","ProximitytoHolefromSand_AVGDTP_2015","ProximitytoHolefromSand_TOTALDISTANCEFEET_2015","ProximitytoHolefromSand_OFSHOTS_2015","ProximitytoHolefromSand_SCRAMBLINGRANK_2015","stat_name","year"
1,1,"Roberto Castro",54,NA,341.833,53,169,"ProximitytoHolefromSand",2015
2,2,"Steven Alker",62,NA,459.417,65,39,"ProximitytoHolefromSand",2015
2,2,"Mark Wilson",89,NA,681.75,96,63,"ProximitytoHolefromSand",2015
4,4,"Kevin Na",98,NA,762.5,107,19,"ProximitytoHolefromSand",2015
5,5,"Jonathan Byrd",69,NA,491.417,68,5,"ProximitytoHolefromSand",2015
6,6,"Luke Donald",71,NA,575.083,78,46,"ProximitytoHolefromSand",2015
6,6,"Padraig Harrington",60,NA,595.75,81,137,"ProximitytoHolefromSand",2015
8,8,"Vijay Singh",78,NA,757.333,102,50,"ProximitytoHolefromSand",2015
9,9,"Matt Kuchar",97,NA,778.417,104,13,"ProximitytoHolefromSand",2015
9,9,"Brendon Todd",96,NA,756.333,101,22,"ProximitytoHolefromSand",2015
11,11,"Scott Langley",94,NA,738.75,97,93,"ProximitytoHolefromSand",2015
11,11,"Bryce Molder",91,NA,735.833,97,20,"ProximitytoHolefromSand",2015
13,13,"Louis Oosthuizen",68,NA,533.833,70,41,"ProximitytoHolefromSand",2015
13,13,"Will Wilcox",58,NA,268.5,35,24,"ProximitytoHolefromSand",2015
15,15,"Zach Johnson",90,NA,875.75,113,49,"ProximitytoHolefromSand",2015
15,15,"Hideki Matsuyama",95,NA,744.917,96,30,"ProximitytoHolefromSand",2015
17,17,"Webb Simpson",81,NA,729.083,93,9,"ProximitytoHolefromSand",2015
18,18,"Rory Sabbatini",81,NA,693.667,88,17,"ProximitytoHolefromSand",2015
