"Percentageofpotentialmoneywon_RANKTHISWEEK_2015","Percentageofpotentialmoneywon_RANKLASTWEEK_2015","Percentageofpotentialmoneywon_PLAYERNAME_2015","Percentageofpotentialmoneywon_EVENTS_2015","Percentageofpotentialmoneywon_Pct_2015","Percentageofpotentialmoneywon_OFFICIALMONEYWON_2015","Percentageofpotentialmoneywon_POTENTIALMONEY_2015","stat_name","year"
1,1,"Jordan Spieth",25,34.79,12030464,34580690,"Percentageofpotentialmoneywon",2015
2,2,"Jason Day",20,32.78,9403330,28686690,"Percentageofpotentialmoneywon",2015
3,3,"Rory McIlroy",12,26.57,4863311,18305000,"Percentageofpotentialmoneywon",2015
4,4,"Bubba Watson",19,24.62,6876797,27926690,"Percentageofpotentialmoneywon",2015
5,5,"Henrik Stenson",16,19.39,4755070,24518690,"Percentageofpotentialmoneywon",2015
6,6,"Rickie Fowler",21,19.06,5773430,30296690,"Percentageofpotentialmoneywon",2015
7,7,"Justin Rose",20,18.78,5462677,29090690,"Percentageofpotentialmoneywon",2015
8,8,"Dustin Johnson",21,18.28,5509466,30138690,"Percentageofpotentialmoneywon",2015
9,9,"Thorbjorn Olesen",1,15.26,213666,1400000,"Percentageofpotentialmoneywon",2015
10,10,"Prom Meesawat",1,15,189000,1260000,"Percentageofpotentialmoneywon",2015
10,10,"Angelo Que",1,15,189000,1260000,"Percentageofpotentialmoneywon",2015
12,12,"Zach Johnson",25,14.2,4801487,33816690,"Percentageofpotentialmoneywon",2015
13,13,"Jim Furyk",19,13.69,3732664,27267690,"Percentageofpotentialmoneywon",2015
14,14,"Jimmy Walker",24,13.41,4521350,33722690,"Percentageofpotentialmoneywon",2015
15,15,"Sergio Garcia",15,11.87,2670229,22493690,"Percentageofpotentialmoneywon",2015
16,16,"Shane Lowry",13,11.66,2298516,19712690,"Percentageofpotentialmoneywon",2015
17,17,"JB Holmes",25,11.54,4037430,35000690,"Percentageofpotentialmoneywon",2015
18,18,"Louis Oosthuizen",20,11.28,3251173,28811690,"Percentageofpotentialmoneywon",2015
19,19,"Brooks Koepka",23,11.22,3571900,31830690,"Percentageofpotentialmoneywon",2015
20,20,"Charley Hoffman",28,10.88,4041088,37146690,"Percentageofpotentialmoneywon",2015
21,21,"Hideki Matsuyama",25,10.86,3758618,34622690,"Percentageofpotentialmoneywon",2015
22,22,"Paul Casey",24,10.51,3488310,33198690,"Percentageofpotentialmoneywon",2015
23,23,"Robert Streb",30,10.14,3947424,38924690,"Percentageofpotentialmoneywon",2015
24,24,"Brandt Snedeker",27,10.05,3698055,36794690,"Percentageofpotentialmoneywon",2015
25,25,"Patrick Reed",27,9.66,3590566,37160690,"Percentageofpotentialmoneywon",2015
26,26,"Kevin Kisner",30,9.45,3567938,37744690,"Percentageofpotentialmoneywon",2015
27,27,"Branden Grace",13,9.2,1761659,19140690,"Percentageofpotentialmoneywon",2015
28,28,"Anthony Wall",1,9.03,162107,1794690,"Percentageofpotentialmoneywon",2015
29,29,"Bill Haas",25,8.86,3064023,34580690,"Percentageofpotentialmoneywon",2015
30,30,"Danny Lee",36,8.84,3965932,44872690,"Percentageofpotentialmoneywon",2015
31,31,"Chris Kirk",21,8.57,2369326,27631000,"Percentageofpotentialmoneywon",2015
32,32,"Scott Piercy",28,8.35,2780026,33282000,"Percentageofpotentialmoneywon",2015
33,33,"Matt Kuchar",25,8.18,2774169,33906690,"Percentageofpotentialmoneywon",2015
34,34,"Phil Mickelson",19,8.05,2154199,26759690,"Percentageofpotentialmoneywon",2015
35,35,"Ryan Moore",24,8.03,2642305,32903690,"Percentageofpotentialmoneywon",2015
36,36,"Hiroshi Iwata",4,7.99,479333,6002690,"Percentageofpotentialmoneywon",2015
