"ConsecutiveFairwaysHit_RANKTHISWEEK_2007","ConsecutiveFairwaysHit_RANKLASTWEEK_2007","ConsecutiveFairwaysHit_PLAYERNAME_2007","ConsecutiveFairwaysHit_EVENTS_2007","ConsecutiveFairwaysHit_BESTSTREAK_2007","ConsecutiveFairwaysHit_CURRENTSTREAK_2007","stat_name","year"
1,1,"Ron Philo Jr",6,35,1,"ConsecutiveFairwaysHit",2007
2,2,"Jim Furyk",23,33,10,"ConsecutiveFairwaysHit",2007
3,3,"Fred Funk",22,30,6,"ConsecutiveFairwaysHit",2007
4,4,"Doug LaBelle II",33,29,NA,"ConsecutiveFairwaysHit",2007
4,4,"Justin Leonard",29,29,1,"ConsecutiveFairwaysHit",2007
6,6,"Brent Geiberger",17,28,NA,"ConsecutiveFairwaysHit",2007
6,6,"Zach Johnson",23,28,NA,"ConsecutiveFairwaysHit",2007
8,8,"Cameron Beckman",29,27,3,"ConsecutiveFairwaysHit",2007
8,8,"Bob Estes",28,27,5,"ConsecutiveFairwaysHit",2007
8,8,"John Huston",16,27,2,"ConsecutiveFairwaysHit",2007
11,11,"Bart Bryant",25,26,3,"ConsecutiveFairwaysHit",2007
11,11,"Chad Campbell",28,26,18,"ConsecutiveFairwaysHit",2007
11,11,"Joe Durant",28,26,4,"ConsecutiveFairwaysHit",2007
11,11,"Freddie Jacobson",20,26,3,"ConsecutiveFairwaysHit",2007
11,11,"Billy Mayfair",30,26,16,"ConsecutiveFairwaysHit",2007
16,16,"Olin Browne",15,25,6,"ConsecutiveFairwaysHit",2007
16,16,"KJ Choi",25,25,NA,"ConsecutiveFairwaysHit",2007
16,16,"John Mallinger",29,25,3,"ConsecutiveFairwaysHit",2007
19,19,"Briny Baird",31,24,NA,"ConsecutiveFairwaysHit",2007
19,19,"Tom Byrum",20,24,NA,"ConsecutiveFairwaysHit",2007
19,19,"Steve Elkington",25,24,NA,"ConsecutiveFairwaysHit",2007
19,19,"Rod Pampling",25,24,NA,"ConsecutiveFairwaysHit",2007
19,19,"Chris Riley",17,24,NA,"ConsecutiveFairwaysHit",2007
19,19,"Heath Slocum",28,24,1,"ConsecutiveFairwaysHit",2007
25,25,"John Bickerton",2,23,2,"ConsecutiveFairwaysHit",2007
25,25,"Michael Boyd",21,23,23,"ConsecutiveFairwaysHit",2007
25,25,"Brian Gay",32,23,7,"ConsecutiveFairwaysHit",2007
25,25,"Paul Gow",26,23,3,"ConsecutiveFairwaysHit",2007
29,29,"David Frost",3,22,2,"ConsecutiveFairwaysHit",2007
29,29,"Paul Goydos",19,22,1,"ConsecutiveFairwaysHit",2007
29,29,"Anthony Kim",26,22,NA,"ConsecutiveFairwaysHit",2007
32,32,"Brian Davis",28,21,6,"ConsecutiveFairwaysHit",2007
32,32,"Trevor Immelman",21,21,1,"ConsecutiveFairwaysHit",2007
32,32,"Tom Johnson",27,21,2,"ConsecutiveFairwaysHit",2007
32,32,"Craig Kanada",34,21,3,"ConsecutiveFairwaysHit",2007
32,32,"Will Ma Kenzie",30,21,NA,"ConsecutiveFairwaysHit",2007
32,32,"Troy Matteson",26,21,2,"ConsecutiveFairwaysHit",2007
32,32,"Blaine McCallister",8,21,2,"ConsecutiveFairwaysHit",2007
32,32,"Rocco Mediate",22,21,NA,"ConsecutiveFairwaysHit",2007
32,32,"Kenny Perry",24,21,NA,"ConsecutiveFairwaysHit",2007
32,32,"Jason Schultz",22,21,6,"ConsecutiveFairwaysHit",2007
32,32,"Boo Weekley",29,21,NA,"ConsecutiveFairwaysHit",2007
32,32,"Willie Wood",6,21,NA,"ConsecutiveFairwaysHit",2007
44,44,"Mark Brooks",18,20,6,"ConsecutiveFairwaysHit",2007
44,44,"Mark Calcavecchia",28,20,2,"ConsecutiveFairwaysHit",2007
44,44,"Glen Day",27,20,10,"ConsecutiveFairwaysHit",2007
44,44,"Andres Gonzales",1,20,1,"ConsecutiveFairwaysHit",2007
44,44,"Richard Johnson",32,20,NA,"ConsecutiveFairwaysHit",2007
44,44,"Steve Jones",9,20,11,"ConsecutiveFairwaysHit",2007
44,44,"Daisuke Maruyama",28,20,1,"ConsecutiveFairwaysHit",2007
44,44,"Paul McGinley",5,20,1,"ConsecutiveFairwaysHit",2007
44,44,"Jose Maria Olazabal",16,20,NA,"ConsecutiveFairwaysHit",2007
44,44,"Jerry Smith",19,20,2,"ConsecutiveFairwaysHit",2007
44,44,"Kevin Stadler",31,20,4,"ConsecutiveFairwaysHit",2007
44,44,"David Toms",22,20,NA,"ConsecutiveFairwaysHit",2007
44,44,"Kirk Triplett",25,20,3,"ConsecutiveFairwaysHit",2007
44,44,"Jay Williamson",14,20,3,"ConsecutiveFairwaysHit",2007
44,44,"Garrett Willis",13,20,NA,"ConsecutiveFairwaysHit",2007
59,59,"Ryan Armour",32,19,7,"ConsecutiveFairwaysHit",2007
59,59,"Gavin Coles",28,19,1,"ConsecutiveFairwaysHit",2007
59,59,"Ken Duke",31,19,2,"ConsecutiveFairwaysHit",2007
59,59,"Steve Flesch",31,19,NA,"ConsecutiveFairwaysHit",2007
59,59,"Cliff Kresge",30,19,NA,"ConsecutiveFairwaysHit",2007
59,59,"Peter Lonard",27,19,NA,"ConsecutiveFairwaysHit",2007
59,59,"Hunter Mahan",27,19,6,"ConsecutiveFairwaysHit",2007
59,59,"Parker McLachlin",28,19,NA,"ConsecutiveFairwaysHit",2007
59,59,"Larry Mize",12,19,NA,"ConsecutiveFairwaysHit",2007
59,59,"Jim Rutledge",23,19,1,"ConsecutiveFairwaysHit",2007
59,59,"Darron Stiles",24,19,NA,"ConsecutiveFairwaysHit",2007
59,59,"Scott Verplank",23,19,2,"ConsecutiveFairwaysHit",2007
71,71,"Craig Bowden",25,18,NA,"ConsecutiveFairwaysHit",2007
71,71,"David Branshaw",30,18,3,"ConsecutiveFairwaysHit",2007
71,71,"DJ Brigman",22,18,6,"ConsecutiveFairwaysHit",2007
71,71,"Tim Clark",19,18,NA,"ConsecutiveFairwaysHit",2007
71,71,"Ben Curtis",25,18,NA,"ConsecutiveFairwaysHit",2007
71,71,"Lucas Glover",29,18,1,"ConsecutiveFairwaysHit",2007
71,71,"Richard Green",5,18,1,"ConsecutiveFairwaysHit",2007
71,71,"Nathan Green",29,18,1,"ConsecutiveFairwaysHit",2007
71,71,"Jerry Kelly",28,18,14,"ConsecutiveFairwaysHit",2007
71,71,"Greg Kraft",10,18,NA,"ConsecutiveFairwaysHit",2007
71,71,"Shigeki Maruyama",31,18,NA,"ConsecutiveFairwaysHit",2007
