"Front9Round3ScoringAverage_RANKTHISWEEK_2012","Front9Round3ScoringAverage_RANKLASTWEEK_2012","Front9Round3ScoringAverage_PLAYERNAME_2012","Front9Round3ScoringAverage__2012","Front9Round3ScoringAverage_AVG_2012","Front9Round3ScoringAverage_TOTALSTROKES_2012","Front9Round3ScoringAverage_TOTALROUNDS_2012","stat_name","year"
1,1,"Louis Oosthuizen",NA,33.86,474,14,"Front9Round3ScoringAverage",2012
2,2,"Bubba Watson",NA,33.93,509,15,"Front9Round3ScoringAverage",2012
3,3,"Jonas Blixt",NA,34,544,16,"Front9Round3ScoringAverage",2012
4,4,"Ryan Palmer",NA,34.18,581,17,"Front9Round3ScoringAverage",2012
5,5,"Tom Pernice Jr",NA,34.25,274,8,"Front9Round3ScoringAverage",2012
6,6,"Angel Cabrera",NA,34.33,309,9,"Front9Round3ScoringAverage",2012
7,7,"Webb Simpson",NA,34.35,584,17,"Front9Round3ScoringAverage",2012
8,8,"Keegan Bradley",NA,34.4,688,20,"Front9Round3ScoringAverage",2012
9,9,"Johnson Wagner",NA,34.41,585,17,"Front9Round3ScoringAverage",2012
10,10,"Rory Sabbatini",NA,34.43,482,14,"Front9Round3ScoringAverage",2012
11,11,"Bryce Molder",NA,34.47,586,17,"Front9Round3ScoringAverage",2012
12,12,"Rory McIlroy",NA,34.5,414,12,"Front9Round3ScoringAverage",2012
12,12,"Brendon Todd",NA,34.5,345,10,"Front9Round3ScoringAverage",2012
14,14,"Matt Kuchar",NA,34.55,691,20,"Front9Round3ScoringAverage",2012
14,14,"Garth Mulroy",NA,34.55,380,11,"Front9Round3ScoringAverage",2012
14,14,"Jeff Overton",NA,34.55,760,22,"Front9Round3ScoringAverage",2012
14,14,"Carl Pettersson",NA,34.55,691,20,"Front9Round3ScoringAverage",2012
18,18,"Brian Davis",NA,34.56,622,18,"Front9Round3ScoringAverage",2012
18,18,"Martin Flores",NA,34.56,622,18,"Front9Round3ScoringAverage",2012
18,18,"Billy Hurley III",NA,34.56,311,9,"Front9Round3ScoringAverage",2012
21,21,"Jim Furyk",NA,34.58,657,19,"Front9Round3ScoringAverage",2012
21,21,"John Mallinger",NA,34.58,415,12,"Front9Round3ScoringAverage",2012
23,23,"Steve Stricker",NA,34.59,588,17,"Front9Round3ScoringAverage",2012
24,24,"Rickie Fowler",NA,34.6,692,20,"Front9Round3ScoringAverage",2012
24,24,"DA Points",NA,34.6,519,15,"Front9Round3ScoringAverage",2012
26,26,"Scott Stallings",NA,34.62,450,13,"Front9Round3ScoringAverage",2012
27,27,"Edward Loar",NA,34.63,277,8,"Front9Round3ScoringAverage",2012
27,27,"Bo Van Pelt",NA,34.63,658,19,"Front9Round3ScoringAverage",2012
29,29,"Tim Clark",NA,34.64,381,11,"Front9Round3ScoringAverage",2012
29,29,"John Rollins",NA,34.64,485,14,"Front9Round3ScoringAverage",2012
31,31,"Charles Howell III",NA,34.65,693,20,"Front9Round3ScoringAverage",2012
32,32,"Josh Teater",NA,34.67,624,18,"Front9Round3ScoringAverage",2012
33,33,"Stuart Appleby",NA,34.69,451,13,"Front9Round3ScoringAverage",2012
34,34,"Scott Brown",NA,34.7,347,10,"Front9Round3ScoringAverage",2012
35,35,"Bill Haas",NA,34.71,590,17,"Front9Round3ScoringAverage",2012
36,36,"Camilo Villegas",NA,34.73,521,15,"Front9Round3ScoringAverage",2012
37,37,"Jason Day",NA,34.75,417,12,"Front9Round3ScoringAverage",2012
37,37,"Spencer Levin",NA,34.75,556,16,"Front9Round3ScoringAverage",2012
39,39,"Greg Chalmers",NA,34.8,696,20,"Front9Round3ScoringAverage",2012
39,39,"Kyle Thompson",NA,34.8,174,5,"Front9Round3ScoringAverage",2012
41,41,"Graham DeLaet",NA,34.82,592,17,"Front9Round3ScoringAverage",2012
42,42,"Phil Mickelson",NA,34.83,627,18,"Front9Round3ScoringAverage",2012
43,43,"Jhonattan Vegas",NA,34.86,488,14,"Front9Round3ScoringAverage",2012
44,44,"Dustin Johnson",NA,34.88,558,16,"Front9Round3ScoringAverage",2012
45,45,"Ernie Els",NA,34.89,628,18,"Front9Round3ScoringAverage",2012
45,45,"Brandt Snedeker",NA,34.89,628,18,"Front9Round3ScoringAverage",2012
47,47,"Tommy Gainey",NA,34.9,698,20,"Front9Round3ScoringAverage",2012
48,48,"YE Yang",NA,34.92,419,12,"Front9Round3ScoringAverage",2012
49,49,"Billy Horschel",NA,34.93,489,14,"Front9Round3ScoringAverage",2012
49,49,"Adam Scott",NA,34.93,489,14,"Front9Round3ScoringAverage",2012
51,51,"John Merrick",NA,34.94,559,16,"Front9Round3ScoringAverage",2012
52,52,"William McGirt",NA,34.95,664,19,"Front9Round3ScoringAverage",2012
53,53,"Jason Bohn",NA,35,455,13,"Front9Round3ScoringAverage",2012
53,53,"Jason Dufner",NA,35,700,20,"Front9Round3ScoringAverage",2012
53,53,"Scott Dunlap",NA,35,315,9,"Front9Round3ScoringAverage",2012
53,53,"Freddie Jacobson",NA,35,490,14,"Front9Round3ScoringAverage",2012
53,53,"Graeme McDowell",NA,35,420,12,"Front9Round3ScoringAverage",2012
58,58,"Zach Johnson",NA,35.04,806,23,"Front9Round3ScoringAverage",2012
58,58,"Vijay Singh",NA,35.04,806,23,"Front9Round3ScoringAverage",2012
60,60,"Justin Rose",NA,35.06,561,16,"Front9Round3ScoringAverage",2012
61,61,"Ben Curtis",NA,35.08,421,12,"Front9Round3ScoringAverage",2012
62,62,"Dicky Pride",NA,35.09,386,11,"Front9Round3ScoringAverage",2012
62,62,"Henrik Stenson",NA,35.09,386,11,"Front9Round3ScoringAverage",2012
62,62,"DJ Trahan",NA,35.09,386,11,"Front9Round3ScoringAverage",2012
65,65,"Tiger Woods",NA,35.13,562,16,"Front9Round3ScoringAverage",2012
66,66,"Jonathan Byrd",NA,35.14,492,14,"Front9Round3ScoringAverage",2012
66,66,"Ken Duke",NA,35.14,773,22,"Front9Round3ScoringAverage",2012
66,66,"Nathan Green",NA,35.14,492,14,"Front9Round3ScoringAverage",2012
69,69,"Charl Schwartzel",NA,35.17,422,12,"Front9Round3ScoringAverage",2012
70,70,"Brian Gay",NA,35.18,598,17,"Front9Round3ScoringAverage",2012
70,70,"Kevin Stadler",NA,35.18,598,17,"Front9Round3ScoringAverage",2012
72,72,"Pat Perez",NA,35.22,634,18,"Front9Round3ScoringAverage",2012
73,73,"Matt Every",NA,35.25,564,16,"Front9Round3ScoringAverage",2012
74,74,"Hunter Mahan",NA,35.26,670,19,"Front9Round3ScoringAverage",2012
75,75,"Troy Kelly",NA,35.27,388,11,"Front9Round3ScoringAverage",2012
75,75,"Mark Wilson",NA,35.27,529,15,"Front9Round3ScoringAverage",2012
77,77,"Tim Herron",NA,35.28,635,18,"Front9Round3ScoringAverage",2012
77,77,"Heath Slocum",NA,35.28,635,18,"Front9Round3ScoringAverage",2012
79,79,"Daniel Chopra",NA,35.29,247,7,"Front9Round3ScoringAverage",2012
79,79,"Bill Lunde",NA,35.29,600,17,"Front9Round3ScoringAverage",2012
79,79,"Kevin Na",NA,35.29,600,17,"Front9Round3ScoringAverage",2012
79,79,"Geoff Ogilvy",NA,35.29,600,17,"Front9Round3ScoringAverage",2012
79,79,"Roland Thatcher",NA,35.29,247,7,"Front9Round3ScoringAverage",2012
84,84,"Erik Compton",NA,35.33,530,15,"Front9Round3ScoringAverage",2012
84,84,"Brendon de Jonge",NA,35.33,954,27,"Front9Round3ScoringAverage",2012
84,84,"Brian Harman",NA,35.33,742,21,"Front9Round3ScoringAverage",2012
84,84,"John Senden",NA,35.33,636,18,"Front9Round3ScoringAverage",2012
88,88,"Cameron Beckman",NA,35.36,495,14,"Front9Round3ScoringAverage",2012
88,88,"Gavin Coles",NA,35.36,495,14,"Front9Round3ScoringAverage",2012
90,90,"Robert Garrigus",NA,35.37,672,19,"Front9Round3ScoringAverage",2012
91,91,"Greg Owen",NA,35.39,637,18,"Front9Round3ScoringAverage",2012
92,92,"Bobby Gates",NA,35.4,531,15,"Front9Round3ScoringAverage",2012
93,93,"Kevin Chappell",NA,35.41,602,17,"Front9Round3ScoringAverage",2012
93,93,"Nick Watney",NA,35.41,779,22,"Front9Round3ScoringAverage",2012
95,95,"Chris Couch",NA,35.42,425,12,"Front9Round3ScoringAverage",2012
95,95,"Danny Lee",NA,35.42,425,12,"Front9Round3ScoringAverage",2012
95,95,"Sean OHair",NA,35.42,673,19,"Front9Round3ScoringAverage",2012
98,98,"Ben Crane",NA,35.43,496,14,"Front9Round3ScoringAverage",2012
98,98,"Steve Wheatcroft",NA,35.43,248,7,"Front9Round3ScoringAverage",2012
100,100,"John Huh",NA,35.45,780,22,"Front9Round3ScoringAverage",2012
100,100,"Alexandre Rocha",NA,35.45,390,11,"Front9Round3ScoringAverage",2012
102,102,"Davis Love III",NA,35.46,461,13,"Front9Round3ScoringAverage",2012
103,103,"Roberto Castro",NA,35.47,674,19,"Front9Round3ScoringAverage",2012
103,103,"Luke Donald",NA,35.47,532,15,"Front9Round3ScoringAverage",2012
103,103,"Trevor Immelman",NA,35.47,532,15,"Front9Round3ScoringAverage",2012
103,103,"Chris Kirk",NA,35.47,674,19,"Front9Round3ScoringAverage",2012
107,107,"Will Claxton",NA,35.5,781,22,"Front9Round3ScoringAverage",2012
107,107,"David Hearn",NA,35.5,710,20,"Front9Round3ScoringAverage",2012
107,107,"Derek Lamely",NA,35.5,284,8,"Front9Round3ScoringAverage",2012
107,107,"Richard Lee",NA,35.5,426,12,"Front9Round3ScoringAverage",2012
107,107,"Ted Potter Jr",NA,35.5,497,14,"Front9Round3ScoringAverage",2012
112,112,"Daniel Summerhays",NA,35.53,533,15,"Front9Round3ScoringAverage",2012
113,113,"Scott Piercy",NA,35.55,711,20,"Front9Round3ScoringAverage",2012
114,114,"Marco Dawson",NA,35.56,320,9,"Front9Round3ScoringAverage",2012
114,114,"Kyle Reifers",NA,35.56,569,16,"Front9Round3ScoringAverage",2012
116,116,"Padraig Harrington",NA,35.6,534,15,"Front9Round3ScoringAverage",2012
116,116,"Jeff Maggert",NA,35.6,534,15,"Front9Round3ScoringAverage",2012
118,118,"Arjun Atwal",NA,35.62,463,13,"Front9Round3ScoringAverage",2012
118,118,"Russell Knox",NA,35.62,463,13,"Front9Round3ScoringAverage",2012
120,120,"Seung Yul Noh",NA,35.63,855,24,"Front9Round3ScoringAverage",2012
120,120,"Kevin Streelman",NA,35.63,677,19,"Front9Round3ScoringAverage",2012
122,122,"David Mathis",NA,35.64,499,14,"Front9Round3ScoringAverage",2012
123,123,"Ricky Barnes",NA,35.65,606,17,"Front9Round3ScoringAverage",2012
123,123,"Billy Mayfair",NA,35.65,606,17,"Front9Round3ScoringAverage",2012
125,125,"Aaron Baddeley",NA,35.67,535,15,"Front9Round3ScoringAverage",2012
125,125,"Kris Blanks",NA,35.67,428,12,"Front9Round3ScoringAverage",2012
125,125,"KJ Choi",NA,35.67,535,15,"Front9Round3ScoringAverage",2012
125,125,"Ryan Moore",NA,35.67,749,21,"Front9Round3ScoringAverage",2012
125,125,"Patrick Sheehan",NA,35.67,321,9,"Front9Round3ScoringAverage",2012
125,125,"Charlie Wi",NA,35.67,642,18,"Front9Round3ScoringAverage",2012
131,131,"Blake Adams",NA,35.68,785,22,"Front9Round3ScoringAverage",2012
131,131,"Bud Cauley",NA,35.68,785,22,"Front9Round3ScoringAverage",2012
133,133,"Sergio Garcia",NA,35.69,464,13,"Front9Round3ScoringAverage",2012
133,133,"Tom Gillis",NA,35.69,571,16,"Front9Round3ScoringAverage",2012
135,135,"Stephen Ames",NA,35.71,250,7,"Front9Round3ScoringAverage",2012
135,135,"Gary Christian",NA,35.71,607,17,"Front9Round3ScoringAverage",2012
137,137,"Kyle Stanley",NA,35.76,608,17,"Front9Round3ScoringAverage",2012
137,137,"Chris Stroud",NA,35.76,608,17,"Front9Round3ScoringAverage",2012
139,139,"Matt Jones",NA,35.78,322,9,"Front9Round3ScoringAverage",2012
140,140,"Chad Campbell",NA,35.81,573,16,"Front9Round3ScoringAverage",2012
140,140,"Chez Reavie",NA,35.81,573,16,"Front9Round3ScoringAverage",2012
142,142,"Brandt Jobe",NA,35.82,394,11,"Front9Round3ScoringAverage",2012
143,143,"Nick OHern",NA,35.85,466,13,"Front9Round3ScoringAverage",2012
143,143,"Lee Westwood",NA,35.85,466,13,"Front9Round3ScoringAverage",2012
145,145,"Ian Poulter",NA,35.86,502,14,"Front9Round3ScoringAverage",2012
146,146,"Jerry Kelly",NA,35.88,610,17,"Front9Round3ScoringAverage",2012
146,146,"Vaughn Taylor",NA,35.88,574,16,"Front9Round3ScoringAverage",2012
