"FairwayBunkerTendency_RANKTHISWEEK_2012","FairwayBunkerTendency_RANKLASTWEEK_2012","FairwayBunkerTendency_PLAYERNAME_2012","FairwayBunkerTendency_ROUNDS_2012","FairwayBunkerTendency_Pct_2012","FairwayBunkerTendency_TOTALFAIRWAYBUNKERS_2012","FairwayBunkerTendency_POSSIBLEFWYS_2012","FairwayBunkerTendency_RELATIVETOPAR_2012","stat_name","year"
1,1,"Jim Furyk",85,3.1,28,905,0.071,"FairwayBunkerTendency",2012
2,2,"Richard Lee",71,4,32,795,0.219,"FairwayBunkerTendency",2012
3,3,"Bubba Watson",68,4.2,30,709,0.333,"FairwayBunkerTendency",2012
4,4,"Blake Adams",107,4.3,52,1222,0.423,"FairwayBunkerTendency",2012
4,4,"Billy Horschel",63,4.3,29,667,0.172,"FairwayBunkerTendency",2012
4,4,"Kyle Thompson",51,4.3,22,512,0.409,"FairwayBunkerTendency",2012
7,7,"Graham DeLaet",79,4.5,44,983,0.227,"FairwayBunkerTendency",2012
7,7,"Billy Mayfair",90,4.5,48,1075,0.271,"FairwayBunkerTendency",2012
7,7,"Rory McIlroy",60,4.5,25,556,0.28,"FairwayBunkerTendency",2012
7,7,"Ian Poulter",57,4.5,24,529,-0.042,"FairwayBunkerTendency",2012
11,11,"Ben Curtis",62,4.6,31,669,0.161,"FairwayBunkerTendency",2012
11,11,"JB Holmes",90,4.6,49,1062,0.204,"FairwayBunkerTendency",2012
11,11,"Jerry Kelly",84,4.6,47,1013,0.319,"FairwayBunkerTendency",2012
11,11,"Kyle Stanley",86,4.6,45,973,0.378,"FairwayBunkerTendency",2012
15,15,"Angel Cabrera",54,4.7,24,511,0.167,"FairwayBunkerTendency",2012
15,15,"Tim Clark",60,4.7,33,695,0.242,"FairwayBunkerTendency",2012
17,17,"Arjun Atwal",79,4.8,44,914,0.114,"FairwayBunkerTendency",2012
17,17,"John Daly",50,4.8,25,520,0.36,"FairwayBunkerTendency",2012
17,17,"Robert Garrigus",89,4.8,49,1022,0.102,"FairwayBunkerTendency",2012
