"ApproachPuttPerformance_RANKTHISWEEK_2008","ApproachPuttPerformance_RANKLASTWEEK_2008","ApproachPuttPerformance_PLAYERNAME_2008","ApproachPuttPerformance_ROUNDS_2008","ApproachPuttPerformance_VALUE_2008","ApproachPuttPerformance_ATTEMPTS_2008","ApproachPuttPerformance_TOTALDISTANCEFEET_2008","stat_name","year"
1,1,"Steve Elkington",84,NA,804,1703,"ApproachPuttPerformance",2008
1,1,"Retief Goosen",59,NA,437,916.667,"ApproachPuttPerformance",2008
1,1,"Chris Riley",51,NA,407,856.417,"ApproachPuttPerformance",2008
1,1,"Bob Tway",70,NA,571,1190.417,"ApproachPuttPerformance",2008
1,1,"Scott Verplank",82,NA,695,1472.083,"ApproachPuttPerformance",2008
6,6,"Brad Adamonis",87,NA,863,1859.667,"ApproachPuttPerformance",2008
6,6,"Michael Allen",91,NA,862,1890.333,"ApproachPuttPerformance",2008
6,6,"Shane Bertsch",96,NA,958,2069,"ApproachPuttPerformance",2008
6,6,"Angel Cabrera",55,NA,433,954.833,"ApproachPuttPerformance",2008
6,6,"Fred Couples",60,NA,555,1212.167,"ApproachPuttPerformance",2008
6,6,"Glen Day",64,NA,601,1284.25,"ApproachPuttPerformance",2008
6,6,"Chris DiMarco",87,NA,819,1787.667,"ApproachPuttPerformance",2008
6,6,"Ken Duke",116,NA,1098,2370.25,"ApproachPuttPerformance",2008
6,6,"Carlos Franco",73,NA,700,1491.25,"ApproachPuttPerformance",2008
6,6,"Jim Furyk",95,NA,823,1783.167,"ApproachPuttPerformance",2008
6,6,"Jeff Gove",50,NA,513,1110.75,"ApproachPuttPerformance",2008
6,6,"Bill Haas",99,NA,992,2172.25,"ApproachPuttPerformance",2008
6,6,"JJ Henry",108,NA,1167,2566.333,"ApproachPuttPerformance",2008
6,6,"Charles Howell III",101,NA,980,2098.083,"ApproachPuttPerformance",2008
6,6,"Trevor Immelman",70,NA,618,1348.833,"ApproachPuttPerformance",2008
6,6,"Brandt Jobe",52,NA,544,1191.167,"ApproachPuttPerformance",2008
6,6,"Jim McGovern",75,NA,722,1549.333,"ApproachPuttPerformance",2008
6,6,"Nick OHern",82,NA,747,1635.75,"ApproachPuttPerformance",2008
6,6,"Patrick Sheehan",124,NA,1112,2451.917,"ApproachPuttPerformance",2008
6,6,"Steve Stricker",75,NA,596,1297.167,"ApproachPuttPerformance",2008
6,6,"Kevin Sutherland",98,NA,967,2097.083,"ApproachPuttPerformance",2008
27,27,"Briny Baird",113,NA,1088,2473.333,"ApproachPuttPerformance",2008
