"ConsecutiveGIR_RANKTHISWEEK_2005","ConsecutiveGIR_RANKLASTWEEK_2005","ConsecutiveGIR_PLAYERNAME_2005","ConsecutiveGIR_EVENTS_2005","ConsecutiveGIR_STREAK_2005","ConsecutiveGIR_CURRENTSTREAK_2005","ConsecutiveGIR_ROUND_2005","ConsecutiveGIR_HOLE_2005","ConsecutiveGIR_YEARTOURN_2005","stat_name","year"
1,1,"David Hearn",24,37,4,1,17,2005290,"ConsecutiveGIR",2005
2,2,"Stuart Appleby",25,31,2,2,4,2005010,"ConsecutiveGIR",2005
2,2,"Carlos Franco",25,31,NA,1,11,2005290,"ConsecutiveGIR",2005
4,4,"Chad Campbell",27,30,1,2,2,2005010,"ConsecutiveGIR",2005
5,5,"Ernie Els",11,29,1,1,16,2005010,"ConsecutiveGIR",2005
6,6,"Jay Delsing",11,28,1,2,10,2005290,"ConsecutiveGIR",2005
6,6,"Jim Furyk",26,28,2,2,17,2005300,"ConsecutiveGIR",2005
6,6,"Chris Smith",32,28,3,1,10,2005290,"ConsecutiveGIR",2005
9,9,"Mark Calcavecchia",27,26,14,2,6,2005470,"ConsecutiveGIR",2005
9,9,"Sandy Lyle",4,26,2,2,7,2005300,"ConsecutiveGIR",2005
9,9,"Ryan Moore",14,26,4,2,9,2005430,"ConsecutiveGIR",2005
12,12,"Retief Goosen",18,25,1,2,15,2005010,"ConsecutiveGIR",2005
12,12,"Zach Johnson",30,25,3,2,14,2005010,"ConsecutiveGIR",2005
12,12,"Joey Snyder III",31,25,NA,2,17,2005460,"ConsecutiveGIR",2005
12,12,"David Toms",25,25,1,2,12,2005010,"ConsecutiveGIR",2005
16,16,"Paul Claxton",29,24,1,3,11,2005290,"ConsecutiveGIR",2005
16,16,"Marco Dawson",23,24,2,1,10,2005460,"ConsecutiveGIR",2005
16,16,"Pat Perez",28,24,1,1,4,2005460,"ConsecutiveGIR",2005
16,16,"Vijay Singh",30,24,2,2,1,2005320,"ConsecutiveGIR",2005
16,16,"Vaughn Taylor",32,24,NA,4,3,2005010,"ConsecutiveGIR",2005
16,16,"Scott Verplank",25,24,1,1,8,2005470,"ConsecutiveGIR",2005
22,22,"Michael Allen",30,23,1,2,8,2005290,"ConsecutiveGIR",2005
22,22,"Billy Andrade",26,23,6,1,8,2005460,"ConsecutiveGIR",2005
22,22,"JJ Henry",32,23,NA,4,9,2005460,"ConsecutiveGIR",2005
25,25,"Olin Browne",29,22,NA,3,9,2005320,"ConsecutiveGIR",2005
25,25,"Bart Bryant",26,22,NA,2,6,2005010,"ConsecutiveGIR",2005
25,25,"Tom Lehman",20,22,NA,4,7,2005460,"ConsecutiveGIR",2005
25,25,"Blaine McCallister",9,22,4,1,16,2005280,"ConsecutiveGIR",2005
25,25,"Adam Scott",19,22,NA,2,3,2005130,"ConsecutiveGIR",2005
25,25,"DJ Trahan",28,22,1,1,12,2005030,"ConsecutiveGIR",2005
31,31,"Briny Baird",33,21,NA,2,16,2005170,"ConsecutiveGIR",2005
31,31,"Danny Briggs",29,21,1,2,18,2005080,"ConsecutiveGIR",2005
31,31,"Jonathan Byrd",31,21,1,1,14,2005380,"ConsecutiveGIR",2005
31,31,"Todd Fischer",35,21,1,1,15,2005080,"ConsecutiveGIR",2005
31,31,"Harrison Frazar",31,21,NA,3,8,2005290,"ConsecutiveGIR",2005
31,31,"Lucas Glover",28,21,NA,1,16,2005030,"ConsecutiveGIR",2005
31,31,"Richard Johnson",16,21,NA,1,3,2005320,"ConsecutiveGIR",2005
31,31,"JL Lewis",30,21,2,1,18,2005040,"ConsecutiveGIR",2005
31,31,"Graeme McDowell",14,21,5,3,18,2005300,"ConsecutiveGIR",2005
31,31,"Tom Pernice Jr",32,21,2,1,18,2005470,"ConsecutiveGIR",2005
31,31,"Ted Purdy",34,21,NA,4,18,2005400,"ConsecutiveGIR",2005
31,31,"Heath Slocum",29,21,4,4,18,2005430,"ConsecutiveGIR",2005
31,31,"Darron Stiles",26,21,4,1,12,2005430,"ConsecutiveGIR",2005
31,31,"Charles Warren",31,21,4,4,18,2005020,"ConsecutiveGIR",2005
45,45,"Rich Beem",26,20,3,2,17,2005460,"ConsecutiveGIR",2005
45,45,"Guy Boros",5,20,NA,2,8,2005290,"ConsecutiveGIR",2005
45,45,"Alex Cejka",31,20,1,2,16,2005460,"ConsecutiveGIR",2005
45,45,"Donnie Hammond",3,20,10,1,10,2005460,"ConsecutiveGIR",2005
45,45,"JP Hayes",22,20,1,1,10,2005460,"ConsecutiveGIR",2005
45,45,"PH Horgan III",2,20,1,1,5,2005290,"ConsecutiveGIR",2005
45,45,"Charles Howell III",29,20,NA,1,10,2005170,"ConsecutiveGIR",2005
45,45,"Billy Mayfair",31,20,1,2,16,2005320,"ConsecutiveGIR",2005
45,45,"Phil Mickelson",21,20,NA,2,2,2005300,"ConsecutiveGIR",2005
45,45,"Ian Poulter",20,20,NA,2,2,2005360,"ConsecutiveGIR",2005
45,45,"Kevin Sutherland",26,20,NA,2,13,2005460,"ConsecutiveGIR",2005
56,56,"Steve Allan",32,19,5,2,12,2005310,"ConsecutiveGIR",2005
56,56,"Craig Barlow",26,19,1,1,13,2005040,"ConsecutiveGIR",2005
56,56,"Brian Bateman",32,19,7,1,7,2005040,"ConsecutiveGIR",2005
56,56,"Brian Davis",23,19,NA,3,4,2005040,"ConsecutiveGIR",2005
56,56,"Joe Durant",25,19,NA,1,6,2005460,"ConsecutiveGIR",2005
56,56,"Brad Faxon",23,19,5,2,15,2005260,"ConsecutiveGIR",2005
56,56,"Alastair Forsyth",1,19,1,1,15,2005300,"ConsecutiveGIR",2005
56,56,"Sergio Garcia",20,19,2,1,17,2005030,"ConsecutiveGIR",2005
56,56,"Jason Gore",8,19,1,3,11,2005460,"ConsecutiveGIR",2005
56,56,"Charley Hoffman",1,19,NA,1,18,2005030,"ConsecutiveGIR",2005
56,56,"Simon Khan",1,19,1,1,12,2005300,"ConsecutiveGIR",2005
56,56,"Hank Kuehne",30,19,NA,3,6,2005290,"ConsecutiveGIR",2005
56,56,"Steve Lowery",32,19,NA,2,13,2005460,"ConsecutiveGIR",2005
56,56,"Hunter Mahan",34,19,1,1,18,2005280,"ConsecutiveGIR",2005
56,56,"Rod Pampling",26,19,1,4,11,2005200,"ConsecutiveGIR",2005
56,56,"Kenny Perry",23,19,1,3,2,2005310,"ConsecutiveGIR",2005
56,56,"DA Points",33,19,1,2,1,2005290,"ConsecutiveGIR",2005
56,56,"Hidemichi Tanaka",34,19,4,2,18,2005290,"ConsecutiveGIR",2005
56,56,"Hideto Tanihara",20,19,NA,4,12,2005290,"ConsecutiveGIR",2005
75,75,"Tommy Armour III",29,18,NA,1,4,2005470,"ConsecutiveGIR",2005
75,75,"Jason Bohn",28,18,1,2,7,2005290,"ConsecutiveGIR",2005
75,75,"Daniel Chopra",34,18,NA,2,2,2005320,"ConsecutiveGIR",2005
75,75,"James Driscoll",26,18,1,2,9,2005460,"ConsecutiveGIR",2005
75,75,"Bradley Hughes",20,18,1,3,4,2005310,"ConsecutiveGIR",2005
75,75,"Brendan Jones",28,18,2,2,12,2005460,"ConsecutiveGIR",2005
75,75,"Jonathan Kaye",24,18,1,2,15,2005430,"ConsecutiveGIR",2005
75,75,"Bernhard Langer",19,18,1,1,14,2005030,"ConsecutiveGIR",2005
75,75,"Stephen Leaney",29,18,NA,3,10,2005310,"ConsecutiveGIR",2005
75,75,"Justin Leonard",24,18,2,2,5,2005300,"ConsecutiveGIR",2005
75,75,"Will Ma Kenzie",25,18,NA,1,11,2005410,"ConsecutiveGIR",2005
75,75,"Justin Rose",28,18,NA,4,17,2005430,"ConsecutiveGIR",2005
75,75,"Joey Sindelar",29,18,5,1,9,2005040,"ConsecutiveGIR",2005
75,75,"Kevin Stadler",33,18,3,3,14,2005290,"ConsecutiveGIR",2005
75,75,"Mario Tiziani",23,18,5,3,14,2005290,"ConsecutiveGIR",2005
75,75,"Nick Watney",31,18,2,1,9,2005460,"ConsecutiveGIR",2005
75,75,"Mike Weir",23,18,NA,1,5,2005040,"ConsecutiveGIR",2005
75,75,"Lee Westwood",15,18,4,3,13,2005240,"ConsecutiveGIR",2005
75,75,"Tiger Woods",21,18,NA,1,8,2005320,"ConsecutiveGIR",2005
94,94,"Robert Allenby",31,17,1,2,7,2005180,"ConsecutiveGIR",2005
94,94,"Stephen Ames",24,17,1,3,14,2005010,"ConsecutiveGIR",2005
94,94,"Chris Anderson",25,17,6,1,8,2005460,"ConsecutiveGIR",2005
94,94,"John Bickerton",1,17,NA,2,15,2005300,"ConsecutiveGIR",2005
94,94,"John Cook",26,17,2,2,7,2005320,"ConsecutiveGIR",2005
94,94,"Fred Couples",22,17,1,1,9,2005300,"ConsecutiveGIR",2005
94,94,"Simon Dyson",2,17,1,1,9,2005300,"ConsecutiveGIR",2005
94,94,"David Edwards",9,17,NA,3,7,2005290,"ConsecutiveGIR",2005
94,94,"Bob Estes",25,17,5,3,14,2005410,"ConsecutiveGIR",2005
94,94,"Steve Flesch",30,17,1,1,18,2005300,"ConsecutiveGIR",2005
94,94,"Brian Gay",33,17,NA,1,18,2005430,"ConsecutiveGIR",2005
94,94,"Mark Hensby",21,17,1,1,1,2005010,"ConsecutiveGIR",2005
94,94,"Freddie Jacobson",23,17,NA,2,14,2005030,"ConsecutiveGIR",2005
94,94,"Thongchai Jaidee",4,17,NA,2,3,2005300,"ConsecutiveGIR",2005
94,94,"Frank Lickliter II",33,17,4,1,13,2005460,"ConsecutiveGIR",2005
94,94,"Michael Long",26,17,3,3,12,2005430,"ConsecutiveGIR",2005
94,94,"Davis Love III",24,17,6,2,10,2005110,"ConsecutiveGIR",2005
94,94,"Spike McRoy",12,17,1,1,7,2005290,"ConsecutiveGIR",2005
94,94,"Larry Mize",18,17,1,2,15,2005290,"ConsecutiveGIR",2005
94,94,"Mark OMeara",21,17,NA,2,15,2005470,"ConsecutiveGIR",2005
94,94,"Geoff Ogilvy",26,17,1,3,5,2005460,"ConsecutiveGIR",2005
94,94,"Greg Owen",24,17,2,2,11,2005230,"ConsecutiveGIR",2005
94,94,"Craig Parry",15,17,NA,3,3,2005010,"ConsecutiveGIR",2005
94,94,"Dave Rummells",2,17,NA,2,12,2005290,"ConsecutiveGIR",2005
94,94,"John Senden",29,17,NA,1,9,2005470,"ConsecutiveGIR",2005
94,94,"Tjaart van der Walt",19,17,5,4,13,2005260,"ConsecutiveGIR",2005
120,120,"Doug Barron",24,16,1,3,3,2005290,"ConsecutiveGIR",2005
120,120,"Thomas Bjorn",8,16,NA,2,15,2005150,"ConsecutiveGIR",2005
120,120,"Tom Byrum",27,16,1,3,16,2005430,"ConsecutiveGIR",2005
120,120,"Tim Clark",26,16,NA,1,9,2005040,"ConsecutiveGIR",2005
120,120,"Steve Elkington",20,16,NA,1,18,2005140,"ConsecutiveGIR",2005
120,120,"Fred Funk",30,16,NA,2,9,2005020,"ConsecutiveGIR",2005
120,120,"Paul Goydos",15,16,2,1,1,2005460,"ConsecutiveGIR",2005
120,120,"Hunter Haas",28,16,NA,2,11,2005320,"ConsecutiveGIR",2005
120,120,"Ryuji Imada",25,16,1,2,2,2005140,"ConsecutiveGIR",2005
120,120,"Miguel Angel Jimenez",9,16,NA,2,6,2005300,"ConsecutiveGIR",2005
120,120,"Steve Jones",20,16,NA,2,18,2005270,"ConsecutiveGIR",2005
120,120,"Kent Jones",32,16,1,2,15,2005170,"ConsecutiveGIR",2005
120,120,"Skip Kendall",32,16,1,1,13,2005040,"ConsecutiveGIR",2005
120,120,"Neal Lancaster",31,16,NA,1,13,2005470,"ConsecutiveGIR",2005
120,120,"Shigeki Maruyama",29,16,2,4,1,2005410,"ConsecutiveGIR",2005
120,120,"Rocco Mediate",24,16,1,1,14,2005100,"ConsecutiveGIR",2005
120,120,"Kevin Na",32,16,3,2,11,2005080,"ConsecutiveGIR",2005
120,120,"Sean OHair",29,16,8,1,13,2005060,"ConsecutiveGIR",2005
120,120,"Arron Oberholser",21,16,2,1,2,2005200,"ConsecutiveGIR",2005
120,120,"Jose Maria Olazabal",16,16,NA,1,1,2005300,"ConsecutiveGIR",2005
120,120,"Jesper Parnevik",24,16,NA,1,12,2005390,"ConsecutiveGIR",2005
120,120,"Tim Petrovic",32,16,6,4,5,2005040,"ConsecutiveGIR",2005
120,120,"Brett Quigley",31,16,1,1,12,2005030,"ConsecutiveGIR",2005
120,120,"John Rollins",30,16,NA,1,16,2005140,"ConsecutiveGIR",2005
120,120,"Patrik Sjoland",1,16,16,4,3,2005300,"ConsecutiveGIR",2005
120,120,"Duffy Waldorf",28,16,1,5,16,2005040,"ConsecutiveGIR",2005
120,120,"Tom Watson",2,16,1,2,9,2005300,"ConsecutiveGIR",2005
120,120,"Dean Wilson",27,16,4,2,5,2005370,"ConsecutiveGIR",2005
148,148,"Arjun Atwal",17,15,NA,3,6,2005350,"ConsecutiveGIR",2005
148,148,"John Daly",25,15,NA,2,5,2005300,"ConsecutiveGIR",2005
148,148,"Matt Davidson",20,15,3,1,8,2005370,"ConsecutiveGIR",2005
148,148,"Chris DiMarco",24,15,1,4,14,2005190,"ConsecutiveGIR",2005
148,148,"Dan Forsman",17,15,1,2,11,2005320,"ConsecutiveGIR",2005
148,148,"Robin Freeman",8,15,1,2,1,2005080,"ConsecutiveGIR",2005
148,148,"Nick Gilliam",3,15,4,3,11,2005310,"ConsecutiveGIR",2005
148,148,"Paul Gow",27,15,1,2,8,2005080,"ConsecutiveGIR",2005
148,148,"Scott Gutschewski",27,15,9,1,14,2005300,"ConsecutiveGIR",2005
148,148,"Bill Haas",6,15,NA,2,17,2005230,"ConsecutiveGIR",2005
148,148,"Gary Hallberg",1,15,NA,2,4,2005460,"ConsecutiveGIR",2005
148,148,"Todd Hamilton",31,15,NA,2,15,2005280,"ConsecutiveGIR",2005
148,148,"Tim Herron",28,15,3,2,6,2005470,"ConsecutiveGIR",2005
148,148,"Mike Hulbert",4,15,2,4,1,2005290,"ConsecutiveGIR",2005
148,148,"John Huston",31,15,2,1,7,2005480,"ConsecutiveGIR",2005
148,148,"Jeff Maggert",25,15,1,1,9,2005470,"ConsecutiveGIR",2005
148,148,"Shaun Micheel",29,15,2,1,8,2005040,"ConsecutiveGIR",2005
148,148,"Ryan Palmer",32,15,1,1,2,2005460,"ConsecutiveGIR",2005
148,148,"Patrick Sheehan",35,15,1,4,8,2005430,"ConsecutiveGIR",2005
148,148,"Wes Short Jr",16,15,1,2,16,2005290,"ConsecutiveGIR",2005
148,148,"Jeff Sluman",28,15,2,1,4,2005120,"ConsecutiveGIR",2005
148,148,"Chris Starkjohann",4,15,NA,3,14,2005040,"ConsecutiveGIR",2005
148,148,"Steve Stricker",21,15,1,2,9,2005210,"ConsecutiveGIR",2005
148,148,"Roland Thatcher",26,15,9,1,5,2005310,"ConsecutiveGIR",2005
148,148,"Bob Tway",26,15,1,1,12,2005485,"ConsecutiveGIR",2005
148,148,"Bo Van Pelt",33,15,5,1,12,2005480,"ConsecutiveGIR",2005
148,148,"Mark Wilson",25,15,NA,1,17,2005470,"ConsecutiveGIR",2005
148,148,"Casey Wittenberg",9,15,5,2,18,2005290,"ConsecutiveGIR",2005
176,176,"Steven Alker",1,14,2,1,12,2005030,"ConsecutiveGIR",2005
176,176,"Jason Allred",29,14,3,1,7,2005080,"ConsecutiveGIR",2005
176,176,"Woody Austin",30,14,1,1,11,2005120,"ConsecutiveGIR",2005
176,176,"Cameron Beckman",31,14,2,2,16,2005470,"ConsecutiveGIR",2005
176,176,"Notah Begay III",11,14,NA,1,17,2005080,"ConsecutiveGIR",2005
176,176,"Jeff Brehaut",23,14,NA,3,5,2005485,"ConsecutiveGIR",2005
176,176,"Bob Burns",15,14,NA,2,18,2005220,"ConsecutiveGIR",2005
176,176,"Chris Campbell",1,14,1,1,17,2005300,"ConsecutiveGIR",2005
176,176,"Jim Carter",25,14,3,1,17,2005270,"ConsecutiveGIR",2005
176,176,"Robert Damron",28,14,1,1,10,2005480,"ConsecutiveGIR",2005
176,176,"Glen Day",27,14,NA,1,4,2005200,"ConsecutiveGIR",2005
176,176,"Luke Donald",18,14,4,3,6,2005020,"ConsecutiveGIR",2005
176,176,"Brad Fabel",1,14,NA,4,4,2005290,"ConsecutiveGIR",2005
176,176,"Tom Gillis",28,14,2,1,7,2005370,"ConsecutiveGIR",2005
176,176,"Bill Glasson",21,14,5,1,7,2005410,"ConsecutiveGIR",2005
176,176,"Mathias Gronberg",19,14,2,2,2,2005290,"ConsecutiveGIR",2005
176,176,"Jay Haas",16,14,NA,2,8,2005040,"ConsecutiveGIR",2005
176,176,"Soren Hansen",1,14,1,2,18,2005300,"ConsecutiveGIR",2005
176,176,"Peter Hanson",3,14,NA,2,18,2005300,"ConsecutiveGIR",2005
176,176,"Mike Heinen",7,14,1,3,1,2005060,"ConsecutiveGIR",2005
176,176,"David Howell",12,14,NA,3,3,2005120,"ConsecutiveGIR",2005
176,176,"Brandt Jobe",27,14,1,2,1,2005470,"ConsecutiveGIR",2005
176,176,"Tom Kite",12,14,1,2,6,2005190,"ConsecutiveGIR",2005
176,176,"Matt Kuchar",21,14,1,3,16,2005370,"ConsecutiveGIR",2005
176,176,"Paul Lawrie",1,14,14,4,5,2005300,"ConsecutiveGIR",2005
176,176,"Ian Leggatt",12,14,1,1,5,2005180,"ConsecutiveGIR",2005
176,176,"Spencer Levin",7,14,NA,4,6,2005290,"ConsecutiveGIR",2005
176,176,"Andrew Magee",29,14,NA,2,5,2005470,"ConsecutiveGIR",2005
176,176,"Joe Ogilvie",30,14,NA,2,3,2005300,"ConsecutiveGIR",2005
176,176,"Brenden Pappas",15,14,1,3,16,2005380,"ConsecutiveGIR",2005
176,176,"Carl Paulson",13,14,5,2,2,2005080,"ConsecutiveGIR",2005
176,176,"Carl Pettersson",34,14,1,2,13,2005050,"ConsecutiveGIR",2005
176,176,"Tag Ridings",31,14,NA,3,3,2005040,"ConsecutiveGIR",2005
176,176,"Loren Roberts",18,14,NA,2,4,2005485,"ConsecutiveGIR",2005
176,176,"Rory Sabbatini",26,14,NA,3,14,2005240,"ConsecutiveGIR",2005
176,176,"Gene Sauers",7,14,1,2,3,2005060,"ConsecutiveGIR",2005
176,176,"Stan Utley",2,14,2,1,3,2005060,"ConsecutiveGIR",2005
176,176,"Steve Webster",2,14,NA,2,12,2005300,"ConsecutiveGIR",2005
176,176,"Brett Wetterich",28,14,9,1,5,2005200,"ConsecutiveGIR",2005
215,215,"Paul Azinger",22,13,3,1,13,2005020,"ConsecutiveGIR",2005
215,215,"Justin Bolli",24,13,2,4,7,2005180,"ConsecutiveGIR",2005
215,215,"Jaxon Brigman",2,13,1,2,17,2005200,"ConsecutiveGIR",2005
215,215,"DJ Brigman",26,13,1,2,13,2005470,"ConsecutiveGIR",2005
215,215,"Brad Bryant",1,13,2,1,1,2005470,"ConsecutiveGIR",2005
215,215,"Stewart Cink",26,13,10,3,7,2005010,"ConsecutiveGIR",2005
215,215,"Darren Clarke",12,13,4,1,18,2005300,"ConsecutiveGIR",2005
215,215,"Gavin Coles",22,13,2,2,3,2005470,"ConsecutiveGIR",2005
215,215,"Ben Crane",21,13,NA,2,2,2005290,"ConsecutiveGIR",2005
215,215,"Ben Curtis",24,13,4,2,14,2005300,"ConsecutiveGIR",2005
215,215,"Scott Dunlap",3,13,4,2,10,2005140,"ConsecutiveGIR",2005
215,215,"Rick Fehr",1,13,13,2,6,2005030,"ConsecutiveGIR",2005
215,215,"Gavin Flint",1,13,3,3,17,2005290,"ConsecutiveGIR",2005
215,215,"David Frost",10,13,NA,2,1,2005300,"ConsecutiveGIR",2005
215,215,"Brent Geiberger",21,13,NA,1,11,2005040,"ConsecutiveGIR",2005
