"Back9Par3ScoringAverage_RANKTHISWEEK_2005","Back9Par3ScoringAverage_RANKLASTWEEK_2005","Back9Par3ScoringAverage_PLAYERNAME_2005","Back9Par3ScoringAverage_ROUNDS_2005","Back9Par3ScoringAverage_AVG_2005","Back9Par3ScoringAverage_TOTALSTROKES_2005","Back9Par3ScoringAverage_TOTALHOLES_2005","stat_name","year"
1,1,"Loren Roberts",54,2.89,306,106,"Back9Par3ScoringAverage",2005
2,2,"Corey Pavin",77,2.95,436,148,"Back9Par3ScoringAverage",2005
2,2,"Kirk Triplett",55,2.95,310,105,"Back9Par3ScoringAverage",2005
4,4,"Jim Furyk",94,2.96,554,187,"Back9Par3ScoringAverage",2005
5,5,"Olin Browne",99,2.97,573,193,"Back9Par3ScoringAverage",2005
5,5,"Brenden Pappas",51,2.97,306,103,"Back9Par3ScoringAverage",2005
5,5,"Steve Stricker",62,2.97,359,121,"Back9Par3ScoringAverage",2005
8,8,"Brad Faxon",75,2.98,411,138,"Back9Par3ScoringAverage",2005
8,8,"Todd Hamilton",94,2.98,522,175,"Back9Par3ScoringAverage",2005
8,8,"Tiger Woods",76,2.98,417,140,"Back9Par3ScoringAverage",2005
11,11,"Bart Bryant",91,2.99,538,180,"Back9Par3ScoringAverage",2005
11,11,"Chad Campbell",95,2.99,538,180,"Back9Par3ScoringAverage",2005
11,11,"Jeff Sluman",94,2.99,578,193,"Back9Par3ScoringAverage",2005
11,11,"Kevin Sutherland",89,2.99,517,173,"Back9Par3ScoringAverage",2005
15,15,"Arjun Atwal",65,3,381,127,"Back9Par3ScoringAverage",2005
15,15,"Ben Crane",78,3,462,154,"Back9Par3ScoringAverage",2005
15,15,"Luke Donald",67,3,351,117,"Back9Par3ScoringAverage",2005
15,15,"Fred Funk",102,3,608,203,"Back9Par3ScoringAverage",2005
15,15,"Jerry Kelly",101,3,597,199,"Back9Par3ScoringAverage",2005
20,20,"Robert Allenby",95,3.01,533,177,"Back9Par3ScoringAverage",2005
20,20,"Dudley Hart",84,3.01,499,166,"Back9Par3ScoringAverage",2005
20,20,"Bob Heintz",67,3.01,400,133,"Back9Par3ScoringAverage",2005
20,20,"Tom Lehman",69,3.01,407,135,"Back9Par3ScoringAverage",2005
20,20,"Phillip Price",77,3.01,442,147,"Back9Par3ScoringAverage",2005
20,20,"Heath Slocum",103,3.01,599,199,"Back9Par3ScoringAverage",2005
26,26,"Stephen Ames",82,3.02,465,154,"Back9Par3ScoringAverage",2005
26,26,"Stewart Cink",98,3.02,543,180,"Back9Par3ScoringAverage",2005
26,26,"Carlos Franco",78,3.02,447,148,"Back9Par3ScoringAverage",2005
26,26,"Mathias Gronberg",60,3.02,341,113,"Back9Par3ScoringAverage",2005
26,26,"Stephen Leaney",89,3.02,526,174,"Back9Par3ScoringAverage",2005
26,26,"Davis Love III",80,3.02,468,155,"Back9Par3ScoringAverage",2005
26,26,"Steve Lowery",100,3.02,589,195,"Back9Par3ScoringAverage",2005
26,26,"Pat Perez",89,3.02,529,175,"Back9Par3ScoringAverage",2005
26,26,"Tim Petrovic",97,3.02,571,189,"Back9Par3ScoringAverage",2005
26,26,"Tjaart van der Walt",56,3.02,338,112,"Back9Par3ScoringAverage",2005
36,36,"Brian Bateman",98,3.03,579,191,"Back9Par3ScoringAverage",2005
36,36,"Todd Fischer",99,3.03,591,195,"Back9Par3ScoringAverage",2005
36,36,"Neal Lancaster",95,3.03,579,191,"Back9Par3ScoringAverage",2005
36,36,"Jeff Maggert",79,3.03,449,148,"Back9Par3ScoringAverage",2005
36,36,"Justin Rose",99,3.03,593,196,"Back9Par3ScoringAverage",2005
