"TenthTeeLateLowestRound_RANKTHISWEEK_2012","TenthTeeLateLowestRound_RANKLASTWEEK_2012","TenthTeeLateLowestRound_PLAYERNAME_2012","TenthTeeLateLowestRound_ROUNDS_2012","TenthTeeLateLowestRound_LOWRND_2012","stat_name","year"
1,1,"Troy Matteson",100,61,"TenthTeeLateLowestRound",2012
2,2,"Tim Clark",60,62,"TenthTeeLateLowestRound",2012
2,2,"Ben Crane",73,62,"TenthTeeLateLowestRound",2012
2,2,"Marco Dawson",60,62,"TenthTeeLateLowestRound",2012
2,2,"Jeff Maggert",83,62,"TenthTeeLateLowestRound",2012
2,2,"Nick OHern",78,62,"TenthTeeLateLowestRound",2012
2,2,"Scott Piercy",95,62,"TenthTeeLateLowestRound",2012
8,8,"Arjun Atwal",79,63,"TenthTeeLateLowestRound",2012
8,8,"Jason Dufner",83,63,"TenthTeeLateLowestRound",2012
8,8,"Jim Furyk",85,63,"TenthTeeLateLowestRound",2012
8,8,"Bobby Gates",87,63,"TenthTeeLateLowestRound",2012
8,8,"Chris Kirk",93,63,"TenthTeeLateLowestRound",2012
8,8,"Danny Lee",74,63,"TenthTeeLateLowestRound",2012
8,8,"William McGirt",96,63,"TenthTeeLateLowestRound",2012
8,8,"Greg Owen",90,63,"TenthTeeLateLowestRound",2012
16,16,"Jonas Blixt",72,64,"TenthTeeLateLowestRound",2012
16,16,"Steven Bowditch",45,64,"TenthTeeLateLowestRound",2012
16,16,"Michael Bradley",63,64,"TenthTeeLateLowestRound",2012
16,16,"Jonathan Byrd",69,64,"TenthTeeLateLowestRound",2012
16,16,"John Daly",50,64,"TenthTeeLateLowestRound",2012
16,16,"Brendon de Jonge",115,64,"TenthTeeLateLowestRound",2012
16,16,"Robert Garrigus",89,64,"TenthTeeLateLowestRound",2012
16,16,"David Mathis",83,64,"TenthTeeLateLowestRound",2012
16,16,"Bryce Molder",83,64,"TenthTeeLateLowestRound",2012
16,16,"Ryan Palmer",81,64,"TenthTeeLateLowestRound",2012
16,16,"John Rollins",81,64,"TenthTeeLateLowestRound",2012
16,16,"Vijay Singh",99,64,"TenthTeeLateLowestRound",2012
16,16,"Brandt Snedeker",81,64,"TenthTeeLateLowestRound",2012
16,16,"Scott Stallings",78,64,"TenthTeeLateLowestRound",2012
16,16,"DJ Trahan",73,64,"TenthTeeLateLowestRound",2012
16,16,"Boo Weekley",74,64,"TenthTeeLateLowestRound",2012
16,16,"Steve Wheatcroft",56,64,"TenthTeeLateLowestRound",2012
16,16,"Mark Wilson",84,64,"TenthTeeLateLowestRound",2012
34,34,"Blake Adams",107,65,"TenthTeeLateLowestRound",2012
34,34,"Sangmoon Bae",81,65,"TenthTeeLateLowestRound",2012
34,34,"Shane Bertsch",46,65,"TenthTeeLateLowestRound",2012
34,34,"Chad Campbell",84,65,"TenthTeeLateLowestRound",2012
34,34,"Miguel Angel Carballo",73,65,"TenthTeeLateLowestRound",2012
34,34,"Bud Cauley",99,65,"TenthTeeLateLowestRound",2012
34,34,"Daniel Chopra",55,65,"TenthTeeLateLowestRound",2012
34,34,"Gary Christian",91,65,"TenthTeeLateLowestRound",2012
34,34,"Stewart Cink",71,65,"TenthTeeLateLowestRound",2012
34,34,"Gavin Coles",72,65,"TenthTeeLateLowestRound",2012
34,34,"Nicolas Colsaerts",31,65,"TenthTeeLateLowestRound",2012
34,34,"Ben Curtis",62,65,"TenthTeeLateLowestRound",2012
34,34,"Chris DiMarco",83,65,"TenthTeeLateLowestRound",2012
34,34,"Joe Durant",40,65,"TenthTeeLateLowestRound",2012
34,34,"Matt Every",80,65,"TenthTeeLateLowestRound",2012
34,34,"Martin Flores",95,65,"TenthTeeLateLowestRound",2012
34,34,"Tommy Gainey",98,65,"TenthTeeLateLowestRound",2012
34,34,"Brian Gay",91,65,"TenthTeeLateLowestRound",2012
34,34,"Mathew Goggin",65,65,"TenthTeeLateLowestRound",2012
34,34,"Peter Hanson",40,65,"TenthTeeLateLowestRound",2012
34,34,"Brian Harman",101,65,"TenthTeeLateLowestRound",2012
34,34,"Padraig Harrington",67,65,"TenthTeeLateLowestRound",2012
34,34,"David Hearn",95,65,"TenthTeeLateLowestRound",2012
34,34,"JJ Henry",93,65,"TenthTeeLateLowestRound",2012
34,34,"John Huh",99,65,"TenthTeeLateLowestRound",2012
34,34,"Martin Laird",77,65,"TenthTeeLateLowestRound",2012
34,34,"Spencer Levin",81,65,"TenthTeeLateLowestRound",2012
34,34,"Rocco Mediate",70,65,"TenthTeeLateLowestRound",2012
34,34,"John Merrick",83,65,"TenthTeeLateLowestRound",2012
34,34,"Ryan Moore",89,65,"TenthTeeLateLowestRound",2012
34,34,"Garth Mulroy",59,65,"TenthTeeLateLowestRound",2012
34,34,"Seung Yul Noh",105,65,"TenthTeeLateLowestRound",2012
34,34,"Louis Oosthuizen",65,65,"TenthTeeLateLowestRound",2012
34,34,"John Peterson",28,65,"TenthTeeLateLowestRound",2012
34,34,"Chez Reavie",83,65,"TenthTeeLateLowestRound",2012
34,34,"Rory Sabbatini",84,65,"TenthTeeLateLowestRound",2012
34,34,"Lee Slattery",10,65,"TenthTeeLateLowestRound",2012
34,34,"Heath Slocum",93,65,"TenthTeeLateLowestRound",2012
34,34,"Vaughn Taylor",81,65,"TenthTeeLateLowestRound",2012
34,34,"Michael Thompson",80,65,"TenthTeeLateLowestRound",2012
34,34,"Bubba Watson",68,65,"TenthTeeLateLowestRound",2012
75,75,"Aaron Baddeley",73,66,"TenthTeeLateLowestRound",2012
75,75,"Ricky Barnes",92,66,"TenthTeeLateLowestRound",2012
75,75,"Cameron Beckman",81,66,"TenthTeeLateLowestRound",2012
75,75,"Matt Bettencourt",80,66,"TenthTeeLateLowestRound",2012
