"HitFairwayPercentage_RANKTHISWEEK_2009","HitFairwayPercentage_RANKLASTWEEK_2009","HitFairwayPercentage_PLAYERNAME_2009","HitFairwayPercentage_ROUNDS_2009","HitFairwayPercentage_Pct_2009","HitFairwayPercentage_FAIRWAYSHIT_2009","HitFairwayPercentage_POSSIBLEFAIRWAYS_2009","HitFairwayPercentage_RELATIVETOPAR_2009","stat_name","year"
1,1,"Joe Durant",62,74.65,483,647,-0.14,"HitFairwayPercentage",2009
2,2,"Darron Stiles",52,73.62,427,580,-0.16,"HitFairwayPercentage",2009
3,3,"Tim Clark",81,73.41,602,820,-0.22,"HitFairwayPercentage",2009
4,4,"Scott McCarron",91,73.24,821,1121,-0.15,"HitFairwayPercentage",2009
5,5,"Kirk Triplett",60,73.21,552,754,-0.06,"HitFairwayPercentage",2009
6,6,"David Toms",98,73.2,814,1112,-0.17,"HitFairwayPercentage",2009
7,7,"Heath Slocum",95,72.7,855,1176,-0.14,"HitFairwayPercentage",2009
8,8,"Chris Riley",77,72.63,674,928,-0.17,"HitFairwayPercentage",2009
9,9,"Bart Bryant",58,72.26,521,721,-0.09,"HitFairwayPercentage",2009
10,10,"Brian Gay",96,72.2,826,1144,-0.17,"HitFairwayPercentage",2009
11,11,"Corey Pavin",73,72.18,537,744,-0.14,"HitFairwayPercentage",2009
12,12,"Scott Verplank",88,71.7,788,1099,-0.18,"HitFairwayPercentage",2009
13,13,"Zach Johnson",94,71.65,791,1104,-0.2,"HitFairwayPercentage",2009
14,14,"Mark Brooks",55,71.64,394,550,-0.05,"HitFairwayPercentage",2009
15,15,"Jason Bohn",88,71.21,804,1129,-0.16,"HitFairwayPercentage",2009
16,16,"Tom Lehman",55,71.13,345,485,-0.13,"HitFairwayPercentage",2009
17,17,"Patrick Sheehan",51,71.09,386,543,-0.16,"HitFairwayPercentage",2009
18,18,"Jeff Klauk",97,71.04,866,1219,-0.11,"HitFairwayPercentage",2009
19,19,"Brandt Snedeker",81,70.99,641,903,-0.18,"HitFairwayPercentage",2009
20,20,"Colt Knost",71,70.91,546,770,-0.11,"HitFairwayPercentage",2009
21,21,"Paul Goydos",79,70.72,640,905,-0.15,"HitFairwayPercentage",2009
22,22,"Jim Furyk",86,70.7,637,901,-0.21,"HitFairwayPercentage",2009
23,23,"Jay Williamson",69,70.48,554,786,-0.11,"HitFairwayPercentage",2009
24,24,"Chez Reavie",81,70.46,687,975,-0.12,"HitFairwayPercentage",2009
25,25,"Glen Day",79,69.95,617,882,-0.13,"HitFairwayPercentage",2009
26,26,"Kent Jones",73,69.94,591,845,-0.1,"HitFairwayPercentage",2009
27,27,"Mark Wilson",99,69.91,848,1213,-0.16,"HitFairwayPercentage",2009
28,28,"Alex Cejka",82,69.88,689,986,-0.11,"HitFairwayPercentage",2009
28,28,"Billy Mayfair",83,69.88,666,953,-0.11,"HitFairwayPercentage",2009
30,30,"Nick OHern",90,69.86,816,1168,-0.15,"HitFairwayPercentage",2009
31,31,"Michael Allen",73,69.53,559,804,-0.15,"HitFairwayPercentage",2009
32,32,"Justin Leonard",95,69.18,725,1048,-0.23,"HitFairwayPercentage",2009
33,33,"Ben Crane",93,68.9,762,1106,-0.17,"HitFairwayPercentage",2009
34,34,"Richard Johnson",85,68.87,708,1028,-0.1,"HitFairwayPercentage",2009
35,35,"Boo Weekley",79,68.84,623,905,-0.15,"HitFairwayPercentage",2009
36,36,"Steve Elkington",70,68.78,586,852,-0.17,"HitFairwayPercentage",2009
37,37,"John Mallinger",90,68.64,672,979,-0.15,"HitFairwayPercentage",2009
38,38,"Greg Owen",97,68.46,777,1135,-0.16,"HitFairwayPercentage",2009
39,39,"Bryce Molder",69,67.99,512,753,-0.19,"HitFairwayPercentage",2009
40,40,"Jeff Maggert",79,67.96,681,1002,-0.13,"HitFairwayPercentage",2009
41,41,"Bob Estes",78,67.95,651,958,-0.2,"HitFairwayPercentage",2009
42,42,"DA Points",99,67.93,809,1191,-0.12,"HitFairwayPercentage",2009
43,43,"Tommy Armour III",58,67.88,486,716,-0.15,"HitFairwayPercentage",2009
44,44,"Bob Heintz",59,67.86,475,700,-0.2,"HitFairwayPercentage",2009
45,45,"Briny Baird",89,67.84,673,992,-0.15,"HitFairwayPercentage",2009
46,46,"Jason Dufner",90,67.75,731,1079,-0.15,"HitFairwayPercentage",2009
47,47,"Rick Price",54,67.72,384,567,-0.08,"HitFairwayPercentage",2009
48,48,"Charlie Wi",92,67.65,734,1085,-0.19,"HitFairwayPercentage",2009
49,49,"Brian Davis",103,67.6,849,1256,-0.15,"HitFairwayPercentage",2009
50,50,"Peter Lonard",86,67.52,713,1056,-0.09,"HitFairwayPercentage",2009
51,51,"KJ Choi",65,67.43,472,700,-0.13,"HitFairwayPercentage",2009
52,52,"Marc Turnesa",77,67.41,664,985,-0.07,"HitFairwayPercentage",2009
53,53,"Kris Blanks",60,67.39,436,647,-0.14,"HitFairwayPercentage",2009
54,54,"Tim Petrovic",97,67.34,798,1185,-0.16,"HitFairwayPercentage",2009
55,55,"Jeff Quinney",78,67.31,659,979,-0.16,"HitFairwayPercentage",2009
56,56,"Vaughn Taylor",88,67.28,734,1091,-0.16,"HitFairwayPercentage",2009
57,57,"Mathew Goggin",76,67.19,555,826,-0.15,"HitFairwayPercentage",2009
58,58,"DJ Trahan",96,67.09,746,1112,-0.19,"HitFairwayPercentage",2009
59,59,"Steve Stricker",81,67.05,576,859,-0.22,"HitFairwayPercentage",2009
60,60,"Chris DiMarco",97,66.86,803,1201,-0.13,"HitFairwayPercentage",2009
61,61,"Ryan Moore",89,66.7,685,1027,-0.18,"HitFairwayPercentage",2009
62,62,"Will Ma Kenzie",69,66.63,563,845,-0.12,"HitFairwayPercentage",2009
63,63,"Stephen Ames",77,66.62,523,785,-0.23,"HitFairwayPercentage",2009
64,64,"Jason Gore",74,66.59,568,853,-0.1,"HitFairwayPercentage",2009
65,65,"Jonathan Byrd",89,66.57,723,1086,-0.2,"HitFairwayPercentage",2009
66,66,"Robert Allenby",71,66.54,517,777,-0.11,"HitFairwayPercentage",2009
67,67,"John Rollins",92,66.27,723,1091,-0.18,"HitFairwayPercentage",2009
68,68,"Matt Weibring",65,66.09,501,758,-0.2,"HitFairwayPercentage",2009
69,69,"Kenny Perry",92,66.08,672,1017,-0.19,"HitFairwayPercentage",2009
70,70,"Matt Kuchar",82,65.98,644,976,-0.17,"HitFairwayPercentage",2009
71,71,"John Senden",100,65.8,837,1272,-0.2,"HitFairwayPercentage",2009
72,72,"Charles Warren",63,65.75,480,730,-0.17,"HitFairwayPercentage",2009
73,73,"Peter Tomasulo",61,65.71,414,630,-0.11,"HitFairwayPercentage",2009
74,74,"Woody Austin",84,65.7,678,1032,-0.18,"HitFairwayPercentage",2009
75,75,"Rod Pampling",72,65.65,581,885,-0.19,"HitFairwayPercentage",2009
76,76,"Cliff Kresge",78,65.44,606,926,-0.12,"HitFairwayPercentage",2009
76,76,"Ted Purdy",101,65.44,803,1227,-0.16,"HitFairwayPercentage",2009
78,78,"Lucas Glover",93,65.41,713,1090,-0.18,"HitFairwayPercentage",2009
79,79,"Jerry Kelly",90,65.33,699,1070,-0.18,"HitFairwayPercentage",2009
80,80,"Dean Wilson",81,65.21,626,960,-0.18,"HitFairwayPercentage",2009
81,81,"Ben Curtis",63,65.14,428,657,-0.11,"HitFairwayPercentage",2009
82,82,"Tiger Woods",64,65.1,429,659,-0.28,"HitFairwayPercentage",2009
83,83,"Nicholas Thompson",96,65.08,777,1194,-0.17,"HitFairwayPercentage",2009
84,84,"Steve Lowery",83,65,691,1063,-0.14,"HitFairwayPercentage",2009
85,85,"Justin Rose",71,64.98,514,791,-0.13,"HitFairwayPercentage",2009
86,86,"Scott Sterling",51,64.91,357,550,-0.15,"HitFairwayPercentage",2009
87,87,"Johnson Wagner",81,64.87,663,1022,-0.16,"HitFairwayPercentage",2009
88,88,"Greg Chalmers",85,64.85,631,973,-0.18,"HitFairwayPercentage",2009
89,89,"Kevin Na",91,64.82,691,1066,-0.21,"HitFairwayPercentage",2009
90,90,"Steve Marino",98,64.75,753,1163,-0.16,"HitFairwayPercentage",2009
91,91,"Bill Lunde",83,64.73,668,1032,-0.16,"HitFairwayPercentage",2009
92,92,"Aron Price",89,64.65,684,1058,-0.11,"HitFairwayPercentage",2009
93,93,"Ernie Els",70,64.63,486,752,-0.2,"HitFairwayPercentage",2009
94,94,"Ian Poulter",59,64.57,379,587,-0.21,"HitFairwayPercentage",2009
94,94,"Bo Van Pelt",100,64.57,729,1129,-0.2,"HitFairwayPercentage",2009
96,96,"Chris Stroud",88,64.53,673,1043,-0.17,"HitFairwayPercentage",2009
97,97,"Rich Beem",77,64.49,514,797,-0.14,"HitFairwayPercentage",2009
98,98,"Greg Kraft",51,64.44,366,568,-0.04,"HitFairwayPercentage",2009
99,99,"Rocco Mediate",79,64.4,588,913,-0.13,"HitFairwayPercentage",2009
