"GoodDrivePercentage_RANKTHISWEEK_2007","GoodDrivePercentage_RANKLASTWEEK_2007","GoodDrivePercentage_PLAYERNAME_2007","GoodDrivePercentage_ROUNDS_2007","GoodDrivePercentage_Pct_2007","GoodDrivePercentage_HIT_2007","GoodDrivePercentage_TOTALATTEMPTS_2007","stat_name","year"
1,1,"Joe Durant",88,87.92,1077,1225,"GoodDrivePercentage",2007
2,2,"Jim Furyk",84,87.62,1012,1155,"GoodDrivePercentage",2007
3,3,"Heath Slocum",101,87.49,1231,1407,"GoodDrivePercentage",2007
4,4,"Brian Davis",101,86.72,1228,1416,"GoodDrivePercentage",2007
5,5,"Mathew Goggin",97,86.68,1171,1351,"GoodDrivePercentage",2007
6,6,"Bart Bryant",87,86.2,1037,1203,"GoodDrivePercentage",2007
7,7,"Billy Mayfair",98,86.01,1174,1365,"GoodDrivePercentage",2007
8,8,"Jay Williamson",50,86,602,700,"GoodDrivePercentage",2007
9,9,"John Senden",97,85.89,1169,1361,"GoodDrivePercentage",2007
9,9,"Charles Warren",101,85.89,1211,1410,"GoodDrivePercentage",2007
11,11,"Craig Bowden",78,85.69,934,1090,"GoodDrivePercentage",2007
12,12,"Zach Johnson",76,85.62,899,1050,"GoodDrivePercentage",2007
13,13,"Kirk Triplett",77,85.29,916,1074,"GoodDrivePercentage",2007
14,14,"Ken Duke",112,85.06,1332,1566,"GoodDrivePercentage",2007
15,15,"Joey Sindelar",75,84.95,886,1043,"GoodDrivePercentage",2007
16,16,"Scott Verplank",82,84.61,962,1137,"GoodDrivePercentage",2007
17,17,"John Mallinger",96,84.58,1130,1336,"GoodDrivePercentage",2007
18,18,"DJ Trahan",99,84.35,1164,1380,"GoodDrivePercentage",2007
19,19,"Jeff Gove",103,84.26,1210,1436,"GoodDrivePercentage",2007
20,20,"Kent Jones",97,84.19,1140,1354,"GoodDrivePercentage",2007
21,21,"Jeff Maggert",79,84.18,931,1106,"GoodDrivePercentage",2007
21,21,"Shaun Micheel",91,84.18,1038,1233,"GoodDrivePercentage",2007
23,23,"Stephen Ames",81,83.91,897,1069,"GoodDrivePercentage",2007
24,24,"Sean OHair",98,83.81,1154,1377,"GoodDrivePercentage",2007
25,25,"Bo Van Pelt",104,83.78,1214,1449,"GoodDrivePercentage",2007
26,26,"Jason Gore",86,83.75,1005,1200,"GoodDrivePercentage",2007
27,27,"Alex Cejka",80,83.68,933,1115,"GoodDrivePercentage",2007
28,28,"Frank Lickliter II",95,83.65,1110,1327,"GoodDrivePercentage",2007
29,29,"Kenny Perry",83,83.61,964,1153,"GoodDrivePercentage",2007
30,30,"Luke Donald",69,83.6,790,945,"GoodDrivePercentage",2007
31,31,"Hunter Mahan",91,83.59,1065,1274,"GoodDrivePercentage",2007
32,32,"Stephen Leaney",82,83.52,953,1141,"GoodDrivePercentage",2007
33,33,"Jeff Overton",60,83.39,698,837,"GoodDrivePercentage",2007
34,34,"Jason Bohn",57,83.35,661,793,"GoodDrivePercentage",2007
