"SandSavesfrom1020yards_RANKTHISWEEK_2016","SandSavesfrom1020yards_RANKLASTWEEK_2016","SandSavesfrom1020yards_PLAYERNAME_2016","SandSavesfrom1020yards_ROUNDS_2016","SandSavesfrom1020yards_Pct_2016","SandSavesfrom1020yards_OFSAVES_2016","SandSavesfrom1020yards_OFBUNKERS_2016","stat_name","year"
1,1,"Justin Rose",35,77.78,21,27,"SandSavesfrom1020yards",2016
2,4,"Padraig Harrington",38,72.41,21,29,"SandSavesfrom1020yards",2016
3,2,"David Toms",38,70.83,17,24,"SandSavesfrom1020yards",2016
4,6,"Smylie Kaufman",57,70.73,29,41,"SandSavesfrom1020yards",2016
5,7,"Andrew Landry",24,70,7,10,"SandSavesfrom1020yards",2016
5,7,"Troy Merritt",41,70,21,30,"SandSavesfrom1020yards",2016
7,10,"Shane Bertsch",30,68.75,11,16,"SandSavesfrom1020yards",2016
8,12,"Jason Day",36,66.67,10,15,"SandSavesfrom1020yards",2016
8,12,"Sergio Garcia",28,66.67,8,12,"SandSavesfrom1020yards",2016
8,12,"Chris Kirk",51,66.67,28,42,"SandSavesfrom1020yards",2016
8,12,"Marc Leishman",41,66.67,16,24,"SandSavesfrom1020yards",2016
8,5,"DA Points",32,66.67,12,18,"SandSavesfrom1020yards",2016
13,9,"Stuart Appleby",39,65.71,23,35,"SandSavesfrom1020yards",2016
14,22,"Zach Johnson",42,65.52,19,29,"SandSavesfrom1020yards",2016
15,23,"KJ Choi",47,65,26,40,"SandSavesfrom1020yards",2016
15,20,"Sean OHair",45,65,26,40,"SandSavesfrom1020yards",2016
15,11,"Henrik Stenson",30,65,13,20,"SandSavesfrom1020yards",2016
18,25,"Morgan Hoffmann",43,64.71,22,34,"SandSavesfrom1020yards",2016
19,19,"Zac Blair",56,64.58,31,48,"SandSavesfrom1020yards",2016
20,43,"Steven Bowditch",40,64.52,20,31,"SandSavesfrom1020yards",2016
21,29,"Bryce Molder",50,63.89,23,36,"SandSavesfrom1020yards",2016
22,23,"Brendan Steele",48,63.64,14,22,"SandSavesfrom1020yards",2016
23,27,"Luke Donald",49,63.33,19,30,"SandSavesfrom1020yards",2016
23,31,"Cameron Tringale",47,63.33,19,30,"SandSavesfrom1020yards",2016
25,12,"Charles Howell III",63,63.16,24,38,"SandSavesfrom1020yards",2016
25,20,"Martin Laird",46,63.16,24,38,"SandSavesfrom1020yards",2016
27,30,"Robert Allenby",35,62.5,15,24,"SandSavesfrom1020yards",2016
27,33,"Rhein Gibson",36,62.5,10,16,"SandSavesfrom1020yards",2016
27,25,"Jason Kokrak",52,62.5,20,32,"SandSavesfrom1020yards",2016
30,40,"Brendon de Jonge",55,62.16,23,37,"SandSavesfrom1020yards",2016
30,35,"Justin Thomas",53,62.16,23,37,"SandSavesfrom1020yards",2016
32,45,"Patton Kizzire",57,61.76,21,34,"SandSavesfrom1020yards",2016
32,33,"Patrick Reed",53,61.76,21,34,"SandSavesfrom1020yards",2016
34,37,"Abraham Ancer",26,61.54,8,13,"SandSavesfrom1020yards",2016
34,46,"Jonas Blixt",46,61.54,24,39,"SandSavesfrom1020yards",2016
34,36,"Scott Langley",41,61.54,16,26,"SandSavesfrom1020yards",2016
37,58,"Danny Lee",53,61.36,27,44,"SandSavesfrom1020yards",2016
38,28,"JB Holmes",39,61.29,19,31,"SandSavesfrom1020yards",2016
39,47,"Peter Malnati",53,61.11,22,36,"SandSavesfrom1020yards",2016
40,41,"Shane Lowry",35,60.87,14,23,"SandSavesfrom1020yards",2016
41,37,"Phil Mickelson",37,60.71,17,28,"SandSavesfrom1020yards",2016
42,55,"Scott Brown",59,60,27,45,"SandSavesfrom1020yards",2016
42,32,"Jamie Donaldson",28,60,12,20,"SandSavesfrom1020yards",2016
42,43,"Webb Simpson",34,60,18,30,"SandSavesfrom1020yards",2016
42,47,"Bubba Watson",30,60,6,10,"SandSavesfrom1020yards",2016
46,67,"Spencer Levin",62,59.38,19,32,"SandSavesfrom1020yards",2016
47,12,"Rob Oppenheim",37,59.26,16,27,"SandSavesfrom1020yards",2016
48,55,"Aaron Baddeley",51,59.09,26,44,"SandSavesfrom1020yards",2016
48,55,"Charley Hoffman",49,59.09,26,44,"SandSavesfrom1020yards",2016
50,80,"Brian Harman",60,58.82,30,51,"SandSavesfrom1020yards",2016
50,59,"Louis Oosthuizen",25,58.82,10,17,"SandSavesfrom1020yards",2016
52,70,"Tyler Aldridge",53,58.62,17,29,"SandSavesfrom1020yards",2016
53,60,"Byeong Hun An",23,58.33,7,12,"SandSavesfrom1020yards",2016
53,47,"Chad Collins",45,58.33,21,36,"SandSavesfrom1020yards",2016
53,41,"Kevin Kisner",49,58.33,14,24,"SandSavesfrom1020yards",2016
53,60,"Bernd Wiesberger",23,58.33,7,12,"SandSavesfrom1020yards",2016
57,12,"Henrik Norlander",41,57.89,11,19,"SandSavesfrom1020yards",2016
58,47,"Andres Gonzales",46,57.69,15,26,"SandSavesfrom1020yards",2016
59,54,"Retief Goosen",37,57.58,19,33,"SandSavesfrom1020yards",2016
60,67,"Roberto Castro",55,57.14,20,35,"SandSavesfrom1020yards",2016
60,60,"Alex Cejka",47,57.14,8,14,"SandSavesfrom1020yards",2016
60,60,"Ernie Els",34,57.14,16,28,"SandSavesfrom1020yards",2016
60,70,"Branden Grace",31,57.14,8,14,"SandSavesfrom1020yards",2016
60,60,"Hunter Mahan",43,57.14,16,28,"SandSavesfrom1020yards",2016
60,37,"Hideki Matsuyama",40,57.14,8,14,"SandSavesfrom1020yards",2016
66,75,"Chez Reavie",56,56.82,25,44,"SandSavesfrom1020yards",2016
66,70,"Tyrone Van Aswegen",67,56.82,25,44,"SandSavesfrom1020yards",2016
68,91,"Will Ma Kenzie",54,56.67,17,30,"SandSavesfrom1020yards",2016
68,77,"Dicky Pride",33,56.67,17,30,"SandSavesfrom1020yards",2016
70,47,"Si Woo Kim",63,56.6,30,53,"SandSavesfrom1020yards",2016
71,66,"Hiroshi Iwata",51,56.52,26,46,"SandSavesfrom1020yards",2016
71,94,"Steve Marino",40,56.52,13,23,"SandSavesfrom1020yards",2016
73,80,"Andy Sullivan",25,56.25,9,16,"SandSavesfrom1020yards",2016
74,82,"Brandt Snedeker",47,56,14,25,"SandSavesfrom1020yards",2016
74,82,"Jordan Spieth",34,56,14,25,"SandSavesfrom1020yards",2016
76,94,"Kyle Reifers",63,55.88,19,34,"SandSavesfrom1020yards",2016
76,84,"Brendon Todd",43,55.88,19,34,"SandSavesfrom1020yards",2016
78,53,"Andrew Loupe",50,55.81,24,43,"SandSavesfrom1020yards",2016
79,97,"David Hearn",55,55.56,20,36,"SandSavesfrom1020yards",2016
79,85,"John Huh",51,55.56,20,36,"SandSavesfrom1020yards",2016
81,70,"Ricky Barnes",57,55.26,21,38,"SandSavesfrom1020yards",2016
81,69,"Daniel Berger",52,55.26,21,38,"SandSavesfrom1020yards",2016
81,89,"Russell Henley",42,55.26,21,38,"SandSavesfrom1020yards",2016
81,89,"Freddie Jacobson",54,55.26,21,38,"SandSavesfrom1020yards",2016
85,91,"Paul Casey",39,55.17,16,29,"SandSavesfrom1020yards",2016
86,105,"Tim Wilkinson",40,55,11,20,"SandSavesfrom1020yards",2016
87,113,"Michael Kim",62,54.9,28,51,"SandSavesfrom1020yards",2016
88,77,"Sam Saunders",40,54.84,17,31,"SandSavesfrom1020yards",2016
89,94,"Matthew Fitzpatrick",23,54.55,6,11,"SandSavesfrom1020yards",2016
89,85,"Rickie Fowler",42,54.55,12,22,"SandSavesfrom1020yards",2016
89,91,"Francesco Molinari",36,54.55,18,33,"SandSavesfrom1020yards",2016
92,97,"Matt Kuchar",46,54.29,19,35,"SandSavesfrom1020yards",2016
92,97,"Rory Sabbatini",40,54.29,19,35,"SandSavesfrom1020yards",2016
94,100,"Ryan Palmer",46,54.17,26,48,"SandSavesfrom1020yards",2016
95,60,"Whee Kim",54,53.85,21,39,"SandSavesfrom1020yards",2016
95,101,"Justin Leonard",28,53.85,14,26,"SandSavesfrom1020yards",2016
95,101,"Charl Schwartzel",29,53.85,14,26,"SandSavesfrom1020yards",2016
98,115,"Scott Pinckney",53,53.33,16,30,"SandSavesfrom1020yards",2016
99,106,"Hudson Swafford",52,53.19,25,47,"SandSavesfrom1020yards",2016
100,107,"Jerry Kelly",44,53.13,17,32,"SandSavesfrom1020yards",2016
101,110,"Miguel Angel Carballo",24,52.63,10,19,"SandSavesfrom1020yards",2016
101,109,"Jim Herman",55,52.63,20,38,"SandSavesfrom1020yards",2016
101,101,"Mark Hubbard",73,52.63,30,57,"SandSavesfrom1020yards",2016
101,85,"Ian Poulter",37,52.63,10,19,"SandSavesfrom1020yards",2016
101,85,"Michael Thompson",46,52.63,10,19,"SandSavesfrom1020yards",2016
106,111,"Jon Curran",55,52.5,21,40,"SandSavesfrom1020yards",2016
106,101,"Jeff Overton",51,52.5,21,40,"SandSavesfrom1020yards",2016
108,112,"Dustin Johnson",37,52.38,11,21,"SandSavesfrom1020yards",2016
108,156,"Martin Piller",37,52.38,11,21,"SandSavesfrom1020yards",2016
110,121,"Jamie Lovemark",57,52.27,23,44,"SandSavesfrom1020yards",2016
111,114,"JJ Henry",44,52,13,25,"SandSavesfrom1020yards",2016
112,147,"Ben Crane",48,51.72,15,29,"SandSavesfrom1020yards",2016
113,137,"Matt Jones",45,51.61,16,31,"SandSavesfrom1020yards",2016
113,115,"Cameron Smith",45,51.61,16,31,"SandSavesfrom1020yards",2016
115,119,"Chad Campbell",54,51.35,19,37,"SandSavesfrom1020yards",2016
115,118,"Kyle Stanley",57,51.35,19,37,"SandSavesfrom1020yards",2016
115,119,"Nick Taylor",57,51.35,19,37,"SandSavesfrom1020yards",2016
118,76,"Colt Knost",56,51.22,21,41,"SandSavesfrom1020yards",2016
119,147,"William McGirt",54,51.16,22,43,"SandSavesfrom1020yards",2016
120,117,"Erik Compton",45,50,15,30,"SandSavesfrom1020yards",2016
120,121,"Matt Every",34,50,15,30,"SandSavesfrom1020yards",2016
120,121,"Fabian Gomez",49,50,16,32,"SandSavesfrom1020yards",2016
120,121,"Emiliano Grillo",47,50,16,32,"SandSavesfrom1020yards",2016
120,77,"Chesson Hadley",51,50,18,36,"SandSavesfrom1020yards",2016
120,138,"Tom Hoge",47,50,14,28,"SandSavesfrom1020yards",2016
120,121,"Billy Horschel",45,50,12,24,"SandSavesfrom1020yards",2016
120,153,"DH Lee",35,50,12,24,"SandSavesfrom1020yards",2016
120,121,"David Lingmerth",54,50,12,24,"SandSavesfrom1020yards",2016
120,141,"Rory McIlroy",37,50,13,26,"SandSavesfrom1020yards",2016
120,121,"Robert Streb",51,50,17,34,"SandSavesfrom1020yards",2016
120,121,"Steve Stricker",25,50,11,22,"SandSavesfrom1020yards",2016
120,108,"Chris Stroud",52,50,18,36,"SandSavesfrom1020yards",2016
120,47,"Brian Stuard",24,50,3,6,"SandSavesfrom1020yards",2016
120,143,"Mark Wilson",42,50,10,20,"SandSavesfrom1020yards",2016
120,70,"Gary Woodland",45,50,12,24,"SandSavesfrom1020yards",2016
136,132,"Derek Fathauer",58,48.89,22,45,"SandSavesfrom1020yards",2016
136,121,"Adam Hadwin",53,48.89,22,45,"SandSavesfrom1020yards",2016
138,133,"Seung Yul Noh",54,48.78,20,41,"SandSavesfrom1020yards",2016
139,134,"Scott Piercy",45,48.48,16,33,"SandSavesfrom1020yards",2016
140,139,"Bronson Burgoon",53,48,12,25,"SandSavesfrom1020yards",2016
140,151,"Anirban Lahiri",44,48,12,25,"SandSavesfrom1020yards",2016
140,175,"Dawie van der Walt",48,48,12,25,"SandSavesfrom1020yards",2016
143,140,"Jimmy Walker",43,47.83,11,23,"SandSavesfrom1020yards",2016
144,141,"Ken Duke",26,47.62,10,21,"SandSavesfrom1020yards",2016
145,144,"Thomas Aiken",42,47.37,9,19,"SandSavesfrom1020yards",2016
146,134,"Jason Gore",51,47.06,16,34,"SandSavesfrom1020yards",2016
146,121,"Vijay Singh",42,47.06,16,34,"SandSavesfrom1020yards",2016
148,145,"Blayne Barber",44,46.67,14,30,"SandSavesfrom1020yards",2016
149,147,"Graeme McDowell",33,46.15,12,26,"SandSavesfrom1020yards",2016
150,162,"Ryan Moore",40,45.83,11,24,"SandSavesfrom1020yards",2016
151,151,"Luke Guthrie",31,45.45,5,11,"SandSavesfrom1020yards",2016
152,156,"Geoff Ogilvy",37,45.16,14,31,"SandSavesfrom1020yards",2016
153,153,"Patrick Rodgers",49,45,9,20,"SandSavesfrom1020yards",2016
154,155,"Kevin Na",52,44.83,13,29,"SandSavesfrom1020yards",2016
154,146,"Greg Owen",56,44.83,13,29,"SandSavesfrom1020yards",2016
156,185,"Daniel Summerhays",55,44.68,21,47,"SandSavesfrom1020yards",2016
157,164,"Robert Garrigus",34,44.44,8,18,"SandSavesfrom1020yards",2016
157,156,"Brian Gay",22,44.44,8,18,"SandSavesfrom1020yards",2016
157,173,"James Hahn",45,44.44,16,36,"SandSavesfrom1020yards",2016
157,180,"Scott Stallings",46,44.44,12,27,"SandSavesfrom1020yards",2016
157,147,"Shawn Stefani",45,44.44,12,27,"SandSavesfrom1020yards",2016
162,136,"Jason Bohn",37,44.12,15,34,"SandSavesfrom1020yards",2016
162,159,"Jason Dufner",53,44.12,15,34,"SandSavesfrom1020yards",2016
164,121,"Angel Cabrera",42,44,11,25,"SandSavesfrom1020yards",2016
165,161,"Sung Kang",51,43.59,17,39,"SandSavesfrom1020yards",2016
165,179,"Luke List",51,43.59,17,39,"SandSavesfrom1020yards",2016
167,162,"Russell Knox",48,43.48,10,23,"SandSavesfrom1020yards",2016
168,164,"Billy Hurley III",22,42.86,6,14,"SandSavesfrom1020yards",2016
168,187,"Kelly Kraft",35,42.86,6,14,"SandSavesfrom1020yards",2016
168,178,"George McNeill",33,42.86,12,28,"SandSavesfrom1020yards",2016
171,168,"Tony Finau",49,42.5,17,40,"SandSavesfrom1020yards",2016
172,160,"Harris English",51,42.42,14,33,"SandSavesfrom1020yards",2016
173,166,"Brooks Koepka",39,42.31,11,26,"SandSavesfrom1020yards",2016
173,166,"Will Wilcox",47,42.31,22,52,"SandSavesfrom1020yards",2016
175,186,"Kevin Chappell",49,42.11,16,38,"SandSavesfrom1020yards",2016
