"TenthTeeLatePar3ScoringAverage_RANKTHISWEEK_2005","TenthTeeLatePar3ScoringAverage_RANKLASTWEEK_2005","TenthTeeLatePar3ScoringAverage_PLAYERNAME_2005","TenthTeeLatePar3ScoringAverage_ROUNDS_2005","TenthTeeLatePar3ScoringAverage_AVG_2005","TenthTeeLatePar3ScoringAverage_TOTALSTROKES_2005","TenthTeeLatePar3ScoringAverage_TOTALHOLES_2005","stat_name","year"
1,1,"Luke Donald",67,2.69,43,16,"TenthTeeLatePar3ScoringAverage",2005
2,2,"Adam Scott",72,2.83,68,24,"TenthTeeLatePar3ScoringAverage",2005
3,3,"Sergio Garcia",73,2.89,81,28,"TenthTeeLatePar3ScoringAverage",2005
3,3,"Corey Pavin",77,2.89,185,64,"TenthTeeLatePar3ScoringAverage",2005
3,3,"Kirk Triplett",55,2.89,81,28,"TenthTeeLatePar3ScoringAverage",2005
6,6,"Chad Campbell",95,2.9,142,49,"TenthTeeLatePar3ScoringAverage",2005
6,6,"Tim Clark",92,2.9,148,51,"TenthTeeLatePar3ScoringAverage",2005
6,6,"Bill Glasson",54,2.9,139,48,"TenthTeeLatePar3ScoringAverage",2005
6,6,"Hidemichi Tanaka",106,2.9,223,77,"TenthTeeLatePar3ScoringAverage",2005
10,10,"Dudley Hart",84,2.91,131,45,"TenthTeeLatePar3ScoringAverage",2005
10,10,"Jay Williamson",53,2.91,134,46,"TenthTeeLatePar3ScoringAverage",2005
12,12,"Loren Roberts",54,2.92,140,48,"TenthTeeLatePar3ScoringAverage",2005
12,12,"Scott Verplank",87,2.92,108,37,"TenthTeeLatePar3ScoringAverage",2005
14,14,"Paul Azinger",66,2.93,82,28,"TenthTeeLatePar3ScoringAverage",2005
14,14,"Todd Fischer",99,2.93,176,60,"TenthTeeLatePar3ScoringAverage",2005
14,14,"Thomas Levet",54,2.93,82,28,"TenthTeeLatePar3ScoringAverage",2005
14,14,"Phil Mickelson",81,2.93,123,42,"TenthTeeLatePar3ScoringAverage",2005
14,14,"Steve Stricker",62,2.93,120,41,"TenthTeeLatePar3ScoringAverage",2005
19,19,"Woody Austin",100,2.94,250,85,"TenthTeeLatePar3ScoringAverage",2005
19,19,"Rocco Mediate",73,2.94,106,36,"TenthTeeLatePar3ScoringAverage",2005
21,21,"Davis Love III",80,2.95,112,38,"TenthTeeLatePar3ScoringAverage",2005
22,22,"Briny Baird",98,2.96,151,51,"TenthTeeLatePar3ScoringAverage",2005
22,22,"Stephen Leaney",89,2.96,133,45,"TenthTeeLatePar3ScoringAverage",2005
22,22,"Phillip Price",77,2.96,151,51,"TenthTeeLatePar3ScoringAverage",2005
22,22,"Jeff Sluman",94,2.96,169,57,"TenthTeeLatePar3ScoringAverage",2005
26,26,"Stephen Ames",82,2.97,98,33,"TenthTeeLatePar3ScoringAverage",2005
26,26,"Brad Faxon",75,2.97,116,39,"TenthTeeLatePar3ScoringAverage",2005
26,26,"Duffy Waldorf",86,2.97,202,68,"TenthTeeLatePar3ScoringAverage",2005
26,26,"Mike Weir",71,2.97,181,61,"TenthTeeLatePar3ScoringAverage",2005
30,30,"Jeff Brehaut",71,2.98,158,53,"TenthTeeLatePar3ScoringAverage",2005
30,30,"Tom Byrum",83,2.98,194,65,"TenthTeeLatePar3ScoringAverage",2005
30,30,"Mark Calcavecchia",92,2.98,182,61,"TenthTeeLatePar3ScoringAverage",2005
30,30,"Stewart Cink",98,2.98,119,40,"TenthTeeLatePar3ScoringAverage",2005
30,30,"Jim Furyk",94,2.98,143,48,"TenthTeeLatePar3ScoringAverage",2005
30,30,"Hunter Haas",83,2.98,131,44,"TenthTeeLatePar3ScoringAverage",2005
30,30,"Skip Kendall",80,2.98,191,64,"TenthTeeLatePar3ScoringAverage",2005
30,30,"Ryan Palmer",101,2.98,143,48,"TenthTeeLatePar3ScoringAverage",2005
30,30,"Kevin Sutherland",89,2.98,194,65,"TenthTeeLatePar3ScoringAverage",2005
39,39,"Fred Funk",102,3,132,44,"TenthTeeLatePar3ScoringAverage",2005
39,39,"Lee Janzen",75,3,120,40,"TenthTeeLatePar3ScoringAverage",2005
39,39,"Jonathan Kaye",77,3,171,57,"TenthTeeLatePar3ScoringAverage",2005
39,39,"Pat Perez",89,3,195,65,"TenthTeeLatePar3ScoringAverage",2005
39,39,"Kenny Perry",82,3,96,32,"TenthTeeLatePar3ScoringAverage",2005
39,39,"Justin Rose",99,3,168,56,"TenthTeeLatePar3ScoringAverage",2005
45,45,"Steve Allan",102,3.01,208,69,"TenthTeeLatePar3ScoringAverage",2005
45,45,"Jeff Hart",63,3.01,205,68,"TenthTeeLatePar3ScoringAverage",2005
45,45,"JL Lewis",98,3.01,286,95,"TenthTeeLatePar3ScoringAverage",2005
45,45,"Carl Pettersson",109,3.01,244,81,"TenthTeeLatePar3ScoringAverage",2005
45,45,"John Senden",101,3.01,208,69,"TenthTeeLatePar3ScoringAverage",2005
50,50,"Craig Barlow",81,3.02,136,45,"TenthTeeLatePar3ScoringAverage",2005
50,50,"Olin Browne",99,3.02,254,84,"TenthTeeLatePar3ScoringAverage",2005
50,50,"Ben Crane",78,3.02,136,45,"TenthTeeLatePar3ScoringAverage",2005
50,50,"Mathias Gronberg",60,3.02,148,49,"TenthTeeLatePar3ScoringAverage",2005
50,50,"Richard Johnson",50,3.02,124,41,"TenthTeeLatePar3ScoringAverage",2005
50,50,"Justin Leonard",78,3.02,157,52,"TenthTeeLatePar3ScoringAverage",2005
50,50,"Steve Lowery",100,3.02,269,89,"TenthTeeLatePar3ScoringAverage",2005
50,50,"Arron Oberholser",65,3.02,199,66,"TenthTeeLatePar3ScoringAverage",2005
50,50,"DA Points",94,3.02,281,93,"TenthTeeLatePar3ScoringAverage",2005
50,50,"Heath Slocum",103,3.02,151,50,"TenthTeeLatePar3ScoringAverage",2005
50,50,"DJ Trahan",81,3.02,157,52,"TenthTeeLatePar3ScoringAverage",2005
61,61,"JJ Henry",102,3.03,176,58,"TenthTeeLatePar3ScoringAverage",2005
61,61,"Brandt Jobe",96,3.03,121,40,"TenthTeeLatePar3ScoringAverage",2005
61,61,"Kent Jones",99,3.03,282,93,"TenthTeeLatePar3ScoringAverage",2005
61,61,"Brendan Jones",81,3.03,206,68,"TenthTeeLatePar3ScoringAverage",2005
61,61,"Hank Kuehne",84,3.03,221,73,"TenthTeeLatePar3ScoringAverage",2005
61,61,"Michael Long",72,3.03,182,60,"TenthTeeLatePar3ScoringAverage",2005
61,61,"Hideto Tanihara",50,3.03,112,37,"TenthTeeLatePar3ScoringAverage",2005
61,61,"Bo Van Pelt",112,3.03,203,67,"TenthTeeLatePar3ScoringAverage",2005
69,69,"Michael Allen",90,3.04,158,52,"TenthTeeLatePar3ScoringAverage",2005
69,69,"Bob Estes",92,3.04,210,69,"TenthTeeLatePar3ScoringAverage",2005
69,69,"Chris Smith",93,3.04,237,78,"TenthTeeLatePar3ScoringAverage",2005
69,69,"David Toms",87,3.04,85,28,"TenthTeeLatePar3ScoringAverage",2005
69,69,"Dean Wilson",86,3.04,158,52,"TenthTeeLatePar3ScoringAverage",2005
69,69,"Mark Wilson",74,3.04,204,67,"TenthTeeLatePar3ScoringAverage",2005
