"MoneyLeaders_RANKTHISWEEK_2016","MoneyLeaders_RANKLASTWEEK_2016","MoneyLeaders_PLAYERNAME_2016","MoneyLeaders_EVENTS_2016","MoneyLeaders_MONEY_2016","MoneyLeaders_YTDVICTORIES_2016","stat_name","year"
1,1,"Adam Scott",10,4457724,2,"MoneyLeaders",2016
2,2,"Jason Day",9,3671729,2,"MoneyLeaders",2016
3,3,"Russell Knox",14,2851401,1,"MoneyLeaders",2016
4,4,"Brandt Snedeker",14,2781611,1,"MoneyLeaders",2016
5,5,"Jordan Spieth",9,2772927,1,"MoneyLeaders",2016
6,6,"Bubba Watson",8,2708050,1,"MoneyLeaders",2016
7,8,"Patrick Reed",14,2606491,NA,"MoneyLeaders",2016
8,7,"Kevin Kisner",14,2578280,1,"MoneyLeaders",2016
9,11,"Hideki Matsuyama",12,2521510,1,"MoneyLeaders",2016
10,9,"Justin Thomas",15,2370087,1,"MoneyLeaders",2016
11,10,"Kevin Na",14,2366916,NA,"MoneyLeaders",2016
12,12,"Dustin Johnson",9,2138399,NA,"MoneyLeaders",2016
13,16,"Rickie Fowler",12,2104654,NA,"MoneyLeaders",2016
14,20,"Phil Mickelson",11,2078038,NA,"MoneyLeaders",2016
15,13,"Smylie Kaufman",16,2075938,1,"MoneyLeaders",2016
16,14,"Graeme McDowell",11,1951529,1,"MoneyLeaders",2016
17,15,"Danny Willett",5,1852959,1,"MoneyLeaders",2016
18,19,"Kevin Chappell",14,1826977,NA,"MoneyLeaders",2016
19,17,"Branden Grace",9,1811831,1,"MoneyLeaders",2016
20,18,"Charley Hoffman",14,1809883,1,"MoneyLeaders",2016
21,31,"Rory McIlroy",9,1797505,NA,"MoneyLeaders",2016
22,107,"James Hahn",15,1785362,1,"MoneyLeaders",2016
23,27,"Fabian Gomez",15,1764526,1,"MoneyLeaders",2016
24,21,"Jim Herman",17,1725924,1,"MoneyLeaders",2016
25,22,"Jamie Lovemark",17,1724685,NA,"MoneyLeaders",2016
26,23,"Jason Dufner",15,1697599,1,"MoneyLeaders",2016
27,24,"Charl Schwartzel",8,1691136,1,"MoneyLeaders",2016
28,25,"Emiliano Grillo",13,1672678,1,"MoneyLeaders",2016
29,46,"Justin Rose",10,1616067,NA,"MoneyLeaders",2016
30,26,"Louis Oosthuizen",6,1565988,NA,"MoneyLeaders",2016
31,28,"Charles Howell III",17,1543694,NA,"MoneyLeaders",2016
32,29,"Bill Haas",12,1530880,NA,"MoneyLeaders",2016
33,30,"Henrik Stenson",8,1523333,NA,"MoneyLeaders",2016
34,32,"JB Holmes",10,1445482,NA,"MoneyLeaders",2016
35,33,"Ryan Moore",11,1366724,NA,"MoneyLeaders",2016
36,97,"Roberto Castro",16,1358048,NA,"MoneyLeaders",2016
37,35,"Vaughn Taylor",11,1349030,1,"MoneyLeaders",2016
38,34,"Brian Stuard",8,1330095,1,"MoneyLeaders",2016
39,37,"Patton Kizzire",16,1330013,NA,"MoneyLeaders",2016
40,36,"Jason Bohn",11,1285105,NA,"MoneyLeaders",2016
41,42,"William McGirt",15,1259554,NA,"MoneyLeaders",2016
42,43,"David Lingmerth",15,1258057,NA,"MoneyLeaders",2016
43,38,"Peter Malnati",19,1230590,1,"MoneyLeaders",2016
44,39,"Jimmy Walker",12,1173946,NA,"MoneyLeaders",2016
45,40,"Jason Kokrak",17,1168114,NA,"MoneyLeaders",2016
46,41,"Brooks Koepka",11,1166516,NA,"MoneyLeaders",2016
47,44,"KJ Choi",14,1140315,NA,"MoneyLeaders",2016
