"ReverseBounceBack_RANKTHISWEEK_2016","ReverseBounceBack_RANKLASTWEEK_2016","ReverseBounceBack_PLAYERNAME_2016","ReverseBounceBack_ROUNDS_2016","ReverseBounceBack_PctUNDERTHENOVERPAR_2016","ReverseBounceBack_TOTALUNDERTHENOVERPAR_2016","ReverseBounceBack_UNDERPAR_2016","stat_name","year"
1,1,"Rickie Fowler",42,7.5,12,160,"ReverseBounceBack",2016
2,2,"Graeme McDowell",33,8.04,9,112,"ReverseBounceBack",2016
3,3,"Jerry Kelly",44,8.87,11,124,"ReverseBounceBack",2016
4,5,"Cameron Percy",22,8.96,6,67,"ReverseBounceBack",2016
5,6,"Russell Henley",42,8.97,13,145,"ReverseBounceBack",2016
6,7,"Sean OHair",45,9.68,15,155,"ReverseBounceBack",2016
7,11,"Branden Grace",31,10.1,10,99,"ReverseBounceBack",2016
8,12,"Kevin Na",52,10.11,19,188,"ReverseBounceBack",2016
9,8,"Adam Scott",39,10.39,16,154,"ReverseBounceBack",2016
10,9,"Patrick Reed",53,10.5,19,181,"ReverseBounceBack",2016
11,4,"Alex Cejka",47,10.65,18,169,"ReverseBounceBack",2016
12,10,"Sung Kang",51,10.71,18,168,"ReverseBounceBack",2016
13,17,"Zac Blair",56,10.8,19,176,"ReverseBounceBack",2016
14,16,"Smylie Kaufman",57,10.85,23,212,"ReverseBounceBack",2016
15,23,"Fabian Gomez",49,10.97,17,155,"ReverseBounceBack",2016
16,18,"Sergio Garcia",28,10.99,10,91,"ReverseBounceBack",2016
17,19,"Chris Kirk",51,11.03,16,145,"ReverseBounceBack",2016
17,19,"Marc Leishman",41,11.03,16,145,"ReverseBounceBack",2016
19,21,"Jason Day",36,11.2,14,125,"ReverseBounceBack",2016
20,15,"Shawn Stefani",45,11.38,14,123,"ReverseBounceBack",2016
21,29,"Chez Reavie",56,11.89,22,185,"ReverseBounceBack",2016
22,24,"Brian Stuard",24,11.9,10,84,"ReverseBounceBack",2016
23,27,"Ollie Schniederjans",23,12,9,75,"ReverseBounceBack",2016
24,26,"Charles Howell III",63,12.07,28,232,"ReverseBounceBack",2016
25,14,"Scott Langley",41,12.4,16,129,"ReverseBounceBack",2016
26,35,"Jordan Spieth",34,12.41,17,137,"ReverseBounceBack",2016
27,34,"Ricky Barnes",57,12.44,25,201,"ReverseBounceBack",2016
28,33,"Jamie Lovemark",57,12.5,27,216,"ReverseBounceBack",2016
28,28,"Phil Mickelson",37,12.5,18,144,"ReverseBounceBack",2016
30,25,"Brian Harman",60,12.56,26,207,"ReverseBounceBack",2016
31,40,"Justin Thomas",53,12.63,24,190,"ReverseBounceBack",2016
32,13,"Henrik Norlander",41,12.78,17,133,"ReverseBounceBack",2016
33,30,"Adam Hadwin",53,12.9,24,186,"ReverseBounceBack",2016
34,38,"Jason Bohn",37,12.95,18,139,"ReverseBounceBack",2016
35,42,"Russell Knox",48,12.96,21,162,"ReverseBounceBack",2016
36,43,"Shane Bertsch",30,13.04,12,92,"ReverseBounceBack",2016
36,61,"Kevin Kisner",49,13.04,24,184,"ReverseBounceBack",2016
38,53,"Lucas Glover",53,13.11,24,183,"ReverseBounceBack",2016
39,58,"Emiliano Grillo",47,13.13,21,160,"ReverseBounceBack",2016
39,44,"Scott Piercy",45,13.13,21,160,"ReverseBounceBack",2016
41,48,"Robert Garrigus",34,13.16,15,114,"ReverseBounceBack",2016
42,36,"Colt Knost",56,13.19,24,182,"ReverseBounceBack",2016
43,62,"Kevin Streelman",46,13.21,21,159,"ReverseBounceBack",2016
44,58,"Andrew Loupe",50,13.24,27,204,"ReverseBounceBack",2016
45,48,"Pat Perez",28,13.27,13,98,"ReverseBounceBack",2016
45,48,"Bubba Watson",30,13.27,15,113,"ReverseBounceBack",2016
47,54,"Dicky Pride",33,13.4,13,97,"ReverseBounceBack",2016
48,55,"Bryce Molder",50,13.41,22,164,"ReverseBounceBack",2016
49,57,"Luke Donald",49,13.42,20,149,"ReverseBounceBack",2016
50,67,"David Lingmerth",54,13.44,25,186,"ReverseBounceBack",2016
51,73,"John Senden",48,13.53,23,170,"ReverseBounceBack",2016
52,51,"Chad Campbell",54,13.56,24,177,"ReverseBounceBack",2016
53,36,"DA Points",32,13.59,14,103,"ReverseBounceBack",2016
54,32,"James Hahn",45,13.64,21,154,"ReverseBounceBack",2016
54,60,"Luke List",51,13.64,24,176,"ReverseBounceBack",2016
56,45,"Dawie van der Walt",48,13.77,23,167,"ReverseBounceBack",2016
57,47,"Patton Kizzire",57,13.79,28,203,"ReverseBounceBack",2016
58,30,"David Toms",38,13.82,17,123,"ReverseBounceBack",2016
59,68,"Luke Guthrie",31,13.89,15,108,"ReverseBounceBack",2016
60,70,"Darron Stiles",28,13.92,11,79,"ReverseBounceBack",2016
61,63,"Spencer Levin",62,13.94,29,208,"ReverseBounceBack",2016
61,64,"Cameron Tringale",47,13.94,23,165,"ReverseBounceBack",2016
63,82,"Bill Haas",42,13.95,18,129,"ReverseBounceBack",2016
64,41,"JB Holmes",39,13.97,19,136,"ReverseBounceBack",2016
65,64,"Martin Laird",46,14.02,23,164,"ReverseBounceBack",2016
66,51,"Johnson Wagner",44,14.1,22,156,"ReverseBounceBack",2016
67,70,"Will Ma Kenzie",54,14.11,23,163,"ReverseBounceBack",2016
68,74,"Freddie Jacobson",54,14.14,27,191,"ReverseBounceBack",2016
69,75,"Justin Leonard",28,14.29,12,84,"ReverseBounceBack",2016
69,75,"Troy Merritt",41,14.29,19,133,"ReverseBounceBack",2016
71,77,"Aaron Baddeley",51,14.36,26,181,"ReverseBounceBack",2016
